T,O,H,L,C,V
1713844800,13.962,14.4399,13.88,14.23,40237307
1713931200,14.22,14.33,13.82,13.92,41035095
1714017600,14.21,14.28,13.45,14.13,58362951
1714104000,14.07,14.09,13.635,13.88,36527836
1714363200,13.85,14.02,13.73,13.98,28817427
1714449600,13.85,13.93,13.5,13.51,25788923
1714536000,13.5,13.81,13.33,13.58,28428269
1714622400,13.78,13.9,13.69,13.86,24108213
1714708800,14,14.07,13.72,13.85,22056624
1714968000,13.92,14.75,13.92,14.65,46744346
1715054400,14.54,14.625,14.1399,14.25,25770490
1715140800,14.255,14.52,14.18,14.42,22832374
1715227200,14.36,14.63,14.32,14.48,23590231
1715313600,14.54,14.61,14.32,14.4,16180653
1715572800,14.54,15.07,14.52,14.93,33380052
1715659200,15.09,15.36,15.07,15.19,27970447
1715745600,15.2,15.25,14.9101,14.94,25983626
1715832000,15,15.08,14.66,14.79,22652518
1715918400,14.85,14.99,14.72,14.73,18472064
1716177600,14.77,14.775,14.415,14.52,26818846
1716264000,14.43,14.489,14.01,14.03,22607458
1716350400,14.07,14.25,14.01,14.1,19136425
1716436800,14.13,14.135,13.72,13.82,29089848
1716523200,13.87,14.03,13.66,13.84,19605630
1716868800,13.85,13.905,13.42,13.44,32710288
1716955200,12.16,12.17,11.31,11.62,158980410
1717041600,11.76,11.78,11.385,11.44,57004639
1717128000,11.51,11.57,11.25,11.5,60868405
1717387200,11.6,11.945,11.5,11.53,52899042
1717473600,11.54,11.79,11.48,11.5,39161525
1717560000,11.51,11.765,11.45,11.62,34340914
1717646400,11.58,11.73,11.315,11.43,35840572
1717732800,11.36,11.565,11.35,11.5,29201433
1717992000,11.43,11.57,11.37,11.49,23421042
1718078400,11.41,11.45,11.26,11.28,25439678
1718164800,11.4,11.685,11.39,11.5,40769745
1718251200,11.45,11.47,11.22,11.44,33265200
1718337600,11.32,11.36,11.09,11.28,42272467
1718596800,11.22,11.4887,11.21,11.44,30074132
1718683200,11.41,11.5,11.27,11.28,18841481
1718856000,11.3,11.31,11.19,11.24,21364434
1718942400,11.215,11.34,11.11,11.2,28098081
1719201600,11.22,11.34,11.15,11.16,25666440
1719288000,11.18,11.365,11.12,11.13,28547274
1719374400,11.05,11.33,10.96,11.12,39848715
1719460800,11.12,11.32,11.02,11.28,23780785
1719547200,11.24,11.36,11.2,11.33,28121102
1719806400,11.33,11.41,11,11.04,28624269
1719892800,11.06,11.11,10.95,11.05,22487904
1719979200,11.16,11.22,11.07,11.12,16150149
1720152000,11.13,11.19,10.98,11.04,24396036
1720411200,11.08,11.13,10.91,10.93,32261691
1720497600,10.96,11.09,10.87,10.98,26604766
1720584000,11.04,11.22,10.994,11.15,28502023
1720670400,10.68,10.76,10.34,10.73,80291530
1720756800,10.71,10.8,10.57,10.68,33133076
1721016000,10.67,10.77,10.56,10.63,28615271
1721102400,10.65,11.24,10.65,11.19,48708679
1721188800,10.99,11.11,10.835,11.01,32356209
1721275200,10.96,11.09,10.61,10.62,46855152
1721361600,10.63,10.65,10.43,10.58,25697310
1721620800,10.49,10.74,10.35,10.69,38897191
1721707200,10.63,10.74,10.47,10.48,30548005
1721793600,10.45,10.54,10.12,10.17,47312032
1721880000,9.92,10.9,9.755,10.6,96280847
1721966400,10.7,10.755,10.2147,10.62,45684501
1722225600,10.56,10.72,10.37,10.43,30070124
1722312000,10.46,10.93,10.46,10.76,52969476
1722398400,10.65,11.03,10.58,10.64,39205401
1722484800,10.65,10.68,10.09,10.14,47149618
1722571200,9.93,9.93,9.59,9.63,48277167
1722830400,9.1,9.59,9.07,9.28,44554504
1722916800,9.46,9.53,9.22,9.31,28905923
1723003200,9.4,9.52,9.21,9.26,29020906
