T,O,H,L,C,V
1713844800,52.25,55.94,52.25,54.44,408988
1713931200,54.54,54.94,52.54,52.82,312852
1714017600,51.52,51.965,49.66,51.38,631751
1714104000,51.35,52.68,50.87,51.92,339688
1714363200,52.08,52.45,50.59,51.11,388007
1714449600,50.62,51.595,49.808,50.02,500347
1714536000,50.27,53.97,50.19,52.18,542055
1714622400,52.46,54.05,51.32,53.29,295379
1714708800,54.69,55.85,52.37,52.69,402998
1714968000,52.54,53.68,51.02,52.67,261552
1715054400,52.78,52.97,51.3,52.42,311293
1715140800,52.08,52.645,50.735,52.25,545473
1715227200,52.12,53.48,51.59,52.73,377239
1715313600,51.81,52.73,47.88,49.74,925475
1715572800,50.44,51.19,48.49,49.77,587871
1715659200,50.68,51.85,49.46,50.62,354303
1715745600,52.26,54.56,51.22,51.72,642600
1715832000,51.72,53.11,51,52.79,538361
1715918400,52.93,54.88,52.315,53.62,439340
1716177600,53.73,54.4,53.58,54.36,305355
1716264000,54.21,55.445,53.01,53.27,582233
1716350400,53.18,54.34,52.23,54.26,404970
1716436800,54.35,54.35,50.44,50.63,849673
1716523200,50.71,52.315,50.7,51.9,438255
1716868800,52.3,52.61,50.36,51.3,325253
1716955200,50.57,50.66,49.97,50.45,345833
1717041600,51.07,53,50.71,52.24,328015
1717128000,53.33,53.33,50.89,52,563248
1717387200,52.77,54.925,51.78,53.64,586811
1717473600,53.38,54.99,51.57,51.71,403153
1717560000,51.87,53.17,51.095,52.78,286381
1717646400,52.63,52.7,50.88,51.34,368820
1717732800,50.85,51.875,50.13,50.78,227018
1717992000,50.21,54.365,50.02,54.13,611329
1718078400,53.67,54.6,53.43,54,414669
1718164800,55.87,56.5,54.2,55.06,583522
1718251200,54.92,58.68,54.62,55.79,574722
1718337600,54.96,56.09,53.725,54.41,352296
1718596800,54.37,54.69,53.525,53.75,647990
1718683200,53.9,54.08,52.205,53.81,463414
1718856000,53.77,54.95,53.41,54.59,220804
1718942400,54.79,56.32,53.9,56.12,793192
1719201600,56.2,57.6,55.93,56.07,370929
1719288000,55.48,55.5,53.537,53.79,569491
1719374400,53.5,54.47,52.72,53.66,567829
1719460800,53.41,55.11,52.8,54.12,300327
