T,O,H,L,C,V
1713844800,17.66,18.54,17.65,18.35,1082912
1713931200,18.33,18.33,17.93,17.96,494422
1714017600,17.7,18.06,17.35,17.72,582768
1714104000,17.78,18.4,17.63,18.09,787737
1714363200,18.12,18.32,17.74,17.83,785561
1714449600,17.71,17.86,17.39,17.45,795724
1714536000,17.48,17.66,16.9,16.91,780354
1714622400,17.22,17.4,17.03,17.38,1038456
1714708800,17.83,17.9999,17.535,17.81,1130764
1714968000,17.83,18.15,17.775,18.1,642974
1715054400,18.17,18.28,17.735,17.76,666915
1715140800,17.37,17.43,17,17.32,1369817
1715227200,16.37,17.605,15.436,17.47,1807176
1715313600,17.47,17.91,16.86,17.29,976001
1715572800,17.34,17.89,17.11,17.41,1219272
1715659200,17.59,17.845,17.37,17.76,1484235
1715745600,18.1441,19.11,18,19.02,1586346
1715832000,18.97,19.07,18.19,18.23,1649191
1715918400,18.23,18.85,18.21,18.62,1202378
1716177600,18.55,18.77,18.4,18.76,992811
1716264000,18.66,19.23,18.63,18.88,2117631
1716350400,18.82,18.98,18.38,18.44,1380107
1716436800,18.57,18.75,18.2501,18.68,915540
1716523200,18.84,19.11,18.64,19.09,778058
1716868800,19.25,19.62,18.51,18.67,867810
1716955200,18.36,18.48,17.67,17.86,1416095
1717041600,17.89,18.23,17.82,18.06,756739
1717128000,18.03,18.29,17.61,17.85,923175
1717387200,17.85,18.04,17.61,17.81,947380
1717473600,17.72,17.73,17.111,17.53,692288
1717560000,17.5,17.77,17.39,17.75,848714
1717646400,17.68,18.04,17.6,17.67,440676
1717732800,17.49,18.11,17.4,17.83,734158
1717992000,18.1,18.455,18,18.36,1207653
1718078400,18.2,18.4,17.99,18.08,1096860
1718164800,18.77,19.09,18.5405,18.9,954688
1718251200,18.81,18.87,18.155,18.24,728808
1718337600,17.87,18.22,17.49,17.69,503092
1718596800,17.62,18.07,17.6,17.87,908489
1718683200,17.86,18.095,17.5,17.71,850781
1718856000,17.87,18.09,17.24,17.69,1607354
1718942400,17.6,17.91,17.36,17.74,2341732
1719201600,17.69,18.235,17.59,18.18,795296
1719288000,18.17,18.305,17.655,17.86,728998
1719374400,17.75,18.07,17.55,18.01,857246
1719460800,18.07,18.24,17.705,18.23,847838
1719547200,18.33,18.44,18.05,18.25,3911270
1719806400,18.19,18.3,17.44,17.5,858897
1719892800,17.6,18.04,17.46,17.97,673984
1719979200,17.92,18.12,17.74,17.78,360923
1720152000,17.73,18.07,17.44,18.04,828350
1720411200,18.21,18.29,17.87,17.88,716525
1720497600,17.79,18.04,17.41,17.47,550643
1720584000,17.49,17.7,16.69,16.8,1203954
1720670400,17.24,17.47,16.84,16.96,1668324
1720756800,17.32,17.49,17.13,17.37,1353147
1721016000,17.62,18.28,17.62,17.99,1259536
1721102400,18.32,19.4,18.15,19.32,1635652
1721188800,19.05,19.63,18.625,18.83,1710125
1721275200,18.73,18.91,18.1,18.37,1237552
1721361600,18.42,18.96,18.23,18.41,886996
1721620800,18.56,18.68,18.2,18.53,1130330
1721707200,18.4,18.94,18.36,18.6,896774
1721793600,18.43,18.58,17.51,17.7,717000
1721880000,17.72,17.85,17.33,17.47,1181497
1721966400,17.75,17.875,17.35,17.62,1066881
1722225600,17.62,17.895,17.01,17.03,692321
1722312000,17.28,17.58,16.78,16.94,796446
1722398400,17.14,17.67,16.9,17.08,861913
1722484800,17.1,17.365,16.045,16.32,1211351
1722571200,15.85,15.95,15.43,15.88,1279464
1722830400,14.94,15.32,14.76,15.15,1404685
1722916800,15.21,15.46,14.82,15.09,1207514
1723003200,15.66,15.83,14.79,14.83,1802416
1723089600,16.4,18.08,15.57,18.05,2589172
1723176000,17.99,18.4,17.635,17.79,1755761
1723435200,17.82,18.06,17.48,17.71,1690204
1723521600,17.91,18.4693,17.72,18.35,1988049
1723608000,18.4,18.72,18.05,18.16,1224682
1723694400,18.58,19,18.39,19,2366916
1723780800,18.95,19.16,18.55,18.57,1121948
1724040000,18.54,18.81,18.411,18.62,1004575
1724126400,18.7,19.085,18.62,18.92,1891469
1724212800,18.94,18.94,18.4544,18.66,1531494
1724299200,18.64,18.91,18.19,18.26,679518
1724385600,18.48,18.96,18.315,18.96,1889235
1724644800,19.08,19.86,18.995,19.28,1810302
1724731200,18.9,19.17,18.42,18.57,1144040
1724817600,18.5,18.535,18.26,18.45,803317
1724904000,18.6,18.615,18.1902,18.27,726923
1724990400,18.42,18.78,18.29,18.71,967058
1725336000,18.78,18.78,18.05,18.15,2014567
1725422400,18.14,18.27,17.75,17.99,1303673
1725508800,17.92,18.39,17.795,18.27,1377432
1725595200,18.33,18.45,17.75,18.16,2443166
1725854400,18.26,19.31,18.2166,19.25,3592795
1725940800,19.26,19.4,18.94,19.36,2863960
1726027200,19.27,19.765,19.0602,19.68,1527441
1726113600,19.84,20.17,19.56,19.94,1931323
1726200000,20,20.79,19.78,19.87,2044961
1726459200,19.84,20.045,19.48,19.95,1048248
1726545600,20.27,20.49,19.96,20.35,1417243
1726632000,20.39,20.82,20.18,20.25,1449788
1726718400,20.78,21.015,20.51,20.67,1463825
1726804800,20.61,20.94,20.4,20.75,2603348
1727064000,20.84,20.99,20.65,20.74,971815
1727150400,20.76,21.09,20.59,20.92,820575
1727236800,20.92,21.0599,20.5684,20.75,658958
1727323200,21.1,21.105,20.72,20.74,1499024
1727409600,20.66,20.8,20.25,20.46,884014
1727668800,20.26,20.51,19.93,20.33,841431
1727755200,20.28,20.28,19.73,19.77,1208514
1727841600,19.67,19.83,19.33,19.56,735803
1727928000,19.27,19.59,19.06,19.07,1077648
1728014400,19.46,19.47,18.95,19.21,988582
1728273600,18.98,19.1,18.5,18.74,1048265
1728360000,18.87,19.2,18.69,18.98,680365
1728446400,18.91,19.03,18.72,18.74,799006
1728532800,18.4,18.475,17.69,18.05,1452046
1728619200,17.855,18.875,17.855,18.74,1318153
1728878400,18.73,18.85,18.275,18.75,830740
1728964800,18.78,19.03,18.36,18.86,1029141
1729051200,19.11,19.38,18.74,19.26,754444
1729137600,19.32,19.4031,18.78,19.2,402459
1729224000,19.46,19.52,19.05,19.05,447409
1729483200,18.96,19.05,18.59,18.59,658217
1729569600,18.62,18.64,18.355,18.56,734872
1729656000,17.63,18.49,17.63,17.92,613637
1729742400,18.05,18.145,17.58,17.75,1337983
1729828800,17.91,18.0158,17.48,17.56,856009
1730088000,17.86,17.8926,17.49,17.66,1148736
1730174400,17.5,17.92,17.41,17.82,970176
1730260800,17.81,18.29,17.66,17.71,776405
1730347200,17.55,17.605,17.23,17.29,1027082
1730433600,17.42,17.555,16.92,17.04,931329
1730696400,16.94,17.5,16.85,17.25,971496
1730782800,17.19,17.73,17.13,17.71,790213
1730869200,18.92,19.215,18.73,19.14,2702147
1730955600,19.32,20.2,19.07,19.5,2361064
1731042000,20.45,21.22,19.31,20.13,3406375
1731301200,20.45,21.305,20.07,21.1,2624541
1731387600,20.98,21.17,20.39,20.7,3651828
1731474000,20.9,20.97,20.25,20.37,1486088
1731560400,20.275,20.36,19.675,20.02,1847207
1731646800,20.01,20.76,19.845,20.72,1925300
1731906000,20.85,22.23,20.72,21.99,3275368
1731992400,21.93,21.955,21.44,21.46,2343503
1732078800,21.35,21.54,21.05,21.37,980700
1732165200,21.51,22.22,21.1201,21.54,2310526
1732251600,21.67,22.16,21.55,21.97,1841741
1732510800,22.4,23.456,22.3925,22.96,3699664
1732597200,22.61,22.82,22.01,22.39,1645958
1732683600,22.74,22.84,22.25,22.71,647974
1732856400,22.95,23.0076,22.5,22.62,569768
1733115600,22.78,23.27,22.62,23.17,1255246
1733202000,22.95,23.045,22.48,22.83,1126464
1733288400,23.07,23.3,22.34,22.59,1468551
1733374800,22.5,22.79,21.882,21.94,984201
1733461200,22.13,22.43,21.93,22.34,1228294
1733720400,22.47,22.79,22.03,22.15,1066214
1733806800,22,22.15,21.165,21.35,1289680
1733893200,21.69,21.95,21.33,21.65,1179921
1733979600,21.28,22,20.8,20.94,911775
1734066000,20.9,21.12,20.26,20.3,952239
1734325200,20.33,21.38,20.26,21.23,1045535
1734411600,21,21.43,20.99,21.08,1203956
1734498000,21.31,21.78,19.825,20.21,1914585
1734584400,20.45,21,19.82,20.94,1913703
1734670800,20.56,22,20.56,21.89,4195956
1734930000,22.255,22.255,21,21.42,1012685
1735016400,21.54,21.7,21.17,21.67,290949
1735189200,21.67,22.18,21.58,22.12,770595
1735275600,21.9,21.99,20.8,21.8,1172143
1735534800,21.41,22,21.1101,21.9,689477
1735621200,22.03,22.17,21.315,21.6,1259213
1735794000,21.77,22.07,20.785,20.94,1006232
1735880400,21.15,21.27,20.74,21.02,880563
1736139600,21.06,21.395,20.84,21.11,1248593
1736226000,21.11,21.49,20.13,20.3,1120303
1736312400,20.08,21.36,19.9303,21.14,1422317
1736485200,20.51,20.93,20.24,20.75,1317060
1736744400,20.33,20.92,20.33,20.78,1620717
1736830800,21.09,21.22,20.74,21,1029332
1736917200,21.66,22,21.13,21.26,959598
1737003600,21.25,21.59,21.23,21.37,1422671
1737090000,21.72,21.72,21.13,21.53,1157557
1737435600,21.75,22.28,21.58,22.25,746775
1737522000,22.23,22.47,21.39,21.44,856570
1737608400,21.32,22.25,21.3,22.09,1551257
1737694800,21.98,22.0643,21.34,21.39,1174137
1737954000,20.82,21.5,20.56,21.11,1224069
1738040400,21.02,21.39,20.79,21.34,946883
1738126800,21.33,21.57,20.9001,21.44,857911
1738213200,21.63,21.995,21.36,21.69,1125107
1738299600,21.69,21.83,20.88,21.16,1356261
1738558800,20.54,20.815,20.1846,20.46,1190173
1738645200,20.44,20.9,20.116,20.86,1290608
1738731600,20.95,21.4,20.66,20.84,1743190
1738818000,20.94,21.18,20.75,20.97,1118079
1738904400,20.98,21.36,20.78,21.17,885950
1739163600,21.5,21.8,21.17,21.6,1448033
1739250000,21.44,21.61,20.93,21.42,1370678
1739336400,21,21.81,21,21.47,799803
1739422800,21.65,22.09,21.52,21.59,786533
1739509200,21.75,22.0795,21.42,21.595,1029510
1739854800,21.34,21.5,20.66,21,2391019
1739941200,20.75,21.03,20.51,20.65,2499444
1740027600,18.5,20.26,18.4,18.59,7740275
1740114000,18.95,19.345,17.56,17.585,3568249
1740373200,17.63,17.79,17.0104,17.32,2484193
1740459600,17.18,17.31,16.45,16.46,2816559
1740546000,16.45,17.12,16.31,16.45,1893855
1740632400,16.56,16.9,16.07,16.09,2118521
1740718800,15.94,16.41,15.775,16.06,2136804
1740978000,16.14,16.26,15.19,15.21,1992016
1741064400,14.81,15.1,14.25,14.83,2724082
1741150800,14.85,15.59,14.63,15.21,2908435
1741237200,14.83,15.26,14.03,14.17,2210453
1741323600,14.12,14.205,13.02,14.11,3177079
1741579200,13.76,13.88,12.96,13.1,2885060
1741665600,13.25,13.89,12.77,13.78,4009723
1741752000,14.66,14.7,14.01,14.28,5226182
1741838400,14.3,14.315,13.59,14,4138642
1741924800,14.16,14.815,14.16,14.31,3272416
1742184000,14.22,15,14.14,14.71,2868106
1742270400,14.53,14.74,13.91,14.1,2747920
1742356800,14.25,15.01,14.05,14.61,3259582
1742443200,15.14,15.83,14.89,15.69,5773509
1742529600,15.42,15.8,15.08,15.31,4988165
1742788800,15.78,16.065,15.4001,16.01,1890409
1742875200,16,16.38,15.91,16.36,1784741
1742961600,16.41,16.495,15.23,15.28,2260290
1743048000,15.42,15.42,14,14.6,3417075
1743134400,14.5,14.54,13.78,14.13,2260636
1743393600,13.87,14.11,13.49,14.09,3177086
1743480000,14.1,14.62,13.765,14.47,2331906
1743566400,14.11,15.45,14.11,15.13,1648720
1743652800,14.2,14.27,13.53,13.59,2263868
1743739200,13.04,13.37,11.88,13.31,4864319
1743998400,12.68,14.13,12.425,13.39,4524115
1744084800,13.8,13.95,12.58,12.82,2484706
1744171200,12.55,14.88,12.55,14.51,4013313
1744257600,13.87,14.07,13.18,13.99,4599405
1744344000,13.91,14.365,13.49,14.27,3085893
1744603200,14.42,14.71,13.95,14.34,2001392
1744689600,14.39,14.69,14,14.3,2453166
1744776000,14.05,14.23,13.76,14.09,2289035
1744862400,14.14,14.34,13.98,14.31,2255728
1745208000,14.08,14.165,13.63,13.91,2824026
