T,O,H,L,C,V
1713844800,187,190.86,186.43,189.93,4177822
1713931200,200.03,201.675,195.03,196.5,6527523
1714017600,197.86,199.1,195.1,197.94,3301535
1714104000,197.06,202.6,196.97,201.97,3136261
1714363200,200.81,203.98,200.64,203.9,2289166
1714449600,203.63,204.2,200.5,200.61,2668476
1714536000,197.06,199.52,193.85,193.89,3554680
1714622400,196.1,197.32,191.5928,196.49,2728145
1714708800,199.04,201.8257,199.04,199.63,2372862
1714968000,200.17,203.43,199.995,203.32,2168862
1715054400,204.5,205.77,203.53,203.57,3276926
1715140800,202.39,205,201.81,204.86,2464298
1715227200,204.48,205.46,203.7,204.79,2941808
1715313600,205.95,207.76,205.24,207.19,2617014
1715572800,208.83,209.75,208.05,208.38,2314836
1715659200,209,212.42,206.71,211.94,2683484
1715745600,214.43,215.9,212.71,215.75,3802895
1715832000,216,216,213.66,214.12,2820225
1715918400,214.51,215.63,212.97,214.08,2373820
1716177600,214.96,218.7,213.94,217.48,2647913
1716264000,215.2,217.08,214.55,216.64,3428805
1716350400,227.79,240.37,224.75,240.16,9432843
1716436800,240.88,241.88,231.995,234.56,5578442
1716523200,236.33,238.32,232.2,232.51,4544312
1716868800,230.44,234.29,230.44,233.44,2673787
1716955200,229.74,231.625,227.83,228.15,3002067
1717041600,228.68,230.685,228.01,230,2885148
1717128000,230.1,234.73,227.65,234.49,6460149
1717387200,235.09,236.29,228.51,232.21,3087769
1717473600,231.86,232.18,228.95,230.63,2616049
1717560000,232,235.97,231.22,235.68,4016735
1717646400,234.52,238.38,233.285,237.41,2756978
1717732800,236.05,237.61,233.27,234.77,2208155
1717992000,232.29,235.98,231.19,235.37,2765658
1718078400,233.65,236.51,233.13,236.3,3098615
1718164800,239.03,240.58,236.44,238.44,2514965
1718251200,232.55,236.25,232.49,234.03,2673838
1718337600,230.1,232.57,229.45,231.19,2252494
1718596800,230.54,232.5,227.94,232.39,2414979
1718683200,231.74,236.43,231.28,235.38,2457388
1718856000,232.43,232.67,228.805,229.51,4562318
1718942400,231.535,231.88,229.07,231.05,7366423
1719201600,231.05,231.94,228.1,228.46,2413626
1719288000,231.08,231.08,225.84,230.34,2015750
1719374400,229.32,229.99,226.57,227.84,2510576
1719460800,227,228.44,225.98,226.68,2159085
1719547200,228.15,232.065,226.86,228.26,3634130
1719806400,226.7,226.95,223.92,225.18,2307800
1719892800,224.56,228.37,224.56,228.24,2417892
1719979200,228.67,230.99,227.04,230.02,1425672
1720152000,231.42,231.505,228.37,230.89,2251928
1720411200,232.18,233.75,231.67,233.34,1729502
1720497600,233.76,234.26,230.91,232.01,1315573
1720584000,234.46,239.09,233.1,238.33,4037562
1720670400,238.76,239.1999,233.67,233.74,3104524
1720756800,238.35,242.16,236.15,238.56,3105747
1721016000,237.14,239.77,236.1,237.72,2057260
1721102400,239.01,243.83,237.645,243.33,1964664
1721188800,240.48,244.14,235.41,235.61,4448188
1721275200,236.48,241.1,236.29,238.99,3688460
1721361600,240.3,240.3,230.74,231.22,2894851
1721620800,237.12,240.26,233.32,240.04,2827273
1721707200,234.1,236.92,229.03,230.32,3876208
1721793600,230.63,230.96,223.74,224.62,4589596
1721880000,221.51,227.61,217.25,220.92,5114615
1721966400,225.3,227.25,222.97,226.43,4296172
1722225600,228.74,230.27,225.33,227.4,2672195
1722312000,228.85,230.18,222.9,224.58,3955556
1722398400,229.76,232.1599,226.94,231.38,4308081
1722484800,228.08,231.2,216.77,218.92,5404581
1722571200,212.48,213.07,206.71,207.96,6796683
1722830400,206.03,209.09,198.73,200.56,4879768
1722916800,201.36,208.7,201.18,204.88,4671145
1723003200,210.47,211.42,200.86,201.31,4178209
1723089600,206.19,214.14,204.27,213.64,4510126
1723176000,209.95,213.73,209.16,211.31,2482181
1723435200,212.15,213.4,210,212.08,1712145
1723521600,213.25,218.6,213.2,218.01,4011066
1723608000,216.92,218.11,212.8,215.32,2409608
1723694400,220.45,224.24,219.42,223.67,5197357
1723780800,223.045,223.8,221.42,223.19,2573637
1724040000,222.43,226.08,221.49,225.95,2803180
1724126400,223.96,226.015,221.39,223.49,3994245
1724212800,229.52,236.86,224.81,227.5,5595070
1724299200,225.68,228.26,221.26,221.91,3708163
1724385600,225.85,229.21,224.76,228.39,3208020
1724644800,227.84,228.19,223.7875,225.61,2532438
1724731200,225.11,232.35,224.3125,231.84,3707719
1724817600,231.08,233.25,225.14,227.17,3211773
1724904000,229.49,235.105,229.48,230.89,2711497
1724990400,234.94,236.135,231.82,234.84,2771051
1725336000,228.69,230.015,217.65,218.71,4868561
1725422400,220.01,223.98,218.12,221.8,2736592
1725508800,219.48,221.62,217.72,219.06,2729960
1725595200,218.57,219.405,212.7,213.64,3437085
1725854400,217.01,219.309,216.045,218.56,2450781
1725940800,217.5,219.03,214.12,218.72,2048974
1726027200,219.89,225.72,214.71,225.07,3431773
1726113600,223.44,223.45,218.93,221.53,2158222
1726200000,223.84,226.55,223.005,225.42,2032345
1726459200,222.39,224.46,220.69,223.28,2124156
1726545600,227.44,229.04,222.65,225.35,2524630
1726632000,228.87,228.87,221.96,222.64,2527316
1726718400,230,235.76,227.87,233.45,7157746
1726804800,231.97,232.48,224.35,226.78,5009739
1727064000,224.78,226.84,224.2,226.01,1357914
1727150400,228.64,230.8,226.82,227.33,1984834
