T,O,H,L,C,V
1713844800,30.44,33.29,30.44,32.76,8819390
1713931200,32.99,33.27,31.765,32.08,3911253
1714017600,30.85,32.08,30.27,31.65,5192353
1714104000,31.9,33.91,30.94,33.33,6292218
1714363200,33.3,33.9,32.83,33.42,3135446
1714449600,32.7577,33.26,31.8,31.88,4482919
1714536000,31.43,33.85,31.27,32.12,5370728
1714622400,33.08,34.46,32.49,34.44,5215164
1714708800,36.34,36.7,34.62,34.93,5426260
1714968000,35.21,36.56,35.21,36.02,5168058
1715054400,35.445,36.58,34.86,34.9,8374822
1715140800,35.5,37.88,31.07,31.58,20637235
1715227200,32.61,34.89,32.32,34.81,11344775
1715313600,34.53,34.65,31.58,31.59,8419511
1715572800,32.38,33.78,31.84,32.01,7697714
1715659200,32.85,34.31,32.76,33.44,7683910
1715745600,34.51,34.8,32.1702,32.3,5814435
1715832000,31.93,32.24,30.88,31.32,7136052
1715918400,31.26,33.87,31.25,33.83,11932947
1716177600,33.79,33.87,32.78,33.03,4722297
1716264000,32.94,32.94,31.76,32.28,3760325
1716350400,31.88,31.97,29.54,30.61,10328333
1716436800,30.74,30.92,29.36,29.68,5230608
1716523200,29.87,30.4699,29.5,30.03,3715362
1716868800,30.45,30.5,29.21,29.64,3769116
1716955200,28.93,29.35,28.39,28.72,4326254
1717041600,28.86,29.795,28.5608,29.36,3975730
1717128000,29.6,30.08,28.75,29.27,3497015
1717387200,30,30,28.51,28.81,3276711
1717473600,28.6,30.22,28.485,30.14,5255478
1717560000,30.14,31.23,29.42,31,4618385
1717646400,30.81,31.39,30.154,31.19,3531176
1717732800,30.42,30.8,29.71,30.05,3867737
1717992000,29.6,30.49,29.51,30.44,2666540
1718078400,32.829,33.98,31.21,33.8,19250843
1718164800,36,39.25,35.5,35.75,24332321
1718251200,36.1,36.89,33.34,33.43,8101991
1718337600,32.7,32.94,30.525,30.9,8056572
1718596800,30.42,31.81,29.82,30.81,10156914
1718683200,30.6724,31.3,29.9,30.53,5348248
1718856000,30.75,30.79,29.36,30.14,6588074
1718942400,30.21,30.34,29.43,29.87,5656623
1719201600,31,34.13,30.77,33.7,13615230
1719288000,33.29,33.44,32.5265,32.97,6055179
1719374400,32.87,32.875,31.22,31.41,6123367
1719460800,30.75,31.24,30.4,30.46,8029968
1719547200,30.5,31.451,29.6,30.21,11318014
1719806400,30.21,30.44,29.46,29.83,3579019
1719892800,29.96,30.13,29.1629,29.38,5119129
1719979200,29.34,29.54,28.71,28.98,3632762
1720152000,28.77,28.88,28.35,28.55,4902712
1720411200,28.81,28.81,27.6,28.15,7794493
1720497600,28.02,29.1799,27.77,28.36,5232120
1720584000,28.59,28.7796,27.45,28.17,4809791
1720670400,30.2,30.44,28.87,29.61,8051628
1720756800,29.83,30.46,29.39,29.54,5904910
1721016000,29.72,32.36,29.62,32.1,10723334
1721102400,32.4,33.47,32.1238,33.46,8879682
1721188800,32.32,34.3,31.904,32.27,8783854
1721275200,32.05,32.73,30.48,30.86,6270306
1721361600,30.58,30.69,29.9,29.96,4199479
1721620800,30.36,30.61,29.29,29.63,3628582
1721707200,29.56,29.945,29.27,29.34,2538988
1721793600,29.12,29.175,26.36,26.46,6810652
1721880000,26.7,27.21,25.89,26.46,4918998
1721966400,27.7,27.7,26.52,27.1,5121916
1722225600,27.34,27.8,26.535,26.84,4384118
1722312000,28.55,29.2,27.01,27.46,7661270
1722398400,28.11,29.334,27.8,28.29,7148087
1722484800,28.18,28.84,25.97,26.42,6952371
1722571200,25.15,25.82,23.95,25.77,8237912
1722830400,22.25,25.16,22.25,24.56,6907760
1722916800,24.74,24.96,23.89,24.16,4444682
1723003200,25.77,26.41,24.1,24.12,7062098
1723089600,24.37,25.2715,24.15,25.215,4250046
1723176000,25.34,25.82,24.68,25.44,4959717
1723435200,25.33,25.43,24.67,25.17,4273859
1723521600,25.6,26.48,25.35,26.25,5571007
1723608000,26.758,26.88,25.97,26.58,3875208
1723694400,27.295,28.57,27.2,28.37,7037238
1723780800,28.41,28.9,28.15,28.45,4728206
1724040000,28.51,30.38,28.36,30.34,5782431
1724126400,30.41,31.46,29.195,29.29,7752033
1724212800,29.32,29.84,28.47,29.75,6165817
1724299200,29.7,31.44,29.62,29.96,9941829
1724385600,30.1,32.17,30.02,31.46,8112574
1724644800,32.46,32.4899,31.05,31.88,9265922
1724731200,31.5,32.67,31.5,32.51,8411084
1724817600,32.23,32.51,30.4601,31.58,16394901
1724904000,39.11,42.87,37.52,41.66,54415107
1724990400,41.5,44.89,40.57,44.01,30046483
1725336000,43.78,44.99,40.735,41.59,16044532
1725422400,41,42.48,39.18,40.23,12894602
1725508800,40.31,42,39.52,39.64,9926218
1725595200,40.1,41.31,37.84,38.44,9750338
1725854400,38.75,39.8,38.12,38.17,7940339
1725940800,38.17,38.4099,35.72,37.27,9946014
1726027200,37.4,40.29,37.14,40.24,11334033
1726113600,40.03,41.88,39.17,41.74,10209493
1726200000,42.39,44.63,42.39,44.01,13272665
1726459200,43.94,45.02,42.45,44.06,9314797
1726545600,44.95,45.08,43.32,44,9613890
1726632000,43.79,45.63,43.25,44.28,12468489
1726718400,46.58,47.98,44.35,44.98,21984232
1726804800,45,46,43.92,44.93,10703214
1727064000,45.24,46.04,44.63,44.67,7486458
1727150400,44.6,44.88,42.36,44.62,10047306
1727236800,44.72,45.76,43.15,43.24,6546866
1727323200,43.54,43.79,41.38,41.64,7830665
1727409600,42.19,42.69,40.87,41.16,5092154
1727668800,40.54,41.95,40.02,40.82,5843385
