T,O,H,L,C,V
1713844800,14.67,15.16,14.63,15.13,3046992
1713931200,15,15.28,14.94,15.2,2574594
1714017600,15.01,15.41,14.31,14.98,5810661
1714104000,15.09,15.35,14.9624,15.3,2257850
1714363200,15.33,15.57,14.97,15.44,2046476
1714449600,14.96,15.14,14.69,14.71,2668997
1714536000,14.86,15.3,14.635,14.96,2554671
1714622400,14.76,15.09,14.72,14.96,1863027
1714708800,15.01,15.15,14.8,15.03,1616098
1714968000,15.4,15.49,15.22,15.27,1355605
1715054400,15.2,15.425,15.18,15.3,1129732
1715140800,15.14,15.56,15.0518,15.32,1386812
1715227200,15.44,15.76,15.41,15.68,2306422
1715313600,15.88,15.94,15.615,15.65,2191449
1715572800,15.61,15.72,15.345,15.42,1569409
1715659200,15.57,15.79,15.47,15.78,1592889
1715745600,15.92,16.2,15.645,16.13,2071167
1715832000,16.02,16.37,15.91,16.28,2550261
1715918400,16.55,17.11,16.45,17.09,3721937
1716177600,17.09,17.28,16.91,17.21,1804044
1716264000,17.1,17.29,16.94,17.25,2526399
1716350400,17.02,17.095,16.43,16.54,2640646
1716436800,16.47,16.73,16.32,16.55,3802556
1716523200,16.65,16.83,16.54,16.59,1312192
1716868800,17,17.2,16.81,17.1,1741059
1716955200,16.89,17.09,16.73,16.75,1384584
1717041600,16.75,17.035,16.75,16.81,1956467
1717128000,16.89,17.0495,16.52,16.71,1535934
1717387200,16.74,16.93,16.695,16.92,1384091
1717473600,16.58,16.61,16.09,16.37,1801778
1717560000,16.43,16.7,16.34,16.67,1490390
1717646400,16.67,17,16.64,16.92,2304638
1717732800,16.4,16.4214,15.9,15.96,2782843
1717992000,16.01,16.2,15.785,16.15,2212578
1718078400,16.04,16.07,15.78,15.9,1273170
1718164800,16.19,16.29,15.83,15.94,1397109
1718251200,15.81,16.01,15.17,15.25,5542512
1718337600,15.48,15.5,15.13,15.31,1939560
1718596800,15.17,15.385,15.01,15.3,1676768
1718683200,15.21,15.625,15.1603,15.47,1967923
1718856000,15.64,15.925,15.58,15.89,2289300
1718942400,15.83,15.87,15.545,15.72,5266163
1719201600,15.8,15.95,15.53,15.69,1892050
1719288000,15.6,15.7,15.5,15.62,1091352
1719374400,15.5,15.86,15.48,15.85,1524873
1719460800,15.99,16.1,15.77,15.77,1193647
1719547200,15.88,15.97,15.58,15.68,1029197
1719806400,15.77,15.85,15.54,15.54,647221
1719892800,15.5,15.755,15.35,15.59,2273911
1719979200,15.89,16.3,15.82,16.09,1008861
1720152000,16.33,16.77,16.28,16.57,1931023
1720411200,16.48,16.74,16.3901,16.74,1012304
1720497600,16.75,16.91,16.64,16.7,1080748
1720584000,16.87,17.219,16.82,17.11,1224096
1720670400,17.5,17.62,16.88,17.52,1890266
1720756800,17.36,17.665,17.3,17.63,1849049
1721016000,17.79,17.815,17.45,17.56,1293496
1721102400,17.66,17.905,17.58,17.79,1866922
1721188800,17.85,17.88,17.26,17.27,1729052
1721275200,17.28,17.32,16.91,17.12,1755878
1721361600,16.65,17.11,16.59,17.04,1327934
1721620800,16.97,17.195,16.815,17.15,1930649
1721707200,17.17,17.22,16.97,17.14,961095
1721793600,17.28,17.65,17.13,17.14,1408723
1721880000,16.7,16.76,16.33,16.35,2206147
1721966400,16.6,16.67,16.37,16.51,1574807
1722225600,16.64,16.89,16.42,16.88,1020632
1722312000,16.96,16.96,16.55,16.72,1417107
1722398400,17.05,17.18,16.87,17.03,1643673
1722484800,17.75,18.2,17.05,17.37,4175820
1722571200,17.42,17.98,17.205,17.42,4548037
1722830400,16.35,17.32,15.74,16.94,3930072
1722916800,16.78,17.495,16.68,17.22,1941512
1723003200,17.48,17.5,16.64,16.66,1375060
1723089600,16.86,17.38,16.6342,17.21,1906448
1723176000,17.41,17.49,17.15,17.38,1307763
1723435200,17.58,18.26,17.44,18.08,2446903
1723521600,18,18.68,18,18.49,2707587
1723608000,18.41,18.48,18.08,18.47,1297010
1723694400,18.45,18.5252,18.03,18.44,1430210
1723780800,18.75,19.27,18.56,19.18,3157124
1724040000,19.15,19.68,19.09,19.58,3044563
1724126400,19.85,20.24,19.745,19.91,3062034
1724212800,19.89,19.95,19.68,19.85,1823278
1724299200,19.5,19.74,19.33,19.46,2088728
1724385600,19.74,19.9,19.47,19.62,1826403
1724644800,19.77,19.82,19.4,19.57,1234406
1724731200,19.36,19.51,19.17,19.49,1985992
1724817600,19.24,19.25,18.83,19.11,2754307
1724904000,19.13,19.45,19.1,19.17,1146727
1724990400,19.14,19.28,19.04,19.28,1441605
1725336000,18.9,19.06,18.26,18.45,2797294
1725422400,18.24,18.61,18.17,18.28,1995342
1725508800,18.59,18.63,18.285,18.37,2508795
1725595200,18.39,18.4363,17.95,18.1,1714195
1725854400,18.11,18.2899,18.065,18.16,919176
1725940800,18.2,18.73,18.16,18.7,1453882
1726027200,18.6,18.94,18.57,18.91,1867132
1726113600,19.3,20.2,19.2,20.06,6906602
1726200000,20.46,20.895,20.45,20.69,4357288
1726459200,20.77,20.8,20.41,20.68,2428885
1726545600,20.49,20.77,20.19,20.44,2078604
1726632000,20.5,21.14,20.15,20.2,2667767
1726718400,20.62,20.65,20.0229,20.3,2345578
1726804800,20.58,20.825,20.39,20.82,6361498
1727064000,20.92,21.42,20.8,21.04,3222847
1727150400,21.14,21.16,20.805,20.88,2067957
1727236800,20.97,21.03,20.515,20.67,3431164
