T,O,H,L,C,V
1713844800,83.5,85.67,82.24,83.875,154967
1713931200,83.72,84.63,83.3298,83.86,127602
1714017600,82.98,84.38,82.24,83.45,83824
1714104000,83.87,84.96,82.835,83,82581
1714363200,83.21,83.87,82.62,83.02,111944
1714449600,82.33,84.295,82.1941,83.05,258644
1714536000,82.53,84.07,81.65,82.7,138460
1714622400,83.61,83.61,82.2,82.93,116325
1714708800,83.7,84.16,78.96,79.21,123980
1714968000,79.33,80.39,79.06,79.51,127753
1715054400,79.3,81.49,78.74,80.69,250405
1715140800,80.4,80.86,79.68,80.59,190108
1715227200,80.99,81.44,80.81,81.03,102923
1715313600,81.19,81.97,80.54,81.81,131406
1715572800,82.81,83.5551,79.42,80.21,380325
1715659200,86.05,92.35,85.0737,92.16,485024
1715745600,93,96.8,91.06,96.18,284817
1715832000,94.78,99.59,94.78,99,231643
1715918400,99.21,100.2,98.34,99.94,282682
1716177600,99.73,102.87,99.5,102.46,184906
1716264000,102.05,104,100.65,103.3,286056
1716350400,102.99,104.97,101.58,104.23,192772
1716436800,105,105,101,101.6,159547
1716523200,101.47,104.88,100.71,104.05,245438
1716868800,104.18,104.18,99.55,99.85,542083
1716955200,99.13,100.375,95.63,96.67,387551
1717041600,96.63,96.63,93.82,94.51,247175
1717128000,94.98,95.84,92.72,95.47,289261
1717387200,95.67,96.975,90.9,94,377073
1717473600,93.38,94.4685,91.62,92.44,256709
1717560000,93.17,96.62,92.745,96.61,174761
1717646400,96.19,96.495,91.25,92.47,179355
1717732800,92.35,95.79,89.6,95.03,381634
1717992000,93.7,94.63,91.38,91.89,291221
1718078400,91.08,92.4,89.68,91.11,140655
1718164800,93.67,94.18,90.79,91.84,204837
1718251200,91.92,91.92,89.515,90.52,201672
1718337600,89.51,91.35,89.1868,91.07,210128
1718596800,91.41,94.215,90.165,94.13,270354
1718683200,93.36,95.49,92.68,92.91,186665
1718856000,92.57,94.91,92.34,94.81,233423
1718942400,94.43,99.46,93.7,98.44,556489
1719201600,98.89,99.443,96.7859,98.43,421472
1719288000,99.12,101.64,97.55,101.47,239257
1719374400,100.52,101.67,99.81,100.05,203808
1719460800,100.47,102.44,100.415,101.89,142130
1719547200,102.5,104.8,102.31,104.14,562796
1719806400,104,104.84,100.56,103.43,221677
1719892800,102.99,103.82,102.16,103.65,123310
1719979200,103.34,104.54,103.055,104.02,53711
1720152000,103.15,103.87,100.535,102.96,91342
1720411200,103.15,105.679,102.765,105.5,182340
1720497600,105.16,105.535,103.24,104.67,166196
1720584000,104.51,105,98.71,102.67,269988
1720670400,104.51,105.2,102.8295,104.35,198850
1720756800,105.26,107.41,104.2993,106.84,228223
1721016000,108.02,109.43,107.1389,107.77,185113
1721102400,108.92,109.6199,107.07,108.95,161027
1721188800,108.2,110.495,106.16,107.43,274265
1721275200,108.14,110.98,107.47,109.93,349364
1721361600,110.58,110.69,106.31,107.91,312813
1721620800,108.19,112.61,108.19,111.8,417420
1721707200,105,111.19,101.6,106.76,616670
1721793600,106.23,109,104.11,105.52,323798
1721880000,105.82,109.7298,105.82,108.11,332006
1721966400,110.23,112.155,109.05,110.7,245985
1722225600,110.7,112.9099,108.375,110.27,133561
1722312000,111.42,112.56,109.5052,110.62,229037
1722398400,112.62,114.12,110.27,112.09,227161
1722484800,112.58,113.59,108,109.06,246609
1722571200,105.2,106.12,103,105.65,164465
1722830400,98.68,103.81,97.53,101.47,181138
1722916800,101.96,105.93,101.58,104.6,196713
1723003200,106.75,107.68,104.34,105.27,167700
1723089600,106.53,109.14,105.44,108.74,166451
1723176000,108.58,110.525,107.815,109.99,145944
1723435200,109.43,110.93,108.69,109.62,193847
1723521600,110.29,110.94,108.2,110.27,161095
1723608000,110.11,110.605,107.37,107.55,217860
1723694400,109.98,110.53,107.98,109.8,216993
1723780800,109.31,110.985,107.5,107.75,143371
1724040000,108.04,109.48,107.55,108.96,104798
1724126400,109.58,109.98,107.156,108.82,107328
1724212800,108.54,110.48,107.38,108.87,189267
1724299200,109.05,112.0275,108.48,108.72,148238
1724385600,109.35,111.71,108.97,110.4,147384
1724644800,110.6,113.36,109.651,112.69,175789
1724731200,112.29,112.96,110.58,110.84,88148
1724817600,110.57,110.84,108.28,109.2,116197
1724904000,110.28,114.7,110.1,112.32,163373
1724990400,112.24,113.81,110.9737,113.1,198976
1725336000,111.93,112.36,106.55,106.83,123431
1725422400,106.31,108.22,103.75,107.01,162540
1725508800,107.02,108.14,106.04,107.21,158514
1725595200,107.7,107.72,102.77,103.09,167997
1725854400,104.02,104.02,100.795,101.2,386076
1725940800,101.87,103.495,99.795,100.4,283248
1726027200,99.36,101.69,98.81,101.47,221518
1726113600,102.51,103.285,100.96,101.1,151122
1726200000,102.2,104.245,101.34,102.17,223854
1726459200,103.2,105.745,102.645,102.92,231026
1726545600,103.68,105.19,102.52,103.48,156965
1726632000,103.37,104.76,101.18,101.31,258918
1726718400,104.33,105.425,103,104.61,285531
1726804800,104.89,107.2,104.37,104.79,804144
1727064000,105.09,107.92,103.86,107.54,180204
1727150400,107.62,108.53,105.92,107.91,145274
1727236800,108.37,108.4,106.89,107.4,185755
1727323200,108.96,109.98,107.56,109.89,155174
1727409600,110.86,111.5,107.44,107.97,143640
1727668800,107.59,109.99,107.59,108.97,129709
1727755200,108.97,109.22,105.82,106.51,87543
1727841600,106.11,107.35,104.94,105.41,107989
1727928000,104.94,107.34,104.69,105.04,154463
1728014400,106.99,107.83,105.9,106.73,100992
1728273600,106.29,106.425,104.96,105.47,137923
1728360000,106.18,108.95,105.0324,108.82,94105
1728446400,108.84,111.765,108.63,111.6,127098
1728532800,110.38,112.71,109.905,112.51,168525
1728619200,112.99,115.52,112.77,114.9,175838
1728878400,115.66,117.335,115.66,116.96,101499
1728964800,117.44,119.255,117,118.83,167715
