T,O,H,L,C,V
1713844800,21.62,22.63,21.62,22.33,5100882
1713931200,22.95,23.11,21.89,22.35,5393449
1714017600,21.5,22.19,21.33,22.16,3291782
1714104000,22.29,22.84,22.085,22.83,4153264
1714363200,23.13,23.53,22.73,23.1,3511882
1714449600,22.84,23.09,22.48,22.53,3899640
1714536000,22.45,23.58,22.2846,22.69,3364134
1714622400,23.12,23.33,22.3191,23.15,3126999
1714708800,24.02,24.53,23.42,24.04,5462090
1714968000,24.18,24.99,24.17,24.77,4871062
1715054400,24.6,24.94,24.29,24.76,3609405
1715140800,24.14,24.48,23.71,24.43,3533207
1715227200,24.43,24.7,24.08,24.31,2112965
1715313600,24.51,24.65,23.68,23.89,3730624
1715572800,24.36,25.69,24.1915,24.95,5190453
1715659200,25.98,26.66,25.67,26.25,7090247
1715745600,26.8,26.84,25.41,26.59,5457294
1715832000,26.66,26.73,25.89,26.2,3355943
1715918400,26.15,26.655,26.01,26.39,4038695
1716177600,26.43,26.58,25.76,26.51,2933732
1716264000,26.24,26.36,25.78,26.15,3576863
1716350400,26.04,26.2,24.815,24.88,4622180
1716436800,25.28,25.5,23.85,23.94,5803120
1716523200,24,24.26,23.83,24.04,3260578
1716868800,24.28,24.33,23.57,24.1,4636735
1716955200,23.53,24.55,23.46,23.92,11034138
1717041600,26.46,29.19,25.15,28.57,41472494
1717128000,28.8,30,27.57,29.57,17875864
1717387200,30,30.84,28.7575,29.46,9710510
1717473600,28.88,30.3795,28.772,29.67,5594051
1717560000,29.67,30.56,29.56,30.56,6960509
1717646400,30.3,30.649,29.6,29.93,4598144
1717732800,29.37,31.12,29.22,30,7843339
1717992000,29.34,31.36,29.27,31.36,6230671
1718078400,31.25,31.81,30.58,31.31,5264087
1718164800,32.55,33.1099,31.55,31.62,7660574
1718251200,31.79,32.1,30.49,30.49,4384762
1718337600,30,30.21,28.52,29.04,5351079
1718596800,28.68,29.37,28.24,29.21,3881437
1718683200,29.28,29.53,28.69,28.71,3015642
1718856000,28.5,28.71,27.17,27.45,4572433
1718942400,26.78,27.285,26.3,27.21,5436010
1719201600,27,28.12,26.98,27.78,3672453
1719288000,27.45,27.68,27.16,27.47,2099758
1719374400,27.25,28.16,27.14,27.64,2832383
1719460800,27.55,28.66,27.34,28.55,3497241
1719547200,28.7,29.33,28.59,28.96,4866415
1719806400,28.69,29.24,28.6,28.61,2492074
1719892800,28.65,29.37,28.05,28.09,2368768
1719979200,28.13,28.99,27.92,28.56,1878147
1720152000,28.43,30.19,28.28,29.94,4645605
1720411200,29.92,31.025,29.85,29.9,3907902
1720497600,29.92,30.26,28.225,29.44,4565934
1720584000,29.99,30.048,28.93,29.96,3238202
1720670400,30.22,31.12,29.57,29.8,4232271
1720756800,29.77,30.32,29.52,29.68,3390031
1721016000,30.12,30.8,29.72,30.58,4372978
1721102400,30.83,31.5142,29.74,30.44,4468375
1721188800,29.75,30.375,29.155,29.85,2956819
1721275200,29.88,30.085,27.95,28.24,4088661
1721361600,28.32,28.51,27.76,27.83,2778092
1721620800,28.13,28.49,27.72,28.05,2233595
1721707200,27.86,28.86,27.62,28.38,2091542
1721793600,28,28.2416,26.42,26.46,3666005
1721880000,26.22,27.63,25.8,26.84,3693401
1721966400,27.64,27.95,26.95,27.73,2758538
1722225600,27.93,28.05,27.12,27.4,1902277
1722312000,27.51,27.93,25.92,26.59,3291311
1722398400,27.18,27.59,26.675,26.75,3173716
1722484800,26.78,26.925,25.41,25.82,2911271
1722571200,24.51,25.05,24.0245,24.43,4232517
1722830400,21.2,24.23,21,23.9,4581669
1722916800,24.19,24.2998,23.6126,23.9,2286572
1723003200,24.49,24.9,23.34,23.4,3129831
1723089600,23.89,24.96,23.53,24.85,2573808
1723176000,24.97,25.2401,24.7,24.95,1741431
1723435200,25,25,24.38,24.6,1671874
1723521600,24.88,25.335,24.74,24.99,2092227
1723608000,25.33,25.45,24.783,25.11,1395532
