T,O,H,L,C,V
1713844800,66.4,68.49,66.4,67.79,556038
1713931200,67.93,68.48,67.1575,67.93,394339
1714017600,67.63,67.64,66.82,67.42,363763
1714104000,67.73,68.673,67.5,68.27,233015
1714363200,68.46,69.72,68.245,69.21,320781
1714449600,68.9,69.58,68.88,69.14,229286
1714536000,69.16,70.17,68.82,68.98,268051
1714622400,69.66,70.14,69.42,69.89,260491
1714708800,70.99,70.99,68.755,69.92,307857
1714968000,70.51,71.31,69.77,71.1,202966
1715054400,70.84,71.29,70.73,71.06,268157
1715140800,71.2,72.07,70.8801,71.99,144753
1715227200,71.96,72.3835,71.46,72.09,193311
1715313600,72.57,72.6461,71.95,72.18,139639
1715572800,72.37,72.75,71.57,71.75,275485
1715659200,72.63,72.63,71.89,72.1,216719
1715745600,72.29,72.45,71.71,71.95,140824
1715832000,71.82,73.18,71.7,72.1,261541
1715918400,72.3,72.469,71,71.24,130762
1716177600,71.08,72.04,71.08,71.52,162660
1716264000,71.36,72.6,71.34,71.65,124072
1716350400,71.38,72.14,71.01,71.83,196249
1716436800,72,72,69.77,70.09,189249
1716523200,70.55,71.61,69.99,71.33,182929
1716868800,71.71,72.025,70.505,70.8,150173
1716955200,69.99,70.735,69.29,69.32,134623
1717041600,69.54,70.24,69.54,69.83,136447
1717128000,69.95,71.01,69.79,70.99,312681
1717387200,71.3,71.37,69.737,70.21,145827
1717473600,70.01,70.01,68.7728,69.24,154102
1717560000,69.59,70.03,68.9,69.48,121827
1717646400,69.08,69.26,67.13,67.55,185294
1717732800,67.28,67.65,66.7613,66.96,140496
1717992000,66.17,66.9,65.43,66.28,225848
1718078400,65.64,65.753,64.36,65.31,247579
1718164800,66.79,67.67,66.16,67.12,281827
1718251200,67,67.5,66.17,67.48,325328
1718337600,66.85,67.02,65.7625,67,236959
1718596800,66.34,68.62,66.2836,67.6,299365
1718683200,67.51,70.74,67.02,70.68,391939
1718856000,70.41,70.81,69.07,69.75,272295
1718942400,69.84,71.18,69.11,70.99,1203646
1719201600,71.46,72.21,71.13,71.71,212443
1719288000,71.58,71.94,70.655,70.86,194550
1719374400,70.28,72.77,70.28,72.53,290193
1719460800,72.71,72.81,71.7,71.96,221937
1719547200,72.46,73.5,72.04,72.7,624074
1719806400,73.22,73.22,70.16,70.45,176658
1719892800,70.2,72.47,70.13,72.05,162174
1719979200,72.43,72.94,71.68,72.01,90371
1720152000,71.91,71.98,70.59,71.14,121230
1720411200,71.58,72.48,71.3,72.35,149073
1720497600,72.02,72.8,71.6989,71.94,207377
1720584000,72.25,73,72,72.29,218316
1720670400,73.06,74.01,72.05,73.48,290987
1720756800,74.26,75.04,73.62,74.19,319051
1721016000,74.96,75.795,73.91,73.93,300053
1721102400,74.32,75.82,73.82,75.54,498166
1721188800,75.48,76.34,73.92,74.2,295775
1721275200,73.49,75.39,72.975,73.29,350384
1721361600,67.98,67.98,63.96,64.42,1117085
1721620800,64.33,67.9,64.2937,67.02,748560
1721707200,67.03,68.31,66.44,67.69,415945
1721793600,67.16,68.18,65.49,65.58,405604
1721880000,65.89,67.79,65.85,66.28,304877
1721966400,67.2,67.96,66.17,66.62,306482
1722225600,66.97,67.21,65.39,65.74,211326
1722312000,66.25,66.89,64.21,64.43,253579
1722398400,65.08,65.585,64.11,64.6,291637
1722484800,64.56,64.815,62.06,63.21,373351
1722571200,61.47,61.47,57.585,60.19,564764
1722830400,57.62,57.62,54.71,57.07,635128
1722916800,57.61,59.59,56.75,59.15,306318
1723003200,59.87,60.38,57.4,58.37,238165
1723089600,58.78,60.61,58.37,60.21,213745
1723176000,60.66,60.68,59.4594,60.17,313152
1723435200,60.42,60.42,59.495,60.06,184226
1723521600,60.56,61.5,59.935,61.25,166973
1723608000,61.44,61.9899,60.83,61.41,140215
1723694400,62.79,63.37,61.91,63.31,167662
1723780800,63.17,64.2432,62.95,63.13,135099
1724040000,63.24,63.65,62.95,63.62,145235
1724126400,63.52,63.54,62.69,63.02,155721
1724212800,63.59,63.65,62.731,63.33,178978
1724299200,62.95,64.0238,62.95,63.77,87882
1724385600,64.12,65.22,64.045,64.89,167971
1724644800,65.38,65.94,64.49,64.53,135580
1724731200,64.47,65.08,63.77,64.62,120938
1724817600,64.52,65.27,64.33,64.43,82118
1724904000,65,66.57,64.46,65.58,188449
1724990400,65.71,66.36,65.13,65.78,168591
1725336000,64.93,65.245,63.1396,64.88,308541
1725422400,64.52,66.33,64.33,66.11,213412
1725508800,66.48,67.13,65.366,66.05,129138
1725595200,66.32,66.93,63.799,63.92,253506
1725854400,64.37,65.48,64.32,64.89,225312
1725940800,65.18,66.0082,63.95,63.97,344743
