T,O,H,L,C,V
1713844800,20.94,21.23,20.74,21,556045
1713931200,20.95,21.51,20.12,20.26,627391
1714017600,19.99,19.99,18.2,18.93,828667
1714104000,19.18,19.97,18.95,19.74,753132
1714363200,19.64,20.015,19.31,19.62,452634
1714449600,19.99,20.33,19.33,19.89,749604
1714536000,20,20.64,19.72,20.08,1054519
1714622400,20.44,20.44,19.64,19.71,439719
1714708800,20.32,20.75,19.63,19.66,543557
1714968000,19.93,22.26,19.93,22.11,896226
1715054400,22.18,22.2488,21.5425,22.02,502186
1715140800,21.57,21.91,20.58,21.02,581020
1715227200,21.2,21.21,20.54,20.8,414291
1715313600,21.35,21.45,19.59,19.65,567401
1715572800,19.66,21.455,19.46,20.62,567628
1715659200,21.12,21.51,20.27,20.3,626009
1715745600,21.35,21.74,20.49,21.07,520273
1715832000,20.96,21.095,20.33,20.73,457755
1715918400,20.79,20.815,19.76,19.92,457666
1716177600,20.06,20.35,19.82,20.14,577856
1716264000,20.06,20.53,19.95,20.24,434778
1716350400,20.1,20.865,19.94,20.5,635853
1716436800,20.47,20.47,18.38,18.91,963875
1716523200,19.04,19.05,17.88,18.32,993407
1716868800,18.65,19.55,18.02,19.5,1007146
1716955200,19.03,19.38,18.53,18.66,568994
1717041600,18.89,19.12,18.1,18.31,993437
1717128000,18.65,19.055,18.1575,18.82,729467
1717387200,19.46,19.92,18.89,19.19,566092
1717473600,18.92,19.82,18.72,19.22,951346
1717560000,17.98,20.98,17.86,20.79,1516812
1717646400,20.8,21.63,20.34,21.33,919058
1717732800,20.91,24.39,20.64,23.02,1543229
1717992000,23.03,23.58,22.41,22.99,953017
1718078400,22.64,23.74,22.33,23.43,880375
1718164800,24.23,25.79,23.94,24.29,1195228
1718251200,24.28,24.99,23.9889,24.62,584112
1718337600,24.2,24.46,23.45,23.98,559513
1718596800,23.8,23.8,22.1,22.91,816011
1718683200,22.97,23.06,21.7008,22.16,696295
1718856000,21.89,22.21,21.56,21.78,526120
1718942400,21.88,23.56,21.88,23.2,2609960
1719201600,23.46,24.2,23.41,23.85,559901
1719288000,23.57,23.99,23.31,23.5,491076
1719374400,23.38,23.58,22.54,22.93,806548
1719460800,23.05,23.83,22.54,23.4,481352
1719547200,23.48,23.55,22.34,23.46,3758449
1719806400,23.3,24.2,23.14,23.16,677522
1719892800,23.03,23.21,22.23,22.38,432928
1719979200,22.22,22.39,21.74,21.93,216345
1720152000,21.74,21.74,21.02,21.45,486890
1720411200,21.79,22.48,21.43,22.19,623296
