T,O,H,L,C,V
1713844800,44.68,46.12,44.6,45.08,2105353
1713931200,44.88,45.02,43.915,44.23,1992437
1714017600,43.7,44.795,42.9589,44.55,2790290
1714104000,44.67,44.7362,43.4133,43.96,2032417
1714363200,43.86,44.435,43.8,44.09,1609394
1714449600,43.7,44.13,42.975,43.02,1671829
1714536000,42.99,43.11,42.11,42.18,1675147
1714622400,42.9,42.9,42.2,42.7,1992528
1714708800,43,43.2,42.61,42.68,1858545
1714968000,43.03,44.3,42.63,43.85,1451835
1715054400,43.55,43.87,43.04,43.17,1352454
1715140800,42.95,43.47,42.79,43.29,1171580
1715227200,43.15,43.88,42.76,43.86,1791974
1715313600,43.99,44.22,43.31,43.76,1202498
1715572800,43.77,44.74,43.77,43.87,1767264
1715659200,44,44.42,43.59,43.78,1209643
1715745600,43.91,44.005,43.29,43.48,1155311
1715832000,43.6,43.745,43.02,43.28,1167279
1715918400,43.68,44.18,43.205,43.29,1686948
1716177600,43.22,44.13,43.22,43.89,1392791
1716264000,43.75,44.01,43.59,43.75,1216753
1716350400,43.71,44.265,43.3726,43.6,1133079
1716436800,43.82,43.82,41.94,42.35,1581265
1716523200,42.62,42.8924,42.3,42.7,1018356
1716868800,42.53,42.6,41.52,41.74,1322120
1716955200,40.61,41.33,39.2,40.65,2842163
1717041600,40.74,41.34,40.53,41.18,1590229
1717128000,41.56,42.1,41.37,42.02,1891084
1717387200,42.58,42.86,41.78,41.93,1644108
1717473600,41.65,42.447,41.56,41.76,1805671
1717560000,41.85,41.9599,41.33,41.45,1368977
1717646400,41.45,42.02,40.91,40.98,1204797
1717732800,40.56,40.92,40.5,40.74,2090022
1717992000,40.46,41.38,40.01,41.35,2701298
1718078400,41.12,41.12,40.09,40.24,1024300
1718164800,40.65,42.03,40.65,41.51,1649101
1718251200,41.42,41.42,40.44,41.01,1744670
1718337600,40.33,40.48,39.21,40.33,1969698
1718596800,40.08,41.25,39.92,41.15,1524952
1718683200,41.24,41.58,40.65,41.51,1486961
1718856000,41.27,41.9206,41.122,41.34,1272263
1718942400,41.33,41.335,40.73,41.18,2201671
1719201600,41.45,41.98,41.19,41.81,1275227
1719288000,41.84,41.86,40.76,40.82,1332060
1719374400,40.17,40.92,39.68,40.68,1541088
1719460800,40.47,41.02,40.465,40.76,1548284
1719547200,41,41.06,40.11,40.4,2179980
1719806400,40.57,40.62,39.45,40.09,1549464
1719892800,40.06,40.195,39.38,39.73,1898344
1719979200,40,40.29,39.55,40.29,980701
1720152000,39.7,39.78,38.3,38.33,2395820
1720411200,38.62,38.91,38.135,38.17,1396870
1720497600,37.93,38.09,37.26,37.39,2945327
1720584000,37.94,38.01,36.98,37.07,2494479
1720670400,35.74,37.94,35.31,37.91,2625585
1720756800,38,38.45,37.61,38.41,2325671
1721016000,38.51,38.85,38.05,38.45,2178144
1721102400,38.57,40.65,38.51,40.5,2127739
1721188800,39.9,40.54,39.73,40.03,2462069
1721275200,38.48,39.05,36.68,37.25,5556682
1721361600,36.98,38.18,36.58,37.93,3102621
1721620800,37.49,38.88,37.2702,38.73,2292499
1721707200,39.11,39.265,37.93,38.06,3856799
1721793600,38.07,38.82,37.755,37.84,1739945
1721880000,37.76,39.11,37.74,38.68,1929701
1721966400,39.19,39.64,38.6101,39.46,1640131
1722225600,39.58,39.635,38.66,38.77,1585975
1722312000,39.02,39.59,38.48,38.53,2100271
1722398400,38.58,38.75,37.465,37.53,2662921
1722484800,37.74,38,36.005,36.34,1953752
