T,O,H,L,C,V
1713844800,147.35,150.27,145.04,146.07,543726
1713931200,146.6,147.486,143.52,143.8,395369
1714017600,143,145.79,141.975,143.71,489265
1714104000,144.08,146.065,143,143.31,479139
1714363200,144.91,148.49,143.5,147.36,439862
1714449600,146.07,148.05,143.81,143.95,477045
1714536000,144.21,151.95,143.96,149.96,735892
1714622400,150.8,153.85,147.285,150.31,660180
1714708800,154.41,155.41,151.84,152.33,452160
1714968000,152.82,152.82,149.52,151.22,289746
1715054400,152.42,155.11,150.825,154.33,353438
1715140800,154.08,155.49,152.19,152.29,452321
1715227200,153,153,150.37,151.37,329246
1715313600,151.81,151.81,148.75,150.47,322795
1715572800,151.28,152.67,149,149.89,512792
1715659200,150.81,151.6266,147.02,147.89,604966
1715745600,149.5,151.15,146.97,147.4,536143
1715832000,147.15,151.45,144.73,151.22,934860
1715918400,151.03,151.84,148.32,149.4,481247
1716177600,149.3,150.78,147.78,150.24,368554
1716264000,149.44,151.45,147.89,149.62,448620
1716350400,149.59,152.05,149.59,150.9,350723
1716436800,151,151,148.26,149.38,500527
1716523200,149.5,149.83,147.15,147.76,506806
1716868800,148.4,152.98,148.34,150.06,510344
1716955200,149.76,149.76,146.86,146.93,875955
1717041600,147.41,151.26,146.79,150.03,655697
1717128000,150,151.49,147.615,148.43,1250341
1717387200,149.2,151.88,148.01,150.45,856179
1717473600,150.25,151.24,149.34,149.76,440072
1717560000,149.65,154.45,149.51,152.06,785988
1717646400,152.98,153.05,149.18,149.3,534229
1717732800,148.03,152.945,147.25,152.78,862730
1717992000,151.93,153.77,150.72,153.47,383075
1718078400,153.48,157.48,153.24,156.43,717051
1718164800,159.54,161.7325,157.14,159.04,513236
1718251200,158.32,161,158.26,160.05,400359
1718337600,160.31,163.02,159.59,160.39,638795
1718596800,159.78,165.47,156.51,157.3,777709
1718683200,157.3,157.32,152.3,153.86,587748
1718856000,154.2,158.27,153.23,157.4,793732
1718942400,160.81,166.76,158.38,165.7,2204886
1719201600,219.37,231.64,209.23,222.9,9193815
1719288000,221.37,242,220.5,240.15,4502539
1719374400,237.7,249.33,236.5,245.17,2854588
1719460800,244.99,252.87,242.57,247,2617418
1719547200,249.12,249.31,241,243,3246490
1719806400,240,246.06,239.85,243.32,1491693
1719892800,243,250.11,242.075,247.61,1579313
1719979200,247.3,249.67,245.48,248.68,950141
1720152000,246.95,252.48,246.95,251.03,685719
1720411200,252.83,255.4,248.3,255.11,936733
1720497600,254.6,256.24,253,254.74,890605
1720584000,256,257.97,253.82,257.76,926832
1720670400,258.12,262.82,257.03,261.02,889810
1720756800,261.65,263.73,258.795,260.51,1039655
1721016000,259.74,260.62,255.39,256.18,800032
1721102400,258,260.9,249.3,249.83,1134387
1721188800,245.17,246.97,239.14,240.02,1172523
1721275200,240.65,242.07,232.47,236.7,892886
1721361600,238.16,240.91,235.3,237.83,878604
1721620800,239.6,240.64,234.16,235.59,537400
1721707200,236.12,238.53,231.01,234.29,745979
1721793600,233.11,240.24,233.11,236.48,622806
1721880000,235.99,242.98,235.48,237.88,615688
1721966400,237.2,240.31,233.42,234.84,524476
1722225600,235.33,237.02,233.72,236.28,455963
1722312000,236.91,238.105,232.2,233.81,529837
1722398400,236.29,239.745,234.08,237.46,874657
1722484800,250,271.005,245.1691,268.61,2420035
1722571200,260.18,274.93,258.09,272.05,1714383
1722830400,256,265.97,252.52,265,1362524
1722916800,266.66,266.66,258.56,262.56,1350033
1723003200,266.39,269.55,259.95,260.17,1160005
1723089600,262.86,271.82,261.795,270.46,829778
1723176000,270.09,270.53,265.28,269.52,529266
1723435200,269.52,274.88,267.6219,270.18,492954
1723521600,268.46,271.7345,266.04,267.63,477260
1723608000,267.48,267.55,262.69,262.89,808583
1723694400,262.88,265.51,258.78,262.7,486806
1723780800,266.33,272.7,261.92,268.24,846013
1724040000,269.27,274.9,268.4375,274.48,558603
1724126400,274.92,282.68,274.6,280.76,1052628
1724212800,279.14,285,275.66,279.17,663687
1724299200,279.17,280.17,272,277.33,528622
1724385600,278.21,280,271.19,272.64,359258
1724644800,274.71,275,268.42,269.14,617027
1724731200,268.29,282.535,265.1,280.26,1193057
1724817600,280,286,274,280.7,993929
1724904000,279.41,287.5499,279.41,287.01,1261089
1724990400,266,273.24,256.91,262.69,3762558
1725336000,260.44,263.095,252.76,253.78,1621244
1725422400,253.51,255.155,248.1801,253.14,1008460
1725508800,251.86,255.24,249.95,251.48,508886
1725595200,252.35,253.44,244.88,246.78,682407
1725854400,246.65,255.48,246.65,253.16,865552
1725940800,251.13,257,249.893,256.21,599701
1726027200,256.75,263.65,256.11,261.91,652248
1726113600,260.42,266.8,259.99,261.73,530020
1726200000,261,265.52,259.006,265.27,437667
1726459200,266.66,271.1648,264.37,270.37,485831
1726545600,271.21,274.5699,270.24,274.46,758137
1726632000,275.55,277.585,271.38,273.15,655928
1726718400,276.53,279.85,273.53,276.33,603885
1726804800,275.39,275.39,270.17,273.88,907221
1727064000,275.22,275.74,270.97,271.83,571383
1727150400,271.56,271.6594,267.13,271,489552
1727236800,271.61,275.1099,268.3375,272.73,680094
1727323200,271.84,278.24,270.835,274.57,548760
1727409600,275.5,276.07,271.48,274.91,459539
1727668800,275.5,277.84,272.55,275.03,849758
1727755200,274.88,277.94,268.13,276.06,601529
1727841600,275.62,276.5,264.84,271.55,552825
1727928000,271.55,272.49,268.35,269.53,678442
1728014400,269.01,270.94,264.56,267.99,409945
1728273600,268.55,268.55,264.15,266.77,610033
1728360000,266,274.6,264.72,271.19,620984
1728446400,272,273.225,269,270.9,431646
1728532800,270.5,282.45,269,278.62,782797
1728619200,278.8,286.02,278.26,284.32,618135
1728878400,284.09,285.72,280.8247,283.32,856193
