T,O,H,L,C,V
1713844800,151.65,153.495,150.35,152.27,46051911
1713931200,156.56,157.6598,150.63,151.74,43412550
1714017600,149.15,155.14,146.75,153.76,41471423
1714104000,154.24,158.63,153.4252,157.4,42510708
1714363200,159.08,160.77,156.26,160.2,43469396
1714449600,160.63,162.29,158.35,158.38,60674898
1714536000,148.11,151.37,142.14,144.27,89413168
1714622400,145.51,147.62,141.155,146.16,49951714
1714708800,148.75,150.79,147.2384,150.6,49343081
1714968000,153.1,156.65,151.26,155.78,44574746
1715054400,156.32,157.7,153.66,154.43,37374906
1715140800,153.4,155.33,152.52,153.62,28727963
1715227200,153.13,154.092,150.61,152.39,33017962
1715313600,154.2874,156.37,151.31,151.92,37652770
1715572800,151.28,153.33,150.4,150.56,27854983
1715659200,150.43,153.4879,148.78,153.16,31930477
1715745600,155.588,159.69,154.7,159.67,43195901
1715832000,160.92,168.06,159.9,162.62,76697796
1715918400,168.43,169.72,162.32,164.47,65924362
1716177600,165.55,168.49,164.47,166.33,45568244
1716264000,164,165.83,163.1,164.66,30005478
1716350400,167.41,169.8148,163.86,165.52,47422719
1716436800,170.18,173.14,158.27,160.43,91888841
1716523200,161.412,167.66,160.25,166.36,54268646
1716868800,169.42,174.55,164.96,171.61,66495414
1716955200,167.46,168.48,162.91,165.14,56537503
1717041600,167.9,168.7469,163.8,166.75,46408034
1717128000,166.65,169.5,160.07,166.9,64281946
1717387200,170.82,171.08,160.9101,163.55,59157590
1717473600,162.84,164.83,158.8729,159.99,48064009
1717560000,162.07,167.12,161.38,166.17,60495494
1717646400,165.46,169.51,163.86,166.78,47153676
1717732800,166.59,169.45,165.86,167.87,44795998
1717992000,162.48,165.55,159.61,160.34,67566107
1718078400,160.5,161.54,156.92,158.96,40493708
1718164800,160.32,162.24,158.62,160.24,48325813
1718251200,160.4,162.66,157.31,159.9,44442511
1718337600,158.5,161.3399,157.61,159.63,34042523
1718596800,158,159.23,154.135,158.4,44484642
1718683200,156.99,157.24,153.34,154.63,51588083
1718856000,155.825,166.82,155.5,161.78,93229732
1718942400,161.75,163.2,157.89,161.23,61334699
1719201600,159.75,163.4,158.19,160.25,45950804
1719288000,160.73,161,156.45,160.25,40968377
1719374400,160.6,160.74,156,157.54,36973440
1719460800,157.18,160.61,156.81,159.47,34018216
1719547200,160.23,166.45,159.41,162.21,56204617
1719806400,161.25,161.5068,153.64,157.69,50431591
1719892800,157.04,164.58,156.7,164.31,57836660
1719979200,164.2,165.26,162.51,163.9,26980906
1720152000,165.97,174.0396,165.68,171.9,61857052
1720411200,174.9,178.95,173.22,178.69,60223422
1720497600,177.97,180.41,174.7,177.1,43447609
1720584000,179.99,187.28,177.8,183.96,90246965
1720670400,184.07,187.11,177.25,181.94,59158012
1720756800,182.015,186.99,179.69,181.61,50821968
1721016000,184.45,185.5,178.54,179.83,42202726
1721102400,179.69,179.75,174.53,177.55,40633058
1721188800,169.8,169.8,159.37,159.43,76954198
1721275200,163.41,163.41,153.2,155.77,69415085
1721361600,154.86,155.81,150.62,151.58,47513063
1721620800,154.23,156.7,152.545,155.87,43912459
1721707200,154.95,157.05,153.8,154,31950579
1721793600,152.72,153.68,144.53,144.63,49062284
1721880000,144.07,144.75,136.81,138.32,60578529
1721966400,140.32,141.29,138.27,139.99,49399465
1722225600,141.19,144.585,138.75,139.75,47447194
1722312000,139.88,141.7,134.05,138.44,68791584
