T,O,H,L,C,V
1713844800,29.04,29.79,28.8,29.46,748026
1713931200,30.03,30.45,29.55,29.86,804298
1714017600,29.8,30.455,29.62,30.09,969429
1714104000,30.13,30.9,30.1,30.62,739935
1714363200,30.7,31.65,30.7,31.47,1465000
1714449600,35.03,35.95,32.29,32.35,2916404
1714536000,32.03,32.08,30.04,30.33,2153887
1714622400,30.9,31.8,30.505,31.66,1357936
1714708800,32.63,33.459,32.13,32.34,1060711
1714968000,32.58,32.9736,32.08,32.37,1035847
1715054400,32.62,33.49,32.5108,32.78,961319
1715140800,32.49,32.66,32.13,32.54,689221
1715227200,32.54,32.76,32.17,32.63,551647
1715313600,32.84,33.1,32.33,32.63,420252
1715572800,32.85,33.25,32.5,32.69,633909
1715659200,32.96,33.355,32.72,33.3,582235
1715745600,33.73,33.86,33,33.78,652373
1715832000,33.53,33.7198,32.93,32.95,612634
1715918400,33.18,33.31,32.3,32.68,532398
1716177600,32.76,33.8699,32.76,33.13,841790
1716264000,32.58,33.05,32.5,32.8,832274
1716350400,32.99,33.26,32.42,33.22,883571
1716436800,33.97,34.1,32.345,32.59,825862
1716523200,32.87,33.26,32.62,33.1,629034
1716868800,33.39,33.8899,32.83,33.46,657181
1716955200,32.88,33.11,32.52,32.53,588956
1717041600,32.63,33.19,32.43,32.64,844312
1717128000,32.73,33.06,31.6,32.59,1120630
1717387200,32.95,33,31.67,32.32,810781
1717473600,32.04,32.05,31.34,31.56,903136
1717560000,32.19,33.36,32.02,33.21,979294
1717646400,33.13,33.29,32.53,32.97,676790
1717732800,32.67,33.115,32.38,32.96,740933
1717992000,32.4,34.68,32.38,34.16,1163247
1718078400,34.05,34.3705,33.46,34.06,851760
1718164800,35.08,36.34,35.08,35.62,1160651
1718251200,35.29,35.54,34.62,35.08,841143
1718337600,34.37,34.91,33.895,34.86,929302
1718596800,34.92,36.83,34.59,36.67,1729567
1718683200,36.68,40.575,36.67,40.09,3614677
1718856000,40.205,40.53,39.11,39.38,2498856
1718942400,38.8,39.175,37.5808,38.36,2973318
1719201600,38,38.9399,37.18,37.23,1930788
1719288000,37.5,39.19,36.87,39.17,1925324
1719374400,38.96,40.12,38.65,39.09,2079982
1719460800,39.29,39.52,38.75,38.86,1508769
1719547200,39.33,40.9278,39.11,40.02,16915282
1719806400,40.4,41.86,39.59,40.24,1915086
1719892800,40.06,41.256,40.06,40.22,1256865
1719979200,40.22,40.4338,39.71,40.3,1120070
1720152000,40.32,40.49,39.45,40.06,1312400
1720411200,40.53,41.15,40.34,40.75,1165420
1720497600,40.81,42.13,40.81,41.94,1797560
1720584000,42.24,43.61,42.05,43.42,1655453
1720670400,44,44.09,41.91,41.94,1647594
1720756800,42.22,43,41.57,42.12,1135864
1721016000,42.85,43.66,42.16,42.93,1622465
1721102400,43.19,44.86,42.62,44.68,1575603
1721188800,41.43,42.5,41.02,41.22,2135227
1721275200,41.75,42.12,40.53,41.41,1457948
1721361600,41.31,41.39,39.685,39.77,1323038
1721620800,40.65,41.32,40.2201,41.19,958140
1721707200,40.75,41.53,40.58,41.09,917647
1721793600,40.37,40.39,38.9,38.96,1037634
1721880000,38.45,39.65,37.25,38.18,1930404
1721966400,39.05,39.1481,37.67,38.15,1128825
1722225600,38.56,39.48,37.355,37.6,2723483
1722312000,34.97,35.855,29.4,30.51,6442272
1722398400,31.82,32.71,31.43,32.66,2801347
1722484800,31.79,32.52,29.42,30.01,2507367
1722571200,28.8,29.26,28.02,28.63,2620537
1722830400,26.9,29.02,26.5966,28.09,1910155
1722916800,28.21,29.245,27.78,28.59,1820859
1723003200,29.61,29.82,28.165,28.53,2032229
1723089600,29.46,30.56,28.81,30.39,1423412
1723176000,30.44,31.87,30.42,31.75,2840352
1723435200,31.62,31.8,31.08,31.44,1799827
1723521600,31.99,32.24,31.44,32.16,1324284
1723608000,32.64,32.64,31.37,31.83,1312767
1723694400,32.5,33.08,32.16,32.87,1166979
1723780800,32.11,32.8508,31.96,32.56,910487
1724040000,32.975,33.125,31.85,33.07,852913
1724126400,33.04,33.095,31.88,32.4,1077107
1724212800,32.76,33.5,32.49,33.19,1014159
1724299200,33.5,33.85,32.09,32.16,1184586
1724385600,32.7,33.63,32.42,33.37,1009011
1724644800,33.32,33.55,32.83,32.96,957696
1724731200,32.7,33.15,32.195,33.04,721208
1724817600,32.84,33.13,31.97,32.63,983208
1724904000,32.59,33.69,32.53,32.73,1043352
1724990400,33.51,33.51,32.45,32.9,2291915
1725336000,32.23,32.23,29.4801,29.6,1900382
1725422400,29.37,30.49,29.1,29.69,1765554
1725508800,29.33,30.18,28.98,29.57,1084737
1725595200,29.32,29.4,28.4,28.51,1276489
1725854400,28.89,29.27,28.67,28.68,1218743
1725940800,28.79,28.87,28.17,28.84,928886
1726027200,28.97,30.19,28.64,30.12,953196
1726113600,30.03,30.17,29.5567,29.82,997551
1726200000,30.25,30.82,30.17,30.66,958199
1726459200,30,30.415,29.59,30.33,1211955
1726545600,30.86,30.91,30.315,30.69,1187576
1726632000,30.92,31.46,30.2,30.24,1247943
1726718400,31.15,32.11,31.12,31.65,1690249
1726804800,31.96,32.2,30.93,30.96,8056188
1727064000,31.02,31.29,30.58,31.02,2103797
1727150400,31.41,31.66,30.24,30.4,1688367
1727236800,30.28,31.065,30.28,30.74,1485577
1727323200,32.07,32.26,30.91,31.91,1452411
1727409600,32.14,32.468,30.81,30.89,1350213
1727668800,30.56,31.01,30.25,30.6,1142538
1727755200,30.52,30.6,29.05,29.12,1246492
1727841600,29.41,30.1536,29.2379,29.71,843377
1727928000,29.37,29.8044,29.015,29.09,1383187
1728014400,30.69,31.08,30.05,30.5,2238330
1728273600,30.16,30.55,29.78,30.08,1125425
1728360000,29.99,30.312,29.7001,30.16,1125794
1728446400,30.13,30.71,29.7975,30.51,858070
1728532800,30.01,30.27,29.66,30.22,1450331
1728619200,30.15,31.07,30.15,30.92,752188
1728878400,31.25,31.67,31.1201,31.61,723761
1728964800,31.45,31.72,29.96,29.98,1407536
1729051200,30.72,30.78,30.02,30.48,1080768
1729137600,31.46,31.57,30.89,30.95,1351193
1729224000,31.2,31.21,30.355,30.53,970744
1729483200,30.43,30.99,30.2,30.3,1162436
1729569600,30.23,30.35,29.76,29.97,865315
1729656000,29.8,30.15,29.07,29.48,1108484
1729742400,29.75,29.93,29.15,29.37,848700
1729828800,29.85,30.21,29.71,29.88,1065125
1730088000,30,30.23,29.25,29.53,2422688
1730174400,24.99,28.17,24.1,27.98,5920528
1730260800,27.06,27.73,26.47,26.73,2502070
1730347200,26.68,26.68,25.44,25.45,2377687
1730433600,25.69,26.545,25.69,26,1653543
1730696400,25.92,26.92,25.92,26.02,1608935
1730782800,25.92,26.34,25.8,26.325,1219987
1730869200,27.12,27.595,26.81,27.37,1513989
1730955600,27.91,28.43,27.61,27.75,1416821
1731042000,27.51,27.59,27.115,27.36,1028119
1731301200,27.12,27.18,26.5924,27.1,887501
1731387600,27.03,27.09,26.3004,26.48,966097
1731474000,26.34,26.61,25.7,25.98,1172229
1731560400,26.31,26.585,25.81,26.02,1020806
1731646800,25.51,25.78,25.02,25.19,1033713
1731906000,25.01,25.49,25.01,25.39,1132108
1731992400,25.23,25.4497,25.09,25.37,900580
1732078800,25.26,25.405,25.02,25.36,853146
1732165200,25.57,26.47,25.45,26.35,891629
1732251600,26.25,26.64,26.25,26.54,801621
1732510800,26.89,27.35,26.78,26.89,1247801
1732597200,27.06,27.1,26.15,26.28,950462
1732683600,26.29,26.43,25.53,26.02,802430
1732856400,26.3,26.77,26.2601,26.44,511282
1733115600,26.51,27.38,26.395,27.28,961462
1733202000,27.13,27.13,26.59,26.98,1988358
1733288400,27.15,27.3,26.36,26.54,1568114
1733374800,26.63,26.745,25.83,26.01,1210366
1733461200,26.14,26.42,26.02,26.28,810297
1733720400,26.28,27.28,26.255,26.79,1518802
1733806800,26.82,26.82,26.02,26.06,1241654
1733893200,26.29,26.84,26.18,26.69,1594622
1733979600,26.37,26.58,26.07,26.38,1055916
1734066000,26.69,26.94,26.29,26.54,1451912
1734325200,26.55,27.29,26.47,26.98,1334503
1734411600,26.93,27.22,26.41,26.62,1302598
1734498000,26.93,27.47,25.28,25.55,1550873
1734584400,25.62,25.94,25.0823,25.13,1543412
1734670800,25.06,25.84,24.8,25.27,4242155
1734930000,25.67,26.37,25.461,26.27,924753
1735016400,26.29,26.59,26.06,26.47,370666
1735189200,26.2,26.6577,26.02,26.4,594708
1735275600,26.23,26.32,25.889,26.06,615767
1735534800,25.6,26.03,25.36,25.79,707468
1735621200,25.87,26.035,25.51,25.69,931671
1735794000,26.14,26.68,25.87,26.01,1291908
1735880400,26.26,26.71,25.965,26.53,857415
1736139600,26.84,27.5,26.63,26.73,1605023
1736226000,27.11,27.3299,26.42,26.56,860536
1736312400,26.29,26.305,25.7,26.02,774516
1736485200,25.71,25.775,25.27,25.58,860714
1736744400,25.19,25.4793,24.95,25.42,982098
1736830800,25.69,25.91,25,25.31,887917
1736917200,25.95,26.05,25.27,25.28,1732327
1737003600,25.82,26.42,25.44,25.46,1354027
1737090000,26.09,26.28,25.46,25.91,1580443
1737435600,26.17,27.7,26.15,26.72,2620181
1737522000,26.87,27.31,26.47,26.53,1165264
1737608400,26.04,26.3798,25.89,25.9,1169197
1737694800,26.01,26.06,25.52,25.69,1383078
1737954000,24.71,24.88,23.4,23.72,2650454
1738040400,23.75,24.12,23.36,24.07,1636872
1738126800,24.4,24.56,23.87,24.52,1336823
1738213200,24.85,25.14,24.56,24.87,1330636
1738299600,25.06,25.38,24.47,24.61,1419184
1738558800,24,24.305,23.33,23.975,1234350
1738645200,24.02,24.39,23.87,24.26,998945
1738731600,24.29,24.97,24.08,24.9,1132751
1738818000,24.77,24.98,24.47,24.6,1097645
1738904400,24.72,24.95,24.17,24.33,1377729
1739163600,24.52,24.9577,24.19,24.36,2725723
1739250000,22.27,23.17,21.59,21.595,5336029
1739336400,21.5,22.18,21.46,21.845,3511375
1739422800,21.91,22.24,21.8,22.19,1929542
1739509200,22.19,22.57,21.84,22.51,2011374
1739854800,22.72,23.149,22.3449,22.89,1963108
1739941200,22.8,23.18,22.695,22.72,1413499
1740027600,22.85,23.3,22.85,23.01,1509856
1740114000,23.15,23.15,22.1,22.24,1165834
1740373200,22.37,22.52,21.95,21.95,1665850
1740459600,21.95,22.195,21.57,21.72,1881373
1740546000,22.18,22.47,21.92,22.14,1857519
1740632400,22.86,22.86,20.95,20.98,1764891
1740718800,20.88,21.34,20.56,21.1,2395642
1740978000,21.31,21.45,20.11,20.27,2729453
1741064400,20.3,20.97,19.93,20.4,3460178
1741150800,20.69,20.77,20.04,20.72,2299272
1741237200,20.11,20.47,19.74,19.95,2679576
1741323600,20.16,20.8063,19.6501,20.74,2833659
1741579200,20.27,20.52,19.76,19.82,1897250
1741665600,19.72,19.8,19.01,19.23,2408963
1741752000,19.57,19.628,19.1932,19.42,1911258
1741838400,19.29,19.63,18.87,18.99,1879220
1741924800,19.115,19.64,19.105,19.61,1856722
1742184000,19.29,19.8,19.13,19.59,2441643
1742270400,19.42,19.64,19.185,19.55,1353037
1742356800,19.62,19.94,19.3,19.57,1727805
1742443200,19.37,19.69,19.25,19.42,1606536
1742529600,19.08,19.515,18.925,19.42,14880424
1742788800,19.86,20.155,19.71,19.88,2563995
1742875200,19.8,20.035,19.58,19.69,1718966
1742961600,19.58,19.89,19.215,19.36,1727035
1743048000,19.22,19.33,18.2,18.32,3872251
1743134400,18.3,18.54,18.22,18.3,2932529
1743393600,18,18.16,17.605,18.06,2144968
1743480000,17.99,18.37,17.74,18.11,3336325
1743566400,17.88,18.665,17.82,18.63,4663908
1743652800,17.7,17.95,15.84,15.845,5379278
1743739200,15.39,15.44,14.07,14.88,3751451
1743998400,14.46,16.36,14.03,15.37,3652727
1744084800,15.91,16.165,14.585,14.92,4693645
1744171200,15.08,17.98,14.86,17.98,4083810
1744257600,17,17.145,15.54,15.99,2689908
1744344000,16.01,16.59,15.61,16.54,2409828
1744603200,17.255,17.49,16.57,16.98,2529241
1744689600,17.18,17.305,16.91,17.08,1529138
1744776000,16.315,16.6,15.64,16.15,2037327
1744862400,16.04,16.22,15.87,15.97,1690263
1745208000,15.24,15.92,15.24,15.89,2671398
