T,O,H,L,C,V
1713844800,172.49,176.07,171.43,174.18,2659034
1713931200,172.67,175.44,172.355,173.35,3029333
1714017600,171.75,173.22,171.28,172.9,1862294
1714104000,172.72,174.94,171.33,171.69,1701397
1714363200,173.26,175.56,173.2,174.99,2115182
1714449600,175.53,176.92,170.46,171.56,3710749
1714536000,173.28,178.81,171.495,176.84,3877575
1714622400,178.01,179.7,175.365,179.64,3278182
1714708800,183.5,184.89,181.17,181.74,3130327
1714968000,182.28,182.7,177.52,178.69,2297894
1715054400,179.98,181.45,179.23,181.28,2594855
1715140800,179.95,181.52,178.51,181.33,2014399
1715227200,182.64,187.75,181.96,186.37,2588033
1715313600,186.47,186.71,182.5,184.49,3158133
1715572800,185.36,186.23,183.05,185,1842738
1715659200,186.36,187.61,185.4,186.96,2008358
1715745600,191.15,194.255,191.15,192.02,2815317
1715832000,191.65,196.21,191.5062,194.94,2616921
1715918400,195.56,195.56,193.19,194.51,2157303
1716177600,194,195.09,191.66,191.76,1733508
1716264000,191.5,194.33,190.28,194.13,1527286
1716350400,193.59,194.24,190.22,191.34,1681095
1716436800,189.78,191.57,186.51,186.6,1768802
1716523200,187.15,188.5103,185.54,185.93,1257941
1716868800,186.56,187.71,184.87,185.03,1828433
1716955200,183.35,186.48,183.04,185.32,1977702
1717041600,186.4,191.02,185.34,190.78,2850462
1717128000,191.88,197.19,191.17,195.74,7332012
1717387200,196,197.83,194.99,196.97,2333298
1717473600,198,201.58,197,200.41,3236297
1717560000,200.26,200.89,197.696,198.19,1737070
1717646400,198,200.03,196.76,199.49,1865862
1717732800,195.87,196.475,191.75,194.26,2143410
1717992000,193.86,196.07,192.7,194.72,2874742
1718078400,194.72,196.34,193.14,193.27,2781808
1718164800,197.95,198.84,193.65,193.82,3331545
1718251200,194.02,197.5,193.99,196.78,1531260
1718337600,194.93,197.745,194.93,197.03,1933243
1718596800,194.86,194.98,192.191,192.28,1779925
1718683200,192.58,195.98,192.56,192.78,2407868
1718856000,191.84,194.65,191.5152,194.17,2236362
1718942400,194.1,196.37,192.91,194.85,2837037
1719201600,194.7,198.71,193.715,196.39,1792183
1719288000,196.35,197.43,192.19,192.68,1364437
1719374400,191.35,193.2646,190.38,192.67,1828480
1719460800,193.25,195.41,192.17,195.32,1599526
1719547200,196.18,197.88,193.79,194.38,2393894
1719806400,194.4,195.905,191.62,194.02,1691747
1719892800,194.35,195.24,191.55,192.27,1913583
1719979200,193.07,195.08,192.47,194.79,1182562
1720152000,194.98,196.36,193.47,195.64,1018567
1720411200,195.13,197.39,194.51,196.17,1508837
1720497600,195.55,196.2255,192.74,195.96,1577224
1720584000,197.39,197.49,193.8,196.77,1576905
1720670400,201.09,207.39,200,207.2,2256189
1720756800,209.06,212.19,207.5,210.61,2238589
1721016000,210,211.21,206.93,208.84,1585429
1721102400,210.44,211.21,207.1,210.15,1329375
1721188800,210.3,213.18,209.61,213.12,1759861
1721275200,210.81,214.46,209.675,210.65,1736359
1721361600,211.87,211.87,209.32,210.14,1404055
1721620800,209.97,212.43,208.23,209.37,1476193
1721707200,209.56,212.185,208.97,209.52,1123621
1721793600,210.25,212.81,208.57,209.39,1922843
1721880000,210.54,215.86,209.12,209.92,1926727
1721966400,210.81,214.12,210.06,213.72,1548313
1722225600,213.72,215.59,211,214.93,1607965
1722312000,220,223.46,217.61,223.05,2447841
1722398400,221.5,222.33,218,220.4,2924228
1722484800,222.8,229.22,222.01,227.93,3047037
1722571200,230,236,228.785,234.64,4750517
1722830400,231.88,236.13,226.01,226.19,4329568
1722916800,225.02,230.65,224.31,228.16,2823195
1723003200,226.35,229.77,225.05,225.97,3315841
1723089600,223.86,225.55,221.5,223.61,2942192
1723176000,224.84,225.395,222.34,222.59,2071509
1723435200,221.58,225.66,219.79,225.54,1455653
1723521600,225.86,226.16,222.03,222.66,5449941
1723608000,223.22,225.22,222.8,223.18,2313737
1723694400,221.27,221.45,217.5,218.06,1858378
1723780800,217.9,220.439,217,219.85,1986252
1724040000,219.42,220.9,219.04,219.66,1262046
1724126400,219.66,220.98,218.3,220.38,1630990
1724212800,218.37,220,217.02,219.49,2262630
1724299200,219.01,220.615,218.45,220.1,1926500
1724385600,220.97,227.68,220.56,227,1803979
1724644800,227.73,228.39,225.02,225.31,1142472
1724731200,222.19,226.29,222.19,226.16,921558
1724817600,226.45,227.65,224.18,225.25,1105576
1724904000,224.24,226.25,221.25,223.52,2003196
1724990400,223.88,225.68,221.43,224.06,1796764
1725336000,222.85,231.69,222.81,230.37,2660171
1725422400,231.43,236.125,230.26,232.52,2261861
1725508800,234.39,235.43,232.13,233.64,1990837
1725595200,234,236.44,232.53,236.16,2749994
1725854400,235.4,239.215,235.04,238.53,1983964
1725940800,239.35,243.56,239.15,242.83,2016794
1726027200,240.21,241.16,236.8,238.97,2216503
1726113600,239,239.5,233.94,237.14,2003818
1726200000,237.77,238.78,235.355,238.5,1983420
1726459200,238.92,241.97,238.92,240.32,2255500
1726545600,240.18,241.46,239.16,239.45,1526006
1726632000,238.86,240.28,235.355,235.95,1828121
1726718400,234,234.56,227.7001,232.31,3434476
1726804800,231.66,235.34,230.74,235.06,3682951
1727064000,236.03,236.8893,233.19,236.27,1762013
1727150400,234.24,237.02,233.74,236.47,1616104
1727236800,236.58,238.34,235.16,235.63,1447232
1727323200,233.12,234.02,230.26,231.77,2312538
1727409600,233.11,233.5,229.915,230.32,3051009
1727668800,230.13,232.78,228.75,232.56,2256722
1727755200,233.49,234.47,231.1,232.07,2279933
1727841600,230.99,233.05,229.52,231.88,2229583
1727928000,231.6,231.71,227.705,229.28,1590914
1728014400,225.87,226,221.51,223.66,1942688
1728273600,222.28,223.54,221.38,223.37,1658097
1728360000,223.53,225.62,223.19,224.28,1630902
1728446400,222,222.6872,219.41,220.78,1573997
1728532800,219.58,221.52,216.51,217.9,1924286
1728619200,219.06,219.68,217.59,219.27,1614001
1728878400,217.71,221.99,217.0125,221.7,1501964
1728964800,224,229.73,223.37,229.43,2310128
1729051200,228.26,231.05,226.81,227.52,1518104
1729137600,226.2,227.52,223.29,224.16,2021729
1729224000,225.87,227.06,224.19,226.3,1441933
1729483200,225.09,228,220.28,221.47,1295730
1729569600,219.6,222.4816,219.25,221.46,1971495
1729656000,221.5,226.76,221.5,226.27,2712931
1729742400,226,228.8,225.8,225.93,1618292
1729828800,225.66,227.91,221.89,222.8,2054209
1730088000,225.33,225.64,221.84,222.22,1934987
1730174400,215.16,220,211.55,212.91,3591423
1730260800,213.59,217.1,212.4348,213.48,2437824
1730347200,211.28,216.29,209.7,213.54,1961938
1730433600,217.76,218.92,210.92,211.26,1989131
1730696400,213.05,214.44,209.66,212.11,2333808
1730782800,210.93,213.94,209.5,213.85,1302803
