T,O,H,L,C,V
1713844800,155.69,158.73,155.42,158.27,393108
1713931200,157.18,160.745,156.16,159.52,537734
1714017600,158.48,160.82,155.5,160.38,793428
1714104000,165.98,178.13,165.105,169.88,1532500
1714363200,169.2,170.41,165.275,165.43,602854
1714449600,163.61,164.52,161.12,161.15,602442
1714536000,160.99,166.32,160.2797,162.85,491421
1714622400,164.52,165.575,161.56,163.27,316113
1714708800,165.54,167.46,164.21,165.18,370301
1714968000,166.95,167.35,165.83,166.44,464688
1715054400,166.55,168.49,164.2,164.27,360536
1715140800,163.11,164.78,161.4534,163.49,515269
1715227200,164.06,166,163.65,165.84,286339
1715313600,166.88,167,163.54,164.3,219927
1715572800,165.66,170.83,165.66,168.81,343873
1715659200,172.09,173.06,169.73,170.57,392400
1715745600,171.56,171.63,168.75,170.42,317418
1715832000,170.76,170.785,169.34,169.51,216740
1715918400,169.65,172.165,169.0226,170.96,329937
1716177600,171.24,171.91,170.17,170.67,296731
1716264000,170.37,170.57,168.455,169.29,205242
1716350400,169.26,170.58,168.07,168.61,519570
1716436800,168.95,168.99,166.105,167.34,360233
1716523200,168.44,170.37,167.3826,169.74,256893
1716868800,170.12,171.82,169.5,169.75,322045
1716955200,167.91,168.76,162.28,163.67,512818
1717041600,164.64,169.525,164.64,169.18,335936
1717128000,169.43,171.42,169.28,170.25,325978
1717387200,170.82,172.01,169.69,170.28,458643
1717473600,168.9,170.045,165.96,166.92,454221
1717560000,167.11,169.75,165.745,168.95,211616
1717646400,169.05,170.28,166,167.03,258427
1717732800,165.43,166.79,164.41,165.82,200285
1717992000,166.34,171.35,165.165,166.31,326586
1718078400,164.39,166.43,163.8,166.04,251787
1718164800,169.5,171.99,168.52,169.42,235313
1718251200,168.83,168.83,165.47,168.15,195286
1718337600,165.84,166.2058,160.82,163.97,291070
1718596800,163.65,168.65,163.0301,168.5,186320
1718683200,168.58,169.49,167.18,167.86,222273
1718856000,166.96,167.17,160.22,161.78,516112
1718942400,161.67,162.0794,159.26,160.47,953884
1719201600,160.55,161.075,157.62,158.44,725621
1719288000,158.04,158.5999,154,155.25,667904
1719374400,155.25,156.78,154.555,156.01,457245
1719460800,155.83,157.415,155.56,156.81,331226
1719547200,157.55,160.01,157.55,159.38,538345
1719806400,160.28,162.42,156.64,161.88,643889
1719892800,162.3,164.12,160.48,160.67,403869
1719979200,161.53,162.01,158.74,159.39,214996
1720152000,158.91,159.075,156.22,156.96,560343
1720411200,158.26,160.64,157.4087,158.98,334305
1720497600,158.14,158.975,156.12,156.14,291358
1720584000,156.8,160.77,156.475,160.69,308341
1720670400,164.24,170.41,164.0001,170.28,551798
1720756800,170.16,173.02,169.4557,170.48,481058
1721016000,170.15,176.98,169.61,173.92,676368
1721102400,175.86,182.39,175.86,181.5,487980
1721188800,178.93,182.81,177.51,179,423692
1721275200,179.5,181.66,175.13,176.16,306007
1721361600,174.31,176.36,172.28,173.8,316762
1721620800,173.8,174.14,171.53,173.13,368183
1721707200,172.56,173.78,170.76,172.29,481421
1721793600,172.29,175.66,170.4,172.03,318754
1721880000,172.52,176.375,171.95,174.96,288400
1721966400,176.69,178.909,175.1,178.12,375033
1722225600,178.54,180,177.46,178.07,256444
1722312000,178.33,180.195,176.785,179.41,463631
1722398400,181,197.18,180.06,190.72,933750
1722484800,190.89,193.61,181,183.95,573118
1722571200,178.39,178.72,168.62,170.74,672440
1722830400,160.64,169.46,159.69,166.06,623587
1722916800,166.38,170.6,164.755,166.66,313952
1723003200,169.27,172.584,163.98,164.32,411704
1723089600,166.37,170.55,166.085,170.32,257173
1723176000,170.67,171.21,168.5,170.84,368411
1723435200,170.76,171.1,166.71,167.14,268776
1723521600,168.5,172.07,167.395,171.4,267111
1723608000,171.63,172.565,168.1,169.44,289846
1723694400,175.3,178,172.485,173.82,175702
1723780800,173.6,176.93,173.53,175.09,180746
1724040000,174.95,175.25,173.15,174.08,193908
1724126400,173.4,175.94,173.26,173.68,226344
1724212800,176.12,177.78,175.18,176.39,179095
1724299200,176.28,176.39,172.72,173.44,194997
1724385600,174.58,182.27,174.305,180.43,238960
1724644800,181.13,183.74,180.625,182.36,538949
1724731200,181.11,181.755,179.33,179.45,161891
1724817600,178.29,179.775,177.65,177.87,167517
1724904000,179.32,180.225,176.71,179.01,182939
1724990400,179.03,179.745,175.88,177.98,218819
1725336000,175.73,177.34,171.51,171.89,219859
1725422400,170.89,170.89,168.07,168.74,391225
1725508800,168.85,169.09,165.47,165.75,320413
1725595200,165.19,167.43,160.72,161.53,396328
1725854400,162.87,164.79,160,163.88,417620
1725940800,163.5,163.5,151.18,158.96,679165
1726027200,158.51,159.39,155.5,158.67,297033
1726113600,161,162.52,158.24,160.95,259466
1726200000,163.36,168.455,163.36,166.96,284617
1726459200,167.12,170.02,165.705,167.1,224697
1726545600,168.8,170.81,167.68,169.63,306558
1726632000,170.1,176.02,168.86,170.76,341054
1726718400,175.05,178.44,174.4794,178.33,448783
1726804800,177.01,177.01,173.62,174.39,641856
1727064000,174.79,177.22,173.06,176.92,341984
1727150400,178.34,180.61,177.595,178.5,451909
1727236800,182.04,182.04,174.72,175,435335
1727323200,175.84,179.21,173.655,178.02,268604
1727409600,180.48,182.87,178.79,182.61,392151
1727668800,181.4,181.99,177.14,178.92,266441
1727755200,179.28,179.28,176.16,178.1,301106
1727841600,177.18,177.88,172.76,173.56,514211
1727928000,171.67,171.84,169.01,169.49,318369
1728014400,172.75,174.235,169.77,171.25,591494
1728273600,170.19,170.49,165.13,166.02,452684
1728360000,165.29,166.83,163.12,164.75,482035
1728446400,162.45,164.575,159.45,163.11,557403
1728532800,161.43,165.13,160.74,163.54,539374
1728619200,162.85,165.77,162.51,165.32,551242
1728878400,164.55,168.5,163.98,167.27,587536
1728964800,166.33,170.7,166.33,166.56,473692
1729051200,168.86,171.2799,166.93,169.97,490641
1729137600,170,171.085,168.01,169.04,368058
1729224000,169.52,169.73,167.18,169.14,289791
1729483200,168.17,169.79,163.82,164.09,955881
1729569600,163.12,163.99,161.45,161.76,345826
1729656000,161.81,163.97,160.95,162,649346
1729742400,163.67,164.055,161.265,163.2,737584
1729828800,157.77,162.0999,151.3,155.83,1365686
1730088000,156,159.56,155.27,158.03,908986
1730174400,156.6,158.26,154.87,157.21,541821
1730260800,156.78,161.77,156.69,159.14,574320
1730347200,158.89,160.205,155.17,155.47,494857
1730433600,156.04,159.37,155.42,156.25,452872
1730696400,155.63,162.58,155.495,159.34,560568
1730782800,157.63,161.425,157.63,161.13,295798
1730869200,167.39,170.22,166.8,168.99,966329
1730955600,168.89,169.33,165.78,167,426224
1731042000,167,167,163.59,164.39,602421
1731301200,165.85,170.12,165.45,168.04,545078
1731387600,167.31,167.45,164.74,164.98,399091
1731474000,166.68,167.75,165.48,167.06,275096
1731560400,167.49,169.165,165.545,166.97,390527
1731646800,167.89,167.89,164.11,164.8,269910
1731906000,164.84,167.58,164.26,164.27,285707
1731992400,162.16,165.22,161.62,164.83,372829
1732078800,163.81,165.47,163.3515,164.85,439629
1732165200,166.88,171.58,166.28,170.05,429238
1732251600,172,173.32,171.805,172.46,316226
1732510800,175,182.74,174.03,179.58,1730022
1732597200,176.25,179.74,173.55,179.66,615912
1732683600,180.54,182.46,177.79,179.22,334051
1732856400,180.11,181.35,178.68,178.89,167106
1733115600,177.73,181.05,177.27,179.92,411114
1733202000,180.16,180.88,177.33,180.44,523466
1733288400,181.18,184.21,181.18,182.16,332704
1733374800,182.48,183.235,177.37,177.54,570994
1733461200,179.43,180.115,177.23,177.9,464800
1733720400,178.42,179.7797,177,177,416679
1733806800,176.52,177.855,173.86,175.98,275598
1733893200,177.5,178.01,174.99,175.27,313260
1733979600,175.18,175.51,173.39,174.91,313425
1734066000,175.29,175.29,171.12,172.7,495766
1734325200,171.24,173.91,171.23,172.48,417683
1734411600,171.14,172.45,169.375,170.49,549924
1734498000,171.87,175.15,166.45,167.21,873283
1734584400,170.74,172.23,167.57,169.77,689900
1734670800,168.51,173.18,167.29,170.19,873542
1734930000,170.11,171.55,169.04,171.2,464721
1735016400,171.78,174.16,171.5,173.84,148482
1735189200,172.97,175.08,172.885,173.61,362698
1735275600,172.72,173.055,170.43,171.85,273990
1735534800,170.76,170.76,166.88,168.72,414093
1735621200,169.17,170.7,168.05,169.84,314884
1735794000,170.66,171.66,166.77,166.94,322591
1735880400,167.39,169.84,165.15,169.36,282931
1736139600,171.19,174.515,170.465,172.99,497455
