T,O,H,L,C,V
1713844800,61.5925,62.9275,61.0225,62.795,9192000
1713931200,64.1975,65.225,62.645,63.6925,10381488
1714017600,64.16,67.1775,62.855,66.19,14204944
1714104000,66.69,67.5625,66.075,66.175,10087620
1714363200,66.9325,67.855,65.255,65.9175,5807884
1714449600,65.49,66.4125,64.09,64.14,8160436
1714536000,63.635,65.3425,63.065,63.8025,9040804
1714622400,64.5675,65.515,63.4256,65.465,5591612
1714708800,67.975,69.5875,67.9253,68.6,11534604
1714968000,68.3475,69.94,68.275,69.705,8221452
1715054400,69.0275,69.4675,67.9675,68.4975,16250952
1715140800,70.7875,74.25,69.0825,72.9175,30594332
1715227200,73.0175,74.115,72.3475,74.0175,10370364
1715313600,74.8825,79.055,74.75,78.5075,22072264
1715572800,78.0175,78.645,76.63,77.4675,11009208
1715659200,77.2725,78.4975,76.75,78.415,7515544
1715745600,78.75,81.57,78.6725,81.5075,10414668
1715832000,81.75,82.2588,80.0075,80.0225,7828460
1715918400,81.0425,81.5138,79.4575,79.9725,7009004
1716177600,80.12,81.0025,79.755,79.8475,5550664
1716264000,78.845,79.605,77.9175,79.2475,7181976
1716350400,80.0125,80.31,79.1,79.125,6665832
1716436800,76.34,76.5175,72.3525,75.355,26610760
1716523200,76.1075,77.1875,75.3512,76.6375,8545824
1716868800,78,78.207,76.4025,76.8725,7165840
1716955200,76.625,77.5725,76.3313,77.0775,9458036
1717041600,76.75,77.2475,75.1162,75.915,6483984
1717128000,75.7725,76.0275,72.995,74.4125,13949820
1717387200,75.1,75.31,72.5775,74.0975,8906308
1717473600,73.6375,74.75,72.79,73.295,6860404
1717560000,74.6675,75.475,73.99,74.39,6903736
1717646400,73.75,74.5163,73.38,74.1425,6394632
1717732800,74.2,75.3476,73.7925,74.1975,5878052
1717992000,73.65,74.6697,72.8049,74.395,7366784
1718078400,74.5825,76.285,73.8025,76.1925,7977712
1718164800,76.7925,78.1025,75.66,77.8325,8806988
1718251200,80,82.9375,79.795,82.9175,15586424
1718337600,82.75,82.86,81.3275,82.125,8591836
1718596800,83.17,85.4684,81.515,85.02,13177360
1718683200,85,86.0325,84.43,85.085,11567876
1718856000,85.995,86.4725,84.2075,85.0475,13982340
1718942400,84.62,84.6375,81.75,84.34,16391656
1719201600,83.6625,83.9125,81.7575,82.3025,9646324
1719288000,82.835,83.9225,82.2525,83.6325,7642064
1719374400,83.6325,84.3225,83.005,83.675,6970364
1719460800,84.5,87.745,84.4975,86.9825,9985700
1719547200,87,88.805,87,87.62,11519044
1719806400,88.6775,89.3925,86.1875,89.175,6548416
1719892800,89.3375,90.82,88.7313,89.2525,6315108
1719979200,89.5,91.355,89.1225,91.355,4840768
1720152000,91.62,91.8125,90.2725,91.535,5431408
1720411200,91.5375,93.495,91.5175,92.7675,6250444
1720497600,92.9825,94.125,91.41,91.4375,8008156
1720584000,91.74,92.045,88.9675,90.9375,9181988
1720670400,91.0225,91.25,88.84,89.8975,7805656
1720756800,89.5325,91.6,89.3225,90.475,5007612
1721016000,91.2675,91.775,89.7225,90.105,4856796
1721102400,90.4525,90.917,89.07,89.5575,6463152
1721188800,87.6775,88.125,83.98,84.17,12541476
1721275200,84.665,84.99,81.6725,83.1575,9872936
1721361600,83.16,84.0688,82.5075,82.64,5417400
1721620800,83.915,85.875,83.6,85.56,8183352
1721707200,85.5575,87.22,85.05,86.6625,4879912
1721793600,85.2125,86.15,81.0263,81.4675,10583276
1721880000,81.75,81.7525,77.225,78.53,17858288
1721966400,79.61,80.705,79.295,79.8025,9407736
1722225600,80.275,82.0025,79.9925,80.1375,11292612
1722312000,80.4125,81.17,76.78,77.855,17064792
1722398400,84.5,87.425,82.75,86.6375,22227832
1722484800,87.625,91.0375,83.035,84.66,17044568
1722571200,80,81.25,77.85,79.835,10799420
1722830400,75,79.415,72.9885,78.7325,10569100
1722916800,80.0375,82.2975,78.2675,80.885,6599796
1723003200,82.8425,84.0175,78.9275,79.3325,8118120
1723089600,81.0975,83.675,79.9911,83.625,5698616
1723176000,83,85.1225,83,83.9525,6379276
1723435200,84.25,85.78,83.845,84.5825,3670496
1723521600,84.855,86.66,84.855,86.5475,5592728
1723608000,87.15,88.4725,86.3025,87.1625,6732304
1723694400,88.75,89.67,88.3378,89.15,5163700
1723780800,88.7125,89.25,88.05,88.4725,5050764
1724040000,88,88.2925,85.69,88.015,5575884
1724126400,88.4,89.5,88.0275,88.4475,4335064
1724212800,87.9075,89.2625,87.7675,88.9725,4780376
1724299200,88.9975,89.6,87.8675,88.0425,4441464
1724385600,88.75,89.56,87.5716,88.7825,3903756
1724644800,89.325,89.5,85.5525,86.1725,5517380
1724731200,85.3375,87.02,84.4503,86.405,4693832
1724817600,86.355,87,84.17,85.29,4413960
1724904000,85.155,88.4675,85.09,86.6475,6900548
1724990400,87.75,88.4175,86.25,88.345,6195008
1725336000,87.7725,88.25,81.15,81.68,10127668
1725422400,81,82.6225,80.3972,81.5125,5460116
1725508800,80.33,82.5375,80.025,82.11,6453352
1725595200,80.7625,82.0275,78.255,78.5775,8753272
1725854400,79.98,81.445,79.745,81.1925,5156660
1725940800,81.25,82.2925,80.5675,81.6875,4599152
1726027200,81.8725,86.005,81.0463,85.7325,9778020
1726113600,85.7,89.44,84.9375,88.84,7058228
1726200000,89.9875,91.0071,89.2625,89.94,5909516
1726459200,88.7825,90.03,87.8675,89.79,3432656
1726545600,91.25,92.035,90.125,90.2375,4205528
1726632000,90.515,92.04,89.3625,90.4275,4146916
1726718400,93.195,95.135,92.855,94.83,7828468
1726804800,94.37,96.375,94.2669,96.115,10937900
1727064000,96.9525,97.5,95.645,96.3925,5226888
1727150400,97.0725,97.0725,94.85,96.2675,6010668
1727236800,96.1825,97.4525,95.9925,97.0525,4558744
1727323200,98.425,98.955,95.535,96.575,5248700
1727409600,96.3725,96.5613,94.0875,95.065,7616812
1727668800,94.505,96.0938,94.125,95.955,4462008
1727755200,97.0925,97.7075,94.615,95.4625,4213128
1727841600,95.3625,97.605,94.8288,97.405,4405784
