T,O,H,L,C,V
1713844800,116.19,119.91,115.07,119.71,1035173
1713931200,120,120.52,115,115.09,985819
1714017600,113,115.91,111.412,115.45,943097
1714104000,116.35,122.21,115.34,122.08,1109869
1714363200,123,126.43,121.64,125.39,1388919
1714449600,125.49,126.01,121.39,121.52,1172884
1714536000,120.62,124.345,118.03,120.41,1074204
1714622400,122.8,126.6,122,124.9,943198
1714708800,126.62,129.175,126.29,128.76,1177043
1714968000,129.96,131.54,127.77,129.38,1090516
1715054400,130.78,131.795,128.41,128.42,803722
1715140800,127.4,131.25,127.11,128.6,794590
1715227200,128.21,132.59,128.03,132.33,939862
1715313600,133.55,134.49,128.5,129.71,1094800
1715572800,131.19,132.97,128.63,132.42,975674
1715659200,133.85,136.46,133.01,136.31,1260744
1715745600,136.45,138,134.35,137.68,1327489
1715832000,136.94,138.14,135.37,135.69,716227
1715918400,137.75,139.97,135.39,139.61,1434415
1716177600,140,146.31,140,144.84,1521814
1716264000,144.8,146.93,144.12,144.44,1118274
1716350400,145.14,145.8061,141.4,141.88,1291881
1716436800,143.39,148.24,142.41,145.88,1409293
1716523200,147.27,151.4627,146.6416,150.17,1512796
1716868800,151.5,154.87,150.77,152.39,2687146
1716955200,155.56,196.99,155.56,189.45,10339095
1717041600,188.08,189.45,176.57,178.47,4040514
1717128000,176.48,177.125,169.29,172.87,3379667
1717387200,174.91,179.5299,172.55,175.66,2037572
1717473600,173.75,173.755,167,169.65,1286434
1717560000,168.69,173.68,167.85,172.7,1133628
1717646400,171.65,178.85,171.12,175.73,1531481
1717732800,175.66,177.3,173.0001,175.19,1073277
1717992000,174.56,185.55,173.665,185.13,2370751
1718078400,186.52,187.71,180.42,185.79,1458431
1718164800,188.42,193.11,184.46,192.34,1356199
1718251200,192.34,194.38,186.31,190.82,1175515
1718337600,189.1,189.82,183.66,186.06,1072831
1718596800,186.03,189,180.0714,185.89,1149552
1718683200,184.98,187.8,181.2,185.28,1144994
1718856000,184.48,184.48,173.26,175.56,1703994
1718942400,175.14,175.14,171.1301,174.5,1729302
1719201600,174.5,176.7377,169.33,169.91,1149404
1719288000,170.38,175.085,169.6105,173.24,958615
1719374400,173.25,176.64,171.49,173.42,1186647
1719460800,171.99,174.42,170.11,172.53,986627
1719547200,173.01,179.27,173.01,177.84,2870172
1719806400,179.7,186.45,177.15,184.59,1947709
1719892800,184.59,185.48,180.3201,183.36,1191129
1719979200,183.35,183.72,178.4401,179.75,637491
1720152000,179.95,181.09,171.45,171.54,1254128
1720411200,173.31,178.73,171.24,178.53,997687
1720497600,179.6,183.7,177.77,179.24,885459
1720584000,182.66,182.95,173.3318,174.1,1190776
1720670400,174.53,177.42,167,173.79,2338292
1720756800,173.46,179.9,171.17,173.24,1210762
1721016000,172.13,173.6859,167.05,167.33,1525214
1721102400,170.12,172.9,168.71,170.08,1305549
1721188800,163.67,167.37,155.48,155.78,3062821
1721275200,155.78,157.11,150.63,156.98,2028330
1721361600,157.07,159.96,156,158.51,10174742
1721620800,166.78,168.7399,157.71,158.42,2200376
1721707200,159.42,163.71,158.26,161.4,1065503
1721793600,159,160.1852,153.93,154.05,1341625
1721880000,153.18,156.86,146.35,151.53,1502017
1721966400,155,155.88,151.05,152.59,1345661
1722225600,153.4,155.13,150.3,151.05,1553020
1722312000,151.53,152,144.55,146,1663931
1722398400,150.37,150.75,145.64,147.48,1664009
1722484800,149.99,150.7199,140.89,142.27,1455855
1722571200,136.28,136.47,130.39,132.2,1826130
1722830400,124.82,136.7,121.41,134.49,2258639
1722916800,136.64,139.93,135.4134,138.12,1315684
1723003200,142,142.2,131.0401,131.56,1769904
1723089600,135.26,141.18,133.55,141.08,1223676
1723176000,140.06,150.25,139.3,146.88,2186019
1723435200,148.25,155.13,147.43,154.57,1646823
1723521600,154.99,155.2,151.39,153.57,1021080
1723608000,154.41,157.19,152.27,153.08,1360598
1723694400,160.57,162.19,157.3681,162.05,1421541
1723780800,160.86,167.2267,160.35,165.08,1066429
1724040000,165.37,169.09,163.9226,166.87,1157292
1724126400,169.01,172.9,165.33,166.05,1504263
1724212800,167.82,171.29,165.375,170.88,1135519
1724299200,167.2,171.1,164.88,165.2,1249077
1724385600,166.35,171.47,165.94,169.83,1122942
1724644800,170.1,170.76,164.25,165.1,1361634
1724731200,160.66,168.5,160.25,166.61,2337115
1724817600,146.99,148.5,134.49,138.31,8789885
1724904000,138.5,143.89,134.46,142.22,3840329
1724990400,143,147.87,140.3,147.57,2897910
1725336000,147.48,149.145,142.0301,142.94,1749780
1725422400,142,142.845,137.67,139.66,1577371
1725508800,138,141.35,135.9,137.83,1523397
1725595200,136.75,137.8,130.36,130.93,2254505
1725854400,131.93,136.21,131.14,133.26,1635108
1725940800,133.25,137.75,128.07,129.86,2179044
1726027200,129.81,133.27,128.18,131.21,2111918
1726113600,131.26,138.365,131.26,137.54,1660833
1726200000,139.48,145.55,139.33,142.19,1650458
1726459200,140.63,142.5299,132.45,134.62,2248856
1726545600,137.18,138.93,133,134.41,1908373
1726632000,134.33,139.62,133.4,135.45,1575206
1726718400,139.55,141.525,137.6,139.32,1286490
1726804800,140,143.08,139.805,141.8,2072936
1727064000,141.45,142.54,136.8842,140.65,1272387
1727150400,141.67,142.71,139.6,142.1,1045544
1727236800,141.03,141.73,136.38,137.73,1246111
1727323200,141.5,142.84,134.77,137.93,1385383
1727409600,138.22,144.65,137.898,144.5,1654504
1727668800,143.53,143.53,133.56,139.9,2692418
1727755200,139.27,139.56,135.0004,135.73,1283108
1727841600,134.44,136.31,132.33,133.72,1517412
1727928000,132.5,134.32,130.87,134.12,1355770
1728014400,139,146.4,138.26,146.32,2527500
1728273600,144.99,145.32,136.68,139.04,2405563
1728360000,142.04,144.21,139.45,142.37,1402620
1728446400,142.45,142.68,139.32,140.87,908443
1728532800,139.38,144.785,138.1228,143.25,1240346
1728619200,142.95,149.8,142.95,149.75,1340981
1728878400,150.54,157.72,149.69,155.52,1821961
1728964800,156.49,164,156,160.24,2051499
1729051200,162.2,165.95,160.24,163.78,1427398
1729137600,165,167.71,160.35,160.65,1499750
1729224000,160.95,160.96,156.22,156.75,2394721
1729483200,156.29,161.0859,153.88,159.89,1063889
1729569600,157.48,159.841,154.8,154.82,1148987
1729656000,152.33,153.81,146.71,147.82,1354197
1729742400,149.01,150.14,141.77,142.64,1482328
1729828800,143.06,143.41,139.75,141.53,1741536
1730088000,142.235,144.5,137.8,137.92,1531026
1730174400,137,139.09,134.4369,138.47,1221847
1730260800,138.66,139.85,136.215,136.54,1004104
1730347200,135,135.62,131.195,131.79,1149650
1730433600,133.5,133.98,131.09,131.26,920431
1730696400,133.7,139.3,132.8,137.8,1766091
1730782800,138.1,138.42,134.37,137.35,1097962
1730869200,144.97,145.74,134.03,135.3,1645753
1730955600,136.53,143.6,135.95,141.56,1529145
1731042000,141.63,144.34,140.35,143.97,1223395
1731301200,147.27,147.98,139.9549,140.25,1351661
1731387600,140.79,144.875,137.361,139.93,1141995
1731474000,141.51,144.7,140.975,141.73,1440312
1731560400,143.87,148.7,143.83,144.6,1283833
1731646800,144.49,145.1962,141.65,144.64,941035
1731906000,146.4,146.71,142.53,143.42,938658
1731992400,142.35,142.69,137.34,142.58,1338873
1732078800,141,141.56,136.63,136.81,1326838
1732165200,136.99,142.39,134.5001,141.57,1622581
1732251600,148.96,154.49,147.92,151.99,2638943
1732510800,157.52,161.67,154.5,154.5,4095209
1732597200,159.14,160,142.76,146.62,5018267
1732683600,151.58,153.63,146,148.56,2282512
1732856400,150.2,151.65,146.29,149.69,1229463
1733115600,150,163.955,150,157.31,2942402
1733202000,156.55,159.67,152.85,154.97,1615315
1733288400,154.69,161.59,151.73,161.52,1532395
1733374800,158.33,158.655,148.36,149.95,2647967
1733461200,151.69,155.62,150.54,151.35,1519156
1733720400,151.61,152.015,139.96,140.07,2742860
1733806800,139.76,141.58,137.26,138.26,1626074
1733893200,138.84,140,136.19,137.21,1824954
1733979600,139,139.27,133.81,137.5,1653935
1734066000,138.04,142.67,137.81,142.62,1242792
1734325200,143.03,152.37,142.19,146.85,2338507
1734411600,147,156.36,146.75,152.74,2356255
1734498000,153.44,156,143.63,144.9,2023821
1734584400,146.38,153.58,146.38,153.25,1636012
1734670800,152.29,159.83,151.0001,154.56,3540964
1734930000,155.55,156.309,149.32,152.96,1453506
1735016400,152.49,153.05,149,152.07,791595
1735189200,152.2,157.95,150.97,155.34,2031918
1735275600,154,156.01,150.62,153.88,762589
1735534800,150.04,155.2,148.57,154.65,2007964
1735621200,154.8,157.01,146.935,149.47,1705574
1735794000,150.79,158.3,150.79,153.24,1479022
1735880400,154.28,159.7,153.74,158.92,1394080
1736139600,160.04,161.8,153.77,156.22,1771309
1736226000,159.52,164.8,151.58,152.13,1579589
1736312400,152.01,153.9415,149.67,151.62,1093295
1736485200,152.66,162.16,150.17,160.92,2425468
1736744400,146.96,147.91,128.3,135.72,8810544
1736830800,137.18,137.25,128.59,131.39,3405550
1736917200,132,133.87,128.71,129.99,2734500
1737003600,129.81,130.76,126.65,128.11,1919750
1737090000,130.06,134.06,128.55,130.35,1942477
1737435600,133.41,134.16,124.5,126.28,2764148
1737522000,127.6,131.2795,125.01,128.57,1683046
1737608400,126.98,127.57,121.0001,124.15,3548591
1737694800,125.35,125.51,122.975,123.42,1733031
1737954000,119.8,121.355,117.99,119.53,2416800
1738040400,120.51,122.56,119.1,120.83,1626870
1738126800,120.78,124.6,120.3,122.61,1320806
1738213200,123.11,125.91,120.41,122.71,1502436
1738299600,122,122.97,117.6125,119.38,2419907
1738558800,115.07,116.8,112.68,115.55,2227016
1738645200,115.4,116.45,113.34,114.8,2097529
1738731600,114.85,115.76,112.56,113.63,1307720
1738818000,116.36,116.87,113.08,114.89,1454004
1738904400,115,118.2435,113.46,114.73,1708856
1739163600,114.98,115.615,109.97,113.19,1963368
1739250000,112.43,112.93,107.87,109.42,1967384
1739336400,107.87,109.14,106.1,108.91,1726524
1739422800,109.5,110.88,107,110.1,1512778
1739509200,110.67,112.07,108.31,112.07,1249091
1739854800,112.89,113.2,107.87,108.84,1701880
1739941200,108.06,108.41,104.37,105.11,1813076
1740027600,104.49,104.614,102.075,103.15,1831254
1740114000,104.92,105.1,99.51,100.11,1907929
1740373200,100.77,103.5,99.12,102.15,2795169
1740459600,102,104.97,99.73,100.93,2701473
1740546000,103,105.9,102.6487,104.08,1956505
1740632400,105.04,105.55,101.08,101.42,1422108
1740718800,101.71,104.36,100.13,102.99,2414100
1740978000,103.86,105.7688,95.54,96.71,3342595
1741064400,95.08,98.1599,92.41,96.11,3541188
1741150800,84.14,87.71,79.77,87.23,10071791
1741237200,85.9,88.025,82.98,83.58,2780258
1741323600,83.75,87.38,81.59,86.03,2935835
1741579200,84.35,84.35,77.1931,78.17,2775461
1741665600,77.32,79.37,75.62,78.69,2626230
1741752000,80.06,80.12,75.02,76.52,2580921
1741838400,76,77.48,74.3101,75.93,2086458
1741924800,77.12,79.81,76.78,79.79,2088302
1742184000,78.87,83.64,78.1638,82.64,3003000
1742270400,81.78,82.92,78.97,79.7,2126219
1742356800,79.84,84.13,79.72,82.58,2150773
1742443200,81.55,84.83,81.34,82.35,2295095
1742529600,80.07,80.72,78,79.38,3165559
1742788800,81.47,82.17,78.02,79.34,3514803
1742875200,78.49,79.83,76.51,76.53,2987071
1742961600,76.24,76.7414,74.58,75.72,1981178
1743048000,76,79.2533,75.85,77.53,2398545
1743134400,76.6,77.61,75.24,76.57,2053859
1743393600,74.73,76.88,73.39,76.37,2057997
1743480000,75.71,78.89,75.71,78.77,2067385
1743566400,77.98,83.46,77.98,83.39,3146479
1743652800,73.82,76.34,68.465,70.26,4572047
1743739200,67.67,77.84,66.51,73.33,5067606
1743998400,69.1,77.2499,65.57,72.71,4278999
1744084800,74.45,74.505,65.4,66.94,3895879
1744171200,66.01,78.16,65.67,77.23,4771504
1744257600,74.12,75.57,71.17,72.99,2915093
1744344000,72.91,74.3,70.69,73.61,2020975
1744603200,75.68,75.89,71.57,72.85,1910178
1744689600,73.66,74.6,70.27,70.5,1884365
1744776000,70.24,71.6813,68.38,69.37,1689269
