T,O,H,L,C,V
1713844800,20,21.3,19.85,20.9,97178
1713931200,20.9,21.2,20.4,20.6,58936
1714017600,20.3,20.8,19.9,20.6,56066
1714104000,20.8,22.118,20.6,21.7,121347
1714363200,21.7,22.15,21.4,21.6,40391
1714449600,21.4,21.85,21.05,21.1,49153
1714536000,21,21.85,20.6,21.8,78457
1714622400,22.3,24.95,22.2,24.4,368049
1714708800,24.3,26.2,24,25.4,194890
1714968000,25.4,25.65,24.9,25.5,83836
1715054400,25.5,27.1,25.25,26,219143
1715140800,23.1,26.6,20.6,25.4,96879
1715227200,25.5,25.9,24.95,25.5,57791
1715313600,25.5,25.5,24.3,24.3,62652
1715572800,24.4,25.5,24.2,24.3,84946
1715659200,24.5,25.95,24.214,24.7,117799
1715745600,25.2,25.599,24.1,24.5,47052
1715832000,24.4,24.5,23.1,23.1,89379
1715918400,23.1,23.4,22,22.1,52191
1716177600,22.5,22.5,21.8,22.2,72224
1716264000,21.9,22,21.25,21.3,74698
1716350400,21.1,21.8,21.1,21.4,54304
1716436800,21.4,21.5,20.5,20.5,59444
1716523200,21,22.1,20.8,21.8,97091
1716868800,22,22.262,21.2,21.5,39703
1716955200,20.9,21.5,20.3,20.3,68220
1717041600,20.4,20.7,20.2,20.2,39197
1717128000,20.4,20.7,20.1,20.2,74144
1717387200,20.4,20.8,19.75,20.2,64235
1717473600,20,20.4,19.5,20.2,79847
1717560000,20.2,22,20.1,21.7,83770
1717646400,21.7,22.95,21.5,22.6,68042
1717732800,22.2,22.3,20.9,20.9,35042
1717992000,21.3,21.35,20.55,20.7,34224
1718078400,20.5,21.1,20.45,20.7,48973
1718164800,21.4,22.4,21,21.1,55063
1718251200,21.1,21.35,20.3,20.4,63394
1718337600,20.3,20.55,19.9,19.9,42601
1718596800,19.9,20.2,19.3,20.1,50572
1718683200,20,20.099,18.4,18.4,82489
1718856000,18.3,19.11,18.2,18.2,154280
1718942400,18.1,19.1,17.85,19.1,98316
1719201600,19,19.555,18.2,18.4,97853
1719288000,18.3,18.65,18.2,18.5,58093
1719374400,18.3,18.8,18.25,18.5,53129
1719460800,18.4,18.8,18.1,18.5,54408
1719547200,18.8,19.2,18.2,19.2,65205
1719806400,19.1,20,18.7,18.8,52372
1719892800,18.6,18.7,18.4,18.5,21673
1719979200,18.4,18.9,18.4,18.5,9534
1720152000,18.4,19,18.2,18.3,57284
1720411200,18.3,18.9,18.25,18.7,29837
1720497600,19.4,20.593,19,20.1,93748
1720584000,20.1,20.401,19,19.1,47773
1720670400,19.7,19.999,19.3,19.4,44932
1720756800,19.6,20.1,19.5,19.8,57321
1721016000,20,20.3,19.75,20,30766
1721102400,20.3,22.9,20.3,22.5,182361
1721188800,21.9,22.7,21.75,22.6,47780
1721275200,22.6,24,22.5,22.7,86408
1721361600,22.6,23,22.2,22.5,37636
1721620800,22.5,23.95,21.7,23.7,65969
1721707200,23.4,24.65,23.2,24.2,95511
1721793600,23.6,24.1,22.3,22.3,43012
1721880000,22.2,22.9,21.6,22,34242
1721966400,22.6,22.95,21.801,22.4,28914
1722225600,22.4,23.35,22.2,22.3,30538
1722312000,22.3,22.55,21.7,22.2,52345
1722398400,22.4,23.9,21.55,23.2,81136
1722484800,23.1,25,22.4,22.4,114950
1722571200,21.4,21.85,20.2,20.2,46620
1722830400,18.1,19.9,18,19.7,52108
1722916800,20,20.278,19.6,19.75,57787
1723003200,22.2,26.35,22,25.9,295268
1723089600,26,26.2,24.5,24.9,209751
1723176000,24.6,25.5,24.6,25,161814
1723435200,25,25,23.2,23.2,50466
1723521600,23.4,25.45,22.2,25.3,57906
1723608000,25.4,26.2,25.1,26,62195
1723694400,26.1,26.35,25.2,25.8,39871
1723780800,25.6,25.9,25.3,25.6,24250
1724040000,25.5,26.2,25.5,25.8,46779
1724126400,25.6,26.156,25.35,25.5,30620
1724212800,25.3,26.2,25.3,25.9,80710
1724299200,26,27,25.8,25.9,60196
1724385600,26.2,27.5,26,26.8,57414
1724644800,26.8,26.9,26.15,26.4,82482
1724731200,26.2,26.35,25.95,26,43377
1724817600,25.9,27.091,25.3,26.4,58264
1724904000,26.6,27.25,26.3,26.6,44174
1724990400,26.6,27.1,26.3,27,41282
1725336000,26.5,27.2,25.95,26.1,47239
1725422400,26,26.6,25.8,25.8,34615
1725508800,25.6,27.1,25.6,26.4,61858
1725595200,26.4,26.7,25.1,25.6,72650
1725854400,25.7,26.1,24.7,24.8,56976
1725940800,24.9,25.15,23.9,24,68719
1726027200,24,25.6,23.8,25.6,59326
1726113600,25.8,26.35,25.6,25.9,50749
1726200000,26,27.05,25.9,26.4,39266
1726459200,26.5,27.3,26.2,27.1,39736
1726545600,27.3,27.999,27.1,27.1,54655
1726632000,27.2,28.25,27.1,27.7,55089
1726718400,28.3,28.7,27.6,28.4,105814
1726804800,28.4,28.8,27.91,28.8,119405
1727064000,29,29.15,28.2,28.3,41583
1727150400,28.1,28.28,27.2,27.3,47073
1727236800,27.2,27.2,26.11,26.2,46652
1727323200,26.7,27,26,26.9,33413
1727409600,27.2,27.285,25.95,26,41795
1727668800,25.9,26.6,25.7,25.8,42301
1727755200,25.8,25.899,25,25.4,34177
1727841600,25.2,25.686,24.95,25.2,26849
1727928000,25,25.5,24,24.7,22963
1728014400,24.9,25.1,24.5,24.9,18917
1728273600,24.8,25.1,23.7,24.3,42530
1728360000,24.1,24.85,24,24.2,26804
1728446400,24.1,24.8,23.904,24.8,26023
1728532800,24.5,24.85,24.3,24.7,17736
1728619200,24.6,25.85,24.6,25.7,26311
1728878400,25.7,25.8,24.8,24.9,20560
1728964800,24.9,25.901,24.65,25.2,79592
1729051200,25.6,25.6,24.85,25,29592
1729137600,25.1,25.1,24.2,25.1,137997
1729224000,25.5,25.7,25.153,25.6,22169
1729483200,25.5,25.5,24.5,24.8,27796
1729569600,24.8,25.45,24.6,24.9,22073
1729656000,24.6,25.1,24.2,24.5,28324
1729742400,24.7,24.7,23.9,24.2,26487
1729828800,24.1,24.65,24.05,24.2,23730
1730088000,24.4,24.6,23.6,23.6,29739
1730174400,23.6,24.3,23.4,24,34061
1730260800,24,24.7,24,24.1,24825
1730347200,24.2,25.1,23.45,23.8,32746
1730433600,23.9,24.75,23.25,23.5,56587
1730696400,23.3,24.85,23.1,24.6,26351
1730782800,24.7,25.7,24.65,25,57014
1730869200,26,26,24.8,25.3,45637
1730955600,25.6,27.1,25.6,26.1,141683
1731042000,25.8,26.1,25,25.1,29846
1731301200,25.6,26.5,25.3,26.2,108493
1731387600,23.6,23.6,18.8,19.3,458780
1731474000,19.3,19.3,17.9,18.45,162963
1731560400,18.5,18.5,17.4,17.5,136010
1731646800,17.8,17.8,16.5,17.2,178782
1731906000,17.8,19.2,17.8,19.1,224705
1731992400,20.4,20.6,19.5,19.8,200407
1732078800,19.7,20.45,19.1,19.7,94679
1732165200,19.5,19.95,19.1,19.6,94538
1732251600,19.5,20.1,19.45,19.7,104105
1732510800,20,20.6,19.7,19.8,139983
1732597200,19.8,20.1,18.7,19,81539
1732683600,19.4,19.5,18.7,19,59854
1732856400,19.1,19.393,18.6,18.6,34791
1733115600,18.7,20.1,18.201,19.8,188841
1733202000,19.8,20.35,19.7,19.9,127117
1733288400,19.9,20.1,19.3,19.5,153768
1733374800,19.5,19.75,18.75,18.9,125148
1733461200,18.9,20.15,18.85,19.8,122228
1733720400,20,20.7,19.45,19.6,92767
1733806800,19.8,19.8,18.6,18.9,145020
1733893200,18.9,19.1,18.4,18.6,102879
1733979600,18.5,18.5,18,18.4,69513
1734066000,18.2,18.4,17.2,17.7,153509
1734325200,17.7,17.959,17.3,17.4,122140
1734411600,17.4,17.7,17.1,17.3,127487
1734498000,17,17.4,16.15,16.4,142959
1734584400,16.5,17.8,16.35,17,251465
1734670800,16.9,17.25,16.5,16.7,71054
1734930000,16.6,17,16.4,16.5,60355
1735016400,16.4,16.4,15.9,16,72063
1735189200,16,16.4,15.701,16.3,100165
1735275600,16.1,16.6,16.006,16.5,61906
1735534800,16.6,16.6,15.7,16.1,101567
1735621200,16.3,16.6,16,16.6,102430
1735794000,16.5,16.7,16,16.2,53234
1735880400,16,16.8,16,16.4,73825
1736139600,16.4,17.1,16,16.5,78764
1736226000,16.6,16.8,16,16.2,38846
1736312400,16.3,16.3,15.3,15.7,117891
1736485200,15.7,15.798,15.1,15.6,54274
1736744400,15.3,15.6,14.9,15.6,95124
1736830800,17.1,17.194,15.55,17,255726
1736917200,17.3,18.3,17,18.2,108279
1737003600,18.3,18.6,17.6,18.5,96603
1737090000,18.5,18.765,18.1,18.3,54633
1737435600,18.4,18.9,17.95,18.7,194911
1737522000,18.5,18.85,18.2,18.3,98214
1737608400,18.4,18.6,17.3,18.5,109999
1737694800,18.5,18.95,18.1,18.8,70759
1737954000,18.3,19.75,18.25,19.3,93153
1738040400,19.7,19.7,18.95,19.3,76257
1738126800,19.3,19.6,18.774,19.1,71723
1738213200,19.3,20.1,18.2,18.4,187549
1738299600,18.3,18.9,17.901,18,83762
