T,O,H,L,C,V
1713844800,49.04,51,49.04,49.77,277539
1713931200,49.37,50.48,45.73,46.54,283432
1714017600,45.32,46.72,43.605,45.86,317725
1714104000,46.17,47.465,44.52,47.13,238494
1714363200,47.21,49.77,47.21,49,207028
1714449600,48.14,51.01,48.14,50.3,397405
1714536000,50.42,51.555,48.25,50.91,404205
1714622400,51.66,52.545,50.14,52.2,356093
1714708800,53.79,54.89,52.26,54.19,346103
1714968000,54.54,55.31,53.44,54.31,227298
1715054400,54.2,54.31,51.05,52.22,188503
1715140800,51.33,52.23,49.57,51.26,181945
1715227200,51.59,53.05,50.81,52.92,185118
1715313600,56.1,56.1,51.3,53.22,211163
1715572800,54.07,54.9557,52.58,52.73,296291
1715659200,53.72,54.72,52.85,54,1776538
1715745600,55.54,55.54,51.985,53.3,656802
1715832000,52.89,54.22,52.89,53.75,484914
1715918400,54.59,54.59,50.19,50.31,442861
1716177600,50.19,53.1,50,52.42,450688
1716264000,51.94,52.07,48.1401,49.21,571804
1716350400,49.29,50.21,47.71,47.87,290755
1716436800,48.39,48.445,45.845,46.04,429336
1716523200,46.32,49.45,45.6058,48.03,315789
1716868800,48.19,49.389,46.71,47.86,333798
1716955200,46.58,47.49,45.01,45.18,424604
1717041600,45.48,46.57,45.08,46.36,372525
1717128000,46.74,47.33,45.38,45.64,416004
1717387200,46.49,47.43,44.935,45.93,270676
1717473600,45.51,45.86,43.65,43.98,302576
1717560000,44.28,45.17,43.56,43.85,434140
1717646400,43.65,43.74,41.95,42.115,336226
1717732800,41.38,41.96,40.4,41.69,533001
1717992000,41.09,43.93,40.97,43.9,350039
1718078400,43.39,43.65,42.54,43.21,276011
1718164800,45.97,45.97,43.62,44.31,335464
1718251200,44.14,45.04,42.15,43.12,222803
1718337600,42.23,42.93,40.22,41.14,396460
1718596800,40.85,41.64,38.615,38.99,514220
1718683200,39.13,39.33,36.26,36.37,945649
1718856000,36.7,38.4899,36.7,38.05,781231
1718942400,38.09,38.94,37.42,38,1031525
1719201600,38.03,41.0584,37.61,39,461884
1719288000,38.91,38.91,37.35,37.47,414877
1719374400,37.15,38.3,36.4285,38.25,468536
1719460800,38.4,40.18,36.99,39.95,436948
1719547200,40.13,40.83,38.17,39.35,1943282
1719806400,39.3,40.2,38.58,38.58,398465
1719892800,38.26,38.595,37.38,38.21,390036
1719979200,38.57,38.57,36.6,37.5,184390
1720152000,37.5,38.06,36.67,38.02,204460
1720411200,38.54,39.61,38.05,39.6,307835
