T,O,H,L,C,V
1713844800,111.16,114.05,110.96,113.77,1874712
1713931200,114.17,114.33,112.23,112.72,1410138
1714017600,111.49,112.9799,109.77,111.88,1399234
1714104000,112.51,112.51,111.1701,112.22,1537561
1714363200,112.81,113.31,110.77,110.91,1773457
1714449600,110.44,111.28,107.885,108.38,2405511
1714536000,108.6,110.07,107.2,107.77,2223550
1714622400,107.75,113.15,106.92,112.07,4930625
1714708800,113,113.25,109.22,109.46,3300741
1714968000,109.62,111.69,108.13,111.48,1906363
1715054400,110.88,113.7545,110.2,113.18,3273622
1715140800,112.56,113.36,110.44,113.32,1836885
1715227200,113.04,113.78,111.92,112.19,2587304
1715313600,112.93,112.93,111.56,112.06,1263229
1715572800,112.6,112.6,109.64,109.78,1757488
1715659200,109.69,110.94,109.38,110.87,1505981
1715745600,111.38,115.48,111.02,115.32,2333570
1715832000,115,115.2,112.68,112.73,1814801
1715918400,113.28,113.65,112.155,113.08,1782747
1716177600,113.08,113.92,112.63,112.95,1395788
1716264000,112.78,114.9,112.17,114.7,1554120
1716350400,114.415,115.535,113.33,113.84,1161824
1716436800,115,115,112.25,112.88,1264849
1716523200,113.15,115.89,112.93,115.52,1944715
1716868800,115.75,117.21,115.14,115.6,2507778
1716955200,114.79,114.79,112.16,113.17,1779718
1717041600,112.99,116.82,112.92,116.77,2117349
1717128000,117.23,119.5499,113.22,116.16,5138150
1717387200,116.94,117.19,114.38,116.55,2801597
1717473600,115.66,117.02,113.73,113.88,2251166
1717560000,114.74,116.32,113.81,116.28,2033828
1717646400,116.28,119.3,112.2038,112.97,2985642
1717732800,112.82,114.11,111.13,112.36,2854197
1717992000,112.3,118.93,111.65,118.77,4711805
1718078400,118.39,118.51,115.7,116.71,2773952
1718164800,118.85,119.69,118.05,118.38,2831998
1718251200,118.02,118.78,114.59,116.28,1711589
1718337600,115,116.3,113.6,115.87,2072291
1718596800,115.96,116.97,114.86,116.29,1303941
1718683200,116.35,117.64,115.72,117.32,1517965
1718856000,116.85,118.565,116.85,118.43,2013489
1718942400,118.1,118.21,116.35,117.78,3778419
1719201600,117.3,119.55,117.21,118.28,2865720
1719288000,117.58,119,116.58,118.47,2248214
1719374400,117.95,118.17,116.88,118.06,1735944
1719460800,117.4,118.53,117.06,118,2312979
1719547200,118.5,119.303,117.84,118.07,14974094
1719806400,119.07,119.33,116.52,118.74,3010761
1719892800,118.04,120.18,117.33,120.04,2426423
1719979200,120.4,120.8,118.985,119.8,1812199
1720152000,119.59,120.14,117.57,118.74,1596287
1720411200,118.71,119.01,115.71,115.92,2128458
1720497600,115.74,117.88,115.42,116.68,1354743
1720584000,117.24,119.39,117.01,119.21,1259482
1720670400,119.8,121.23,119.19,121.1,1685512
1720756800,121.49,122.76,120.44,120.54,1461623
1721016000,121.25,122.54,120.62,122.5,1905225
1721102400,123,124.01,122.13,124,2180858
1721188800,122.97,123.38,120.15,121.18,2135594
1721275200,121.46,122.6013,120.26,120.33,1630439
1721361600,121.11,121.95,119.83,120.51,1746841
1721620800,121.22,124.295,121.07,123.99,1936902
1721707200,123.76,125.31,123.27,124.84,2056185
1721793600,123.75,125.06,121.3,121.72,1886974
1721880000,122.06,124.33,119.46,121.66,2516117
1721966400,123.69,123.7399,121.085,122.16,2097681
1722225600,123.05,123.34,121.44,122.06,1657730
1722312000,122.89,124.38,121.61,122.64,2201067
1722398400,125.06,126.45,123.78,125.31,3662833
1722484800,120,122.91,115.21,115.97,8726241
1722571200,110.11,111.85,102.83,103.53,8835168
1722830400,97.46,101.71,95.11,99.16,6569351
1722916800,101.75,106.16,101.45,103.46,6501283
1723003200,106.04,107.54,102.59,103.12,3875789
1723089600,104.75,105.62,102.14,103.19,5464452
1723176000,103.46,104.91,103.05,104.7,2765328
1723435200,104.2,104.48,102.42,103.03,2653153
1723521600,103.82,105.3487,103.77,104.61,1831418
1723608000,105.03,106.68,104.61,105.98,1674778
1723694400,108.63,111.39,108.41,110.83,3826882
1723780800,110.18,111.49,109.29,111,1950123
1724040000,111.05,112.01,110.82,111.61,1458575
1724126400,111.26,111.965,108.95,109.85,1593026
1724212800,109.94,109.985,108.29,109.28,1667442
1724299200,109.26,109.9899,108.06,108.47,1773826
1724385600,109.23,111.72,108.67,111.51,1874533
1724644800,111.97,112.795,111.44,111.89,1315946
1724731200,112.56,114.175,112.045,113.58,2083376
1724817600,113.51,114.65,112.91,113.39,1853947
1724904000,113.87,114.7092,112.89,113.26,2741999
1724990400,113.92,116.22,112.66,115.73,2645143
1725336000,114.26,114.745,110.71,111.32,3076387
1725422400,110.98,111.61,108.01,109.53,2779251
1725508800,109.96,110.09,107.615,108.85,2490458
1725595200,109.18,111.215,106.465,108,4233167
1725854400,106.21,108.94,105.74,107.59,4438761
1725940800,107.91,108.345,103.17,106.74,3774943
1726027200,108.92,108.99,104.37,108.67,2878807
1726113600,109.68,112.46,108.5145,112.37,2505692
1726200000,113,115.67,112.73,114.39,2916990
1726459200,114.77,117.36,113.83,117.16,2341206
1726545600,117.67,118.41,116.19,117.79,2213671
1726632000,118.54,119.43,117.4,117.55,2505670
1726718400,120.5,122.33,119.35,121.62,2236928
1726804800,121.57,125.285,121.115,124.48,4562658
1727064000,125.27,126.93,124.1975,125.23,3157696
1727150400,124.88,126.07,124.29,125.13,3173306
1727236800,126.26,126.425,123.9118,124.53,2377197
1727323200,125.5,125.78,124.485,125.5,2409455
1727409600,126.02,126.31,124.9,125.81,2293260
1727668800,125,125.53,123.28,124.91,3685365
1727755200,126.04,133.05,124.46,132.01,5703873
1727841600,132.61,135.29,131.55,132.7,6003861
1727928000,133,133.46,128.51,131.36,3591728
1728014400,134.11,136.26,133.66,135.33,3847455
1728273600,134.97,135.42,133.61,134.22,2276589
1728360000,134.66,136.22,134.4,136.1,2851672
1728446400,135.85,138.07,135,138.02,2777731
1728532800,138.04,140.355,137.47,137.92,4116370
1728619200,138.19,140.3,138.02,140.21,2716659
1728878400,141.07,141.63,139.63,141.37,2113282
