T,O,H,L,C,V
1713844800,35.02,37.09,34.78,36.59,379960
1713931200,36.63,37.27,36.47,36.66,267669
1714017600,35.87,36.405,35.06,36.2,512207
1714104000,36.54,38.13,36.03,37.56,380380
1714363200,37.77,38.53,37.57,38.37,417105
1714449600,37.85,38.43,37.39,37.44,456743
1714536000,37.31,38.6,36.54,36.73,566111
1714622400,32,32.09,28.22,31.03,2289918
1714708800,31.36,32.54,30.9501,31.98,795544
1714968000,32,33.085,32,32.97,543542
1715054400,32.85,32.85,31.65,31.83,433654
1715140800,31.37,32.11,31.36,32.1,355074
1715227200,31.98,31.99,31.43,31.66,300498
1715313600,31.66,32.28,31.38,32.24,405994
1715572800,32.5,34,32.385,33.29,502412
1715659200,33.65,34.64,33.535,33.62,527705
1715745600,34.2,34.3,33.09,33.44,406248
1715832000,33.2,33.91,33,33.37,288292
1715918400,33.58,33.58,32.93,33.15,316512
1716177600,33.07,33.07,32.195,32.43,380890
1716264000,32.17,32.4,31.62,32.02,434622
1716350400,31.99,32.13,31.54,32.01,456580
1716436800,32.28,32.33,30.9,31.5,616421
1716523200,31.5,31.74,30.9482,31.05,358667
1716868800,31.25,31.265,29.32,29.86,625939
1716955200,29.39,30.34,29.2,29.67,364848
1717041600,29.31,29.6,27.95,28.46,715249
1717128000,28.79,28.99,27.81,28.39,501907
1717387200,29.13,29.34,28.59,28.75,535528
1717473600,28.28,28.67,27.81,28.06,488535
1717560000,28.32,28.89,28.0309,28.49,306756
1717646400,28.19,28.94,28.16,28.24,305379
1717732800,27.93,28.19,27.32,27.38,354020
1717992000,27.05,28.23,26.71,27.83,372883
1718078400,27.5,28.34,27.32,28.08,404528
1718164800,29.28,31.35,28.65,29.28,694595
1718251200,29.33,29.3737,28.21,28.67,517830
1718337600,28.48,28.48,27.53,27.95,406913
1718596800,27.59,27.89,26.74,26.96,720328
1718683200,26.8,27.51,26.28,26.81,875297
1718856000,26.78,27.895,26.36,27.46,413535
1718942400,27.51,28.04,27.2901,27.98,962521
1719201600,27.87,28.46,27.81,28.14,498575
1719288000,28.11,29.02,27.685,28.99,411998
1719374400,28.83,29.795,28.59,29.76,540936
1719460800,29.68,30.75,29.6,30.53,441970
1719547200,30.84,31.125,30.395,30.86,573044
1719806400,30.75,31.04,30.26,30.76,500646
1719892800,31.13,31.4687,30.65,31.13,381267
1719979200,31.13,31.5,30.78,30.79,315088
1720152000,30.75,31.25,30.715,31.09,892238
1720411200,31.1,31.8899,30.72,31.78,549309
1720497600,31.64,32.09,31.035,32.02,663777
1720584000,32.75,33.9,32.6,32.84,884873
1720670400,33.72,34.37,31.94,32.49,1471267
1720756800,32.69,33.9,32.69,33.64,575617
1721016000,34.39,34.93,34.17,34.5,696176
1721102400,34.84,35.5,34.71,35.46,676718
1721188800,34.83,36.19,34.83,35.58,619024
1721275200,35.5,36.31,34.79,35.37,718984
1721361600,35.57,36.07,35.18,35.3,707151
1721620800,35.3,35.36,34.5401,34.94,610397
1721707200,35,35.9,34.9388,35.62,606017
1721793600,36,36.75,34.9,35.08,594862
1721880000,35.55,38.7,35.39,37.49,1197107
1721966400,37.98,38.18,37.02,37.75,457675
1722225600,38.33,38.395,37.4,37.8,683997
1722312000,36.4,38.48,34.55,37.02,1970534
1722398400,36.42,37.32,36.11,36.94,1156206
1722484800,35.75,35.85,29.42,29.425,2813150
1722571200,28.23,29.995,27.55,29.84,1307094
1722830400,27.5,29.39,27.24,28.66,1141014
1722916800,28.88,28.89,27.49,27.79,1215342
1723003200,28.32,28.34,26.895,27.04,994613
1723089600,27.48,28.53,27.15,28.39,578827
1723176000,28.4,28.6,27.84,28.23,559569
1723435200,28.66,28.75,27.58,27.99,601125
1723521600,28.28,30.05,28.25,30,1361285
1723608000,30.25,30.65,29.75,30.04,758544
1723694400,31,31.31,30.34,30.84,956495
1723780800,30.66,31.04,30.38,31.01,837877
1724040000,31.36,31.678,30.79,31.23,396861
1724126400,31.16,31.76,30.84,31.32,467352
1724212800,31.3,31.58,30.875,31.16,301698
1724299200,31.45,31.79,30.54,30.8,442008
1724385600,31.36,31.78,31.23,31.45,363103
1724644800,31.52,32.04,31.2901,31.79,341503
1724731200,31.61,31.99,31.09,31.57,276182
1724817600,31.53,31.91,30.92,31.2,231666
1724904000,31.5,32.83,31.38,32.48,519215
1724990400,33.08,33.08,32.02,32.44,486568
1725336000,31.92,32.6,31.6,31.61,436415
1725422400,31.32,31.89,31.02,31.29,262308
1725508800,31.29,31.63,30.77,31.35,272471
1725595200,31.52,31.81,29.96,30.04,387316
1725854400,30.25,30.7016,29.86,30.07,326710
1725940800,31.45,31.67,30.33,31.4,498652
1726027200,31.17,31.73,30.595,31.45,376632
1726113600,31.68,32.065,31.2,31.49,253045
1726200000,32.33,33.17,32.13,32.87,318053
