T,O,H,L,C,V
1713844800,21.22,21.23,21.06,21.19,219781
1713931200,21.12,21.2299,21.02,21.18,215620
1714017600,21.19,21.6,21.1,21.5,367783
1714104000,21.6,21.6,21.11,21.15,563361
1714363200,21.76,23.69,21.5501,22.21,2001796
1714449600,22.5,22.6931,22.1615,22.43,534411
1714536000,22.63,23.02,22.4,22.61,747149
1714622400,22.66,23.2,22.64,22.87,581462
1714708800,23.06,23.41,22.81,23.25,715355
1714968000,23.52,23.9,23.37,23.72,966972
1715054400,22.97,23.03,21.84,22.48,926946
1715140800,22.49,22.53,22.02,22.445,399212
1715227200,22.36,22.79,22.36,22.635,550656
1715313600,22.66,22.744,21.95,22.26,436512
1715572800,22.48,22.77,22.25,22.27,362340
1715659200,22.15,22.55,22.0758,22.55,250908
1715745600,22.66,23.15,22.456,22.81,698828
1715832000,22.92,23.05,22.65,22.74,260716
1715918400,22.68,22.94,22.68,22.82,244031
1716177600,22.81,23.19,22.8083,23.06,349314
1716264000,23.21,23.41,23.02,23.02,359536
1716350400,23.1,23.3,22.82,23.16,227080
1716436800,23.08,23.36,22.54,23.06,406835
1716523200,23.25,23.55,23.21,23.31,329236
1716868800,23.2,24,23.1912,23.98,665731
1716955200,24,24,22.8401,23.41,465971
1717041600,23.35,23.99,23.35,23.86,338881
1717128000,24,24.85,23.96,24.64,907580
1717387200,24.79,25.53,24.78,24.91,557681
1717473600,25.01,25.01,23.44,23.6,641519
1717560000,23.64,23.8699,23.17,23.28,458457
1717646400,23.35,24.55,23.35,24.33,430415
1717732800,24.33,24.74,24.2,24.59,309838
1717992000,24.61,25.15,24.55,24.82,501630
1718078400,24.82,24.82,23.73,24.05,451482
1718164800,24.32,24.45,23.83,23.93,388870
1718251200,23.81,24.015,23.51,23.74,185889
1718337600,23.63,23.73,23.43,23.5,214531
1718596800,23.4,24.46,23.4,23.49,554788
1718683200,23.66,24.25,23.57,23.96,263021
1718856000,24.06,24.2,23.91,24.13,273099
1718942400,24.05,24.1999,23.8,23.8,498296
1719201600,23.74,24.29,23.67,24.01,202211
1719288000,24.08,24.2,23.96,24.09,152662
1719374400,24.17,24.35,23.85,24.22,287095
1719460800,24.32,24.4,24.01,24.185,151705
1719547200,24.15,24.74,24.15,24.46,255315
1719806400,24.69,25.75,24.62,25.34,559433
1719892800,25.34,25.74,24.8,25.17,308057
1719979200,25.17,25.44,24.88,25,152757
1720152000,25,25.39,24.6272,25.275,358043
1720411200,25.28,25.44,24.35,24.675,523555
1720497600,24.77,25.35,24.51,24.57,296573
1720584000,24.57,24.81,24.57,24.79,207453
1720670400,25.01,25.03,24.73,24.94,212318
1720756800,24.91,25.01,24.79,25,149890
1721016000,25.01,25.18,24.91,24.99,301319
1721102400,25.01,25.29,24.75,25.22,190569
1721188800,25.21,25.59,25.1962,25.3,273585
1721275200,25.35,25.69,25.3,25.44,262313
1721361600,25.57,25.6999,25.41,25.51,172824
1721620800,25.75,26,25.52,25.54,310986
1721707200,25.6,25.81,25.29,25.64,197092
1721793600,25.75,26.13,25.72,25.89,320960
1721880000,26.2,26.21,25.11,25.42,415011
1721966400,25.4,25.99,25.4,25.79,284067
1722225600,25,25,23.56,24.65,905805
1722312000,24.5,24.65,24.12,24.45,335181
1722398400,24.75,24.8799,24.6001,24.8,251426
1722484800,24.85,25.174,24.55,24.75,230479
1722571200,24.75,24.765,23.64,23.87,576516
1722830400,23.07,23.4,22.501,23.02,809473
1722916800,23.32,23.7,23.13,23.32,918551
1723003200,22.68,22.93,22.1785,22.6,500556
1723089600,22.41,22.95,22.4,22.8,440170
1723176000,22.78,22.99,22.68,22.8,217431
1723435200,22.73,22.95,22.4128,22.57,276204
1723521600,22.57,23.26,22.45,23.26,425890
1723608000,23.31,23.31,22.83,23.2,333066
1723694400,23.28,23.89,23.21,23.56,419943
1723780800,23.57,24.21,23.5,23.94,338214
1724040000,23.88,24.21,23.81,23.85,233347
1724126400,23.75,23.835,23.3,23.41,236420
1724212800,23.49,24.05,23.49,23.88,231099
1724299200,23.98,23.9899,23.56,23.87,197484
1724385600,23.92,24.21,23.8615,24.05,197419
1724644800,24.17,24.48,23.89,23.97,208149
1724731200,24.1,24.2099,23.77,24.08,118766
1724817600,24.08,24.08,23.7,23.92,124143
1724904000,24.08,24.28,23.8,23.92,174735
1724990400,23.89,24.05,23.7,23.92,149862
1725336000,23.96,23.96,23.25,23.3,266250
1725422400,23.13,23.2959,22.9,23.01,222828
1725508800,23.02,23.08,22.75,22.83,176997
