T,O,H,L,C,V
1713844800,97.32,98.37,95.05,96.04,11212389
1713931200,102,103.75,97.2401,99.88,11697822
1714017600,96.05,99.67,95.5,97.93,6140842
1714104000,101.4,102.3,98.22,101.95,5651662
1714363200,102.2,103.4,99.05,103.24,4009208
1714449600,103.02,105.1944,100.85,101.21,3783680
1714536000,99.98,100.6,95.24,95.29,6090454
1714622400,98.99,100.3,96.13,98,4117395
1714708800,101.62,104.36,100.4487,101.7,5780156
1714968000,103.82,107.92,103.595,106.98,7489247
1715054400,109.3,109.69,106.5404,107.8,8187311
1715140800,107.8,109.94,104.65,106.07,15211317
1715227200,99.27,106.9,97.76,103.59,29441153
1715313600,106.2,110.3723,106.2,108.84,15281029
1715572800,114,117.58,110.86,117.23,16402548
1715659200,115.82,117.41,114.35,116.65,8046116
1715745600,118.4,118.5,112.5163,113.67,9544257
1715832000,115.69,116.8746,113.89,114.27,6446297
1715918400,115.6,115.68,109.6101,110.35,7523269
1716177600,111,111.3299,108.69,110.46,5260806
1716264000,110,115.779,109.5,114.77,10468845
1716350400,115.01,117.3605,111.65,112.43,8406909
1716436800,117,117.33,110.38,112.53,8450553
1716523200,112.77,115.56,111.6,114.64,4735978
1716868800,115.455,125.98,115.32,124.94,16202680
1716955200,123.7,123.7,119.05,120.65,8166773
1717041600,121.8,123.5004,117.77,120.73,6609687
1717128000,119.92,123.88,116.01,120.52,9110420
1717387200,125,129.85,122.54,127.12,11447937
1717473600,126.875,127.67,122.89,125.86,6879787
1717560000,126.83,136.8499,126.72,136.67,12612251
1717646400,134.79,138.41,132.41,137.125,8874515
1717732800,136.93,140.97,135.31,136.57,6610104
1717992000,134.785,142.09,132.5,139.91,8883753
1718078400,139.08,147.5,139,143.92,11434769
1718164800,146,158.71,145.2,155.59,17284330
1718251200,157.335,161.49,150.67,158.05,15371944
1718337600,159.9,167.69,153.5,157.89,22256210
1718596800,160.17,162.7,153.6201,160.29,12826931
1718683200,160.03,177.31,159.32,174.13,22339063
1718856000,173.13,173.85,156,160.77,22162341
1718942400,156.562,162.2,151.3725,160.3,21934971
1719201600,156.87,157.77,150.6,151.07,9260941
1719288000,151.57,161.95,149.5,160.61,10258156
1719374400,161.63,166.8,159.51,164.72,11598298
1719460800,162.556,168.82,160.79,166.935,8980296
1719547200,167.25,170.88,162.33,163.62,7095948
1719806400,163.43,163.85,152.55,158.83,8381526
1719892800,156.85,163.6197,155.27,163.46,5753481
1719979200,162.42,170.66,159.31,168.24,6591290
1720152000,172,182.65,169.6001,181.19,14231323
1720411200,181.04,186.38,179.5146,184.7,9516780
1720497600,186.1,188.75,179.11,182.28,9258555
1720584000,183.39,187.47,178.5,186.46,6986366
1720670400,186.84,187.28,173.0301,173.19,10658300
1720756800,174.07,183.05,173.5,181.18,8999709
1721016000,182.11,183.74,176.86,177.53,5469526
1721102400,180,180.95,172.54,178.77,5762064
1721188800,169.98,172.36,161.53,161.7,12350620
