T,O,H,L,C,V
1713844800,13.91,14.9,13.91,14.72,2455384
1713931200,14.8,15.055,14.63,14.98,1950344
1714017600,14.56,14.736,14.375,14.62,1254482
1714104000,14.69,15.255,14.47,15.08,1919759
1714363200,15.17,15.55,15.12,15.35,1976907
1714449600,15.11,15.18,14.785,14.87,1732326
1714536000,14.87,15.82,14.805,15.34,2142509
1714622400,15.51,15.65,14.87,15.63,2215749
1714708800,16,16.16,15.35,15.72,2213287
1714968000,15.9,16.02,15.73,15.92,1281045
1715054400,15.86,15.87,15.52,15.53,1056929
1715140800,15.3,15.32,14.68,14.94,2247945
1715227200,14.96,15.1042,14.69,14.81,1757665
1715313600,14.9,15.19,14.7,15.16,1328495
1715572800,15.36,15.65,15.18,15.5,1403984
1715659200,15.82,16.32,15.63,15.64,1804929
1715745600,16.2,16.265,15.67,15.81,1325822
1715832000,15.68,15.75,15.52,15.7,1016091
1715918400,15.71,15.84,15.54,15.78,792645
1716177600,15.8,15.8,15.53,15.76,833769
1716264000,15.58,15.63,15.015,15.16,1623120
1716350400,15.13,15.53,15.11,15.28,1046959
1716436800,15.45,15.45,14.56,14.74,1575830
1716523200,14.75,14.85,14.44,14.45,1383041
1716868800,14.39,14.4788,13.885,14,1970314
1716955200,13.72,13.91,13.64,13.81,1686919
1717041600,13.63,13.71,12.89,13.13,5459518
1717128000,14.89,15.43,12.85,13.05,6903392
1717387200,13.49,13.6856,13.1,13.41,2985070
1717473600,13.23,13.93,13.18,13.6,2687077
1717560000,13.82,13.82,13.07,13.24,2204704
1717646400,13.19,13.85,13.13,13.82,1850930
1717732800,13.63,13.69,13.342,13.5,1330721
1717992000,13.4,13.615,13.3212,13.43,2544556
1718078400,13.3,13.44,13.185,13.3,1103175
1718164800,13.8,14.32,13.31,13.32,2014252
1718251200,13.33,13.37,12.36,12.37,2420117
1718337600,12.3,12.5,12.19,12.33,1926972
1718596800,12.23,12.31,11.87,12,2501898
1718683200,11.96,12.05,11.73,11.87,2242955
1718856000,11.75,11.83,11.29,11.37,4668507
1718942400,11.64,13.17,11.61,13.11,10242266
1719201600,12.87,13.21,12.48,12.52,4317142
1719288000,12.5,12.84,12.43,12.68,2746026
1719374400,12.57,13.04,12.525,12.99,2018548
1719460800,12.88,13.64,12.78,13.58,2868091
1719547200,13.7,14.04,13.53,13.99,2363766
1719806400,13.93,14.09,13.78,13.99,1669472
1719892800,14.02,14.1,13.36,13.52,1685096
1719979200,13.59,13.6806,13.41,13.46,734459
1720152000,13.36,13.445,13.06,13.33,1740646
1720411200,13.41,13.62,13.19,13.46,2652258
1720497600,13.44,13.47,12.88,13.07,1857411
1720584000,13.25,13.25,12.78,13.19,1230648
1720670400,13.67,13.97,13.425,13.52,2082200
1720756800,13.43,13.78,13.4,13.58,1582069
1721016000,13.58,13.97,13.56,13.91,1540152
1721102400,14,14.9399,14,14.57,2387898
1721188800,14.26,15.1,14.25,14.78,2601516
1721275200,14.67,15.125,14.19,14.41,2399663
1721361600,14.36,14.51,14.21,14.41,1206593
1721620800,14.54,14.6,14.07,14.29,1700955
1721707200,14.32,14.65,14.2,14.42,2545399
1721793600,14.44,14.685,14.0903,14.13,1430124
1721880000,14.15,15.4,14.12,15.08,2953490
1721966400,15.3,15.5199,15.12,15.37,1646580
1722225600,15.4,15.5,15.13,15.28,1370097
1722312000,15.35,15.47,14.88,15.05,1169127
1722398400,15.16,15.19,14.505,14.55,2002118
1722484800,14.44,14.84,13.89,14.05,1754551
1722571200,13.42,13.52,12.61,12.95,2868657
1722830400,11.89,12.78,11.86,12.67,2051352
1722916800,12.78,12.85,12.47,12.55,2089937
1723003200,12.83,13.19,12.36,12.37,2358690
1723089600,12.57,12.82,12.3801,12.79,1741143
1723176000,12.75,12.79,12.205,12.22,1874902
1723435200,12.55,12.79,12.31,12.54,2597581
1723521600,12.59,13,12.5,12.95,2285294
1723608000,13,13.155,12.675,12.72,1310651
1723694400,13.1,13.36,13.06,13.22,1190945
1723780800,13.12,13.34,13.06,13.25,1578927
1724040000,13.25,13.61,13.23,13.53,1316864
1724126400,13.1,13.705,13,13.58,1415214
1724212800,13.73,13.88,13.57,13.86,968613
1724299200,13.87,13.94,13.325,13.34,1035915
1724385600,13.57,13.92,13.415,13.9,1453408
1724644800,14.05,14.59,13.98,14.52,1553836
1724731200,14.33,14.61,14.14,14.25,1753082
1724817600,14.17,14.27,13.465,13.75,1267372
1724904000,13.97,14.355,13.93,14.03,1425469
1724990400,14.18,14.24,13.865,14.06,1495867
1725336000,13.86,14.17,13.23,13.29,3574603
1725422400,11.55,12.61,11.31,12.61,5552496
1725508800,12.46,12.9,12.1401,12.58,3240524
1725595200,12.54,12.72,11.77,11.78,3729816
1725854400,11.76,11.85,11.38,11.51,2639911
1725940800,11.54,11.5753,11.045,11.25,2790451
1726027200,11.19,11.715,11.1153,11.67,3642531
1726113600,11.69,11.84,11.3167,11.71,1924426
1726200000,11.8,12.31,11.7,12.12,1816158
1726459200,12.06,12.26,11.92,12.14,1420787
1726545600,12.28,12.355,12.02,12.02,1393438
1726632000,12.03,12.25,11.82,11.92,2239528
1726718400,12.28,12.65,12.15,12.54,2261247
1726804800,12.45,12.45,11.745,11.92,3969181
1727064000,11.96,11.96,11.64,11.89,2078706
1727150400,12.02,12.175,11.815,11.89,2253942
1727236800,11.57,11.92,11.561,11.7,1837058
1727323200,11.9,11.955,11.56,11.72,1502500
1727409600,11.86,11.95,11.66,11.74,1701697
1727668800,11.66,11.79,11.455,11.59,2141221
1727755200,11.6,11.68,11.125,11.17,1708463
1727841600,11.18,11.525,11.13,11.34,1956772
1727928000,11.15,11.315,11.08,11.2,1680915
1728014400,11.43,11.53,11.18,11.53,1380878
1728273600,11.49,11.6,11.23,11.34,1663765
1728360000,11.36,11.785,11.29,11.69,1926526
1728446400,11.73,11.9,11.61,11.64,1240956
1728532800,11.46,11.89,11.37,11.83,1378284
1728619200,11.78,12.046,11.6942,11.96,1382223
1728878400,12,12.3,11.74,12.2,1195571
1728964800,12.17,12.375,12,12.18,1124491
1729051200,12.29,12.29,12.03,12.13,1037840
1729137600,12.16,12.28,11.94,12.18,1332426
