T,O,H,L,C,V
1713844800,879.3,908.06,875,901.57,991302
1713931200,913.05,915,881.97,892.32,860552
1714017600,875,911.06,871,902.51,1114156
1714104000,912.27,926.39,911.55,918.97,865078
1714363200,911.85,913.25,901.08,909.77,650763
1714449600,896.1,907.18,871.22,872.47,1093044
1714536000,871.11,880.59,849.14,852.84,1458201
1714622400,875,878,862.35,870.28,876821
1714708800,894.59,904.955,888.67,901.63,1038174
1714968000,909.2,918.36,905.03,916.92,641954
1715054400,924.83,926.38,907.64,908.22,655004
1715140800,904.44,916.7333,903.32,911.47,555748
1715227200,914.7,918.17,907.38,913.54,755992
1715313600,925,939,925,930.29,814077
1715572800,927.68,929,914.26,917.24,745777
1715659200,912.9,916.38,905.88,915.03,592139
1715745600,918.65,937.42,910.65,937.42,882999
1715832000,936.5,938.8144,918.94,919.54,811169
1715918400,920.8,930.97,916.21,924.97,703789
1716177600,925.78,946.72,925.78,939.44,669308
1716264000,920.94,933.58,915.335,925.27,746425
1716350400,931.21,933.5,913.49,922.33,668645
1716436800,967.58,969.49,927.4145,934.25,1357183
1716523200,938.26,958.57,933.73,956.22,685071
1716868800,972.8,992.88,965.25,991.85,1183953
1716955200,961.55,965.5,955.94,957.88,893704
1717041600,957,969.15,952.8,966.12,847037
1717128000,971.81,980,932.925,960.35,1040377
1717387200,969.34,972.26,948.39,965.48,752998
1717473600,962.24,963.71,943,950.81,765369
1717560000,1019.35,1041.56,1008.9,1041.34,2586499
1717646400,1048,1054.44,1032.99,1052.61,1370689
1717732800,1040.25,1043.74,1026.515,1028.42,936155
1717992000,1016.14,1046.1212,1013.92,1041.71,1039636
1718078400,1027.49,1038.91,1019.6945,1036.01,789544
1718164800,1059.15,1077.2192,1055.63,1068.86,978383
1718251200,1053.73,1061,1038.745,1052.71,1106337
1718337600,1021.46,1031,1016.602,1027.9,1047213
1718596800,1044.19,1054.38,1032.665,1052.47,844443
1718683200,1042.2,1069.415,1042,1061.38,1025328
1718856000,1058.23,1063.15,1045.0151,1050.74,1150337
1718942400,1038.18,1039,1023.21,1036.6,1626737
1719201600,1033.17,1034.71,1002.01,1002.01,1026966
1719288000,1005.16,1023.49,1002.635,1023.34,801092
1719374400,1014,1023.6,1003.9,1016.6,885119
1719460800,1029.44,1041.71,1024.64,1028.01,784296
1719547200,1028,1048.81,1015.45,1022.73,837765
1719806400,1035.55,1038.11,1015.8,1033.49,790961
1719892800,1026.77,1047.99,1025.86,1047.89,748733
1719979200,1058.39,1074.3,1055.41,1071.41,779820
1720152000,1079.75,1082.79,1069.34,1074.48,771089
1720411200,1083.15,1087.79,1075.825,1077.39,882141
1720497600,1079.7,1081.5223,1059.35,1059.97,926706
1720584000,1069.19,1100.575,1065,1098.95,925424
1720670400,1109.98,1110.09,1061.5602,1062.5,1152209
1720756800,1072.76,1100.62,1066.295,1085.26,1053757
1721016000,1097.44,1098.735,1060.37,1063.63,1365618
1721102400,1074.52,1077.05,1060.74,1068.19,1197588
1721188800,978.58,979.99,928.7,932.055,5182211
1721275200,953.5,957.21,911,924.15,2242199
1721361600,915.23,920.335,891.66,895.37,2133629
1721620800,928.19,942.57,922.01,941.26,1926830
1721707200,935.38,940.405,929.18,932.81,1056217
1721793600,918.16,919.665,870.76,872.75,1911957
1721880000,873,886.37,850.18,862.63,2075913
1721966400,893.92,895.57,882.23,888.39,1681620
1722225600,886.99,898,869.02,870.55,1231493
1722312000,892.5,893.935,856.0003,860.24,1678032
1722398400,925.52,942.24,917.04,936.7,2406778
1722484800,923.04,927.76,871.81,883.71,1808505
1722571200,824.2,828.5899,795.89,809.35,3609112
1722830400,775,838.88,767.41,820.35,2815627
1722916800,840.36,860.01,835.53,843.01,1995749
1723003200,877,878.39,834.63,836.35,1521637
1723089600,860.97,878.63,849.26,876.65,1447676
1723176000,855.23,865.3,848.54,860.55,950463
1723435200,861.75,866.97,852.82,852.86,1151189
1723521600,860.8,872.67,856.32,869.49,1526599
1723608000,887.59,890.39,870.46,879.58,887660
1723694400,900.39,930.81,896.3,928.25,1459010
1723780800,916.16,922.46,913.03,918.66,804217
1724040000,917.14,933.71,909.45,933.15,1024623
1724126400,935.98,936.38,917.35,926.18,920360
1724212800,933.72,945.05,931.67,943.61,646457
1724299200,943,943.9867,904.59,907.71,1092616
1724385600,912.91,922.125,903.13,907.26,1396044
1724644800,903.54,904.64,882.45,883.31,1251479
