T,O,H,L,C,V
1713844800,58.67,60.235,58,59.27,2184850
1713931200,59.28,60.18,58.79,59.06,873375
1714017600,57.7,59.75,57.7,59.07,1175339
1714104000,59.03,60.78,58.89,60.72,1016933
1714363200,61,61.68,60.46,60.76,1310771
1714449600,60.11,60.23,58.06,58.3,939389
1714536000,58.3,58.675,56.66,56.7,1408196
1714622400,57.44,58.125,56.925,57.75,1043688
1714708800,58.43,59.28,57.35,57.4,1001515
1714968000,57.79,58.75,57.79,58.13,1083473
1715054400,57.94,58.66,57.53,57.57,935817
1715140800,57.05,57.21,56.3,56.47,1069969
1715227200,56.12,57.42,56.035,57.1,1498136
1715313600,57.26,57.49,56.445,56.7,636925
1715572800,57.21,58.39,56.29,56.35,1195559
1715659200,57.81,58.35,56.43,56.46,1144304
1715745600,56.96,57.14,55.27,55.4,1452419
1715832000,55.36,55.5,54.25,54.39,1414706
1715918400,54.51,54.6043,53.31,53.71,1177818
1716177600,53.79,54.1365,53.2,53.81,1402333
1716264000,53.71,53.77,53.02,53.46,942270
1716350400,53.38,53.51,52.29,52.45,940133
1716436800,52.88,53.16,52.37,53.04,907623
1716523200,53.18,53.68,52.95,53.28,700442
1716868800,54.06,56.04,53.6201,55.95,1705878
1716955200,57.4,57.55,56.205,56.65,1414043
1717041600,56.82,58.43,56.82,57.95,1337653
1717128000,58.02,58.56,56.95,57.69,1133100
1717387200,58.28,58.29,57.1,57.41,875038
1717473600,56.57,57.23,55.66,56.25,803093
1717560000,56.63,56.63,55.62,56.05,846870
1717646400,55.8,56.1077,54.75,54.95,1027576
1717732800,54.41,55.38,54.41,55.04,1365840
1717992000,54.46,54.63,53.12,53.42,2786309
1718078400,52.03,54.4599,49.07,51.69,6288114
1718164800,50.7,54.47,50.7,52.89,3430170
1718251200,52.38,52.89,50.78,51.37,2250799
1718337600,50.75,52.2,50.52,51.79,1856823
1718596800,51.38,54.065,51.37,53.78,2001499
1718683200,53.64,54.97,53.245,54.77,1461383
1718856000,54.68,55.25,53.605,54.34,1639723
1718942400,54.3,56,54.28,55.24,8631779
1719201600,54.93,55.335,53.47,53.51,2073494
1719288000,53.17,53.44,52.41,52.73,1615952
1719374400,52.65,53.09,52.23,52.73,1559487
1719460800,52.86,53.52,52.58,53.29,1205773
1719547200,52.49,53.88,52.34,53.25,3435226
1719806400,53.62,53.63,50.55,50.66,1834139
1719892800,50.9,51.11,50.1,50.65,1211801
1719979200,50.59,51.74,50.575,50.94,1026475
1720152000,51.23,52.34,51.095,51.93,1982850
1720411200,52.3,53.71,52.186,53.23,1574556
1720497600,53.14,53.315,51.805,51.85,1333300
1720584000,52.15,53.01,51.53,52.09,1077182
1720670400,52.52,54.3,52.03,54.16,1570743
1720756800,54.41,54.42,53.06,53.13,1669686
1721016000,52.78,53.83,52.16,53.06,1299765
1721102400,53.61,57.34,53.32,57.02,2229201
1721188800,55.53,57.535,55.47,57.4,1478233
1721275200,57.31,58.97,55.85,55.89,1882828
1721361600,55.57,55.7,53.46,53.7,1540047
1721620800,54.5,54.875,52.945,54.84,1184793
1721707200,54.53,55.32,54.2,55.09,1057412
1721793600,54.76,55.48,53.34,54.38,1726620
1721880000,54.58,54.95,53.38,53.43,1605899
1721966400,53.64,54.61,53.12,53.29,1657830
1722225600,53.55,54.32,53.23,54.24,1086691
1722312000,54.33,54.87,53.08,53.3,909320
1722398400,53.55,55.78,53.275,54.07,1186133
1722484800,53.89,54.3,51.25,51.4,1546117
1722571200,49.83,50.51,48.74,49.14,1801576
1722830400,46,49.05,45.465,48.79,2585255
1722916800,49.03,49.56,48.12,48.71,1282646
1723003200,49.17,49.77,47.61,47.78,1321217
1723089600,48.62,49.6,48.6,49.54,1302118
1723176000,49.56,50.62,49.295,49.89,1167228
1723435200,49.73,50.76,49.4405,49.61,1089248
1723521600,49.53,51.09,48.96,50.91,1754931
1723608000,51.83,51.83,50.45,50.67,939183
1723694400,52.57,53.95,52.325,53.29,1388356
1723780800,53.04,55.19,52.83,54.64,1550947
1724040000,54.64,56.12,54.38,55.42,1243666
1724126400,55.18,55.55,54.79,54.92,748918
1724212800,55.65,56.39,55.42,56.37,809869
1724299200,56.12,56.12,54.61,54.75,901730
1724385600,55.14,55.28,54.29,54.49,1783511
1724644800,54.31,55.28,53.71,55.24,1146745
1724731200,54.97,55.96,54.33,55.89,830964
