T,O,H,L,C,V
1713844800,2.15,2.21,2.11,2.15,2239583
1713931200,2.16,2.21,2.12,2.14,1521349
1714017600,2.11,2.2,2.1,2.19,1736481
1714104000,2.175,2.25,2.17,2.23,1430271
1714363200,2.26,2.38,2.24,2.33,1833921
1714449600,2.29,2.305,2.2,2.21,1493624
1714536000,2.18,2.35,2.17,2.26,1439990
1714622400,2.29,2.355,2.25,2.3,1474105
1714708800,2.33,2.48,2.325,2.45,2748030
1714968000,2.46,2.6,2.46,2.48,1704025
1715054400,2.42,2.45,2.3036,2.32,1474320
1715140800,2.31,2.35,2.251,2.3,999877
1715227200,2.3,2.36,2.24,2.36,1248990
1715313600,2.37,2.45,2.26,2.26,1318415
1715572800,2.29,2.315,2.12,2.24,3457262
1715659200,2.25,2.58,2.25,2.51,4175495
1715745600,2.6,2.6,2.29,2.39,11016397
1715832000,3.14,4.16,3.07,4.03,76045579
1715918400,4.1,5.12,4.0629,4.54,35880820
1716177600,4.43,5.77,4.34,5.28,24652912
1716264000,5.6,5.69,4.43,4.71,15850285
1716350400,4.6,4.88,4.17,4.655,8460621
1716436800,4.65,4.65,4,4.14,6402720
1716523200,4.18,4.76,4.15,4.74,6523509
1716868800,4.99,5.42,4.65,5.33,10165643
1716955200,6.17,9.35,5.68,9.02,109899281
1717041600,9.24,9.4,7.8,8.41,37895305
1717128000,8.51,9.2,7.99,8.275,15500731
1717387200,8.04,8.63,7.56,8.38,13819493
1717473600,8.36,8.7,7.92,8.67,7824381
1717560000,8.72,9.6,8.3889,8.79,15718874
1717646400,8.72,9.49,8.7,9.32,10087142
1717732800,9.16,9.2,8.58,8.62,7303802
1717992000,8.55,8.77,8.09,8.48,7161070
1718078400,8.49,9.95,8.35,9.87,12057487
1718164800,9.7,10.1,9.37,9.76,10401892
1718251200,9.89,10.34,9.74,9.98,8819458
1718337600,9.9,10.325,9.63,10.22,8097764
1718596800,10.33,12.37,10.03,11.75,22821354
1718683200,12.4,12.45,10.91,11.39,16022839
1718856000,11.32,12.05,11.21,11.22,9697317
1718942400,11,11,10.02,10.08,10243967
1719201600,10.49,10.7695,10.01,10.33,6696187
1719288000,10.21,11.03,9.32,10.98,8477286
1719374400,10.87,11.712,10.78,11.23,6983679
1719460800,10.92,11.84,10.85,11.45,7057128
1719547200,11.45,11.93,11.28,11.61,14037550
1719806400,11.85,12.6,10.78,10.84,10724776
1719892800,10.85,10.98,10.17,10.72,6933612
1719979200,10.73,11.54,10.67,11.37,4315048
1720152000,11.42,12.47,10.98,12.4,10680989
1720411200,12.375,13.09,11.92,12.1,10601356
1720497600,12,12.27,11.7,12.14,4907316
1720584000,12.17,12.2167,11.52,11.88,4864315
1720670400,11.86,12.2,11.4101,11.9,4814269
1720756800,11.88,13.14,11.71,13.01,10820796
1721016000,12.6,13.68,12.57,13.48,7480760
1721102400,13.56,13.965,13.15,13.71,5950117
1721188800,13.5,14.0337,12.88,13.4,4832629
1721275200,13.62,13.665,12.32,12.38,6762351
1721361600,12.44,13.48,12.24,12.84,5369572
1721620800,13.12,13.13,12.37,12.8,4177006
1721707200,12.79,14.29,12.75,13.84,8703935
1721793600,13.55,14.0582,13.26,13.36,5420879
1721880000,13.65,16.8,13.6,16.64,23048938
1721966400,16.97,19.48,16.89,18.84,24661234
1722225600,18.795,19.59,17.89,18.87,13037237
1722312000,18.99,20.37,16.98,17.52,12631412
1722398400,17.89,21.28,17.4014,20.68,16767265
1722484800,20.37,21.21,19.25,20.44,14930042
1722571200,19.76,20.21,18.23,18.51,10146540
1722830400,17.95,20.0968,17.11,18.59,15062693
1722916800,19.3,19.96,18.08,19.53,10259724
1723003200,19.7,21.9,19.35,19.64,14939100
1723089600,19.88,22.36,19.59,22.32,13369054
1723176000,22.83,23.04,20.5,21.21,14796162
1723435200,20.96,22.0797,19.51,19.73,11265512
1723521600,19.9499,21.15,19.3601,20.96,7372979
1723608000,21.11,21.73,19.7708,20.81,10504871
1723694400,21.8,33.58,21.58,31.36,75966075
1723780800,30.37,36.87,27.71,31.03,68766256
1724040000,31.35,38.85,30.8301,38.6,37779933
1724126400,38.795,38.99,31.9125,34.32,32419019
1724212800,34.13,39.08,32.425,36.44,36381900
1724299200,36.7,36.7,33.51,34.14,20021674
1724385600,34.59,37.16,32.08,32.86,25736707
1724644800,33.49,34.31,30.74,33.78,17618629
1724731200,33.01,34.8699,30.4305,31.11,14778756
1724817600,29.91,30.6,27.57,27.87,20565805
1724904000,27.9,30.44,27.7101,29.25,15876478
1724990400,28.97,31.6,27.93,29.04,16165928
1725336000,29.3,29.8489,28.03,29.41,9855451
1725422400,31.99,36.54,28.9,33.08,43764955
1725508800,29.28,30.43,26.4,28.45,41445704
1725595200,28.71,29.58,25.8,26.11,17645548
1725854400,26.63,28.25,25.61,25.94,13431359
1725940800,26.24,26.69,24.37,26.11,15132515
