T,O,H,L,C,V
1713844800,46.88,47.385,46.46,47.04,261122
1713931200,46.99,47.4,46.5,47.21,340375
1714017600,46.94,47.94,46.5,47.63,340548
1714104000,47.83,49.78,47.6,49.68,457499
1714363200,49.66,50.03,49.004,49.92,190124
1714449600,49.57,49.98,49.12,49.62,385660
1714536000,49.28,51.33,48.94,50.52,519666
1714622400,50.56,54.51,50.56,52.4,667533
1714708800,56.5,61.88,56.09,60.08,1144803
1714968000,60.42,63.33,59.35,63.04,977414
1715054400,63.13,63.935,62.37,63.04,520729
1715140800,63,65.005,61.65,64.5,520154
1715227200,64.12,64.53,62.77,64,480216
1715313600,63.94,64.88,63.77,64.8,316069
1715572800,65.25,65.34,64.18,65.1,490242
1715659200,65.54,66.83,65.13,65.72,520114
1715745600,65.73,66.3,64.47,66,443538
1715832000,65.85,67.69,65.745,65.95,610889
1715918400,66.17,66.17,64.2601,65.27,258254
1716177600,65.24,66.1384,65.2,65.47,238982
1716264000,65.13,66.31,64.585,66.12,279994
1716350400,65.99,66.57,65.18,65.37,300237
1716436800,65.52,65.81,64.47,65.05,207157
1716523200,64.8,66.085,64.595,65.54,214173
1716868800,66.09,66.58,64.82,66.14,336820
1716955200,65.49,65.69,64.21,64.43,245557
1717041600,64.78,66.08,63.87,65.54,304068
1717128000,65.58,65.62,63.52,64.39,425985
1717387200,65.1,66.04,64.19,65.61,441904
1717473600,65.09,66.105,64.645,65.2,358092
1717560000,65.25,65.68,64.76,65.64,161918
1717646400,65.6,66.17,65.13,65.74,315524
1717732800,65.36,66.24,65.24,65.43,341692
1717992000,65.12,66.95,64.06,64.42,550636
1718078400,63.98,65.34,63.58,64.52,348612
1718164800,65.52,65.93,64.7,64.76,357001
1718251200,64.62,64.71,63.95,64.11,256219
1718337600,63.62,64,62.275,63.03,359059
1718596800,62.99,63.9889,62.7,63.27,300011
1718683200,63.47,64.33,62.86,64.14,291759
1718856000,63.72,64.46,63.24,63.63,507214
1718942400,63.63,65.66,63.585,65.66,3614782
1719201600,64.01,67.26,63.81,65.35,659081
1719288000,65.39,66.11,65.16,65.84,550046
1719374400,65.41,65.98,64.75,65.95,394614
1719460800,66.17,66.8473,65.55,65.98,539783
1719547200,66.61,68.79,66.55,68.21,1258460
1719806400,68.38,68.645,65.3,67.27,582988
1719892800,67.4,68.06,67.23,67.43,376452
1719979200,67.82,68.41,67.25,68,321280
1720152000,67.88,68.56,67.69,68.04,337231
1720411200,68.33,69.14,68.06,68.2,289722
1720497600,68.03,68.62,66.9,67.08,315046
1720584000,67.42,67.795,67,67.66,238269
1720670400,68.55,69.827,68.165,69.74,325735
1720756800,70,71.71,70,71.08,262586
1721016000,76.91,77.87,74.5,75.1,853377
1721102400,76,78.42,76,77.25,677742
1721188800,77.1,79.72,77.1,78.03,653989
1721275200,78.05,79.84,77.66,78.03,370027
1721361600,77.9,78.1,76.86,76.89,376997
1721620800,77.35,78.83,76.9,78.28,440763
1721707200,78.2,80.18,78.2,79.32,425941
1721793600,79.04,80.05,77.52,78.91,384020
1721880000,79.25,79.665,76.855,77.01,704896
1721966400,78.28,79.2799,78.235,78.81,420521
1722225600,79.3,79.81,78.05,78.73,358734
1722312000,79.05,80.17,78.05,78.24,417249
1722398400,78.26,79.2,77,78.41,510095
1722484800,78.55,78.99,76.25,76.99,458014
1722571200,75.13,76.32,74.5,75.67,386320
1722830400,72,74.19,71.5,73.65,562795
1722916800,73.73,75.36,72.73,74.71,863575
1723003200,76.02,76.4199,67.3,68.25,954016
1723089600,68.98,71.93,68.64,71.51,654870
1723176000,71.49,72.45,70.495,72.07,365472
1723435200,71.66,72.785,70.88,71.46,393572
1723521600,71.91,74.275,71.72,73.11,528648
1723608000,73.38,74.38,72.64,74.04,322555
1723694400,75.63,76.02,73.14,73.14,408189
1723780800,73.05,73.71,72.47,72.93,330737
1724040000,72.67,72.8,71.25,71.69,363686
1724126400,71.66,72.16,71.28,71.91,261828
1724212800,72.01,74.47,71.4025,73.38,405171
1724299200,73.42,74.48,73.124,73.88,291762
1724385600,74.08,75.66,73.8,75.35,395888
