T,O,H,L,C,V
1713844800,49.27,49.395,48.41,49.1,1272405
1713931200,48.95,49.45,48.15,49.22,1124348
1714017600,48.91,50.18,47.9,49.84,1274386
1714104000,50.26,51.82,49.455,51.75,1188716
1714363200,51.69,52.29,51.23,51.9,1592209
1714449600,54.73,61.58,53.7,59.7,5627457
1714536000,61.25,61.25,58.29,58.85,2452460
1714622400,59.48,59.6289,57.75,58.05,2156893
1714708800,58.88,59.13,57.5,58.16,1831145
1714968000,59.15,59.69,58.52,59.08,1422462
1715054400,59.33,60.38,58.965,59.81,1103910
1715140800,59.47,60.78,59.22,60.2,1142058
1715227200,60.12,61.47,59.61,61.18,1121118
1715313600,61.46,61.9747,60.62,60.73,950266
1715572800,60.96,61.05,59.745,59.92,1040899
1715659200,60.75,60.999,59.85,60.36,1093069
1715745600,60.58,62.435,60.531,61.61,1279034
1715832000,61.73,62.21,60.55,60.6,897009
1715918400,60.89,61.31,60.175,60.27,1678808
1716177600,60.43,61.7,60.11,60.73,1053591
1716264000,60.44,61.365,60.33,60.49,1427950
1716350400,60.28,60.99,59.18,59.35,1541960
1716436800,59.3,59.77,58.69,59.25,946542
1716523200,59.56,60.66,59.18,60.53,1190687
1716868800,61,61.425,60.33,61.32,1654427
1716955200,60.68,61.18,60.01,60.43,953645
1717041600,60.45,61.28,60.14,61.19,924740
1717128000,61.32,61.75,59.79,61.34,1445069
1717387200,61.54,61.9,59.72,60.75,826287
1717473600,60.31,60.31,58.55,58.64,960254
1717560000,58.69,60.4,58.25,60.28,756940
1717646400,60.04,60.415,58.875,59.37,788462
1717732800,59.06,59.77,58.13,58.34,939572
1717992000,57.73,58.68,57.5,57.96,1837778
1718078400,57.39,58.44,56.29,58.09,2231677
1718164800,59.3,59.73,57.94,58.39,1282025
1718251200,58.1,58.46,56.23,57.11,2067853
1718337600,55.62,55.935,50.38,53.35,5024343
1718596800,53.32,55.19,52.51,54.87,2500512
1718683200,55.21,55.5,54.04,55.2,1501210
1718856000,55.07,55.615,54.17,54.47,1581337
1718942400,54.14,54.47,53.36,54.07,4537476
1719201600,54.29,55.67,53.83,53.95,1629838
1719288000,53.88,55.25,53.48,55.16,1396030
1719374400,55.04,57.53,54.77,56.27,2035132
1719460800,56.32,56.88,55.93,56.52,1478103
1719547200,57.16,57.51,55.23,55.45,16824069
1719806400,55.8,56.15,54.24,54.26,1158170
1719892800,54.29,56.02,53.9,55.91,1209291
1719979200,56.31,57.74,55.65,57.43,1156384
1720152000,57.14,57.6,56.065,56.36,1040166
1720411200,56.84,58.465,56.443,58.2,1111081
1720497600,57.91,58.47,57.27,57.53,737975
1720584000,57.99,58.54,57.375,57.89,890615
1720670400,58.79,58.95,57.57,57.87,1089683
1720756800,59,59.64,58.3936,58.53,1086943
1721016000,58.98,60.59,58.87,59.31,976485
1721102400,59.04,62.3,59.04,62.06,1071532
1721188800,61.77,62.42,59.34,59.78,1050520
1721275200,59.89,60.37,58.41,59.06,947061
1721361600,59.28,59.28,58.11,58.52,675604
1721620800,58.85,59.55,58.48,59.28,534531
1721707200,59.06,63.12,58.82,63,1541532
1721793600,62.67,63.06,60.26,60.3,1032362
1721880000,62.23,65.62,61.54,64.28,1902009
1721966400,64.24,66.43,64.18,65.54,1257133
1722225600,65.61,65.77,63.81,64.86,1127139
1722312000,65.23,66.38,65.11,65.57,1288531
1722398400,66.14,68.92,65.91,67.71,1500091
1722484800,67.48,68.22,65.3566,66.41,1552968
1722571200,63.86,64.305,61.62,62.22,1169614
1722830400,57.2,61.655,56.33,60.97,2649317
1722916800,58.11,62.52,57.32,59.86,2583033
1723003200,61.75,62.61,59.31,59.38,1195242
1723089600,60.01,62.49,59.73,62.05,1002206
1723176000,62.14,62.81,61.165,62.31,1119078
1723435200,62.42,62.53,61.47,62.05,1504783
1723521600,62.45,63.06,61.17,62.97,720995
1723608000,63.23,63.75,62.51,63.46,779054
1723694400,64.86,65.37,63.7,64.28,841820
1723780800,64.04,64.46,63.67,64.03,511624
1724040000,63.94,64.41,63.56,64.31,345326
1724126400,64.19,64.315,63.05,63.41,665753
1724212800,63.97,65.4,63.61,65.33,639923
1724299200,65.34,65.75,64.885,65.14,657940
1724385600,65.48,67.25,65.2,67.17,586086
1724644800,67.46,67.46,66.015,66.15,502014
1724731200,65.75,66.04,64.99,65.38,660246
1724817600,65.37,65.7826,64.58,64.93,460290
1724904000,65.25,65.755,64.42,64.51,717632
1724990400,64.78,65.045,63.5,63.88,1249355
1725336000,64.71,65.185,60.09,60.27,1937663
1725422400,59.82,61.095,59.16,59.79,6472164
1725508800,60.03,60.22,57.98,59.94,3058785
1725595200,59.8,60.075,57.3,58.13,2498693
1725854400,58.8,60.51,58.45,59.22,2083192
1725940800,59.22,60.17,58.71,59.53,1256445
1726027200,58.97,61.58,58.74,61.38,1487853
1726113600,61.69,63.37,61.42,62.2,1191220
1726200000,62.12,62.77,60.84,61.77,1850063
1726459200,61.61,63.09,61.17,61.61,1456762
1726545600,61.61,61.96,60.66,61.84,777978
1726632000,62.17,63.35,61.35,62.28,635178
1726718400,64.23,64.8,62.755,64.68,760711
1726804800,64.45,64.88,63.5,63.84,2188127
1727064000,65.44,65.82,64.43,65.02,719062
1727150400,65.77,66,64.36,64.64,1030968
1727236800,64.71,65.72,64.27,65.42,1080550
1727323200,66.46,67.47,65.14,65.32,1462773
1727409600,66.2,67.39,65.62,66.27,1601883
1727668800,65.66,67.03,65.66,66.91,1023017
1727755200,66.57,67.09,65.805,65.96,1115760
1727841600,65.72,67.07,64.79,65.59,1351104
1727928000,65.59,66.1,63.77,63.91,1476052
1728014400,64.96,65.45,64,65.09,918233
1728273600,64.48,65.02,64.02,64.64,626302
1728360000,64.42,64.93,63.62,64,1444974
1728446400,63.69,63.755,62.02,62.83,1661425
1728532800,61.28,62.97,60.56,62.94,1244710
1728619200,63,64.38,63,63.56,672866
1728878400,63.4,63.45,62.41,62.8,1010410
1728964800,62.23,63.155,61.7,62.55,905306
1729051200,63.04,63.425,62.29,63.02,720390
