T,O,H,L,C,V
1713844800,31.685,33.15,31.685,32.99,327873
1713931200,33.27,33.58,32.69,33.34,375336
1714017600,33.02,33.18,32.37,32.8,126876
1714104000,32.74,33.19,32.74,33.03,120472
1714363200,33.19,33.19,32.7,32.81,58385
1714449600,32.5,33.2,32.49,32.9,74438
1714536000,32.8,32.87,32.06,32.18,84217
1714622400,32.03,32.485,31.485,32.47,60281
1714708800,32.73,32.75,31.85,32.12,129100
1714968000,32.45,32.745,32.12,32.73,223920
1715054400,32.5,33.29,32.5,32.99,99932
1715140800,32.84,33.4,32.725,33.39,41301
1715227200,33.51,33.65,33.12,33.65,70422
1715313600,33.62,33.745,33.24,33.7,216644
1715572800,33.95,34.03,33.13,33.77,217482
1715659200,33.93,34.5779,33.09,33.12,110181
1715745600,33.35,33.57,32.55,32.89,361322
1715832000,34.38,34.89,33.05,34.59,282504
1715918400,34.43,35.415,34.16,34.77,257387
1716177600,34.75,34.75,33.93,34.49,100400
1716264000,34.6,34.6,32.66,33.01,207365
1716350400,32.39,33.285,32.26,32.52,69407
1716436800,32.77,32.77,31.43,31.55,80417
1716523200,31.655,32.01,31.54,31.87,41506
1716868800,31.89,32.05,31.09,31.12,72076
1716955200,30.7,31.27,30.7,30.73,169138
1717041600,30.82,31.05,30.6575,30.99,134422
1717128000,31.36,32.03,31.36,31.83,103831
1717387200,31.84,32.09,31.69,31.72,79447
1717473600,31.55,32.31,31.53,32.28,76577
1717560000,32.29,33.08,31.83,32.51,157833
1717646400,32.25,32.97,32.25,32.8,93644
1717732800,32.685,33.15,32.63,32.83,108043
1717992000,32.55,32.77,31.915,32.75,49924
1718078400,32.67,32.76,32.12,32.56,103383
1718164800,33.14,33.49,32.815,32.97,68989
1718251200,32.73,32.75,31.94,32.01,142226
1718337600,31.59,31.6692,31.02,31.51,120057
1718596800,31.39,31.87,31.35,31.65,211091
1718683200,31.64,31.72,31.02,31.46,98257
1718856000,31.2,31.6,30.73,30.79,44977
1718942400,30.66,30.92,30.32,30.7,175906
1719201600,30.55,30.85,30.37,30.38,100225
1719288000,30.29,30.85,30.19,30.76,69123
1719374400,30.48,31.59,30.48,31.59,39700
1719460800,31.71,32.49,31.71,32.44,68193
1719547200,32.49,32.9,32.26,32.31,90562
1719806400,32.61,32.61,32.0729,32.36,36357
1719892800,32.2,32.77,32.04,32.67,50533
1719979200,32.76,32.818,32.31,32.34,12344
1720152000,32.09,32.41,31.58,31.58,33043
1720411200,32.13,32.81,31.84,32.76,42476
1720497600,32.55,32.76,31.925,32.25,56454
1720584000,32.24,32.77,32.24,32.61,34925
1720670400,32.85,33.59,32.58,33.38,27451
1720756800,33.54,33.54,33.09,33.31,73630
1721016000,33.28,33.715,32.84,33.28,51247
1721102400,33.5,34.32,33.17,34.06,122788
1721188800,33.7,33.78,32.28,32.34,59059
1721275200,32.4,32.72,31.98,32.15,47925
1721361600,31.67,32.18,31.67,32.09,53026
1721620800,32,32.45,31.98,32.04,39609
1721707200,32.13,32.96,31.83,32.93,26790
1721793600,32.63,32.7,31.44,31.44,35039
1721880000,31.41,31.41,30.03,30.32,91499
1721966400,30.5,31.01,30.2201,30.42,35779
1722225600,30.66,30.84,30.21,30.49,47483
1722312000,30.38,30.53,29.94,30.26,68947
1722398400,30.62,30.84,29.9,30.07,116037
1722484800,30.08,30.13,28.65,28.98,153574
1722571200,28.44,28.44,27.17,27.87,290574
1722830400,26.98,28.11,26.94,27.2,56377
1722916800,27.32,28.19,27.32,27.77,62465
1723003200,28.38,28.53,27.03,27.26,101936
1723089600,27.97,29.32,27.58,27.95,139782
1723176000,27.88,27.88,27.14,27.28,77540
1723435200,27.36,27.36,26.5,26.77,69901
1723521600,26.77,26.96,26.445,26.82,55589
1723608000,26.82,26.89,26.51,26.8,113447
1723694400,27.19,27.235,26.67,26.86,166392
1723780800,26.85,26.935,26.48,26.69,59384
1724040000,26.77,27.6,26.68,27.38,64066
1724126400,27.4,27.679,26.85,27.23,63607
1724212800,27.45,27.62,27.26,27.43,39332
1724299200,27.63,27.63,26.94,27.03,59588
1724385600,27.02,27.37,26.78,27.13,148205
1724644800,27.12,27.39,26.76,27.18,98127
1724731200,27.06,27.18,26.66,27.06,116876
1724817600,27.06,27.18,26.54,26.74,89202
1724904000,27.07,27.11,26.595,26.73,79666
1724990400,26.99,26.99,26.74,26.85,50676
1725336000,26.58,26.87,25.61,25.86,169045
1725422400,25.9,25.99,24.97,25.13,202657
1725508800,25.17,25.93,24.815,25.55,180711
1725595200,25.42,25.615,24.95,25.41,188943
1725854400,25.7,26.26,25.39,26.26,105535
1725940800,26.21,26.36,25.79,26.34,473861
1726027200,26.4,26.75,25.72,26.51,117058
1726113600,26.46,26.86,26.14,26.2,142685
