T,O,H,L,C,V
1713844800,21.87,22.475,21.79,22.11,2356146
1713931200,21.72,22.025,21.6607,21.92,1693062
1714017600,21.99,22.975,21.9,22.78,2250103
1714104000,23.53,23.88,23.38,23.85,2449305
1714363200,24.3,25.04,24.15,24.8,3514296
1714449600,23.21,23.69,22.91,22.99,2853759
1714536000,23.16,24.07,22.97,23.46,2029738
1714622400,22.81,23.21,22.6,23.14,1419044
1714708800,23.02,23.225,22.45,23.12,1619417
1714968000,23.86,24.205,23.72,23.84,1372893
1715054400,23.48,23.65,23.325,23.57,1358514
1715140800,23.05,23.75,23.001,23.37,1012376
1715227200,23.75,24.18,23.63,24.04,1387205
1715313600,24.92,25.08,24.37,24.38,1809036
1715572800,24.31,24.59,23.9803,24.28,1169946
1715659200,24.26,24.39,23.97,24.34,770779
1715745600,24.59,25.04,24.14,24.82,1217759
1715832000,24.76,24.765,24.24,24.63,1802713
1715918400,25.15,25.48,24.95,25.41,1661175
1716177600,25.68,25.93,25.5425,25.86,1294203
1716264000,25.91,26.01,25.2208,25.39,1641646
1716350400,25.17,25.34,24.46,24.7,1337750
1716436800,24.58,24.69,23.58,23.68,2691076
1716523200,24.14,24.425,24.09,24.3,1207473
1716868800,24.85,25,24.67,24.82,1064167
1716955200,24.44,24.69,24.04,24.1,1107989
1717041600,24,25.17,23.94,24.67,1897488
1717128000,24.36,24.61,23.71,24.19,2209237
1717387200,24.47,24.64,24.061,24.39,1209196
1717473600,23.55,23.61,22.87,23.51,2188281
1717560000,23.54,23.67,23.03,23.49,1539755
1717646400,23.67,24.77,23.67,24.6,1575789
1717732800,23.43,23.54,22.61,22.87,3265607
1717992000,22.74,22.745,22.13,22.59,1983936
1718078400,22.42,22.58,22.15,22.39,1521034
1718164800,23.69,23.82,23.06,23.3,2514043
1718251200,23.14,23.31,22.45,22.61,1969175
1718337600,23.27,23.31,22.71,23.03,1384448
1718596800,22.77,23.11,22.34,22.67,1333338
1718683200,22.77,23.11,22.59,22.85,2161627
1718856000,23.52,23.81,23.31,23.72,2155907
1718942400,24.19,24.19,23.64,23.93,5795801
1719201600,24.34,24.49,23.86,23.87,1196230
1719288000,24.1,24.38,24.09,24.17,1355076
1719374400,23.98,24.73,23.96,24.59,1355941
1719460800,25.01,25.21,24.85,24.98,1333222
1719547200,25.38,25.4499,25.02,25.13,1334859
1719806400,25.26,25.58,25.09,25.11,1072402
1719892800,24.99,25.69,24.98,25.52,1194431
1719979200,25.9,26.395,25.87,26.07,1177341
1720152000,27.625,29.08,27.3043,28.83,3953356
1720411200,28.18,28.42,27.8,28.27,1577326
1720497600,28.1,28.49,28.09,28.36,1051651
1720584000,28.6,29.1,28.6,28.72,1460597
1720670400,29.32,29.35,28.66,29.05,1520915
1720756800,28.79,29.25,28.68,29.15,1449844
1721016000,28.68,29.35,28.34,28.96,1477568
1721102400,29.37,29.82,28.91,29.81,1949706
1721188800,29.98,30.09,28.76,28.94,1455419
1721275200,29.1,29.16,28.5,28.63,1304297
1721361600,27.74,28.42,27.67,28.16,874617
1721620800,27.7,28.325,27.55,28.18,972381
1721707200,28.12,28.28,27.83,28.07,686735
1721793600,28.07,28.5131,27.64,27.67,632774
1721880000,26.82,27.23,26.48,27.1,867806
1721966400,27.41,27.52,27.07,27.11,1020777
1722225600,27.27,27.46,26.91,27.14,898848
1722312000,27.35,27.48,26.92,27.29,688971
1722398400,28.98,28.986,27.43,28.08,1962548
1722484800,28.28,28.59,27.601,27.74,1127662
1722571200,28.49,28.65,27.04,27.4,1455223
1722830400,25.575,26.79,25.05,26.63,1597404
1722916800,27.51,28.2,27.36,27.88,1528319
1723003200,28.18,28.24,27.0942,27.67,1455770
1723089600,27.88,29.88,27.81,29.73,3484406
1723176000,30.13,30.19,29.285,29.8,1524117
1723435200,29.76,30.04,29.3,29.63,1630660
1723521600,29.26,31.35,29.26,30.78,2934102
1723608000,30.33,30.98,30.24,30.9,2373411
1723694400,31.1,31.1,30.34,30.4,1781513
1723780800,30.74,31.65,30.74,31.47,2167683
1724040000,30.82,31.68,30.77,31.53,1181175
1724126400,32,32.34,31.68,32.09,1373635
1724212800,31.92,32.57,31.75,32.36,1897360
1724299200,31.29,31.41,30.67,30.8,2411625
1724385600,31.1,31.37,30.64,31.18,1377871
1724644800,31.4,31.47,31.12,31.29,765007
1724731200,30.46,30.75,30.2713,30.69,1061372
1724817600,29.55,29.975,29.42,29.95,1724354
1724904000,30.29,30.7,30.13,30.53,876702
1724990400,29.98,30.16,29.48,29.67,979773
1725336000,28.98,29.06,28.3103,28.81,1264323
1725422400,28.53,28.9,28.41,28.53,1290512
1725508800,29.07,29.3399,28.87,28.88,1175369
1725595200,29.25,29.4,28.305,28.52,1222226
1725854400,29,29.028,28.43,28.8,1047915
1725940800,27.18,27.45,26.43,27.45,4366204
1726027200,26.75,27.42,26.65,27.4,2243109
1726113600,27.07,28.15,27.05,27.95,3475787
1726200000,28.56,28.66,28,28.61,3260587
1726459200,28.37,28.58,27.88,28.37,1691455
1726545600,28.1,28.25,27.49,27.64,2147299
