T,O,H,L,C,V
1713844800,2.75,2.9,2.74,2.85,3077420
1713931200,2.86,2.91,2.78,2.84,4739496
1714017600,2.762,2.83,2.735,2.82,6332637
1714104000,2.84,3.02,2.8,3.02,3072693
1714363200,3.09,3.15,3,3.05,5041366
1714449600,3,3,2.72,2.775,7841093
1714536000,2.78,2.98,2.68,2.865,5486347
1714622400,2.9,2.96,2.7625,2.93,4778635
1714708800,2.99,3.41,2.96,3.29,14778378
1714968000,3.34,3.385,3.16,3.33,10782313
1715054400,3.31,3.53,3.24,3.39,7632628
1715140800,3.29,3.4,3.17,3.36,9383758
1715227200,3.14,3.655,3.07,3.61,9727717
1715313600,3.63,3.679,3.12,3.22,8025521
1715572800,3.14,3.4,3.02,3.02,8183738
1715659200,3.05,3.2,3.02,3.14,8670219
1715745600,3.18,3.225,2.91,2.92,5374530
1715832000,2.92,2.98,2.76,2.77,9635473
1715918400,2.8,2.8,2.7,2.74,6660311
1716177600,2.72,2.79,2.61,2.68,8210233
1716264000,2.68,2.68,2.47,2.48,14221607
1716350400,2.58,2.58,2.34,2.53,13614401
1716436800,2.56,2.67,2.5,2.58,8500423
1716523200,2.59,2.61,2.44,2.46,7773829
1716868800,2.48,2.6,2.4,2.43,9807066
1716955200,2.42,2.51,2.35,2.44,11975971
1717041600,2.41,2.56,2.39,2.41,9978766
1717128000,2.4,2.459,2.36,2.39,7263930
1717387200,2.4,2.42,2.255,2.27,7487491
1717473600,2.26,2.26,2.1,2.12,8883413
1717560000,2.15,2.36,2.12,2.34,11043876
1717646400,2.36,2.4499,2.3,2.33,6329588
1717732800,2.27,2.35,2.23,2.28,19020137
1717992000,2.26,2.38,2.24,2.35,4652896
1718078400,2.31,2.41,2.27,2.4,6965573
1718164800,2.42,2.6,2.415,2.53,12861162
1718251200,2.54,2.66,2.485,2.5,7904272
1718337600,2.47,2.555,2.455,2.52,7003586
1718596800,2.51,2.57,2.38,2.46,6439037
1718683200,2.44,2.445,2.295,2.34,5993724
1718856000,2.34,2.36,2.17,2.21,10818195
1718942400,2.21,2.36,2.17,2.33,19435015
1719201600,2.33,2.49,2.33,2.42,5728611
1719288000,2.42,2.54,2.41,2.47,7431363
1719374400,2.46,2.65,2.43,2.64,7809151
1719460800,2.65,2.87,2.64,2.73,10355042
1719547200,2.75,2.83,2.67,2.77,79975621
1719806400,2.76,2.83,2.69,2.81,7383278
1719892800,2.8,2.88,2.8,2.87,4334445
1719979200,2.9,2.96,2.855,2.91,2468093
1720152000,2.89,2.94,2.77,2.93,4412873
1720411200,2.95,2.99,2.87,2.98,6437955
1720497600,2.98,2.99,2.89,2.94,4312943
1720584000,2.94,2.99,2.88,2.91,5552629
1720670400,2.99,3.36,2.97,3.31,10320354
1720756800,3.37,3.845,3.345,3.7,12894438
1721016000,3.91,4.69,3.87,4.61,27185926
1721102400,4.68,5.245,4.42,4.93,32741297
1721188800,4.57,4.68,4.14,4.32,17536625
1721275200,4.43,4.6,4.1,4.29,10101780
1721361600,4.24,4.34,4.1,4.23,7037294
1721620800,4.31,4.55,4.14,4.2,6838293
1721707200,4.24,4.49,4.24,4.41,7084470
1721793600,4.37,4.38,4.09,4.14,6556277
1721880000,4.155,4.29,3.87,4.16,6879952
1721966400,4.27,4.34,4.21,4.23,4232612
1722225600,4.29,4.39,4.13,4.22,5106428
1722312000,4.22,4.255,3.95,3.96,4330750
1722398400,4.02,4.22,3.95,4,7978105
1722484800,3.77,4.58,3.75,4.07,45037876
1722571200,3.75,4.02,3.66,3.84,25613133
1722830400,3.39,3.89,3.35,3.825,19963432
1722916800,3.84,3.895,3.5,3.52,7175247
1723003200,3.6,3.75,3.25,3.31,13514183
1723089600,3.42,3.6,3.32,3.53,8182046
1723176000,3.51,3.595,3.4,3.51,6074691
1723435200,3.53,3.65,3.46,3.52,6410010
1723521600,3.58,3.7,3.5,3.61,12164176
1723608000,3.66,3.725,3.36,3.38,6109487
1723694400,3.5,3.71,3.4801,3.69,7616313
1723780800,3.66,3.78,3.62,3.64,5457059
1724040000,3.66,3.795,3.645,3.78,5830543
1724126400,3.75,3.78,3.599,3.7,4432740
1724212800,3.7,3.93,3.7,3.86,5403739
1724299200,3.86,3.89,3.4,3.63,12933794
1724385600,3.68,4.3,3.61,4.3,9415628
1724644800,4.25,4.47,4.23,4.38,9479625
1724731200,4.33,4.375,4.1,4.22,5594953
1724817600,4.2,4.24,4.0201,4.14,6554781
1724904000,4.18,4.53,4.18,4.47,5972275
1724990400,4.51,4.85,4.51,4.67,10639585
1725336000,4.6,4.76,4.23,4.26,6925084
1725422400,4.2,4.35,4.08,4.19,6132017
1725508800,4.2,4.31,4.05,4.05,5941987
