T,O,H,L,C,V
1713844800,150.91,159.3257,150.91,158.3,586819
1713931200,160.75,162.81,155,157.99,424581
1714017600,155.51,156.28,153,155.64,275406
1714104000,157.17,158.37,154.8174,158.09,202622
1714363200,159.4,162.5,157.645,159.24,419289
1714449600,157.3,163.17,156.471,159.79,332778
1714536000,159.17,164.72,157.18,162.53,445409
1714622400,164.26,166.0499,160.9,165.72,301356
1714708800,167.14,168.8,165.5968,168.77,251346
1714968000,169.74,181.37,169.44,179.89,583328
1715054400,178.5,181.8202,177.33,179.59,421517
1715140800,179.36,182.695,179,181.46,355979
1715227200,182.01,190.12,180.23,187.33,579356
1715313600,189,189,183.57,186.47,404298
1715572800,188.02,192.495,187.12,187.28,356881
1715659200,188.74,195.36,186.77,194.26,349229
1715745600,196.1,196.1,191,193.04,359809
1715832000,191.62,197.55,190.5601,192.73,230697
1715918400,193.81,195.22,191.066,193.83,192616
1716177600,194.32,197.92,193.06,197.15,266809
1716264000,197.13,198.965,195.04,196.78,277059
1716350400,196.44,197.705,195.32,196.18,185758
1716436800,197.77,200.08,195.6701,197.21,210555
1716523200,197.91,200,197.36,199.77,198709
1716868800,199.77,200.3881,197.1001,198.8,203672
1716955200,197.22,199.7,195.59,197.75,249994
1717041600,199.15,202.48,197.8783,200.44,245603
1717128000,202.1,205.28,198.1,202.15,272637
1717387200,204,204.97,200.91,203.27,210825
1717473600,202.79,203.98,200.92,202.71,182105
1717560000,203.55,205,202.12,204.41,243568
1717646400,205.28,206.78,202.33,203.855,156182
1717732800,202.69,205.79,201.16,202.29,163560
1717992000,202.91,204.99,198.0491,204.89,243523
1718078400,205.15,213.46,203,211.35,499401
1718164800,214.38,219.74,213.3,217.57,424246
1718251200,218.64,220.22,213.6701,215.51,327475
1718337600,213.1,215.45,211.6,215.24,204397
1718596800,211.39,216.8799,202.61,215.11,684292
1718683200,215.82,219.34,214,219.31,365539
1718856000,222.21,224,203.0491,203.59,621419
1718942400,203.46,203.805,185.5029,189.48,1356232
1719201600,189.27,193.1739,187.0021,190.49,434675
1719288000,190.6,194.37,188.33,192.71,455474
1719374400,195.53,201.95,192.77,192.81,788035
1719460800,177,178.585,162.5,177.91,1647751
1719547200,179.36,186.22,179.01,182.16,821056
1719806400,183.72,184.705,174.73,175.67,461526
1719892800,174.54,174.54,168.3,171.2,723943
1719979200,170.87,173.18,169.3375,170.31,234629
1720152000,170.21,171.95,167.16,168.9,373499
1720411200,171.07,173.3008,168.42,170.13,318642
1720497600,169.41,170.04,167.3701,167.84,299632
1720584000,168.1,175.57,168.05,175.45,321663
1720670400,178.26,178.3861,174.24,175.34,286932
1720756800,177.07,178.16,172.9,173.25,262711
1721016000,175,178.09,173.38,174.17,305488
1721102400,176,176.5,169.32,169.55,415117
1721188800,167.24,170.276,163.64,165.93,576170
1721275200,166.09,168.2,163.5,165.39,294579
1721361600,166.25,167.31,164.2,164.23,225632
1721620800,165.06,169.36,163.5074,168.42,257335
1721707200,168.51,172.65,168.51,171.52,209504
1721793600,169.93,173,168.65,170.31,199586
1721880000,170.31,172.5,168.29,169.94,176255
1721966400,172.55,174.64,169.9501,173.82,171550
1722225600,174.21,175.25,171.7294,175.15,161983
1722312000,175.15,178.75,170.89,173.52,172820
1722398400,175.88,180.46,172.65,178.54,231181
1722484800,179.59,180.6399,172.49,174.34,205761
1722571200,169.09,170.73,164.1342,166.5,268162
1722830400,156.36,166.47,152.8802,164.14,330923
1722916800,164.32,171.94,163.5,169.62,268969
1723003200,171.69,172.8086,165.25,167.02,163525
1723089600,169.32,178.475,168.39,176.43,257970
1723176000,176.48,178.2543,174.83,176.02,199723
1723435200,177.43,178.91,174.61,178.05,121689
1723521600,179,182.56,176.03,181.52,213692
1723608000,182.44,186.8199,181.64,184.07,255753
1723694400,186.42,188,181.85,186.83,234193
1723780800,187.19,191.77,186.43,190.44,221582
1724040000,190.44,191.6626,185.37,189.8,191318
1724126400,189.39,189.73,184.56,187.24,151030
1724212800,187.48,190,187.2,188.26,123652
1724299200,189.42,189.42,183.5,184.01,172298
1724385600,185.01,186.74,183.035,185.615,185859
1724644800,186.5,188.62,176.485,177.39,299151
1724731200,176.1,178.86,174.71,177.76,157142
1724817600,199.4,211.44,190.99,193.86,985082
1724904000,198.35,205.78,197.56,203.61,471883
1724990400,203.96,206.26,198.87,203.76,362161
1725336000,203.94,207.89,191.7516,192.26,375534
1725422400,191.72,197.425,190.6531,194.04,524699
1725508800,191.01,206.8,181.985,183.73,754383
1725595200,183.29,186.42,175.85,179.47,421478
1725854400,180.27,182.295,178.6901,180.92,277268
1725940800,180.4,184.61,178.62,180.71,274894
1726027200,180.74,184.24,175.96,183.99,177748
1726113600,183.28,186.53,181.905,185.5,169760
1726200000,187,192.38,185.5,192.11,208929
1726459200,187.19,188.175,171.23,173.52,1138999
1726545600,171.77,176.82,171.77,174.96,474318
1726632000,174.47,180.65,171.27,174.44,374681
1726718400,178.27,180.94,175.25,179.69,295477
1726804800,180.1,184.29,177.6201,182.76,687834
1727064000,190.3,205.2801,190.04,204.5,702333
1727150400,203.8,203.8,197.33,197.82,361374
1727236800,197.97,201.01,194.73,196.75,269218
1727323200,200,200,194.36,194.7,255389
1727409600,196.55,200.83,196.36,199.23,297464
1727668800,198,200.78,196.607,200.5,268868
1727755200,200.62,219.25,200.46,211.09,739324
1727841600,215.67,217.2616,203.72,204,512647
1727928000,203.66,204.43,199.5,201.11,348832
1728014400,203.16,208.65,201,207.95,225949
1728273600,208.18,209,203.5453,205.28,219851
1728360000,206.54,209.32,205.59,207.82,218952
1728446400,207.47,209,205.19,208.32,187144
1728532800,207.12,212.1141,203.96,206.67,300361
1728619200,205.8,217.5,205.8,215.39,314920
1728878400,218,219,214.2965,215.17,276753
1728964800,215.44,217.35,209.519,214.11,298071
1729051200,215.74,221.52,215.2,220.23,257275
1729137600,221.32,221.34,215.095,215.63,239731
1729224000,216,218.9899,215.12,216.97,170648
1729483200,217.69,227.18,217.69,220.51,227471
1729569600,219.52,220,214.68,216.48,207419
1729656000,215.68,217.14,212.14,214.68,154901
1729742400,214.68,218.8299,214.4054,215.655,142385
1729828800,216.69,221.11,215.9056,220.9,182474
1730088000,222.06,222.58,217.97,220.8,150231
1730174400,220.2,221.6917,218,220.85,139407
1730260800,219.31,221.19,216.24,216.6,198969
1730347200,215.78,217.3199,211.4618,214.96,220623
1730433600,217.13,219.8871,215.6,216,168731
1730696400,213.57,219.2799,213,215.48,146029
1730782800,216.27,220.26,215.2106,219.67,235094
1730869200,227.55,232,203.21,216.32,788152
1730955600,213.01,224.9899,213.01,223.69,267809
1731042000,225.27,231.5,222,227.87,320947
1731301200,232,236.5999,228.23,235.17,351380
1731387600,228.57,231.94,213.54,218.03,432200
1731474000,217.44,227.65,217.18,217.56,382844
1731560400,216.14,219.98,203.04,204.25,430787
