T,O,H,L,C,V
1713844800,122.817,125.79,122.802,124.919,22025130
1713931200,126.39,128.562,124.496,125.682,20107930
1714017600,127.245,130.803,125.7,129.442,30372170
1714104000,131,135.583,130.313,134.407,24099830
1714363200,134.408,135.298,132.5695,133.862,13371790
1714449600,132.888,134.835,129.905,130.027,22113360
1714536000,127.833,129.237,124.1345,124.286,30957830
1714622400,125.628,126.445,122.331,123.857,29457180
1714708800,125.9,128.388,124.714,127.811,24897550
1714968000,128.6225,131.077,127.507,131.031,16287080
1715054400,131.644,131.899,129.6755,130.311,12412830
1715140800,129.35,133.7905,128.849,132.537,13917640
1715227200,131.783,132.161,130.2,130.567,12169550
1715313600,131.531,134.4,131.531,133.28,16299530
1715572800,134.8,135.839,133.011,133.751,18507030
1715659200,133.234,138.199,132.58,138.003,19420290
1715745600,138,143.895,136.9975,143.617,32757380
1715832000,142.6,144.54,140.506,141.213,28395030
1715918400,141.242,141.953,138.178,139.529,18173670
1716177600,139.6,141.694,139.316,141.403,27169950
1716264000,139.868,140.939,139.346,139.92,15332510
1716350400,139.601,140.5,138.422,139.224,20981720
1716436800,142.843,142.9,137.8,139.329,31038990
1716523200,139.979,141.3584,139.2024,140.784,16729960
1716868800,141,141.7181,139.254,141.245,22918860
1716955200,139.91,139.91,138.3,139.067,26860550
1717041600,137.9,138.278,135.564,136.408,21728280
1717128000,136.136,136.255,130.726,132.855,73091320
1717387200,135.27,135.3,130.253,132.19,26278470
1717473600,132.04,133.199,130.701,133.082,23046940
1717560000,134.6,141.435,134.054,141.309,32946560
1717646400,142.187,142.269,138.824,140.127,20171810
1717732800,140.7775,142.5,139.702,140.664,17859030
1717992000,140.98,144.905,140.9125,144.047,31081710
1718078400,143.82,146.501,141.623,146.103,34844320
1718164800,150,150.58,147.64,149.551,56697370
1718251200,171,173.585,165.252,167.899,88953650
1718337600,168.686,174.724,168.21,173.504,69639710
1718596800,180,184.3,177.858,182.887,87503620
1718683200,183.959,185.162,178.501,180.252,86796740
1718856000,180.346,180.475,172.222,173.456,68156620
1718942400,169.566,171.3999,165.142,165.863,99998610
1719201600,164.205,166.1,159.066,159.221,58555230
1719288000,160.013,160.604,156.4,158.079,56810450
1719374400,159.762,161.818,157.359,159.2,46478750
1719460800,159.2,160.562,157.1,158.666,30356310
1719547200,159.588,163.923,158.6,160.553,69376630
1719806400,160.82,164.875,159.35,164.08,47623440
1719892800,164.08,165.92,162.2,165.748,32538840
1719979200,167,172.922,166.446,172.922,39953820
1720152000,175.556,176.547,169.6,170.331,45240480
1720411200,170.5,175.69,170.5,174.586,36398460
1720497600,175.656,177.098,170.556,173.331,37916210
1720584000,174.6,176.649,172.6363,174.469,41074200
1720670400,176.466,176.487,166.85,170.595,51111680
1720756800,171.103,172.591,169.131,170.067,30453000
1721016000,170,173.5099,169.26,171.42,22999201
1721102400,172.4,172.81,166.4,169.375,22213943
1721188800,162.31,162.84,155.61,155.98,43254855
1721275200,158.89,161.51,153.9,160.52,37973498
1721361600,161.84,163.95,157.12,157.35,26019545
1721620800,160.23,162.99,157.9,161.06,28813334
1721707200,160.395,165.33,159.9,163.77,21570177
1721793600,160.355,161.405,151.1,151.34,37155620
1721880000,151.26,153.55,145.52,149.26,30872127
1721966400,153.5,153.58,149.9202,151.63,20820671
1722225600,152.02,155,149.15,150.22,16625762
1722312000,153.28,153.47,143.35,143.52,31096341
1722398400,151.47,161.33,151,160.68,45827511
1722484800,157.5,158.91,146.17,147.02,40319955
1722571200,141.925,145.35,139.6,143.82,33745843
1722830400,129.61,145.42,128.5,142.08,41309257
1722916800,141.73,148.91,140.25,143.92,24751290
1723003200,148.25,150.1,135.83,136.27,29749755
1723089600,141.2,146.27,138.4,145.74,27583199
1723176000,144.2,149.55,144.11,148.26,18438655
1723435200,148.08,151.13,146.37,148.62,17778473
1723521600,151.55,156.38,149.81,156.16,22044854
1723608000,158.02,160.25,154.72,157.69,20184199
1723694400,161.2,166.67,160.3351,166.13,27944968
1723780800,164.47,166.09,162.68,165.72,18946868
1724040000,164.86,167.83,160.42,167.71,20441691
1724126400,167.05,168.3699,164.15,165.95,19417494
1724212800,165.12,166.47,162.88,165.78,16097693
1724299200,170.84,172.42,161.49,162.34,30044532
1724385600,165.025,168.28,163.46,166.36,18848022
1724644800,164.96,165.7,158.66,159.62,18521153
1724731200,157.6,162.03,155.83,161.39,16683106
1724817600,160.08,162.28,156.25,158.18,18061522
1724904000,158.49,163.2,155.41,156.93,23519286
1724990400,161.12,163.24,158.71,162.82,25158510
1725336000,160.38,160.74,151.38,152.79,37168061
1725422400,150.3,157.79,149.15,154.12,20321982
1725508800,150.565,156.36,150.11,152.82,31547297
1725595200,143.25,143.5,136.6,136.995,76615630
1725854400,139.11,141.585,134.9,140.82,39510771
1725940800,141.22,149.86,141.04,148.21,36067473
1726027200,148.39,158.87,145.04,158.27,39697666
1726113600,158.1,166.32,156.83,164.56,43570317
1726200000,166.735,168.08,164.0401,167.69,29850048
1726459200,165.19,165.5,160.41,164.02,26126934
1726545600,165.49,166.02,160.7,162.47,19822343
1726632000,163.77,167.47,161.36,161.67,26557560
1726718400,167.68,170,165.66,167.42,32430276
1726804800,167.18,172.02,166.47,171.1,91741507
1727064000,172,173.32,168.3501,172.94,29431112
1727150400,172.81,175.99,171.68,174.84,34223405
1727236800,174.65,177.14,173.76,175.52,16613795
1727323200,178.5,180.25,175,178.09,24339996
1727409600,178.17,178.47,171.76,172.69,20580905
1727668800,171.87,172.92,169.6302,172.5,16900033
1727755200,172.16,172.25,165.8,167.47,23746016
1727841600,167.55,172.84,167.0201,170.66,14317834
1727928000,169.62,174.94,169.19,171.89,13072281
1728014400,176.3,176.8998,172.6,176.64,17941387
1728273600,174.82,178.31,173.86,175.08,15588333
1728360000,175.42,181.6,174.89,180.73,20774189
1728446400,179.24,186.42,176.42,185.95,25504058
1728532800,183.56,186.31,182.53,185.69,16317969
1728619200,181.14,182.59,177.4,181.48,23070023
1728878400,183.3,184.9516,180.13,182.31,17195824
1728964800,180.79,181.7,173.3652,175.98,27657529
1729051200,178.51,179.25,175.33,176.82,15285054
1729137600,181.37,185.51,180.69,181.53,25232427
1729224000,182.32,182.71,178.68,179.89,17835247
1729483200,179.38,181.7199,178.25,179.99,13690149
1729569600,178.66,180.69,177.41,179.38,12062648
1729656000,177.585,178.98,172.57,173.51,19513713
1729742400,174.26,174.3,169.5,171.35,20485174
1729828800,174.19,176.796,172.72,173,19977679
1730088000,173,173.9728,171.345,172.02,13195829
1730174400,172.435,180.23,171.2101,179.24,23702344
1730260800,177.47,179.19,175.62,176.64,17911488
1730347200,174.45,174.45,167.38,169.77,26086587
1730433600,168.26,171.3255,167.5,168.92,17847038
1730696400,169.28,172.45,168.42,168.55,13582910
1730782800,170.05,174.4,170.05,173.9,13441752
1730869200,179.63,180.21,175.96,179.55,24300746
1730955600,181.9853,184.8722,181.79,183.81,18970581
1731042000,182.99,185.05,181.83,183.64,13503154
1731301200,183.4,183.63,176.8201,178.91,17036660
1731387600,178.9,179.56,173.2,176.22,15861981
1731474000,174.705,175.5926,172.6,173.58,17462513
1731560400,174.77,175.57,169.87,170.38,20638855
1731646800,168.47,169.135,163.43,164.84,20836160
1731906000,165.66,166.3463,162.22,165.67,17870329
1731992400,166.66,166.8,164.31,165.35,17968901
1732078800,165.54,165.54,160.86,163.25,17196728
1732165200,166.25,166.34,160.6,163.94,24835252
1732251600,164.3,164.9092,162.4,164.23,17332473
1732510800,165.395,167.225,162.89,164.82,26850591
1732597200,164.6,166.37,162.69,164.74,16308772
1732683600,163.2,163.2,157.54,159.67,19722723
1732856400,159.57,162.69,159.08,162.08,11024005
1733115600,162.95,168.3797,162.75,166.51,21472442
1733202000,164.48,168.27,164.03,168.15,17022684
1733288400,173.44,175.39,168.56,170.56,32748246
1733374800,170.75,172.3981,169.2,170.47,18189993
1733461200,170.1,180.68,169.3301,179.53,27830828
1733720400,178.95,180.7933,176.0209,178.94,20885105
1733806800,177.81,178.5,169.73,171.81,27762632
1733893200,180.01,184.87,176.4296,183.2,41272679
1733979600,180.93,182,175.99,180.66,46958170
1734066000,213.9,228.7,211.11,224.8,121336628
1734325200,231.79,251.88,230.81,250,111573166
1734411600,240.65,242.47,233.8,240.23,70322134
1734498000,239.41,239.85,219.22,223.62,53960103
1734584400,227.91,228.05,217.58,218.32,40845167
1734670800,220.36,230.29,218.91,220.79,131910354
1734930000,226.69,233.3994,225.13,232.35,40643778
1735016400,240.115,240.228,234.8,239.68,22827188
1735189200,240,247.28,237.6,245.36,28537540
1735275600,245.64,245.78,236.3532,241.75,29282230
1735534800,234.695,238.77,231.62,235.58,27316797
1735621200,235.88,237.46,231.31,231.84,17927719
