T,O,H,L,C,V
1713844800,119.31,120.55,119.02,119.87,1255475
1713931200,118.79,121.66,118.15,121.36,1297995
1714017600,121.37,122.37,119.925,121.55,1404208
1714104000,121.69,122.21,120.76,120.78,1058519
1714363200,121.73,122.5678,121.67,122.28,2486241
1714449600,121.51,123.0975,120.99,122.32,1325075
1714536000,122.12,125.85,122.09,125.12,2712491
1714622400,123.73,126.09,122.4,125.95,2778751
1714708800,127.82,128.85,127.215,128.75,1735768
1714968000,129.62,130.39,128.21,130.25,1479489
1715054400,131.3,132.46,130.09,131.82,1597727
1715140800,131.4,133,131.195,132.87,1417915
1715227200,132.87,134.78,132.18,134.38,1308683
1715313600,134.83,135.71,134.41,135.5,1763571
1715572800,135,135.53,133.28,133.78,852532
1715659200,134.83,135,132.86,133.13,1060894
1715745600,134.75,135.11,133.08,133.75,1281741
1715832000,133.41,134.61,133.0901,134.27,1248229
1715918400,134.14,134.14,133.14,133.76,924165
1716177600,133.8,133.98,132.47,133.57,913972
1716264000,133.59,134.38,132.82,134.36,715990
1716350400,134.11,134.59,133.16,133.75,1495438
1716436800,132.84,132.84,128.401,128.6,1031845
1716523200,128.69,128.93,127.59,128.23,830758
1716868800,128.05,128.9714,126.02,126.24,1164681
1716955200,125.02,125.29,123.68,124.11,987799
1717041600,124.58,126.36,124.11,126.28,886781
1717128000,126.87,130.94,126.63,130.77,3003142
1717387200,131.13,132.22,130.01,130.77,1186025
1717473600,130.77,133.16,130.24,132.82,1134847
1717560000,132.62,132.62,131.11,131.68,861086
1717646400,131.1,132.16,130.1315,130.62,797867
1717732800,129.27,129.56,128.15,128.25,1096066
1717992000,128,128.85,127.33,128.56,1185307
1718078400,127.52,128.865,127.1,127.92,1050547
1718164800,130.57,130.88,128.05,128.13,846702
1718251200,128.1,129.93,127.19,129.22,947213
1718337600,128.41,129.685,127.44,129.3,953785
1718596800,128.28,130.03,127.36,128.72,781879
1718683200,128.19,130.65,128.13,130.47,1085222
1718856000,130.5,131,129.45,130.26,1061582
1718942400,130.28,131.69,129.46,130.54,1960281
1719201600,130.83,133.35,130.69,132.18,802053
1719288000,132.3,132.345,129.22,129.37,782369
1719374400,128.39,129.75,128.13,129.58,691111
1719460800,129.3,129.47,127.98,129.27,662054
1719547200,129.75,129.92,128.27,129.16,1201891
1719806400,129.48,130.96,127.2,127.76,767267
1719892800,128.08,129.8,127.8001,128.46,665363
1719979200,128.6,129.88,127.845,127.96,402683
1720152000,128.63,130.18,127.21,130.01,713906
1720411200,130.35,130.81,129.665,129.92,874614
1720497600,129.54,131.31,128.87,130.72,698189
1720584000,131.24,132.445,130.86,132.23,681957
1720670400,133.46,137.22,133.235,136.22,1251035
1720756800,136.95,140.7548,136.75,139.08,1207417
1721016000,138.25,138.56,136.23,136.33,794673
1721102400,137.25,139.22,136.815,139.08,670059
1721188800,139.57,143.46,139.08,142.53,1190632
1721275200,141.74,144.26,140.523,141.35,835243
1721361600,141.5,142.11,140.37,141.16,856018
1721620800,140.91,142.2499,140.55,141.8,545873
1721707200,141.3,141.81,140.235,140.49,573633
1721793600,141.11,143.41,140.74,142.4,987140
1721880000,143,144.3,139.3,140.1,1009077
1721966400,141.09,142.355,140.37,141.71,645036
1722225600,141.99,141.995,139.9,141.36,748286
1722312000,141.43,143.92,141.43,143.67,848283
1722398400,141.68,142.99,141.35,142.36,1123995
1722484800,142.99,145.47,142.13,144.5,1109124
1722571200,147.08,148.16,144.03,147.35,1210560
1722830400,148.99,149,142.7,142.72,1299229
1722916800,144.15,145.65,142.95,143.6,1132177
1723003200,143.89,146.4,143.63,143.79,797593
1723089600,143.43,146.59,143.16,144.71,1188272
1723176000,144.85,145.01,140.27,142.28,1057111
1723435200,142.11,142.78,141.09,142.56,676711
1723521600,142.47,142.7164,141.21,141.39,873327
1723608000,141,142.8,140.165,141.67,562395
1723694400,141.29,143,140.59,142.03,883670
1723780800,142.17,142.7,140.65,140.98,643659
1724040000,141.17,142.065,141.07,141.57,457857
1724126400,141.73,142.11,140.95,141.27,520577
1724212800,141.09,141.39,140.03,140.77,632910
1724299200,140.67,141.15,138.89,140.02,771941
1724385600,140.42,141.145,139.5454,140.42,521426
1724644800,141.2,142.25,140.51,141.06,418788
1724731200,140.51,141.72,139.69,140.17,553083
1724817600,140.83,143.335,139.81,141.77,983117
1724904000,141.86,142.41,140.73,141.82,811314
1724990400,142.19,143.515,141.06,143.12,1833474
1725336000,142.85,145.24,142.52,143.48,914521
1725422400,143.82,145.71,142.99,144.15,832592
1725508800,145.08,145.39,143.96,144.51,702491
1725595200,144.91,145.56,143.56,143.94,871870
1725854400,144.05,146.06,143.62,146.01,837676
1725940800,146.43,148.549,145.8478,148.2,958103
1726027200,147.75,147.975,144.75,147.04,1052918
1726113600,146.89,147.73,145.47,147.13,706820
1726200000,147.53,148.19,146.6,148.13,738103
1726459200,148.94,149.7805,148.52,149.09,714239
1726545600,149.09,150.68,148.83,149.9,1028042
1726632000,149.48,150.16,148.11,148.94,1183226
1726718400,148.22,149.2775,147.15,149.08,1190606
1726804800,149.08,149.13,145.74,147.23,3350380
1727064000,147.89,149.1,147.145,147.54,814898
1727150400,146.48,147.99,144.86,145.04,1838831
1727236800,145.7,146.01,143.39,144.12,1082264
1727323200,143.26,144.17,142.57,143.18,938628
1727409600,144.35,145.6526,144.14,144.93,796620
1727668800,145.24,146.28,143.54,146.24,1791166
1727755200,146.47,147.21,145.17,145.67,1003932
1727841600,144.6,146.98,144.2733,146.1,1324517
1727928000,145.88,146.25,144.49,144.68,847631
1728014400,143.34,144.14,141.71,142.57,853596
1728273600,142.05,142.05,135.7,136.99,1689176
1728360000,137.73,138.4348,137.19,137.39,918738
1728446400,136.89,137.8,135.495,136.18,857934
1728532800,133.6,136.78,133.6,136.22,876442
1728619200,137,138.99,136.66,138.87,689286
1728878400,139.24,140.72,138.9764,140.37,597674
1728964800,140.4,142.67,140.315,141.2,833797
1729051200,141.31,142.84,141.28,142.58,651607
1729137600,142.28,142.5,140.23,140.79,585710
1729224000,141.01,142.2,139.09,141.96,818528
1729483200,141.94,142.79,140.7,141.05,564938
1729569600,139.6,140.99,138.93,140.75,888857
1729656000,141.25,142.67,141.07,142.12,1290045
1729742400,142.39,142.97,139.735,139.8,712508
1729828800,140.26,140.26,137.57,137.66,592318
1730088000,138.89,139.895,138.18,138.79,564825
1730174400,137.52,138.13,135.75,135.8,1054627
