T,O,H,L,C,V
1713844800,69.07,70.74,69.07,70.18,271901
1713931200,69.66,71.03,69.15,70.76,258428
1714017600,70.76,70.83,69.83,70.31,271558
1714104000,70.27,70.68,69.67,69.91,237753
1714363200,70.19,70.92,70.09,70.25,139640
1714449600,69.86,71.3027,69.37,70.84,449598
1714536000,71.21,72.87,71.2,72.08,239025
1714622400,72.43,72.94,71.85,72.79,318871
1714708800,73.69,73.875,72.92,73.53,187151
1714968000,73.61,74.08,73.18,74.05,195687
1715054400,74.51,74.75,73.7,73.78,277566
1715140800,74.84,76.69,73.92,76.52,302625
1715227200,77,78.135,76.47,77.95,239270
1715313600,78.11,78.32,77.34,77.98,365157
1715572800,78.25,79.07,77.81,77.97,206594
1715659200,78.72,79.434,77.73,78.18,146997
1715745600,78.89,78.89,77.72,78.14,178973
1715832000,78.07,78.86,77.9,78.8,214532
1715918400,78.59,78.74,78.1,78.29,174855
1716177600,78.24,78.24,77.13,77.47,158106
1716264000,77.56,77.82,76.875,77.8,298231
1716350400,77.72,77.86,76.54,76.82,131519
1716436800,76.69,76.88,74.53,74.82,176398
1716523200,75.07,75.21,73.53,74.09,241911
1716868800,73.96,74.071,71.815,71.95,195638
1716955200,71.37,71.4194,70.84,71.05,201641
1717041600,71.53,72.26,71.03,71.83,272204
1717128000,72.2,73.95,72.17,73.59,350358
1717387200,73.85,74.14,72.82,73.07,180049
1717473600,73.19,73.76,72.82,73.44,219471
1717560000,73.43,73.53,72.92,72.97,146501
1717646400,72.61,73.385,72.51,72.86,152416
1717732800,71.98,72.18,70.73,70.74,151775
1717992000,70.39,70.98,70.14,70.57,177246
1718078400,70,71.095,69.76,70.92,160492
1718164800,72.51,72.51,70.37,70.38,167189
1718251200,70.31,70.8499,69.46,70.41,184132
1718337600,69.86,70.579,69.69,70.26,133742
1718596800,69.61,70.625,69.49,70.3,219623
1718683200,70.21,71.13,70.16,70.42,147521
1718856000,70.21,70.88,70.03,70.83,203396
1718942400,71.07,72.06,70.49,70.64,418949
1719201600,70.79,73.2,70.79,72.78,199139
1719288000,72.91,72.91,71.47,71.77,171887
1719374400,71.28,71.81,71.165,71.8,239258
1719460800,71.98,72.26,71.59,71.92,118642
1719547200,72.25,72.77,71.56,72.57,1044216
1719806400,72.76,73.765,72.195,72.99,227347
1719892800,72.9,73.63,72.49,72.5,154412
1719979200,72.63,72.63,71.42,71.55,71524
1720152000,71.49,72.78,71.1601,72.65,124233
1720411200,72.77,73.225,72.37,72.37,162417
1720497600,72.1,73.07,72.045,72.88,137236
1720584000,73.31,73.78,72.9872,73.68,135647
1720670400,74.84,77.17,74.61,76.44,180925
1720756800,76.86,78.245,76.86,77.55,145357
1721016000,77.67,77.67,76.5701,77.1,272880
1721102400,77.79,79.41,77.545,79.24,233099
1721188800,79.57,81.5,79.29,80.84,206381
1721275200,80.04,81.39,79.32,79.62,161302
1721361600,79.65,79.7575,78.58,79.12,219275
1721620800,79.08,79.78,78.39,79.5,124722
1721707200,79.5,80.57,79.4,79.74,164226
