T,O,H,L,C,V
1713844800,45.22,46.43,44.96,46.36,1188723
1713931200,46.39,46.895,45.05,45.4,875168
1714017600,44.5,45.585,43.98,45.56,884984
1714104000,45.84,46.42,45.73,46.13,797022
1714363200,46.22,46.615,45.96,46.42,731858
1714449600,46,46.69,45.61,45.64,1497627
1714536000,45.4,47.135,45.02,45.7,1605818
1714622400,46.05,46.2025,44.74,45.73,1852042
1714708800,46.68,47.74,46.23,46.52,2216158
1714968000,47.09,47.66,46.77,47.16,1465179
1715054400,46.81,47.09,46.04,46.18,2880925
1715140800,45.83,46.15,44.72,44.92,4803513
1715227200,42.5,45.63,42.5,45.34,3577780
1715313600,45.28,46.3701,45.12,46.1,1875987
1715572800,46.42,46.49,44.52,44.65,2812647
1715659200,44.78,45.7,44.495,45.66,1672472
1715745600,46.64,48.46,46.41,48.29,2154685
1715832000,48.37,48.52,46.81,46.82,1434557
1715918400,46.91,47.24,46.285,46.63,830793
1716177600,46.72,46.96,46.18,46.25,756987
1716264000,46.04,47.27,45.86,47.25,1226447
1716350400,47.11,47.82,46.62,47.04,1131310
1716436800,47.54,47.59,46.46,46.73,1083504
1716523200,47.15,47.815,46.8408,47.39,939314
1716868800,47.61,48.277,46.68,46.77,1501264
1716955200,46.21,47.18,45.4,46.71,1872613
1717041600,46.77,47.81,46.75,47.36,1277710
1717128000,47.5,48.17,46.74,47.96,2067812
1717387200,48.05,48.469,46.09,46.45,1914856
1717473600,46,46.23,44.995,45.17,1812523
1717560000,45.39,45.68,44.98,45.29,3836179
1717646400,45.07,45.225,44.28,44.58,1754630
1717732800,44,44.83,43.75,44.42,987534
1717992000,44.13,45.16,44.13,45.03,888015
1718078400,44.94,45.21,44.36,45.14,1074846
1718164800,46.66,48.57,46.355,47.79,1678644
1718251200,47.75,47.85,47,47.77,1069383
1718337600,46.88,47.24,46.26,47.06,1133026
1718596800,48,48.81,46.145,46.67,1936367
1718683200,46.67,46.995,46.14,46.79,1402438
1718856000,46.59,47.115,46.33,46.73,1323759
1718942400,46,46.07,41.95,44.5,5977988
1719201600,44.7,45.52,44.17,44.95,2350546
1719288000,44.02,44.02,41.15,41.55,4837737
1719374400,41.84,41.98,41.41,41.79,1700147
1719460800,41.72,42.15,41.5,41.63,1645077
1719547200,41.76,42.67,41.66,42.13,4840774
1719806400,42.3,42.63,40.91,41.3,1833194
1719892800,41.24,42.06,40.95,41.63,1308988
1719979200,40.11,40.87,39.35,40.66,2236774
1720152000,40.43,40.89,40.11,40.88,1113015
1720411200,41.24,41.5689,40.75,41.01,1671559
1720497600,41.1,42.27,41.06,41.62,1644149
1720584000,41.65,42.115,41.14,41.99,1634850
1720670400,42.5,43.64,42.32,43.31,4060341
1720756800,43.3,44.15,43.19,43.66,1847605
1721016000,43.94,44.45,43.455,43.69,1454305
1721102400,44.21,45.595,43.98,45.55,1359017
1721188800,44.89,45.51,44.1,44.12,1552945
1721275200,44.31,46.02,43.69,44.5,8039634
1721361600,44.61,44.85,43.72,44.2,1164539
1721620800,44.71,45.69,43.87,45.65,1566989
1721707200,44.25,44.59,43.2945,43.72,2135453
1721793600,43.72,44.05,42.14,42.21,1776493
1721880000,42.61,43.57,42.29,42.99,1813903
1721966400,44.16,46.04,44.11,45.25,1532401
1722225600,45.25,45.755,44.83,45.52,1472295
1722312000,45.72,46.16,44.77,45.31,1147605
1722398400,45.87,46.43,44.44,44.89,2261089
1722484800,45.25,45.56,43.02,43.46,1578447
1722571200,42.16,42.245,40.87,42.17,1835194
1722830400,39.71,41.46,39.42,41.02,2135981
1722916800,40.92,42.16,40.4,41.52,1437963
1723003200,37.1,37.35,35.48,36.81,7628236
1723089600,40.09,40.64,38.74,39.16,4687342
1723176000,38.82,39.72,38.41,39.06,3072745
1723435200,38.8,39.18,38.15,38.32,2348080
1723521600,38.48,40.125,38.48,40,2519439
1723608000,40.62,41.01,39.7795,40.24,1687854
1723694400,41.03,41.99,40.791,41.68,2612342
1723780800,41.33,41.9,40.84,41.04,1950218
1724040000,41.33,41.73,40.55,40.8,1754617
1724126400,41.02,41.38,40.38,40.77,1557694
1724212800,40.96,42.3075,40.82,42.22,2149525
1724299200,42.26,42.63,41.89,42.11,989524
1724385600,42.56,44.0158,42.385,43.81,1664482
1724644800,44.04,44.27,43.26,43.5,1692463
1724731200,43.03,43.24,42.38,42.51,1265713
1724817600,42.36,42.52,41.405,41.87,1586956
1724904000,42.31,42.58,41.6325,42.11,1218992
1724990400,42.61,42.695,41.73,42.63,1158798
1725336000,42.08,42.73,41.34,41.34,2017668
1725422400,41.21,41.68,40.894,41.44,2119849
1725508800,41.46,42.1,41.025,41.27,1244309
1725595200,41.45,42.03,40.745,41.1,2247074
1725854400,41.22,41.68,40.83,41,1945205
1725940800,41.3,41.85,40.65,41.8,2224634
1726027200,41.63,42.1,40.4,41.82,1446130
1726113600,41.78,42.53,41.56,42.5,912797
1726200000,43.08,44.05,42.935,43.98,1698298
1726459200,44.16,44.65,43.77,44.16,952206
1726545600,44.48,45.03,44.26,45,1613702
1726632000,45.27,46.61,44.78,45.2,2593337
1726718400,46.45,46.91,45.66,46.9,1871839
1726804800,46.67,47,45.7802,46.51,2449514
1727064000,46.86,47.26,46.04,46.35,1328467
1727150400,46.37,46.8,46.15,46.75,872070
1727236800,46.73,46.73,45.62,45.66,1212326
1727323200,45.5,46.3,45.3,46.06,1774729
1727409600,46.8,47.34,46.53,46.77,1313215
1727668800,46.44,47.17,46.26,46.8,1072002
1727755200,46.87,47.14,46.14,46.7,1470761
1727841600,46.37,46.78,45.55,46.46,1930564
1727928000,46.17,46.42,45.66,46.1,1102032
1728014400,45.35,45.485,43.63,43.79,3320798
1728273600,43.81,43.88,43.23,43.53,1480209
1728360000,43.28,44.04,43.22,43.64,1337661
1728446400,44.31,44.31,43.4,43.83,1451882
1728532800,43.28,44.02,43.125,43.66,1258421
1728619200,43.61,44.61,43.29,44.51,1145110
1728878400,44.48,45.71,44.32,45.56,1096240
1728964800,45.35,45.61,44.81,45.05,1902117
1729051200,45.52,45.52,44.26,44.39,1477696
1729137600,44.35,44.35,43.315,43.45,1264013
1729224000,43.88,44.14,43.37,44.13,1318141
1729483200,44.35,44.35,43.13,43.2,1185189
1729569600,42.8,42.9,42.32,42.53,952525
1729656000,42.33,42.74,41.92,42.23,1283150
1729742400,42.25,42.64,41.885,42.61,1058603
1729828800,42.8,43.56,42.405,42.55,1470614
1730088000,43.01,43.89,42.68,43.77,1795098
1730174400,44.58,45.125,43.055,44.4,2038063
1730260800,44.38,45.405,44.32,44.69,1124854
1730347200,44.51,44.59,44,44,847574
1730433600,44.55,44.93,44,44.16,899929
1730696400,44.13,45.44,44.13,44.44,1396060
1730782800,44.19,45.45,44.19,45.4,929614
1730869200,46.72,46.72,44.01,45.45,1657744
1730955600,45.58,46.59,45.41,46.55,1386778
1731042000,46.43,47.08,46.375,47.04,772272
1731301200,47.54,48.14,47.223,47.91,755843
1731387600,47.55,47.97,46.95,47.22,875054
1731474000,47.76,48.22,47.291,47.35,815018
1731560400,47.37,47.97,46.68,46.76,931078
1731646800,46.55,46.73,45.67,45.67,1634954
1731906000,45.74,46.83,45.5,46.3,1531347
1731992400,45.9,46.48,45.41,46.46,1771562
1732078800,50.11,50.11,47.2901,48.22,3326415
1732165200,48.22,49.91,47.29,49.81,2454040
1732251600,50.23,51.03,49.66,50.98,2789001
1732510800,52.25,54.1567,51.84,53.34,3134529
1732597200,52.63,53.135,51.8001,52.41,1071076
1732683600,52.81,53.13,51.75,52.26,1588816
1732856400,52.61,53.37,52.61,53.12,867478
1733115600,52.94,53.49,52.62,52.99,1140571
1733202000,52.99,53.77,52.99,53.73,1015621
1733288400,53.4,53.89,53.15,53.68,1263321
1733374800,53.85,53.85,52.93,53.48,861534
1733461200,54.15,54.69,53.58,54.21,1437343
1733720400,54.3,54.57,53.385,54.25,1433071
1733806800,53.87,54.205,52.13,53.51,1478716
1733893200,54.41,54.77,53.38,54.76,1140642
1733979600,54.56,54.91,53.81,53.96,1146971
