T,O,H,L,C,V
1713844800,170.95,171.18,168.43,169.18,7619323
1713931200,176.5,177.64,162.74,164.33,20859273
1714017600,163.59,168.13,159.7,166.81,12504691
1714104000,165.98,168.65,164.93,167.22,7208103
1714363200,167.9,173.81,167.55,173.49,7805459
1714449600,171.49,174.07,167.76,167.84,8248754
1714536000,167.5,173.86,167.5,171.46,6006091
1714622400,173,178.9,172.2501,178.85,10223730
1714708800,179.59,180.49,177.9,179.79,5416263
1714968000,180.88,183.98,174.71,178.35,11713389
1715054400,177.22,178.35,176.13,176.71,5097451
1715140800,175.95,181.66,175.95,180.35,4956761
1715227200,179.55,181.75,179.31,181.25,5098118
1715313600,181.25,181.88,177.92,178.51,3715473
1715572800,179.04,180.75,178.07,178.44,3105206
1715659200,180.23,183.66,179.63,180.76,4586537
1715745600,180.14,180.67,176.17,176.99,5858857
1715832000,177.6,183.76,177.25,182.96,6993218
1715918400,183.25,185.3799,181.22,184.95,5518868
1716177600,184.65,188.63,184.01,186.61,6228560
1716264000,185.3,186.39,183.11,184.78,4349117
1716350400,184.6,186.8183,183.41,186.28,3785412
1716436800,185.79,186,171.61,172.21,17114154
1716523200,173.2,174.8595,169.57,174.52,9480455
1716868800,174.73,178.4914,173.38,175.08,5274390
1716955200,173.61,175.8299,171.61,171.65,3666368
1717041600,172.64,174.68,171.5501,172.75,3927919
1717128000,173.12,177.9,172.21,177.61,5768949
1717387200,178.09,186.01,178.0197,184.57,8951574
1717473600,185.05,188.84,183.25,188.62,7176817
1717560000,187.9,190.34,186.5268,189.85,5943952
1717646400,188.83,192.1,187.35,191.42,5942160
1717732800,190.46,191.98,189.66,190.24,3374548
1717992000,190,192.63,189.6,190.12,4388254
1718078400,189.32,189.32,182.75,185.5,5010058
1718164800,186.5,187.16,181.71,182.67,5245156
1718251200,181.74,183.87,178.99,180.7,4201004
1718337600,178.9,180.2899,175.22,177.27,5105974
1718596800,176.75,180.45,176.32,178.39,4789953
1718683200,177.61,178,173.82,174.99,6179870
1718856000,173.02,176.6489,172.045,176.3,5477680
1718942400,176.83,178.41,175.66,176.56,8596096
1719201600,176.15,180.6,175.5901,179.1,7216189
1719288000,176.29,178.76,173.29,175.1,7695061
1719374400,174.96,178.82,173.76,178.5,6553895
1719460800,178.91,183.68,178.01,182.51,8198963
1719547200,182.6,184.435,180.65,182.01,5899850
1719806400,182.2,189.47,182.2,186.7,9056710
1719892800,186.34,189.225,184.52,185.42,4102453
1719979200,185.05,185.42,182.85,184.31,2764797
1720152000,184,185.38,182.23,184.83,3290380
1720411200,186.94,191.5,182.28,185.84,9878141
1720497600,185.11,186.245,183.15,183.24,3955122
1720584000,183.6,184.9,182.8,183.73,3583175
1720670400,184.17,186.1,183.4,183.91,4832225
1720756800,183.73,184.4899,180.45,182.31,5129294
1721016000,183.5,183.72,178.88,179.11,5189034
1721102400,180.05,187.44,179.2,186.05,8546392
1721188800,185.32,188.45,183.79,184.84,4899566
1721275200,184.24,187.37,179.88,180.23,5354761
1721361600,181.4,181.5,177.39,179.67,4701962
1721620800,181.36,182.72,177.23,178.9,4883531
1721707200,179.1,187.04,179,186.48,7604085
1721793600,185.62,187,179.97,180.07,5109135
1721880000,179.45,188.35,179.45,184.35,6122202
1721966400,185.86,189.59,184.63,186.89,6271995
1722225600,186.7,187.08,183.83,185.43,3592684
1722312000,186.1,188.13,185.15,186.86,4789017
1722398400,189.88,196.95,183.86,190.6,15416951
1722484800,190,191.17,176.69,178.31,13865965
1722571200,175.22,175.46,167.25,169.95,11742812
1722830400,162.52,167.68,162.5,167.03,9255072
1722916800,168.89,169.19,163.39,165.04,5817257
1723003200,167,167.98,162.99,163.24,5186448
1723089600,164.23,169.35,164,168.87,6063808
1723176000,168.39,169.85,166.9,167.91,3635590
1723435200,167.73,168.05,163.519,164.13,4715584
1723521600,164.5,168.88,162.62,168.76,6475461
1723608000,167.885,169.75,167.33,168.5,3852650
1723694400,170,176.56,169.98,176.41,5942222
1723780800,176.3,180.51,176.3,179.99,6731304
1724040000,180.04,180.7,177.63,179.64,3894182
1724126400,176.49,177.5,170.04,172.1,9549138
1724212800,173,174.2,171.04,173.43,4493631
1724299200,173,175.21,172.3,172.76,2785631
1724385600,173.88,176.92,173.17,174.96,4360048
1724644800,173,174.915,172.3,173.48,4034303
1724731200,173.62,173.93,171.25,173.05,3295800
1724817600,172.3,174.25,170.15,170.71,4550273
1724904000,171.71,175.28,170.62,172.26,4119472
1724990400,173.14,174.36,171.49,173.74,4143430
1725336000,167.03,169.6,158.3,161.02,17883418
1725422400,160.28,166.7,160.28,163.22,7316302
1725508800,164.15,164.6163,160.1,162.15,4717520
1725595200,162.5,162.85,156.695,157.62,6878641
1725854400,162.3,164.55,161.11,162.91,9091545
1725940800,162.61,163.9,157.93,160.07,6367077
1726027200,159.79,161.8699,156.1,161.33,6664756
1726113600,159.42,163.5,159.06,162.77,4756367
1726200000,159.78,162.8899,155.6,156.77,19003354
1726459200,156.25,157.76,154.02,155.55,9955158
1726545600,156.17,158.88,155.14,156.39,8123236
1726632000,157,158.45,154.8,155.11,7714430
1726718400,157,157.18,154.27,154.59,9570002
1726804800,154.01,154.64,152.6,153.29,13919395
1727064000,153,158.43,151.65,156.3,12476805
1727150400,155.8,155.9,153.69,155.81,7414902
1727236800,156.42,157.22,152.045,152.22,9587697
1727323200,153.94,157.33,152.66,154.58,11414380
1727409600,155.365,157.33,154.39,156.32,7636991
1727668800,154.79,155.3,151.24,152.04,10925178
1727755200,151.46,156.4,149.49,154.22,12588778
1727841600,153.765,154.8499,152.835,152.89,4257023
1727928000,152.12,152.74,150.51,150.52,5704814
1728014400,152.26,155,150.85,155,6680591
1728273600,155,158.7599,154.68,155.91,6267890
1728360000,155.99,156.7,154.14,154.65,5336289
1728446400,152.05,152.19,148.8,149.37,12488480
1728532800,149.07,149.11,146.26,146.62,11275836
1728619200,146.3,151.12,146.3,151.02,10688553
1728878400,148,150.09,146.02,148.99,9736998
1728964800,150.5,153.95,148.55,152.35,11241668
1729051200,151.91,154.99,151.34,154.9,8356210
1729137600,155,157.14,154.25,155.31,6291759
1729224000,155.84,156.37,153.9,155,6030173
1729483200,160.25,163.44,158.36,159.82,13277553
1729569600,160.5,160.66,158.37,159.88,7380826
1729656000,160,161.4725,153.53,157.06,15931493
1729742400,152.61,155.89,151.98,155.2,9774355
1729828800,156.2,157.48,154.5202,155.01,8152969
1730088000,153.5,155.2,150.61,150.69,20992479
1730174400,147.86,155.99,147.58,152.98,66163677
1730260800,152.51,156.91,152.51,154.29,50738362
1730347200,154.31,154.48,147.88,149.31,29388204
1730433600,152.78,156,151.23,154.59,18894509
1730696400,154.62,156.72,152.46,155.07,9906187
1730782800,157.47,157.66,150.65,151,23126635
1730869200,152.3,153.2,144.13,147.16,28069287
1730955600,148.8,152.8,148.03,150.98,14709235
1731042000,151.12,152.6,149.43,151.68,12996805
1731301200,152,152.5,148.07,148.96,12799077
1731387600,148.4,148.5,143.85,145.17,16743530
1731474000,145.58,145.58,139.1,139.97,21249600
1731560400,140.8,141.55,137.22,138.14,15637710
1731646800,138.14,140.3247,137.03,140.19,12120095
1731906000,140.255,144.69,138.2,143.87,12259932
1731992400,143,145.99,142.6901,145.6,8247289
1732078800,146.04,147.3,145.0201,146.08,9232114
1732165200,146.39,146.42,141.34,143.41,7845135
1732251600,143.61,150.339,143.49,149.29,13353083
1732510800,150.7,153.28,150.26,153.1,11479406
1732597200,152.5,153.1398,149.8,150.76,8234985
1732683600,151.11,152.91,150.25,152.4,5178947
1732856400,153,157.5025,152.85,155.44,7100090
1733115600,155.91,160.35,155.7,156.54,10097911
1733202000,156,156.6486,154.42,155,6130313
1733288400,155.88,160.2,154.21,158.28,9269316
1733374800,158.5,160.02,156.0475,156.67,7119832
1733461200,157.03,158.9533,153.37,153.93,8182668
1733720400,154.27,161.95,154.27,157.04,13540021
1733806800,160,166.68,159.42,164.1,17149192
1733893200,165.52,169.3,164.381,165.96,13116634
1733979600,168.23,168.82,165.6501,167.75,10617736
1734066000,168,170.43,166.33,169.65,9754901
1734325200,168.09,175.2,166.1,173.17,13050714
1734411600,173.04,175.7866,171.71,173.03,13557076
1734498000,173.28,177.94,171.002,172.62,15437178
1734584400,175,179.5788,173.72,177.04,14777065
1734670800,176.86,182,175.31,177.35,23233668
1734930000,178.12,179.65,174.2901,177.69,8486421
1735016400,177.69,180.95,177.5,179.34,4316969
1735189200,178.98,182.57,178.33,180.38,5917678
1735275600,180.01,181.43,179.4,180.72,6806925
1735534800,173.72,178.17,170.15,176.55,18082312
1735621200,177.54,179.3499,175.82,177,9748554
1735794000,178.31,179.19,169.82,171.87,12399954
1735880400,171.4,173.98,169.8,169.9,10513769
1736139600,173.5,173.9442,170.19,170.78,11133425
1736226000,171.165,175.02,170.8,172.51,7036767
1736312400,171.15,173.78,169.61,171.76,5108711
1736485200,171.49,173.535,167.41,172,7556765
1736744400,171.18,172.5,167.91,170.57,6049552
1736830800,171.37,171.88,164.62,167.02,7966857
1736917200,169.01,169.99,165.9701,166.2,6451034
1737003600,166.79,170.6399,166.57,168.93,5612341
1737090000,169.795,171.77,169.45,171.09,9557133
1737435600,172.38,177.09,171.9321,175.56,8755311
1737522000,175.29,176.23,173.88,174.8,5134446
1737608400,174.01,178.6699,173.75,178.5,7097348
1737694800,176,180.43,174.365,176.06,9287427
1737954000,175.55,178.18,174.4,175.16,7148613
1738040400,181.31,188.48,174.02,177.78,22768851
1738126800,179.125,182.55,170.65,173.66,12263458
1738213200,174.59,179.94,173.7218,179.53,6996317
1738299600,180.51,181.78,175.74,176.52,6116155
1738558800,174.11,178.2,173.1277,175.87,6501722
1738645200,176.9,177.45,174.25,176.23,4501714
1738731600,176,181.86,175.505,181.84,7430431
1738818000,182,185.85,182,184.8,6919404
1738904400,185.26,186.1087,180.93,181.49,5392310
1739163600,183.12,183.55,179.9,180.55,3989106
1739250000,179.78,182.14,177.6,180.44,4366651
1739336400,178.34,186.27,178.25,186.25,7686842
1739422800,187,188.24,185.09,185.44,6846329
1739509200,186.75,186.82,183.575,184.42,5044712
1739854800,185.68,188.66,184.22,184.97,6929627
1739941200,185.31,187.2299,181.83,186.15,7264764
1740027600,185.58,185.8,180.11,180.88,7863048
1740114000,181.28,182.2,174.71,177.15,8980339
1740373200,177.475,183.04,176.55,179.91,8392903
1740459600,180.45,181.88,176.34,178.27,5613880
1740546000,179.49,179.49,171.83,173.04,7111736
1740632400,174.52,177.15,173.59,173.83,4695248
1740718800,174.36,176.3,173.4811,174.63,5803347
1740978000,177.02,178.4,169.46,170.06,6045578
1741064400,167.37,168.38,156.69,158.9,15870217
1741150800,159.96,164.33,158.81,163.16,7155750
1741237200,161.42,162.69,157.94,158.43,6892570
1741323600,157.19,158.36,149.05,154.18,12507196
1741579200,150.03,150.39,146.3,148.15,10203962
1741665600,148,155.01,145.45,154.06,10030549
1741752000,157,159.54,153.6113,158.8,8700590
1741838400,159.22,161.74,157.25,159.32,5701556
1741924800,160.915,162.32,159.2001,161.81,5215140
1742184000,160.5,162.77,159.6235,161.85,5602688
1742270400,161.44,162.23,158.79,161.57,4195165
1742356800,165.32,174.2,165,172.62,14114844
1742443200,171.14,173.1,170.31,172.83,4934361
1742529600,172.06,183.46,170.77,178.11,26791263
1742788800,182.03,184.4,180.4411,180.9,9889466
1742875200,182.16,183.85,180.36,182.59,7174436
1742961600,182.525,183.2278,177.28,178.55,6633607
1743048000,178.53,182.22,178.0334,179.11,4788639
1743134400,177.75,178.5,172.45,173.31,8211108
1743393600,170.65,172.2099,166.792,170.55,7477456
1743480000,170,170.975,164.2191,168.17,8252833
1743566400,166.4,170.38,165.55,168.56,5826557
1743652800,160,160.21,150.41,150.91,15877380
1743739200,143.3,146,132.79,136.59,22281992
1743998400,132.05,143.9722,128.8801,138.86,18817877
1744084800,146.85,147.77,137.4,139.39,14527902
1744171200,138.845,162.43,137.9431,160.82,16775246
1744257600,154.98,157.345,149.41,155.52,10374984
1744344000,154.62,157.59,152,156.84,8810699
1744603200,159.82,162.55,157.6001,159.28,7288736
1744689600,155.275,159.1201,155.275,155.52,11541122
1744776000,154.365,157.6589,153.545,156.47,6809550
1744862400,157.13,163.9,157,161.9,9227259
1745208000,160,160,156.47,159.34,5703160
