T,O,H,L,C,V
1713844800,71.08,72.8,70.99,72.51,15268166
1713931200,73.74,74.7,73.5,74.63,16375157
1714017600,73.805,75.2,73.805,75.11,11921914
1714104000,76.185,76.93,75.06,75.55,14216073
1714363200,75.65,76.53,75.22,76.41,13222704
1714449600,75.89,76.29,74.48,74.85,12855978
1714536000,74.99,76.25,74.87,75.51,10568660
1714622400,77.59,81.415,77.16,80.33,36655857
1714708800,81.27,81.37,79.7,81.33,19355807
1714968000,81.755,82.22,80.5,81.55,11826084
1715054400,79.93,79.93,78.815,79.37,14589103
1715140800,77.92,78.99,77.81,78.46,11327088
1715227200,79.5,79.92,78.71,79.46,9627274
1715313600,80.08,80.52,79.77,80.04,10745572
1715572800,82.71,85,82.6,84.6,31996693
1715659200,79.65,80.51,77.72,79.51,44687713
1715745600,80.39,81.13,79.78,80.99,17735260
1715832000,81.96,87.49,81.646,86.7,47259474
1715918400,87.6,90.46,86.83,88.54,35152879
1716177600,87.47,89.24,86.95,88.28,16691102
1716264000,86.52,87.17,85.32,86.13,16512390
1716350400,84.61,85.13,82.68,82.68,19717820
1716436800,81.43,82.94,80.05,80.8,23867255
1716523200,80.5,82.56,79.73,81.26,41456371
1716868800,80.8,81.72,80.04,80.58,15211752
1716955200,78.76,79.36,78.23,79.06,18448528
1717041600,78.865,80.2,78.7,79.63,13886890
1717128000,77.96,78.4999,77.17,78.34,20023892
1717387200,79,79.32,77.22,77.9,14244431
1717473600,78.18,78.857,77.775,78.45,10784382
1717560000,78.98,79.935,78.86,79.83,13716208
1717646400,79.42,80.055,78.76,80.01,11199777
1717732800,78.95,79.32,78.135,78.41,12190292
1717992000,78.57,79.74,78.24,79.3,9490137
1718078400,79,79.08,77.67,77.9,11108400
1718164800,78.75,78.79,77.64,78.04,12069553
1718251200,76.5,76.99,75.49,75.68,14026743
1718337600,74.21,74.29,73.26,73.35,18282714
1718596800,74.025,75.08,73.83,74.55,12316287
1718683200,74.085,75.1,73.85,74.46,9455285
1718856000,74.57,75.2493,74.03,74.35,9680877
1718942400,73.79,74.6499,73.67,73.67,10410815
1719201600,74.12,75.935,74.12,74.79,20134412
1719288000,74.5,74.76,73.6101,73.79,16986435
1719374400,73.925,74.35,73.67,74.17,7010071
1719460800,73.46,73.55,72.35,72.37,11865132
1719547200,72.37,72.555,71.8,72,10317374
1719806400,72.51,73.02,72.02,72.18,9034233
1719892800,72.32,73.7767,71.97,73.68,13419140
1719979200,74.18,75.805,74.18,75.57,11684517
1720152000,74.67,74.715,73.61,74.52,14928681
1720411200,73.61,73.71,72.95,73.5,10919434
1720497600,74.01,76.06,73.97,75.7,14516557
1720584000,75.28,76.655,75.25,76.01,12235165
1720670400,77.66,78.83,77.4224,78.52,18896930
1720756800,80.3,81.01,79.425,79.65,14857248
1721016000,78.09,78.6,77.45,78.01,12614928
1721102400,77.29,78.58,76.98,78.38,12304469
1721188800,77.86,77.95,76.49,77.04,10815545
1721275200,77.36,78.32,76.3649,76.54,11098127
1721361600,75.66,76.045,75.18,75.27,7521264
1721620800,76.83,77.19,76.26,76.64,9166842
1721707200,75.675,76.32,75.44,76.1,7997090
1721793600,76.15,77.06,75.72,75.8,7924719
1721880000,75.37,76.215,75.13,75.4,8172638
1721966400,75.26,76.77,74.55,76.53,10884540
1722225600,78.46,79.4,78.205,78.62,17364101
1722312000,78.22,78.79,77.7,78,8431939
1722398400,79.33,80.015,78.34,78.85,10778625
1722484800,78.77,79.36,77.84,77.98,8559620
1722571200,76.79,77.47,75.765,77.45,10808670
1722830400,74.03,77.255,73.87,76.98,16143255
1722916800,76.51,78.85,76.51,77.9,12126607
1723003200,78.92,78.94,77.46,77.83,9693911
1723089600,78.85,80.31,78.75,80.31,13995330
1723176000,79.97,80.22,79.195,79.99,7755860
1723435200,80.59,81.5,80.23,80.91,12057711
1723521600,80.965,81.4,80.68,81.1,9365727
1723608000,80.55,80.98,78.07,79.47,18038094
1723694400,77.9,81.88,77.74,79.54,31619351
1723780800,82.05,84.16,81.98,83.18,25249172
1724040000,83.98,84.9,83.49,83.91,14744392
1724126400,82.46,82.6,80.775,81.04,17874259
1724212800,81.85,83.8,81.71,83.53,14689960
1724299200,83.5,83.79,81.83,82.96,9726702
1724385600,84.9,85.79,84.36,85.41,17308096
1724644800,81.89,82.305,80.3703,81.76,29321676
1724731200,82.27,82.65,81.27,81.45,9026068
1724817600,81.125,81.2799,79.205,79.62,14024406
1724904000,81.24,81.465,80.46,81.02,14154155
1724990400,84.72,84.75,82.58,83.34,20011304
1725336000,81.78,83.02,81.7,82.27,11638188
1725422400,82.87,83.4,82.3,82.47,11114067
1725508800,82.105,83.01,82,82.43,8435544
1725595200,82.12,82.62,81.17,81.18,11712670
1725854400,80.93,81.625,80.3199,81.44,10434425
1725940800,83.8,84.3,82.715,83.8,15327768
1726027200,83.575,84.84,83.5,84.81,11551734
1726113600,85.03,85.6801,84.86,85.49,10781344
1726200000,84.39,84.89,83.82,84.69,8985457
1726459200,84.035,84.38,83.26,83.6,11298241
1726545600,84.82,85.77,84.63,84.7,10113889
1726632000,84.85,85,84.04,84.42,7821842
1726718400,87.625,88.565,86.95,88.49,18618354
1726804800,89.22,89.52,88.05,88.29,12277036
1727064000,89.47,91.15,89.32,90.09,19744055
1727150400,96.07,97.5,94.4,97.19,47393157
1727236800,94.38,96.18,94.06,95.46,18816624
1727323200,102.69,105.97,101.76,105.07,67257874
1727409600,105.97,109.43,105.73,107.33,50075194
1727668800,111.72,112.22,106.105,106.12,58695541
1727755200,106.42,112.79,106.15,112.74,44504775
1727841600,115.31,116.57,112.22,115.25,53732816
1727928000,110.9,114.09,110.63,112.84,29089952
1728014400,115.665,115.73,113.75,114.53,25699080
1728273600,117.45,117.82,113.37,117.52,38364072
1728360000,110.1,110.76,108.04,109.68,37414363
1728446400,105.8,109.38,105.62,107.89,28783497
1728532800,108.98,110.84,107.48,109.28,19731380
1728619200,108.05,111.05,107.22,110.14,18042614
1728878400,108.31,110.08,106.92,107.81,20584631
1728964800,103.99,104.41,101.64,101.84,28942615
1729051200,102.505,103.85,101.78,102.17,16432574
1729137600,101.25,101.45,99.55,100.07,15808247
1729224000,103.365,103.365,101.66,102.43,20824610
1729483200,100.475,101.65,100.115,100.91,10328625
1729569600,100.01,101.89,99.8,100.46,20650129
1729656000,100.165,100.22,97.735,98,13638151
1729742400,96.79,97.41,95.52,96.36,13547370
1729828800,98.3,98.9,97.05,97.42,16848395
1730088000,99.03,101.05,98.78,99.93,16044384
1730174400,101.45,101.45,99.53,99.83,13685370
1730260800,98.215,99.8,97.58,98.7,10179903
1730347200,97.8,98.1,96.755,97.98,8379347
1730433600,98.22,98.2999,97.42,97.58,8501018
1730696400,98.82,99.88,98.36,98.4,8469389
1730782800,99.97,101.09,98.955,99.21,10804152
1730869200,95.8,97.32,94.76,96.73,18162861
1730955600,99.26,101.1,99.18,100.14,16340404
1731042000,96.11,96.38,93.69,94.19,24879795
1731301200,96.16,96.8,95.045,95.42,12556730
1731387600,92.68,93.33,91.03,91.78,21641878
1731474000,92.55,92.87,91.28,92,12874522
1731560400,90.89,91.555,90.01,90.58,16930771
1731646800,90.2,90.7,87.23,88.59,31018266
1731906000,88.9,89.5,87.85,89.35,13513838
1731992400,87.16,87.94,86.8184,87.11,19289022
1732078800,87.04,87.54,86.5,86.77,15174535
1732165200,86.98,87.0395,85.445,85.58,15853618
1732251600,83.6,83.68,82.635,83.13,24998402
1732510800,84.25,85.875,83.75,85.58,15118057
1732597200,85.815,86.08,84.86,85.18,10241468
1732683600,86.97,87.54,86.47,86.59,13607643
1732856400,86.42,87.49,85.97,87.37,7553510
