T,O,H,L,C,V
1713844800,66.98,68.3,66.84,68.09,450545
1713931200,69.89,70.18,68.65,68.99,770631
1714017600,65.52,67.83,65.11,67.3,546174
1714104000,67.21,68.25,67.08,68.24,375292
1714363200,68.68,69.21,68.62,68.98,111310
1714449600,67.84,68.07,67.06,67.37,416681
1714536000,67.08,67.81,66.8,67.52,96984
1714622400,66.915,67.3399,66.71,67.3,123797
1714708800,69.21,69.31,68.6,68.81,128659
1714968000,70.5,70.5,69.13,69.34,148444
1715054400,69.57,69.74,69.1785,69.66,114524
1715140800,69.34,69.855,69.33,69.73,78335
1715227200,69.97,70.5,69.8801,70.3,301598
1715313600,70.39,70.61,70.19,70.31,139068
1715572800,68.23,69.46,68.1,68.4,303786
1715659200,68.77,68.8999,68.38,68.75,187440
1715745600,69,69.78,68.65,69.63,188348
1715832000,69.57,70.05,69.45,69.7,241649
1715918400,69.66,69.8599,69.19,69.7,188662
1716177600,70.1,70.72,70.05,70.48,191639
1716264000,70.32,71.26,70.29,71.1,188542
1716350400,71.05,71.41,70.5501,70.95,389596
1716436800,72.12,72.23,71.38,71.595,188170
1716523200,70.97,71.415,70.91,71.24,164449
1716868800,71.33,71.42,70.51,70.68,103043
1716955200,69.91,70.32,69.7,69.82,99179
1717041600,70.26,70.87,70.26,70.74,497000
1717128000,71.87,72.12,71.52,71.94,195364
1717387200,72.54,72.81,72,72.27,274133
1717473600,72,72.12,71.45,71.58,244429
1717560000,72.56,72.6,71.6901,72.28,103554
1717646400,72.05,72.14,71.541,71.83,129497
1717732800,71.81,72.125,71.39,71.55,69277
1717992000,71.52,72.06,71.28,71.98,536019
1718078400,71.17,71.24,70.47,70.91,208505
1718164800,71.75,72.2599,71.38,71.42,101989
1718251200,71.33,71.33,70.83,71.3,189224
1718337600,68.59,68.7,67.93,68.26,220159
1718596800,68.3,68.63,67.94,68.57,86360
1718683200,69.07,69.18,68.45,68.69,282768
1718856000,68.75,68.82,68.34,68.41,578377
1718942400,68.27,68.27,66.795,67.14,1027767
1719201600,68.15,69.06,68.15,68.41,117164
1719288000,67.77,68.25,67.68,67.87,99508
1719374400,67.4,67.5,66.93,67.15,118767
1719460800,67.81,67.96,66.9001,67.01,172500
1719547200,67.41,67.6,66.69,66.85,100610
1719806400,65.18,65.28,64.4,64.56,212914
1719892800,64.49,64.799,64.34,64.79,111631
1719979200,65.32,65.62,65.27,65.48,93123
1720152000,65.43,65.48,64.6,64.76,102635
1720411200,65.43,65.63,65.18,65.18,140014
1720497600,65.3,65.39,64.82,64.91,106686
1720584000,65.78,66.02,65.45,65.68,250673
1720670400,66.06,66.41,65.88,66.02,181096
1720756800,66.06,66.29,65.811,65.96,148114
1721016000,66.68,66.77,66.28,66.49,86075
1721102400,66.2,67,66.0001,66.92,123871
1721188800,66.79,66.82,65.75,65.95,120522
1721275200,66.73,66.73,66.0001,66.17,67332
1721361600,65.91,65.91,65.5,65.86,86441
1721620800,66.21,66.42,65.87,66.41,102351
1721707200,65.6899,66.15,65.5675,65.77,582413
1721793600,65.98,65.98,64.79,64.8,939311
1721880000,63.99,64.87,63.73,63.97,868051
1721966400,65.18,65.6,65,65.3,1872363
1722225600,66.35,66.35,65.63,65.64,1000425
1722312000,65.84,66.17,65.64,65.84,345631
1722398400,66.43,66.9,66.225,66.75,374627
1722484800,67.23,67.72,65.28,65.63,105744
1722571200,64.98,66.83,64.78,66.19,134543
1722916800,64.41,65.19,64.23,64.87,110580
1723003200,65.665,66,65.24,65.32,117235
1723089600,65.23,65.83,64.924,65.75,78288
1723176000,65.33,65.63,65.13,65.53,66038
1723435200,66.32,66.83,66.26,66.7,101453
1723521600,67.58,68.48,67.305,68.32,66754
1723608000,69.35,69.88,69.27,69.74,75105
1723694400,69.62,70.216,69.54,69.89,76665
1723780800,69.78,69.92,69.58,69.76,76271
1724040000,69.22,69.75,69.07,69.59,76555
1724126400,68.85,68.91,68.16,68.49,85578
1724212800,68.52,68.97,68.34,68.87,72553
1724299200,69.22,69.22,69.11,69.11,10972
1724385600,68.89,69.505,68.785,69.21,62340
1724644800,69.75,70.38,66.92,69.92,122568
1724731200,70.2,70.35,69.85,70.3,109845
1724817600,70.8099,71.4,70.73,71.19,92426
1724904000,72.04,72.59,71.85,72.455,58381
1724990400,72.18,72.29,71.47,71.52,92256
1725336000,69.54,69.6,68.43,68.8,86912
1725422400,68.76,69.46,68.76,69.09,64329
1725508800,68.43,68.895,68.34,68.67,65863
1725595200,69.49,69.52,67.86,68.03,94796
1725854400,67.77,68.33,67.76,68,157308
1725940800,68.18,68.48,67.83,68.45,138950
1726027200,68.34,68.53,67.48,68.53,89686
1726113600,68.88,69.91,68.71,69.62,72372
1726200000,70.34,70.51,70.14,70.28,55357
1726459200,70.97,71.2399,70.51,70.6,74008
