T,O,H,L,C,V
1713844800,143.64,146.43,143.01,145.96,583871
1713931200,146.58,147.16,143.18,144.39,514690
1714017600,144.17,146.63,144.03,145.27,469582
1714104000,144.98,145.55,144.285,145.13,405627
1714363200,145.52,147.76,145.37,147.58,567100
1714449600,148.79,148.99,146.64,147.67,707421
1714536000,148.09,148.87,147.045,147.33,795513
1714622400,148.52,148.66,146.225,146.7,698705
1714708800,147.93,148.2699,145.77,147.25,797047
1714968000,147.93,152.99,147.28,152.88,1525404
1715054400,153,154.82,151.27,151.4,804012
1715140800,151.5,152.3519,148.58,151.07,1042274
1715227200,151.71,154.36,151.4603,154.34,872711
1715313600,155.31,156.14,154.445,156.06,802031
1715572800,156.06,156.83,151.65,151.82,722750
1715659200,151.41,152.23,147.88,149.06,1164074
1715745600,148.65,151.71,148.4,150.95,704381
1715832000,151.01,152.885,150.815,152.55,533588
1715918400,152.66,153.735,152.0441,152.29,620018
1716177600,152.3,154,152,153.98,559143
1716264000,154.14,154.5,153.29,154.15,470002
1716350400,154.07,154.9199,152.8898,153.46,281506
1716436800,154.55,154.7,152.05,152.36,733481
1716523200,160.59,164.43,156.491,158.51,1466203
1716868800,160.07,160.84,154.27,154.6,885801
1716955200,153.65,155.08,152.31,154.44,733851
1717041600,154.21,154.21,150.8648,151.73,1091558
1717128000,152.37,152.82,151.16,152.21,1035799
1717387200,152.08,152.475,149.34,150.51,564935
1717473600,150.67,152.93,150.67,151.88,682324
1717560000,151.96,154.5,151.71,153.42,612559
1717646400,153.44,155,151.95,152.28,617416
1717732800,152.65,153.68,151.495,151.74,650217
1717992000,151.55,152.67,150.79,151.84,797214
1718078400,151.46,151.8,149.93,150.7,673679
1718164800,151.26,153.04,151,151.92,489600
1718251200,151.39,151.5,149.805,150.41,394442
1718337600,149.28,150.86,148.58,150.42,376000
1718596800,150.02,152.94,149.22,152.9,522534
1718683200,152.34,154.43,151.645,153.86,505613
1718856000,153.88,154.55,152.73,154.45,565932
1718942400,154.46,155.19,152.6,154.85,1325266
1719201600,155.01,158.3,154.97,157.22,620772
1719288000,157.49,158.0899,155.945,157.39,551045
1719374400,156.41,156.81,155.29,156.23,677223
1719460800,155.78,156.4,153.82,156.25,586372
1719547200,156.88,157.58,153.03,153.9,1816822
1719806400,154.6,155.1099,150.83,151,944214
1719892800,150.86,153.01,150.3,152.78,515384
1719979200,153.05,154.53,151.925,154.51,260989
1720152000,154.17,154.81,152.59,152.79,401364
1720411200,153.55,155.04,153.44,153.7,490670
1720497600,153.7,154.6461,153.21,154.39,437871
1720584000,155,155.65,153.86,155.65,339724
1720670400,156.11,157.42,156.0995,156.98,369931
1720756800,157.91,159.05,157.545,158.16,373026
1721016000,157.54,159.45,157.08,157.22,461579
1721102400,158.02,159.81,157.965,158.19,493555
1721188800,157.58,158.59,156.22,156.26,391590
1721275200,156.25,158.64,156.02,156.7,434027
1721361600,157.21,157.52,155.52,156.06,436518
1721620800,156.33,158.33,154.54,158.17,388453
1721707200,158.48,160.62,157.6414,160.29,565854
1721793600,159.55,159.625,153.96,154.09,617675
1721880000,154.67,156.76,153.51,153.58,797579
1721966400,140.75,143,134.66,139.84,2954380
1722225600,141.82,145,141.52,144.49,2045093
1722312000,145.32,146.16,137.9,138.82,1221304
1722398400,141.03,144.12,139.62,143.31,1207682
1722484800,143.31,144.33,140.63,142.95,896895
1722571200,140.75,144,140.07,143.98,953536
1722830400,139.35,145,138.72,144.64,1420661
1722916800,145.59,149.52,144.98,146.2,1147934
1723003200,147.27,148.61,145.36,145.37,754049
1723089600,146.01,147.82,144.97,147.79,700820
1723176000,147.52,148.02,146.11,147.61,425288
1723435200,147.67,148.19,146.075,146.34,522182
1723521600,146.77,148.27,145.67,146.26,653744
1723608000,146.01,148.18,145.475,147.98,739468
1723694400,148.52,149.02,147.0437,147.95,456044
1723780800,147.74,149.74,147.615,147.67,561580
1724040000,147.8,149.85,147.8,148.71,664333
1724126400,148.79,150.68,148.79,150.65,436178
1724212800,151.03,153.79,150.57,153.61,584057
1724299200,154,155.71,153,154.13,627288
1724385600,154.59,155,153.32,154.94,375254
1724644800,155.63,156.29,153.62,153.97,525886
1724731200,153.78,156.02,152.92,155.75,378953
1724817600,156.05,156.99,154.22,155.5,607118
1724904000,156.37,158.91,155.53,157.37,408642
1724990400,157.23,158.985,156.875,158.78,577292
1725336000,158.74,159.37,155.865,156.46,393432
1725422400,156.25,157.41,155.56,156.8,627527
1725508800,157.67,157.95,155.145,155.88,577342
1725595200,156.1,157.275,151.1807,152.11,558038
1725854400,152.95,154.14,151.39,151.96,1038475
1725940800,152.45,153.195,151.04,151.85,572302
1726027200,151.54,151.92,149.06,151.63,665726
1726113600,151.66,155.105,151.66,154.73,654225
1726200000,155.21,157.87,154.97,156.99,466742
1726459200,158,158.81,157.39,158.45,410509
1726545600,157,158.23,155.04,155.46,569855
1726632000,155.77,157.11,154.5,154.51,426812
1726718400,156.64,156.64,154.92,156.16,662620
