T,O,H,L,C,V
1713844800,39.19,39.84,38.96,39.59,1397475
1713931200,39.49,39.74,38.87,39.18,947330
1714017600,38.53,39.165,38.025,38.97,1216385
1714104000,39.08,39.865,38.88,39.7,846582
1714363200,39.97,40.22,39.65,39.95,848079
1714449600,39.43,39.58,38.17,38.19,3359625
1714536000,38.28,38.97,37.74,38.19,4618481
1714622400,38.71,38.71,38.07,38.57,6077772
1714708800,39.1,39.59,38.88,39.13,8492770
1714968000,39.26,40.12,39.2,39.93,4215976
1715054400,40.1,40.69,39.76,39.78,3030718
1715140800,39.05,39.26,37.87,39.15,4754530
1715227200,38.95,40.12,38.95,40,2649523
1715313600,40.36,40.4,39.39,39.75,2089151
1715572800,39.88,40.14,39.39,39.55,2031201
1715659200,39.8,40.07,39.52,39.96,1739620
1715745600,40.29,40.48,39.93,40.02,1317143
1715832000,39.94,40.15,39.6,39.97,1294550
1715918400,40.1,40.45,39.67,40.41,2657180
1716177600,40.28,40.5,40.2,40.48,831343
1716264000,40.35,40.56,40.05,40.5,1134843
1716350400,40.23,40.27,39.56,39.74,1124448
1716436800,39.99,40.13,39.45,39.65,988239
1716523200,39.69,40.32,39.64,40.22,971069
1716868800,40.7,40.72,39.5501,39.65,734453
1716955200,39.01,39.01,38.31,38.33,860915
1717041600,38.51,39.61,38.51,39.55,967334
1717128000,39.42,39.69,38.42,39.24,1488081
1717387200,39.34,39.71,38.835,39.3,1040252
1717473600,38.99,39.26,38.62,39.08,1082327
1717560000,39.33,39.7,39.08,39.62,1217971
1717646400,39.54,39.68,38.84,38.94,1031159
1717732800,38.55,38.55,37.93,37.95,1581961
1717992000,37.74,38.39,37.68,37.97,3105606
1718078400,37.73,37.79,37.29,37.29,1173233
1718164800,38.17,39.2238,38.09,38.26,1533493
1718251200,38.04,38.36,37.61,38.25,1816531
1718337600,37.71,38.205,37.48,38.01,1053534
1718596800,38.01,38.17,37.3,38.15,1256290
1718683200,38.1,38.33,37.6907,37.98,1235416
1718856000,37.85,38.36,37.72,37.9,1188894
1718942400,37.84,38.17,37.33,37.96,2162185
1719201600,38.11,38.7,37.91,38.28,889444
1719288000,38.25,38.44,37.8,38.35,778704
1719374400,38.03,38.27,37.74,37.98,637921
1719460800,37.98,38.41,37.87,38.19,870763
1719547200,38.33,38.66,37.88,38.05,1020325
1719806400,38.42,38.65,37.47,37.5,661721
1719892800,37.4,38.32,37.4,38.25,964882
1719979200,38.34,39.21,38.34,38.98,403541
1720152000,39.3,39.37,38.44,38.46,770822
1720411200,38.52,38.68,37.97,38.14,725491
1720497600,37.98,38.14,37.8031,37.88,955114
1720584000,37.85,39.12,37.85,39.08,696234
1720670400,39.68,40.47,39.51,40.2,983357
1720756800,40.4,41.14,40.4,40.74,606799
1721016000,40.96,41.39,40.77,41.32,593536
1721102400,41.36,42.39,41.31,42.16,985995
1721188800,41.71,42.05,41.36,41.59,1012063
1721275200,41.23,41.96,41.23,41.46,1270121
1721361600,41.41,41.55,40.98,41.1,573148
1721620800,41.47,42.38,41.235,42.31,604504
1721707200,42.17,42.71,41.87,42.12,1112635
1721793600,41.9,41.91,41.05,41.11,727173
1721880000,41.01,42,40.798,41.46,942007
1721966400,42.02,42.4,41.77,42.1,633641
1722225600,42.16,42.33,41.75,42.21,666085
1722312000,42.41,43.42,42.39,43.25,1226079
1722398400,43.65,44.38,43.375,43.63,841270
1722484800,43.61,43.77,41.71,41.99,887347
1722571200,41.05,41.12,40.055,40.76,1042858
1722830400,38.71,40.06,38.3601,39.38,999278
1722916800,39.44,40.71,38.94,40.15,1622198
1723003200,40.48,40.48,38.18,38.58,2612781
1723089600,38.61,39.9,38.32,39.63,940257
1723176000,39.74,39.9,39.29,39.63,977648
1723435200,39.63,40.01,38.95,39.12,963130
1723521600,39.54,40.16,39.29,40.13,1256991
1723608000,40.21,40.91,39.96,40.81,1038304
1723694400,41.4,41.4,40.73,41,924217
1723780800,41.03,41.04,40.555,40.9,590006
1724040000,40.94,41.03,40.39,40.59,825375
1724126400,40.59,40.65,39.81,39.91,960676
1724212800,40.14,40.22,39.76,40.15,658922
1724299200,40.21,40.305,39.79,40.08,635977
1724385600,40.42,41.62,40.29,41.59,614794
1724644800,41.71,41.86,41.512,41.7,1195575
1724731200,41.35,42.03,41.35,41.89,1455932
1724817600,41.99,42.525,41.07,41.11,802300
1724904000,41.29,41.48,40.91,41,1273495
1724990400,40.98,40.98,40.22,40.76,707203
1725336000,40.42,40.95,40.2,40.69,1650713
1725422400,40.79,40.88,39.19,40.43,1638115
1725508800,40.61,41.68,40.44,41.22,1529118
1725595200,41.35,41.92,40.64,40.82,1113327
1725854400,41.4,42.62,41.2,42.22,2463214
1725940800,42.26,42.82,41.68,42.72,969332
1726027200,42.63,44.34,42.445,44.27,1524219
1726113600,44.21,44.82,44.05,44.7,2537127
1726200000,45,45.24,44.44,44.85,1606517
1726459200,45,45.42,44.73,45.22,1300861
1726545600,45.41,45.75,45.18,45.55,644012
1726632000,45.65,46.28,45.17,45.67,745506
1726718400,46.6,47.74,46.43,47.7,1224194
1726804800,47.42,47.62,46.63,46.85,1351276
1727064000,47.03,47.14,46.45,46.81,870457
1727150400,47,47.37,46.75,47.22,693528
1727236800,47.29,47.38,47,47.07,785598
1727323200,47.33,48.0348,47.01,47.1,1019030
1727409600,47.3,47.6,47.04,47.22,554826
1727668800,47.05,47.48,46.961,47.29,978407
1727755200,47.36,47.84,46.87,47.57,1209881
1727841600,47.36,48.15,47.36,47.76,872177
1727928000,47.52,47.6439,46.91,47.43,532345
1728014400,47.8,47.87,47.17,47.78,645973
1728273600,47.8,47.84,46.81,47.23,572092
1728360000,47.09,47.365,46.69,47.03,1319322
1728446400,47.02,47.47,46.8,47.41,510438
1728532800,47.12,47.925,46.82,47.82,589304
1728619200,48,48.97,47.9,48.6,655268
1728878400,48.68,49.39,48.68,49.13,801584
1728964800,49.16,49.3,48.38,48.67,809016
1729051200,48.89,50.44,48.82,50.28,987178
1729137600,50.35,51.4,50.26,51.05,1751841
1729224000,51.14,51.66,50.7875,51.55,1253007
1729483200,51.48,51.7256,50.92,51.03,769856
1729569600,50.74,51.11,50.11,50.45,884548
1729656000,50.05,50.68,50.01,50.65,1270505
1729742400,50.9,52.63,50.84,52.51,1915810
1729828800,52.71,53.02,52.19,52.46,867153
1730088000,52.61,53.5,52.52,53.38,974379
1730174400,53.19,53.73,52.8906,53.54,1374560
1730260800,53.43,54.2,53.2,53.8,1238608
1730347200,53.67,53.67,52.29,53.04,1164762
1730433600,53.57,53.74,53.04,53.19,1216877
1730696400,54,57.36,53.4,54.77,3618573
1730782800,54.73,56.86,54.72,55.57,2071534
1730869200,57.18,57.3,55.66,56.96,1729246
1730955600,57.13,57.48,55.59,55.92,1603295
1731042000,56,56.535,55.77,56.39,730200
1731301200,57.13,58,56.7,57.8,648283
1731387600,57.81,58.53,56.67,56.92,687603
1731474000,57.04,57.39,56.42,56.58,662472
1731560400,56.48,57.25,56.03,56.07,709269
