T,O,H,L,C,V
1713844800,44.18,45.65,44.18,45.13,1981814
1713931200,45.11,45.68,44.73,45.6,2181627
1714017600,45.01,45.64,44.02,45.6,1655791
1714104000,45.56,46.45,45.56,46.04,1542343
1714363200,46.56,47.01,45.64,46.38,2664138
1714449600,46.22,46.55,45.29,45.42,2038336
1714536000,45.15,45.57,43.43,43.83,4544969
1714622400,44.41,44.41,42.72,43.83,2926636
1714708800,44.27,46.04,44.27,45.97,2585013
1714968000,46.43,47.63,46.43,47.38,3404758
1715054400,47.74,48.15,47.09,47.22,2740059
1715140800,47.02,47.79,46.67,47.62,2118683
1715227200,47.55,48.74,47.465,48.56,2047930
1715313600,48.7,49.13,47.41,47.55,1698249
1715572800,47.94,48.3,47.06,47.82,3356307
1715659200,48.54,49.465,48.06,48.68,2155257
1715745600,49,50.45,48.7,49.85,2808637
1715832000,49.7,49.97,48.91,48.95,2322901
1715918400,49.57,50.24,49.06,50.16,1963506
1716177600,50,50.77,49.49,50.67,1707830
1716264000,50.5,50.82,49.73,50.01,1159839
1716350400,49.87,50.07,48.35,48.7,1598845
1716436800,48.85,49.1,48.18,48.31,1385806
1716523200,48.74,48.74,48.025,48.28,1216907
1716868800,48.35,48.88,48.01,48.56,1533225
1716955200,48.44,49.07,48.16,48.69,1322930
1717041600,48.81,50.86,48.81,50.71,2728701
1717128000,51,52.07,50.38,51.94,4666122
1717387200,52.09,52.985,51.63,51.81,6708056
1717473600,47.47,49.2,44.34,45.17,11471120
1717560000,45.31,47.3,45.3,47.22,5540568
1717646400,47.4,47.48,45.93,46.37,3307429
1717732800,45.55,46.46,45.3,45.84,3351822
1717992000,45.48,46.36,45.41,45.63,2737673
1718078400,45.47,45.7,44.37,44.7,3162759
1718164800,45.55,45.99,43.67,43.7,3053129
1718251200,43.64,44.095,43.25,43.78,3005999
1718337600,43.52,44.23,43.08,43.26,2215417
1718596800,43.03,43.075,41.42,42.11,4908229
1718683200,42.01,42.28,41.34,41.55,3386561
1718856000,41.6,42.34,41.19,42.3,3004612
1718942400,42.37,42.63,41.37,41.92,4158806
1719201600,42.1,42.35,41.49,41.5,2499836
1719288000,41.71,42.37,40.92,40.94,3594815
1719374400,40.7,41.22,40.01,40.05,3087611
1719460800,39.79,39.88,38.44,39.03,3861799
1719547200,38.84,39.55,38.47,39.05,3508145
1719806400,39.26,39.27,38.2,38.44,2540938
1719892800,38.32,38.58,37.94,38.12,2207180
1719979200,38.23,38.59,37.58,37.7,1551805
1720152000,37.53,37.67,36.605,36.99,4222035
1720411200,37.54,37.91,37.28,37.47,3202411
1720497600,37.41,37.78,37,37.18,2135687
1720584000,37.44,37.44,36.105,36.54,2590638
1720670400,36.75,37.92,36.75,37.42,3816223
1720756800,37.78,37.839,36.8,37.34,2664819
1721016000,37.5,37.52,36.7,36.8,3102589
1721102400,37.08,38.67,36.66,38.66,3454773
1721188800,38,39.7,37.97,39.42,4008486
1721275200,39.22,41.06,38.65,38.71,4406189
1721361600,38.74,38.87,37.42,37.57,2912964
1721620800,37.84,37.9267,36.635,37.48,2790036
1721707200,37.39,37.53,36.91,37.03,2532241
1721793600,35.65,36,34.19,34.35,4856155
1721880000,34.8,34.84,33.01,33.13,5859624
1721966400,33.61,34.5,33.51,34.17,3773842
1722225600,34.22,35.4,34.14,35.13,2958267
1722312000,35.28,36.8,35.16,36.61,3123810
1722398400,36.73,37.67,36.72,36.75,3284171
1722484800,36.9,37.25,34.56,35.13,3006328
1722571200,34,34.09,33.02,33.2,4421169
1722830400,31.7,31.79,30.77,31.23,7346757
1722916800,31.64,32.06,31.18,31.66,6136521
1723003200,32.05,32.185,30.45,30.56,3933106
1723089600,30.85,31.89,30.65,31.82,3247452
1723176000,31.75,31.99,31.15,31.44,2300593
1723435200,31.41,31.59,31,31.32,2912108
1723521600,31.56,32.165,31.3,31.6,3111510
1723608000,31.71,31.97,31.06,31.4,2767551
1723694400,32.64,33.67,32.32,32.91,4033754
1723780800,32.77,34.3,32.57,33.71,3599575
1724040000,33.71,34.5,33.71,34.26,3897979
1724126400,34.1,34.4,32.915,33.21,3592257
1724212800,33.495,34.78,33.36,34.61,3518685
1724299200,34.58,34.72,33.545,34.04,3257239
1724385600,34.32,35.64,34.16,35.6,3332534
1724644800,35.54,36.15,34.6,35.16,5043014
1724731200,34.89,35.08,34.38,34.72,7192730
1724817600,33.89,34.39,31.84,32.29,10274086
1724904000,32.49,32.52,30.735,31,5041229
1724990400,31.18,31.19,30.185,30.76,5164131
1725336000,30.81,31.5,30.42,30.49,6996726
1725422400,30.23,30.66,29.42,29.51,10955069
1725508800,29.66,30.36,29.39,29.41,7738267
1725595200,29.3,29.58,28.48,28.59,5835919
1725854400,28.74,28.75,27.52,27.54,6597849
1725940800,27.5,27.5,26.66,26.71,8006026
1726027200,26.6,27.095,26.205,26.99,6155789
1726113600,27.08,27.42,26.63,27.26,6356951
1726200000,27.71,28.23,27.15,27.21,4164743
1726459200,27.17,29.228,27.17,28.91,6891345
1726545600,29.06,29.63,29.005,29.16,4260950
1726632000,29.28,30.47,29.28,29.71,4203791
1726718400,30.5,30.92,29.36,29.92,4266245
1726804800,29.82,29.93,28.96,29.28,9059361
1727064000,29.36,30.67,29.135,30.34,6054066
1727150400,30.53,30.76,30,30.07,3131660
1727236800,30.04,30.66,29.71,30.53,4058854
1727323200,30.8,31.795,30.77,31.74,4114538
1727409600,32.03,32.66,31.88,32.39,3913371
1727668800,32.33,32.65,31.25,31.92,55123181
1727755200,31.69,32.1,30.43,31.09,5105829
