T,O,H,L,C,V
1713844800,33.17,33.52,33.04,33.26,2146833
1713931200,33.19,33.33,32.85,33.06,2191996
1714017600,32.81,32.96,32.625,32.89,1759366
1714104000,32.89,32.9252,32.585,32.62,1477945
1714363200,32.74,32.89,32.665,32.75,1546077
1714449600,32.51,32.88,32.395,32.85,2078636
1714536000,32.78,33.36,32.69,33.26,2199388
1714622400,33.5,33.5,32.42,32.99,3315211
1714708800,33.4,33.69,33.34,33.6,2259640
1714968000,33.53,33.82,33.49,33.55,2258400
1715054400,33.67,33.79,33.425,33.46,1529202
1715140800,33.36,33.81,33.33,33.62,1635790
1715227200,33.73,34.16,33.7,33.79,1486712
1715313600,33.8,34.06,33.73,33.94,1405438
1715572800,34.01,34.21,33.81,33.94,1058072
1715659200,34.17,34.28,33.94,34.17,1685575
1715745600,34.43,34.655,34.3919,34.57,1835021
1715832000,34.48,34.54,34.23,34.34,1368999
1715918400,34.35,34.49,34.18,34.34,1291173
1716177600,34.33,34.34,33.85,34.07,1218851
1716264000,34.08,34.26,33.84,33.85,2299670
1716350400,33.72,34.245,33.62,34.15,2117904
1716436800,34.18,34.24,33.614,33.79,1740687
1716523200,33.9,33.98,33.545,33.57,1355737
1716868800,33.7,33.845,33.37,33.61,1773103
1716955200,33.45,33.46,33.08,33.19,2156030
1717041600,33.28,33.78,33.27,33.66,2387361
1717128000,33.79,34.36,33.79,34.21,2875454
1717387200,34.25,34.5,34.035,34.36,2152617
1717473600,34.35,34.54,34.03,34.45,2606216
1717560000,34.5,34.66,34.23,34.51,1489599
1717646400,34.48,34.78,34.415,34.49,1785871
1717732800,34.35,34.43,34.205,34.23,1266998
1717992000,34.2,34.23,33.83,33.89,2472545
1718078400,33.76,34.095,33.56,34.06,1827024
1718164800,34.37,34.62,34.21,34.29,1528602
1718251200,34.3,34.3,33.73,33.98,2239881
1718337600,33.01,33.12,32.47,32.88,2191246
1718596800,32.83,32.85,32.51,32.64,1796237
1718683200,32.6,32.77,32.3526,32.5,1982567
1718856000,32.41,32.82,32.29,32.79,1975270
1718942400,32.87,32.98,32.505,32.6,2290928
1719201600,32.51,33.31,32.51,33.24,2343781
1719288000,33.16,33.26,32.605,32.72,1866822
1719374400,32.55,32.63,32.305,32.57,1876066
1719460800,32.59,32.59,32.32,32.39,1483629
1719547200,32.45,32.6,32.295,32.37,1666299
1719806400,32.38,32.715,32.055,32.09,1968909
1719892800,32.14,32.165,31.125,31.33,4425603
1719979200,31.31,31.745,31.31,31.47,1394385
1720152000,31.56,31.66,31.34,31.62,2940648
1720411200,31.67,31.79,31.57,31.73,2251098
1720497600,31.63,31.67,31.4,31.54,2538568
1720584000,31.69,31.7963,31.48,31.77,1845809
1720670400,31.87,32.48,31.83,32.27,2080349
1720756800,32.4,32.595,32.165,32.47,1623581
1721016000,32.5,32.81,32.315,32.7,3066705
1721102400,32.87,32.97,32.68,32.95,1738087
1721188800,32.96,33.375,32.71,33.37,2020846
1721275200,33.29,33.65,33.285,33.33,1960425
1721361600,33.31,33.39,32.96,33.21,1860771
1721620800,33.3,33.3,32.78,32.98,1796309
1721707200,33.03,33.07,32.8,32.89,1520906
1721793600,32.91,33.3,32.85,33.16,1421293
1721880000,33.21,33.5,33.04,33.17,2155626
1721966400,33.22,33.45,33.055,33.36,1416327
1722225600,33.4,33.41,33.13,33.27,3553351
