T,O,H,L,C,V
1713844800,83.52,84.855,83.52,84.23,185970
1713931200,83.99,85.55,82.64,83.25,276252
1714017600,82.12,83.235,82,82.89,273814
1714104000,83.28,84.125,83.26,83.4,167144
1714363200,83.89,84.575,83.845,84.44,209172
1714449600,83.69,84.435,81.21,81.27,302924
1714536000,81.22,82.79,81.02,81.32,244733
1714622400,88.31,88.94,86.435,88.91,467736
1714708800,91,91.145,87.3,88.23,278817
1714968000,88.91,90.31,87.43,87.78,208152
1715054400,88.09,90.93,87.8,90.41,282887
1715140800,89.82,91.6,89.36,91.46,186456
1715227200,91.85,92.35,91.22,91.83,182616
1715313600,92.06,92.86,91.555,92.5,168960
1715572800,93,93.47,92.05,92.07,141936
1715659200,93.27,93.28,92.33,93.05,173003
1715745600,93.81,95.4,93.05,95.15,215468
1715832000,95.22,95.385,93.37,93.38,182662
1715918400,93.87,94.23,92.63,93.5,165465
1716177600,93.51,95.25,93.51,94.43,191912
1716264000,93.83,94.9,93.63,94.88,131414
1716350400,94.78,96.22,94.62,96.22,218007
1716436800,96.8,97.45,95.68,96.51,256301
1716523200,97.5,97.85,96.6,97.59,229409
1716868800,98.21,98.6,96.51,96.79,199125
1716955200,95.73,96.56,94.24,94.31,258669
1717041600,94.6,95.7,94.27,95.47,197607
1717128000,95.6,95.75,94.01,95.69,255160
1717387200,96.12,96.12,93.0619,95.14,187808
1717473600,94.38,96.32,94.02,94.07,254777
1717560000,94.89,97.345,93.8,96.72,197922
1717646400,96.2,96.98,94.69,95.49,311210
1717732800,94.93,95.6,93.96,94.76,144333
1717992000,93.54,94.93,93.54,94.1,168076
1718078400,93.17,94.2,92.58,93.42,237025
1718164800,96.37,98.41,96.075,96.93,292926
1718251200,96.64,98.39,96.28,97.8,421830
1718337600,96.48,96.48,94.09,94.71,255829
1718596800,94.43,96.685,94.15,96.35,274261
1718683200,96.75,96.8,95.35,96.03,267680
1718856000,95.83,97.73,93.87,94.02,504194
1718942400,94.4,95.31,93.14,95.15,1044987
1719201600,95.79,96.85,94.16,94.22,276451
1719288000,93.96,93.96,91.47,93.2,260682
1719374400,92.57,93.12,91.6,93.06,184579
1719460800,94.29,95.7899,92.09,92.13,298095
1719547200,93.3,94.26,92.69,93.8,628130
1719806400,94.48,94.98,91.02,91.55,254798
1719892800,91.64,92.4,90.65,91.87,205958
1719979200,92.82,93.0599,91.99,92.3,77049
1720152000,92.91,92.91,90.87,90.89,195687
1720411200,91.73,92.7,91.53,91.8,226311
1720497600,91.44,91.69,90.22,90.33,150519
1720584000,91.26,92.609,91.04,92.33,191139
1720670400,93.89,95.42,92.69,94.55,294606
1720756800,95.61,97.5,95.405,96.03,206471
1721016000,96.77,98.72,96.41,96.83,271711
1721102400,97.86,99.07,97.415,98.78,312283
1721188800,97.6,97.92,95.54,95.65,421433
1721275200,95.72,98.02,94.155,94.54,243671
1721361600,94.59,94.74,91.74,91.84,185344
1721620800,92.56,95.1699,92.285,94.95,243009
1721707200,94.93,96.74,93.9,95.8,200787
1721793600,95.02,95.85,92.29,92.42,197940
1721880000,92.56,94.425,91.76,92.55,252301
1721966400,94.66,94.66,91.69,91.97,342300
1722225600,92.25,93.7,91.68,92.06,159259
1722312000,92.83,92.83,88.61,89.54,222272
1722398400,91.74,94.88,90.765,92.69,302571
1722484800,93.18,102.47,93.18,100.52,837026
1722571200,97.01,99.525,95,99.35,625746
1722830400,94.72,97.64,93.55,96.2,418507
1722916800,95.78,98.47,94.87,96.46,384069
1723003200,97.65,99.64,91.04,91.6,400891
