T,O,H,L,C,V
1713844800,24.04,25.4699,23.44,23.47,1400065
1713931200,23.56,23.85,22.63,22.74,1110291
1714017600,22,22.5499,20.84,21.6,1742568
1714104000,21.74,21.95,21.11,21.38,1242944
1714363200,21.75,22.68,21.52,22.05,912368
1714449600,21.56,21.905,21.075,21.22,1448238
1714536000,21.27,22.83,21.01,21.74,1498108
1714622400,22.08,23.0565,22,22.72,1102682
1714708800,23.64,24.6,22.94,23.13,1226247
1714968000,23.34,23.71,22.66,22.78,926235
1715054400,22.76,22.93,21.67,22.53,1287476
1715140800,21.71,22.265,21.63,22.24,1020211
1715227200,22.24,22.82,22.02,22.54,1185555
1715313600,22.78,22.89,21.18,21.26,1366593
1715572800,21.82,24.12,21.805,24.02,1766463
1715659200,24.88,26.15,23.66,23.81,1437780
1715745600,24.81,25.64,23.97,24.11,902406
1715832000,24.04,24.6,23.35,23.79,683979
1715918400,23.76,24.86,23.24,24.62,1332156
1716177600,24.78,25.18,24.15,24.84,565214
1716264000,24.71,25.58,24.63,24.8,971795
1716350400,24.53,25.57,24.28,24.88,1019839
1716436800,24.91,24.91,23.57,24.01,912742
1716523200,24.09,24.5,23.72,24.32,385361
1716868800,24.54,24.685,23.56,24.22,755403
1716955200,23.49,23.8,22.65,23.68,845182
1717041600,24.05,24.39,23.57,24.09,1224381
1717128000,24.13,24.4019,23.58,23.82,948776
1717387200,24.15,25.43,23.88,24.38,1543798
1717473600,24.09,25.49,23.97,24.34,640751
1717560000,24.47,25.11,23.805,24.49,576121
1717646400,24.3,24.6,23.89,24.07,538560
1717732800,23.53,23.98,22.97,23.21,647458
1717992000,22.8,24.43,22.18,24.4,1126738
1718078400,24.05,25.28,23.54,24.86,1689341
1718164800,26,27.76,25.71,26.06,3693400
1718251200,25.98,26.53,25.05,25.24,1781172
1718337600,24.807,25.41,24.595,24.87,1769124
1718596800,24.56,24.85,23.91,24.03,1539978
1718683200,23.94,24.01,22.82,23.17,2157956
1718856000,23.17,23.465,22.66,23.04,1460399
1718942400,23.08,23.5,22.32,22.94,2328711
1719201600,23.21,25.08,23.17,24.83,1935152
1719288000,24.8,24.8,24.01,24.25,920470
1719374400,24.07,24.96,23.73,24.84,1406133
1719460800,24.93,24.93,23.95,23.98,1070692
1719547200,24.17,24.17,22.88,23.43,4059772
1719806400,23.45,24.28,22.955,23.05,903735
1719892800,22.9,23,22.25,22.57,881176
1719979200,23.03,23.9,22.72,23.48,718726
1720152000,23.44,23.44,22.63,23.08,596674
1720411200,23.43,24.21,23.18,23.85,817375
1720497600,23.71,24.05,23.36,23.84,540596
1720584000,23.92,24.405,23.62,23.96,718435
1720670400,24.8,26.8,24.71,25.88,1398472
1720756800,26.31,27.62,25.81,26.88,969877
1721016000,25.59,25.66,24.3,25.62,1750708
1721102400,25.85,27.45,25.83,27.29,2147504
1721188800,26.76,27.52,26.4,26.93,1328571
1721275200,26.84,27.47,25.41,25.46,1760150
1721361600,25.5,25.98,24.69,25.94,2870711
1721620800,26.29,27.2496,25.56,27.05,1434761
1721707200,27.8,30.83,27.3,30.32,1948755
1721793600,29.89,30.97,29.21,29.81,1349434
1721880000,29.88,33.43,29.88,32.17,3024933
1721966400,32.72,34.09,32.35,33.14,1090361
1722225600,33.33,33.47,31.21,32.04,1193710
1722312000,32,32.6299,31.39,31.6,1027276
1722398400,31.78,32.92,31.03,31.64,877606
1722484800,31.12,31.669,29.76,30.31,1294654
1722571200,28.65,28.79,26.545,27.43,1372071
1722830400,24.75,26.59,23.17,25.61,1499672
1722916800,25.65,26.29,24.601,25.52,1205195
1723003200,25.51,25.99,24.37,24.46,1170412
1723089600,25.03,25.22,24.38,24.91,524442
1723176000,24.95,25.29,24.15,24.46,522403
