T,O,H,L,C,V
1713844800,13.12,13.69,13.12,13.61,11145930
1713931200,13.76,13.865,13.49,13.73,6454436
1714017600,13.31,13.86,13.28,13.81,8629626
1714104000,14.2,14.9,14.15,14.83,25877452
1714363200,15.37,15.8,15.0701,15.35,23099881
1714449600,15.58,15.79,15.07,15.12,11355535
1714536000,15.08,15.1,14.9,14.95,5538553
1714622400,15.7,16.995,15.69,16.84,22800892
1714708800,16.82,17.5,16.6,17.47,18566985
1714968000,17.39,17.42,16.88,17,7469328
1715054400,16.49,16.99,16.25,16.76,7463660
1715140800,16.425,16.65,16.35,16.47,6528452
1715227200,17.07,17.565,16.8,16.93,9646462
1715313600,17.32,17.48,16.94,17.1,6622230
1715572800,17.3,17.83,17.22,17.74,9644161
1715659200,17.53,17.86,17.48,17.84,6357278
1715745600,18.47,18.6257,18.06,18.16,7897129
1715832000,18.6,19.2,18.54,19.14,14085063
1715918400,20.46,20.48,19.32,19.47,22108003
1716177600,19.45,19.45,18.82,19.05,9474486
1716264000,18.59,19.17,18.5401,18.91,8115244
1716350400,18.98,19.25,18.74,18.87,7049133
1716436800,18.09,18.17,16.95,16.99,16706133
1716523200,16.7,16.8,16.32,16.66,12640340
1716868800,17.01,17.08,16.62,16.97,14144593
1716955200,16.69,16.935,16.63,16.88,7344284
1717041600,16.97,17.18,16.84,17.11,10844814
1717128000,17.03,17.43,16.885,16.97,17377934
1717387200,17.2,17.25,16.77,16.97,7267845
1717473600,17.15,17.2,16.355,16.45,6247445
1717560000,16.4,16.44,15.9625,16.12,7194294
1717646400,16,16.27,15.76,16.22,7068284
1717732800,15.92,16.105,15.79,15.92,5831095
1717992000,15.9,16.055,15.79,15.92,4895944
1718078400,15.96,16.03,15.67,15.67,6767604
1718164800,16,16.17,15.78,15.97,7322004
1718251200,15.91,16.15,15.665,15.82,4371125
1718337600,15.51,15.73,15.47,15.71,10485209
1718596800,15.62,15.71,15.2,15.37,5847066
1718683200,15.26,15.59,15.26,15.54,3200194
1718856000,15.53,15.65,15.3,15.58,4563711
1718942400,15.46,15.53,15.34,15.49,5147513
1719201600,15.2,15.56,15.17,15.36,4260730
1719288000,15.3,15.56,15.22,15.27,5238128
1719374400,15.38,15.41,15.12,15.17,9812599
1719460800,15,15,14.57,14.61,9559068
1719547200,14.7,14.7,13.99,14.15,12480502
1719806400,14.65,14.93,14.59,14.78,7256152
1719892800,14.87,15.16,14.795,15.05,7512352
1719979200,15.47,16.05,15.37,15.81,6763159
1720152000,15.31,15.42,15.21,15.34,7219636
1720411200,15.14,15.155,14.62,14.73,7695367
1720497600,14.8,15.23,14.66,15.16,9116696
1720584000,15.06,15.51,14.97,15.49,4620057
1720670400,15.75,15.945,15.32,15.32,6722220
1720756800,15.69,16.13,15.49,15.63,6707997
1721016000,15.2,15.425,14.7,14.75,9843657
1721102400,14.84,14.95,14.67,14.8,9796240
1721188800,14.55,14.73,14.29,14.38,9114798
1721275200,14.34,14.51,14.175,14.3,8398021
1721361600,14.19,14.27,14.05,14.12,5968797
1721620800,14.43,14.56,14.15,14.32,6493361
1721707200,14.02,14.25,13.79,13.83,11954742
1721793600,13.79,13.88,13.595,13.64,5669701
1721880000,13.54,13.745,13.39,13.52,7279813
1721966400,13.66,13.9,13.575,13.79,3464936
1722225600,13.85,14.09,13.81,13.93,4426564
1722312000,13.87,13.9,13.5,13.51,4669078
1722398400,13.93,14.05,13.8,13.85,3974882
1722484800,13.76,13.83,13.39,13.4,3362580
1722571200,13.28,13.45,13.13,13.29,5498756
1722830400,12.96,13.615,12.92,13.54,7163214
1722916800,13.55,13.81,13.43,13.61,6625676
1723003200,13.73,13.84,13.2,13.23,6333813
1723089600,13.56,14.025,13.32,14,6658974
1723176000,13.94,14.06,13.78,14.03,6145114
1723435200,15.7,15.83,14.5,14.8,11037158
1723521600,14.6,14.84,14.45,14.76,7709375
1723608000,14.53,15.12,14.53,14.95,4859227
1723694400,14.95,15.415,14.915,15.17,4466228
1723780800,15.1,15.38,14.8,14.88,3787834
1724040000,14.95,15.25,14.91,15.23,5185823
1724126400,14.94,14.96,14.405,14.61,4532739
1724212800,14.56,14.925,14.4,14.77,5510288
1724299200,14.76,14.96,14.685,14.88,3883108
1724385600,14.94,15.14,14.82,15.1,4413368
1724644800,14.95,15.135,14.775,14.85,3431590
1724731200,14.87,14.93,14.33,14.53,2788070
1724817600,14.34,14.385,13.74,13.89,5231875
1724904000,14.18,14.48,14.16,14.44,5103211
1724990400,15,15.14,14.81,14.84,7098657
1725336000,14.56,14.77,14.48,14.67,4758002
1725422400,15,15.05,14.7,14.72,2456945
1725508800,14.9,15.03,14.68,14.84,2048144
1725595200,14.66,14.96,14.55,14.61,2162739
1725854400,14.42,14.575,14.25,14.52,2297009
1725940800,14.36,14.4,14.17,14.2,3111457
1726027200,14,14.15,13.81,14.11,4390364
1726113600,14.11,14.11,13.53,13.59,6007427
1726200000,13.53,13.67,13.28,13.39,7667999
1726459200,13.43,13.51,13.3,13.36,6320896
1726545600,13.47,13.88,13.41,13.78,5989954
1726632000,13.94,14.27,13.905,14.04,5237427
1726718400,14.82,15.22,14.76,15.22,11153418
1726804800,15.04,15.21,14.34,14.37,9699670
1727064000,14.59,15.52,14.55,15.45,14470157
1727150400,16.8,16.99,16.3,16.93,27368433
1727236800,16.08,16.49,15.63,16.35,11669434
1727323200,18.9,20.48,18.81,19.69,50645631
1727409600,20.04,20.2,19.435,20,22480919
1727668800,22.24,22.85,19.79,19.91,50837367
1727755200,20.23,23.41,20.21,23.38,38673047
1727841600,25.74,26.04,23.51,24.57,65370296
1727928000,23.27,25.78,23.1802,25.71,27876946
1728014400,25.2,26.045,24.88,25.8,25453317
1728273600,25.89,25.89,22.955,24.29,26846417
1728360000,21.72,22.72,21.51,22.26,23642563
1728446400,21.36,21.72,20.63,21.61,20924064
1728532800,21.67,21.88,20.67,21.56,16545273
1728619200,20.84,22.95,20.84,22.41,13759556
1728878400,22.47,23.69,22.11,22.31,14237174
1728964800,21.82,22.14,20.88,20.95,15847064
1729051200,21.7,22.42,21.36,21.93,14851250
1729137600,20.33,20.345,18.9501,19.47,18122240
1729224000,20.94,21.4,20.5,21.1,13883503
1729483200,20.59,20.928,20.08,20.53,8190296
1729569600,20.58,21.2075,20.56,20.84,6790987
1729656000,20.91,21.16,20.51,20.65,4147126
1729742400,20.5,20.625,20.18,20.43,7579494
1729828800,20.9,21.13,20.44,20.78,6164703
1730088000,21.19,22.3,21.15,22.08,13272512
1730174400,22.52,23.18,22.09,22.16,14254735
1730260800,21.78,22.605,21.7106,22.17,7400854
1730347200,22.39,22.91,21.825,21.93,8931327
1730433600,22.1,22.525,21.935,22.09,8327015
1730696400,22.13,22.6,21.97,22.17,6815025
1730782800,22.53,22.75,22.23,22.6,4489280
1730869200,22.09,22.62,21.71,22.49,7702065
1730955600,23.81,24.57,23.26,23.5,11713024
1731042000,22.26,22.32,20.75,20.99,15040059
1731301200,21.22,21.68,20.88,21.22,8023791
1731387600,20.57,21.14,20.27,20.4,9088680
1731474000,21.03,21.09,19.9,19.98,9154533
1731560400,19.34,19.57,19.08,19.36,8241631
1731646800,19.65,19.905,19.42,19.52,7431504
1731906000,19.89,20.6,19.8,20.55,7586544
1731992400,20.38,20.715,20.12,20.63,7144280
