T,O,H,L,C,V
1713844800,109.23,110.01,108.05,109.62,2059642
1713931200,105,107.2926,102.42,105.79,3629861
1714017600,106.4,106.83,102.77,104.06,1996760
1714104000,103.87,103.935,101.875,102.73,1396034
1714363200,102.85,103.56,102.01,103.48,1246222
1714449600,103.29,103.29,100.7,101.76,1476738
1714536000,101.61,102.925,100.89,100.95,1579272
1714622400,101.64,102.095,100.68,101.36,1001437
1714708800,101.4,101.895,100.295,101.15,995457
1714968000,100.74,102.31,100.74,102.26,684998
1715054400,102.96,104.82,102.805,104.35,1025603
1715140800,103.86,105.92,103.86,105.36,1057025
1715227200,105.58,106.31,104.66,105.39,1212400
1715313600,105.88,106.13,103.99,106.03,1168963
1715572800,106.54,108.03,106.27,107.61,1545105
1715659200,107.84,107.98,103.38,103.44,1995931
1715745600,103.44,103.9972,101.4,101.74,1593088
1715832000,102.41,105.06,102.27,104.23,1433107
1715918400,104.01,104.01,102.41,103.09,701307
1716177600,103.09,103.4457,102.05,102.28,743411
1716264000,102.25,104.33,102.25,103.31,707113
1716350400,102.73,103.68,102.36,103.13,778225
1716436800,102.8,104.49,102.28,102.37,1417426
1716523200,102.81,104.19,102.685,103.77,933122
1716868800,103.8,106.55,103.52,106.42,1695088
1716955200,106.08,106.72,105.36,106.17,1758658
1717041600,106.35,106.8825,104.63,105.14,1247567
1717128000,105.23,107.9,105.14,107.59,2330182
1717387200,107.09,108.58,106.15,108.31,1227806
1717473600,107.77,108.04,106.54,106.8,1386067
1717560000,106.74,107.19,102.37,103.72,1773818
1717646400,103.96,105.88,103.04,105.12,1172287
1717732800,104.77,105.4,103.75,104.13,1084938
1717992000,104.43,106.11,103.52,105.75,1262036
1718078400,105.21,106.045,103.82,105.92,1030393
1718164800,106.26,106.69,105.17,105.41,914667
1718251200,104.54,105,102.62,103.14,1368093
1718337600,102.62,103.13,102.24,102.83,760710
1718596800,102.3,103.74,101.76,102.98,1028379
1718683200,102.54,103.22,101.4645,102.44,1118728
1718856000,103.53,104.98,102.65,103.34,1678452
1718942400,103.98,105.9,103.51,105.87,4205704
1719201600,105.45,108.32,105.16,108.17,1287271
1719288000,108.09,108.09,106.5,106.74,1067904
1719374400,106.54,108.5,106.425,107.19,1097738
1719460800,107.8,108.11,106.86,107.64,813284
1719547200,108.04,108.45,105.3,106.77,1969161
1719806400,107.55,108.24,106.78,107.32,737087
1719892800,107.32,110.84,107.135,110.38,1683071
1719979200,110.43,111.58,109.35,109.39,745792
1720152000,108.76,109.83,107.27,108.59,1778547
1720411200,108.72,111.57,108.685,110.39,1253926
1720497600,110.15,111.97,109.85,109.95,1124195
1720584000,110.46,111.43,109.665,111.19,828212
1720670400,111.38,112.38,109.21,110.5,1219257
1720756800,111.72,112.14,110.22,111.1,1228224
1721016000,111.12,111.66,109.13,110.33,1081235
1721102400,109.98,111.56,109.42,111.39,836193
1721188800,111.7,113.22,110.83,112.11,1114665
1721275200,111.45,112.86,111.03,112.22,851118
1721361600,112.34,112.69,110.605,111.92,1068878
1721620800,112.46,113.15,111.83,112.85,788282
1721707200,112.35,112.92,110.66,110.85,855218
1721793600,110.03,112.52,109.95,112.09,844606
1721880000,112.23,113.98,111.38,112.95,851598
1721966400,113,114.92,112.46,114.31,757750
1722225600,114.07,114.43,113.26,113.57,1037901
1722312000,112.77,114.82,111.07,114.56,1430320
1722398400,105.24,107.44,103.29,105.23,3664083
1722484800,105.97,107.2,102.76,103.07,1938001
1722571200,102,102.575,97.67,98.42,1931785
1722830400,97.71,98.235,94.75,95.41,1822564
1722916800,95.85,97.41,95.3,95.31,1524521
1723003200,96.48,97.68,95.68,95.69,1333595
1723089600,96.01,98.63,95.98,97.39,1556249
1723176000,97.06,97.55,95.91,96.88,1576278
1723435200,96.88,97.96,96.63,96.95,1163892
1723521600,95.07,96.94,94.43,96.6,1942047
1723608000,96.92,97.34,95.46,95.76,1221732
1723694400,96.51,97.16,95.81,96.01,785798
1723780800,95.83,96.6,95.38,96.51,772865
1724040000,95.97,96.82,95.97,96.25,706927
1724126400,96.08,96.56,95.12,95.18,536512
