T,O,H,L,C,V
1713844800,7.72,7.83,7.64,7.78,1944540
1713931200,7.73,8.12,7.7,8.08,4436055
1714017600,8.18,8.34,8.13,8.2,5672628
1714104000,8.22,8.31,8.165,8.3,2072322
1714363200,8.26,8.37,8.16,8.18,4316044
1714449600,7.99,8.16,7.74,7.83,6670115
1714536000,7.8,8.13,7.755,7.95,4194978
1714622400,8.01,8.1299,7.96,8.06,4417839
1714708800,8.14,8.27,8.1,8.22,2923959
1714968000,8.33,8.82,8.32,8.75,4417975
1715054400,8.74,8.83,8.695,8.77,2797594
1715140800,8.7,8.885,8.68,8.87,3753763
1715227200,8.8,8.865,8.645,8.71,3010260
1715313600,8.79,8.82,8.6117,8.65,2444733
1715572800,8.69,8.74,8.59,8.62,2855434
1715659200,8.71,8.75,8.61,8.65,2041885
1715745600,8.63,8.84,8.63,8.8,2523251
1715832000,8.75,8.95,8.735,8.93,3354261
1715918400,8.97,9.06,8.9,8.92,3132205
1716177600,8.88,8.9875,8.8503,8.91,1630561
1716264000,8.9,8.975,8.82,8.84,1572192
1716350400,8.79,8.9,8.605,8.64,2447881
1716436800,8.69,8.78,8.37,8.45,2979209
1716523200,8.54,8.75,8.54,8.66,3234477
1716868800,8.6,8.73,8.295,8.45,4610770
1716955200,8.53,8.595,8.33,8.34,2980358
1717041600,8.34,8.62,8.32,8.56,2388084
1717128000,8.56,8.71,8.535,8.67,3277631
1717387200,8.69,8.74,8.505,8.7,2000784
1717473600,8.65,8.66,8.425,8.46,1893700
1717560000,8.45,8.67,8.435,8.57,2597698
1717646400,8.49,8.505,8.21,8.28,4438796
1717732800,8.26,8.35,8.1,8.11,2442208
1717992000,8.03,8.235,8.03,8.15,2475792
1718078400,8.08,8.21,8.005,8.09,1904276
1718164800,8.26,8.32,8.135,8.2,2458575
1718251200,8.16,8.2,8.04,8.1,2304610
1718337600,7.99,8.06,7.92,7.94,2069298
1718596800,7.87,8,7.73,7.99,2394586
1718683200,7.98,8.075,7.9,7.99,1876672
