T,O,H,L,C,V
1713844800,60.27,62.55,60.27,61.26,1808461
1713931200,61.6,62.015,60.7,61.41,946661
1714017600,59.67,61.025,59.03,60.5,934556
1714104000,61.4,62.87,61.0201,62.44,1020252
1714363200,62.94,63.86,62.07,63.02,1189801
1714449600,62.33,64.275,62.3033,62.36,1692032
1714536000,61.85,64.84,61.6774,62.8,1594709
1714622400,63.63,63.7399,60.03,63.3,3946609
1714708800,68.05,68.5,56.56,56.58,7372979
1714968000,57.05,59.06,56.08,56.84,3613975
1715054400,57.21,58.3,56.62,57.68,1639555
1715140800,57,57.5,56.16,56.29,2337410
1715227200,56.36,57.77,55.795,57.67,1546534
1715313600,58.02,58.05,56.45,56.48,1311567
1715572800,57,59.04,57,58.51,1519878
1715659200,59.27,60.38,58.42,58.71,1550009
1715745600,60.54,60.54,59.15,59.89,1325015
1715832000,59.77,60,59.06,59.52,1837177
1715918400,59.74,59.74,58.62,59.28,1164449
1716177600,59.48,59.9399,58.7593,59.79,946861
1716264000,59.38,59.68,56.57,56.6,1944717
1716350400,56.42,56.93,54.915,55.21,1455229
1716436800,55,55.2,52.44,52.61,1949251
1716523200,52.77,53.12,51.95,52.16,1386196
1716868800,52.61,52.8,51.73,51.9,1187278
1716955200,51.17,51.395,50.41,51.02,1366822
1717041600,51,52.04,50.58,51.28,2041131
1717128000,51.4,52.21,50.93,52.05,6536671
1717387200,52.34,52.48,50.08,51.15,2580813
1717473600,51.04,51.33,49.51,49.81,1548775
1717560000,49.72,50.55,49.06,50.17,1699813
1717646400,49.94,51.68,49.65,51.17,1596243
1717732800,50.47,51.34,50.15,51.25,2181186
1717992000,50.99,52.47,50.91,52.05,1460908
1718078400,51.83,52.18,51.27,51.77,1041859
1718164800,52.9,53.55,50.98,51.14,1346659
1718251200,51.24,51.46,48.33,48.4,2119048
1718337600,48.55,49.53,48,48.43,1911220
1718596800,48.04,48.74,47.33,48.63,1498473
1718683200,48.43,48.63,46.88,46.96,1569185
1718856000,46.36,47.45,45.9,47.45,1699300
1718942400,47.47,48.29,46.956,48.25,1864476
1719201600,48.39,48.92,47.695,48.43,1510545
1719288000,48.19,48.605,47.66,48.21,1241541
1719374400,48.04,49.32,47.92,49.26,1249663
1719460800,49.2,50.66,49.11,50.32,1360451
1719547200,51,52.76,50.7,52.62,3229450
1719806400,52.55,53.07,51.955,52.81,1524457
1719892800,53.33,54.1,53.19,53.54,989689
1719979200,53.65,53.73,53.09,53.16,480217
1720152000,53.05,53.61,52.5,52.68,723399
1720411200,52.33,52.565,51.216,51.68,955633
1720497600,51.67,51.67,50.1,50.79,844570
1720584000,50.73,50.97,49.65,50.19,1150694
1720670400,51.37,52.24,50.41,50.87,1625099
1720756800,51.01,51.945,50.4335,51.26,1092325
1721016000,51.41,54.37,50.8001,54.27,1812750
1721102400,54.72,56.66,54.55,55.73,1968191
1721188800,55.72,56.59,55.1428,55.73,1979288
1721275200,55.64,55.8427,52.55,52.75,1795700
1721361600,52.74,54.15,52.48,53.61,1419667
1721620800,54.01,54.095,52.63,53.8,1137147
1721707200,53.8,54.49,53.15,53.83,799223
1721793600,53.35,53.825,50.85,50.86,991939
1721880000,51.19,53.74,50.8,52.83,1099448
1721966400,53.65,53.76,52.5114,52.83,1039582
1722225600,53.25,53.57,52.3601,52.94,786706
1722312000,53.1,53.52,51.88,52.32,1058782
1722398400,52.75,52.75,49.82,49.96,1851411
1722484800,49.13,50.44,47.72,48.14,2013208
1722571200,46.65,46.89,44.13,46.77,2271602
1722830400,43.25,45.54,43.11,44.4,1635930
1722916800,44.87,44.88,43.81,43.97,1632026
1723003200,45.32,47,44.48,44.56,1712427
1723089600,45.02,46.64,44.833,46.39,1916531
