T,O,H,L,C,V
1713844800,27.9,28.38,27.555,27.86,399386
1713931200,27.53,28.0899,27.38,27.73,516300
1714017600,27.29,27.65,27.01,27.36,518829
1714104000,27.42,27.62,27.13,27.14,240627
1714363200,27.12,27.4508,26.86,27.08,369981
1714449600,26.8,27.06,26.605,26.87,315921
1714536000,26.9,28.035,26.2,27.53,917255
1714622400,28.07,28.52,27.61,28.44,476407
1714708800,28.8,29.29,28.69,29.28,472990
1714968000,29.51,30.24,29.36,30.21,560029
1715054400,30.21,30.34,29.69,29.95,462585
1715140800,29.8,30.46,29.62,30.37,358573
1715227200,30.25,30.84,30.13,30.68,383180
1715313600,30.7,30.96,30.28,30.75,496691
1715572800,30.73,30.95,30.2215,30.52,277205
1715659200,30.57,30.805,29.75,29.95,420001
1715745600,30.19,30.505,29.91,30.44,547033
1715832000,30.44,30.57,30.22,30.48,362432
1715918400,30.38,30.77,30.15,30.65,309342
1716177600,30.39,31.03,30.39,30.64,218702
1716264000,30.57,30.64,29.99,30.25,293384
1716350400,30,30.72,29.88,29.95,357876
1716436800,29.87,30.42,29.27,29.44,917521
1716523200,29.42,30.15,29.42,30.1,339920
1716868800,30.45,30.47,29.46,29.79,509236
1716955200,29.69,29.69,28.02,28.09,469224
1717041600,28.4,29.04,28.3,28.85,486480
1717128000,28.38,29.13,28.38,28.89,306941
1717387200,29.01,29.38,28.53,29.13,294098
1717473600,29.13,29.13,28.3965,28.85,201232
1717560000,28.96,29.57,28.84,29.18,229759
1717646400,29.1,29.67,28.78,29.56,368824
1717732800,29.14,29.34,28.45,28.55,308293
1717992000,28.36,28.98,28.1201,28.59,385373
1718078400,28.35,28.47,27.73,27.89,380638
1718164800,28.74,29.09,28.18,28.24,555263
1718251200,28.38,28.48,27.88,27.88,422149
1718337600,27.71,27.93,27.1787,27.53,770843
1718596800,27.19,27.41,26.72,27.07,514031
1718683200,27,27.57,26.83,27.05,833006
1718856000,27.01,27.33,26.7,27.07,465442
1718942400,26.91,27.49,26.91,26.95,435680
1719201600,27.11,28.17,27.11,28.09,595444
1719288000,27.81,28.29,27.63,28.21,382662
1719374400,28.05,28.09,27.445,27.58,408543
1719460800,27.31,28.19,27.31,27.66,257379
1719547200,27.65,27.8,27.32,27.44,335720
1719806400,27.63,27.895,27.0704,27.14,380504
1719892800,27.21,28.15,27.15,27.9,421659
1719979200,27.97,28.94,27.97,28.73,302269
1720152000,29.34,29.5986,28.39,28.4,666381
1720411200,28.38,28.71,28.15,28.29,330022
1720497600,28.21,28.26,27.72,27.87,196377
1720584000,28.01,29.44,27.985,29.32,743448
1720670400,29.47,30.53,29.3,30.39,527454
1720756800,30.61,31.13,30.61,30.97,370601
1721016000,30.99,31.27,30.36,30.56,442210
1721102400,30.95,31.685,30.615,31.52,420017
1721188800,31.39,31.69,30.88,31.17,678822
1721275200,31.09,31.23,30.28,30.44,669306
1721361600,30.29,30.61,30.06,30.45,299294
1721620800,30.61,31.16,30.2,30.96,410375
1721707200,30.86,31.72,30.6701,31.2,295847
1721793600,30.84,31.68,30.84,31.04,391082
1721880000,30.91,31.35,30.75,30.92,491475
1721966400,31.28,31.58,31.01,31.36,320681
1722225600,30.64,31.54,30.585,30.85,307101
1722312000,30.81,31.3,30.6,31.3,277036
1722398400,31.15,32.24,31.04,31.58,508797
1722484800,32,32.67,30.8477,31.04,396640
1722571200,30.7,31.3,29.93,30.35,418492
1722830400,28.47,30.75,28.2591,30.17,706012
1722916800,30.03,30.31,29.29,29.96,436363
1723003200,30.54,30.54,28.93,29.9,608991
1723089600,30.29,30.46,30.04,30.08,360642
1723176000,30.58,30.58,29.63,30.12,397734
1723435200,30.12,30.22,29.69,29.98,215695
1723521600,29.98,30.3999,29.98,30.18,211106
1723608000,30.13,30.58,30,30.48,249408
1723694400,30.61,31.31,30.6,30.96,297004
1723780800,31,31.49,30.97,31.41,159832
1724040000,31.49,32.13,31.49,32,343666
1724126400,31.95,31.99,31.39,31.66,199914
1724212800,31.73,32.25,31.59,31.93,236485
1724299200,31.93,32.26,31.88,32.14,203068
1724385600,32.3,33.19,32.23,32.79,422698
1724644800,32.65,33.23,32.65,32.94,332787
1724731200,32.74,33.19,32.6821,33.02,312686
1724817600,32.76,33.03,32.36,32.52,306756
1724904000,32.62,32.8,32.39,32.5,644807
1724990400,32,32.49,31.87,32.15,508056
1725336000,32.12,32.12,31.06,31.17,302763
1725422400,31,31.82,31,31.46,356816
1725508800,31.25,31.71,31.22,31.38,504085
1725595200,31.3,31.73,30.91,31.08,308067
1725854400,31.2,32.13,31.2,31.83,316494
1725940800,31.85,31.85,31.3306,31.53,329212
1726027200,31.31,32.22,31.25,32.01,237290
1726113600,32.11,33.255,31.86,33.1,461424
1726200000,33.51,33.83,33.09,33.19,450406
1726459200,33.28,33.69,33.0401,33.5,279374
1726545600,33.56,33.63,32.74,32.96,251676
1726632000,32.98,33.115,32.28,32.57,212000
1726718400,33.32,33.725,32.78,33.53,456886
1726804800,33.41,33.98,33.24,33.79,387743
1727064000,33.8,34,33.54,33.8,297222
1727150400,33.77,34.28,33.76,33.92,238331
1727236800,33.93,34.09,33.64,33.97,206808
1727323200,34.34,35.29,34.22,35.02,513019
1727409600,34.9,35.41,34.9,35.19,425968
1727668800,35,35.48,34.9,35.04,329411
1727755200,35.42,35.42,34.39,34.49,377655
1727841600,34.5,34.7,33.835,34.28,344929
1727928000,33.77,34.12,33.62,34.09,298386
1728014400,34.15,34.94,34.15,34.67,373644
1728273600,34.77,34.77,33.6,34.08,204735
1728360000,34.1,34.3094,33.33,33.78,171885
1728446400,33.77,34.11,33.5834,33.91,132994
1728532800,33.7,33.8,33.17,33.5,187540
