T,O,H,L,C,V
1713844800,12.2292,12.6334,12.1059,12.2603,12976
1713931200,12.0427,12.6126,12.0427,12.3432,16060
1714017600,11.9598,12.8718,11.9598,12.5194,18528
1714104000,12.6437,12.7371,12.2914,12.6438,30201
1714363200,12.652,12.8465,12.5215,12.7785,53944
1714449600,12.4365,12.7993,12.3847,12.3951,13465
1714536000,12.3329,13.0998,12.3329,12.6749,27697
1714622400,13.0868,13.618,12.5402,12.7785,67177
1714708800,13.7734,13.8356,13.3434,13.8253,17220
1714968000,13.8538,14.1984,13.4833,13.4833,14115
1715054400,13.8356,14.3849,13.3864,13.5351,38578
1715140800,13.5247,14.2397,13.5247,13.7113,25505
1715227200,13.6802,14.4575,13.4315,13.9393,21947
1715313600,13.6076,14.3848,13.6076,14.0414,14620
1715572800,13.7644,14.074,13.7631,13.8688,55400
1715659200,14.188,14.188,13.6699,13.8356,18603
1715745600,14.3147,14.5507,14.0844,14.2916,48729
1715832000,14.4602,14.5817,14.0947,14.2149,60178
1715918400,14.3331,14.5817,14.1725,14.2191,43113
1716177600,14.302,14.5507,13.9704,14.1652,33606
1716264000,14.4093,14.9134,14.0533,14.0533,19767
1716350400,14.1693,14.4989,13.9496,14.3952,11976
1716436800,14.1714,14.416,13.9496,14.0377,18788
1716523200,14.5715,14.5715,14.0118,14.2295,40398
1716868800,14.0947,14.3258,13.8667,13.9123,65447
1716955200,14.0947,14.333,13.8356,14.0952,56269
1717041600,13.9911,14.4367,13.8771,13.9911,74261
1717128000,14.3036,14.6958,13.9755,14.0222,70670
1717387200,14.872,14.9031,14.0015,14.2543,36322
1717473600,14.0947,14.3226,14.0325,14.2605,29391
1717560000,14.1206,14.2398,14.0857,14.1258,40162
1717646400,14.1465,14.4884,14.0947,14.3331,48611
1717732800,14.0727,14.3123,13.9082,13.9185,42466
1717992000,13.7838,14.2481,13.7734,14.0946,24459
1718078400,13.9548,14.1925,13.732,13.9134,75905
1718164800,14.306,14.789,13.8667,14.0015,19118
1718251200,13.9289,14.188,13.4522,13.8408,51186
1718337600,13.3693,13.6905,13.3071,13.6102,51186
1718596800,13.5714,13.8564,13.4004,13.4729,35009
1718683200,13.4465,13.8771,13.1414,13.3382,34656
1718856000,13.2449,13.2449,12.5194,12.7049,24042
1718942400,13.0273,13.0273,12.4781,12.6956,21065
1719201600,12.4262,12.9029,12.25,12.25,82767
1719288000,12.3225,12.4676,12.2811,12.4675,26520
1719374400,12.3645,12.6956,12.25,12.623,15245
1719460800,12.7474,12.7889,12.3847,12.7682,23062
1719547200,12.7733,12.7733,12.2397,12.2707,71528
1719806400,12.3847,12.7733,12.1982,12.1982,97928
1719892800,12.592,13.0065,12.3225,12.3536,65803
1719979200,12.4572,12.8976,12.4572,12.7837,38794
1720152000,13.0884,13.6211,12.8304,12.934,64298
1720411200,13.3071,13.3071,12.9029,13.0376,105224
1720497600,13.6284,13.6284,12.592,12.8303,89405
1720584000,12.6542,13.2242,12.6542,13.1827,32355
1720670400,12.82,13.2449,12.82,13.1153,92021
1720756800,13.5869,13.5972,13.0791,13.2252,52285
1721016000,13.96,13.96,13.0998,13.1102,71866
1721102400,13.2864,13.5765,13.2864,13.4211,76903
1721188800,13.2652,13.5558,13.2553,13.4418,288764
1721275200,13.5869,13.6284,13.2242,13.2242,393898
1721361600,13.1309,13.4004,13.1309,13.4004,65195
1721620800,13.3174,13.4729,13.3174,13.4522,346728
1721707200,13.5617,13.5617,13.2568,13.4314,1149091
1721793600,13.6802,13.7113,13.3896,13.4625,916095
1721880000,13.3589,13.6284,13.3589,13.5247,122598
1721966400,13.5247,13.8564,13.5247,13.6387,465620
1722225600,14.0343,14.0844,13.5869,13.6387,164547
