T,O,H,L,C,V
1713844800,178.76,187.91,176.83,187.24,1912026
1713931200,187.78,193.49,183.78,186.69,1184470
1714017600,181.57,185.79,178.78,185.26,930630
1714104000,186.435,189.4,185.65,187.66,826159
1714363200,188.68,190.85,185.81,187.46,901371
1714449600,185.19,187.755,182.74,182.82,987147
1714536000,183,191.4549,181.8168,184.39,1418863
1714622400,186.9,188.9,182.3424,188.74,803603
1714708800,196.84,200.81,195.49,195.81,1809086
1714968000,198.2,201.34,196.413,200.88,1737745
1715054400,175.16,181.34,160.325,162.62,8060833
1715140800,162.01,164.74,159.01,163.46,4289829
1715227200,163.08,170.75,163.08,169.26,3687166
1715313600,168.29,170.54,165.98,166.96,1874685
1715572800,167.52,170.106,166.14,167.37,2542137
1715659200,166.53,170.23,165.12,169.71,1893441
1715745600,174.5,176.65,171.17,171.94,1663595
1715832000,171.02,171.02,165.19,165.39,2195081
1715918400,166.14,168.94,165.7,167.05,2130775
1716177600,167.06,170.24,167.06,169.23,1779066
1716264000,168.17,168.68,165.11,167.94,2394414
1716350400,166.62,168.92,165.625,165.97,2281902
1716436800,167.59,168.835,164.12,166.36,1899648
1716523200,168.15,171.17,167.64,171.1,1452952
1716868800,171.69,172.39,161.57,162.69,2095128
1716955200,159.73,160.4992,155.8,155.97,2333533
1717041600,157.6,160.71,157.04,160.16,1575495
1717128000,160.23,161.46,157.01,160.79,3121180
1717387200,161.5,161.8,151.56,152.12,2498601
1717473600,150.54,151.2739,145.12,146.52,2846637
1717560000,147.55,151.34,146.61,149.97,1776270
1717646400,146.725,148.495,145.13,145.64,2156480
1717732800,143.91,146.44,142.65,146.28,1698342
1717992000,144.6,147.51,144.03,146.95,1282025
1718078400,146,146,142.54,143.48,1371461
1718164800,150.54,157.43,149.915,151.15,2501256
1718251200,151,152.07,149.04,151.15,1396299
1718337600,148.84,150.05,145.8,149.55,1330344
1718596800,149.41,150.83,146.25,149.93,1568342
1718683200,149.52,150.9,148.12,149.44,911534
1718856000,148.5,148.565,142.8,144.74,2435006
1718942400,144.48,145,140.7129,143.19,4532363
1719201600,143.48,145.3087,141.18,142.22,1338217
1719288000,141.31,141.5,133.58,136.51,3696796
1719374400,136.81,137.38,134.83,136.74,1792854
1719460800,136.93,137.9,135.495,137.86,1911095
1719547200,138,139.75,136.71,138.41,3207668
1719806400,139.55,139.94,133.15,133.99,1911502
1719892800,133.48,135.94,132.81,134.74,1401797
1719979200,135.12,136.81,133.84,134.38,679205
1720152000,133.12,133.82,130.7501,132.6,1561106
1720411200,134.01,134.565,131.99,134.49,1475093
1720497600,133.25,135.52,133,134.3,1188505
1720584000,135.6,137.13,133.7173,136.72,1660852
1720670400,142.5,147.75,142.005,146.89,3173659
1720756800,150,155.48,148.7,152.73,2897456
1721016000,153.79,158.61,152.72,153.17,1939583
1721102400,155.67,165.755,155.17,165.44,2726029
1721188800,161.72,162.59,158.74,158.88,2471666
1721275200,161.31,167.23,158.39,158.94,2608238
1721361600,159.38,160.95,156.82,158,1135939
1721620800,160,161.49,156.13,160.86,1071083
1721707200,158.94,164.8395,158.36,163.88,1590895
1721793600,162.03,165.15,153.75,154.12,1722000
1721880000,155.87,163.48,153.29,158.73,1837390
1721966400,164.52,169.95,163.09,167.49,1748579
1722225600,167.92,169.75,166.15,168.09,1173276
1722312000,170,171.34,164.72,167.63,1343928
1722398400,169.65,174.89,167.04,167.37,1835473
1722484800,166.64,170.88,157.54,159.5,1805250
1722571200,149.335,152.59,147.88,152.15,2592155
1722830400,140.32,153.355,139.33,149.65,3031044
1722916800,138.93,161.36,137.22,155.73,3885855
1723003200,159.37,164.77,151.46,152.86,2815584
1723089600,155.66,156.0811,151.75,153.15,1871687
1723176000,153.16,156.58,151.3,155.51,1031898
1723435200,155.28,158.1,152.81,153.3,1333155
1723521600,155.24,161.51,155.24,160.9,1578571
1723608000,162.73,164.4001,158.84,160.6,1748519
1723694400,164.21,167.1199,162.68,164.65,1213808
1723780800,163.9,165.57,160.84,161.13,1276215
1724040000,162.55,164.7499,162.01,163.31,1016412
1724126400,163.74,165.63,162.36,164.15,1253950
1724212800,165.7,168.33,164.95,168.25,1181698
1724299200,167.85,169.665,166.3548,167.55,1102195
1724385600,169.13,183.02,168.35,182.21,2660458
1724644800,183.36,185.2,175.39,176.41,1575569
1724731200,174.26,175.12,171.67,174.62,1078067
1724817600,172.93,174.01,171.34,172.9,843756
1724904000,174.36,175.27,171.45,172.16,792387
1724990400,174.09,175.135,170.5,174,1260319
1725336000,174.56,175.8999,167.88,168.65,1901162
1725422400,167.84,170.04,165.72,168.88,1688131
1725508800,168.8,170.74,165.975,167.55,1526825
1725595200,168.57,174.35,167.18,168.51,1856790
1725854400,169.6,170.72,166.08,166.16,1044915
1725940800,167.89,171.25,165.69,170.96,952089
1726027200,169.49,171.14,163.37,169.99,1260806
1726113600,170.32,176.03,169.05,175.72,1107514
1726200000,178,184.5,177.58,183.3,1187712
1726459200,187.5,190.3793,185.21,187.65,2037011
1726545600,190.01,194.6,188.51,193.89,2062433
1726632000,197,200.845,192.38,194.52,2846320
1726718400,198.01,203.14,194.61,201.83,2333718
1726804800,201.5,201.64,197.34,197.74,4085032
1727064000,199.02,201.79,194.74,195.81,1295626
1727150400,195.76,197.13,190.88,193.01,1478106
1727236800,192.65,194.68,191.08,191.91,1213024
1727323200,194.04,194.81,189,190.07,1466323
1727409600,191.71,197.26,191.4,194.25,1315275
1727668800,192.28,195.26,191.39,193.86,1095221
1727755200,194.47,196.7,191.58,194.84,915528
1727841600,193.1,197,191.37,195.22,842870
1727928000,194.54,196.12,192.2523,195.86,1117007
1728014400,198.27,199,188.6,192.28,1613181
1728273600,190.08,192.78,186.7,192.18,1065306
1728360000,193.07,195.29,189.84,193.14,821944
1728446400,194.76,197.3,193.575,194.4,777223
1728532800,192.91,195.18,190.09,191.75,1203868
1728619200,191.76,196.12,191.76,193,918828
1728878400,193.64,198.04,192.39,196.71,915832
1728964800,197.6,200.2567,195.47,195.72,909534
1729051200,197.53,201.53,197.2,198.25,1034077
1729137600,197.97,198.75,192.05,195.37,1134731
1729224000,196.47,196.47,193.13,194.97,875298
1729483200,194.46,194.7904,184.24,184.84,1275263
1729569600,184,184.01,178.4368,180.65,1510376
1729656000,179.87,183.72,178.04,179.22,781584
1729742400,179.31,182.35,177.67,181.66,837091
1729828800,184.47,184.47,179.66,180.8,855625
1730088000,183.17,186.655,182.88,184.8,839273
1730174400,175.11,175.27,167.71,171.6,2393449
1730260800,171.6,175.73,170.57,172.88,1198611
1730347200,171.78,173.8899,170.94,171.4,744405
1730433600,173.11,175.16,170.61,172.02,1255102
1730696400,172.76,176.9439,172.22,172.43,2048474
1730782800,175.95,185.16,175.95,180.99,2137785
1730869200,173.21,177.92,168.38,176.78,3332531
1730955600,177.32,179.88,175.16,179.19,1826391
1731042000,180.09,180.57,177.78,178.35,1353154
1731301200,180.22,183.71,178.1,183.59,1518323
1731387600,181.58,183.38,178.5,178.65,1008975
1731474000,182,183.29,179.055,179.88,950496
1731560400,180.33,183,179.52,181.2,1174117
1731646800,180.21,180.805,175.04,176.28,1073012
1731906000,175,178.81,173.65,178.3,1001713
1731992400,177.07,178.81,174.14,178.81,1095178
1732078800,178.75,179.1605,172.6,174.83,1476290
1732165200,176,177.59,172.79,175.91,1508629
1732251600,177.76,179.37,175.71,178.52,825896
1732510800,182.16,194.36,182.11,189.03,2012612
1732597200,186.31,187.21,182.82,185.92,1149792
1732683600,188.43,189.7399,183.645,184.75,703699
1732856400,187.94,188.54,185,186.47,372911
1733115600,185.19,185.98,183.22,184.82,727923
1733202000,185.12,187.22,183.19,184.47,659369
