T,O,H,L,C,V
1713844800,88.08,89.52,87.58,88.49,362446
1713931200,88.59,89.45,87.82,88.09,281679
1714017600,87.98,88.24,86.13,86.71,438099
1714104000,87.4,88.32,86.89,87.21,355731
1714363200,87.01,89.53,87.01,87.95,409261
1714449600,88.39,89.62,87.87,88.82,410420
1714536000,86.77,90.66,86.36,89.95,426983
1714622400,90.75,92.4,90.68,92.24,561841
1714708800,93.42,93.54,91.6,92.72,663327
1714968000,90.09,95.29,89.94,93.35,1097727
1715054400,92.85,93.23,90.75,90.88,487803
1715140800,90.72,90.99,89.38,90.13,343979
1715227200,90.24,93.86,90.14,92.06,581680
1715313600,92.59,93.385,91.53,91.67,389880
1715572800,92.56,93.48,92.4132,92.72,249384
1715659200,92.79,93.22,91.71,92.28,271663
1715745600,93,93,91.6042,92.2,468427
1715832000,92,93.3,91.78,92.98,389150
1715918400,92.8,92.8,90.535,90.61,471775
1716177600,90.57,92.67,90.24,92.47,340966
1716264000,91.62,92.26,90.9,92.07,609315
1716350400,92,102.66,91.8,102.3,3753038
1716436800,101.75,101.95,97.68,99,1553710
1716523200,99,99.27,94.52,96.95,1245252
1716868800,97.72,97.72,92.57,94.1,897787
1716955200,93.02,93.54,91.57,93.23,435329
1717041600,94,103.41,92.39,98.75,2794336
1717128000,99.5,103.57,98.62,100.6,1618340
1717387200,100,103.75,99.67,102.87,986369
1717473600,103.32,103.32,99.1144,99.48,1048362
1717560000,99.7,102.7,98.55,102.5,921793
1717646400,102.56,104.33,101.68,101.81,618739
1717732800,101,101.96,100.29,100.34,377870
1717992000,99.66,99.96,97.4,97.98,652317
1718078400,97.64,99.36,97.1101,98.8,476592
1718164800,101.85,101.87,97.51,97.91,510824
1718251200,97.79,98.28,95.24,96,384220
1718337600,94.26,95.241,92.015,92.08,768301
1718596800,91.2,91.2,87.21,88.44,1238216
1718683200,88.44,88.61,85.32,86.27,968146
1718856000,85.52,86.62,85.52,85.88,481977
1718942400,85.81,86.09,83.72,84.64,1062872
1719201600,86.98,87.18,85.205,86.61,1123671
1719288000,84.83,85.79,84.06,84.38,606900
1719374400,84.13,84.2,82.04,82.52,873490
