T,O,H,L,C,V
1713844800,90.48,94.67,89.19,92.29,788709
1713931200,91.78,93.74,90.43,92.26,588540
1714017600,89.54,91.46,88.46,90.73,755177
1714104000,92.76,94.98,90.47,93,725963
1714363200,93.52,94.91,91.1162,93.1,622933
1714449600,91.45,93.37,90.745,91.34,529234
1714536000,91.44,96.405,90.85,94.86,883687
1714622400,103.88,110.1555,100.905,107,2003975
1714708800,109.82,110.93,106.07,107.19,1004153
1714968000,107.93,108.505,105.48,106.25,803183
1715054400,105.99,109.41,103.31,108.55,755189
1715140800,107.5,109.145,106.48,108.78,478493
1715227200,109,109.87,107.9975,108.34,553293
1715313600,108.71,109.02,106.01,106.7,406715
1715572800,109.16,109.475,106.01,108.05,383987
1715659200,109.53,111.02,105.265,105.46,582058
1715745600,107.88,108.75,106.09,106.79,758088
1715832000,106.66,107.69,105.81,106.64,411483
1715918400,107,107.17,103.23,104.96,415572
1716177600,104.87,105.64,103.69,104.26,468869
1716264000,103.48,104.78,101.485,103.63,423398
1716350400,103.07,104.15,101.42,102.71,385996
1716436800,103.49,105.3799,101.2125,102.39,551246
1716523200,102.75,106.02,102.31,102.81,401436
1716868800,103.88,104.05,100.79,102.36,756819
1716955200,100.88,101.75,99.16,100.57,378257
1717041600,101.82,106.72,101.09,106.36,640414
1717128000,107.83,108.5299,104.3,105.56,631490
1717387200,106.43,109.37,101.87,104.84,595236
1717473600,104.91,105.38,101.62,101.89,431203
1717560000,102.04,106.52,100.81,105.82,463123
1717646400,105.16,105.64,103.64,104.42,377900
1717732800,103.8,106.28,101.2401,103.34,274107
1717992000,102.4,104.41,100.67,104.03,726690
1718078400,103.13,105.955,101.73,105.395,539849
1718164800,107.54,108.775,104.46,106.14,666879
1718251200,106.14,108.115,105.74,106.39,309394
1718337600,104.44,106.855,103.49,105.55,464283
1718596800,105.04,107.6,102.87,103.87,758367
1718683200,103.85,107.12,102.55,106.71,572080
1718856000,105.81,107.2,103.15,105.21,430314
1718942400,106.03,106.51,102.37,104.23,1076941
1719201600,104.3,106.76,101.78,106.1,748094
1719288000,105.76,110.57,104.715,106.55,661146
1719374400,106.08,106.5,103.59,103.92,632991
1719460800,105.02,108.9241,103.015,108.52,690488
1719547200,109.4,111.4183,105.52,107.78,1332561
1719806400,107.68,110,107.08,109.18,678910
1719892800,108.93,110.46,107.46,110.36,487091
1719979200,110.43,111.89,108.82,109.03,287319
1720152000,108.47,111.99,108.33,111.7,343463
1720411200,112.73,119.3,112.695,116.32,1073560
1720497600,115.27,116.81,113.5,115.25,612821
1720584000,115.75,116.14,113.31,115.95,399418
1720670400,117.77,119.25,116.02,117.79,512517
1720756800,119.82,120.32,116.08,117.78,618533
1721016000,118.17,120.42,117.42,119.53,491583
1721102400,120,121.9,119.0201,120.5,709215
1721188800,115.92,118.71,113.81,114.36,1117145
1721275200,113.47,115.45,109.5,113.46,886019
1721361600,114.5,116,112.22,114.97,526485
1721620800,116.25,117.2,114.33,116.81,603938
1721707200,116.12,118.91,115.075,116.95,445693
1721793600,115.51,117.425,114.63,114.98,481113
1721880000,115.72,116.12,112.85,113.69,661965
1721966400,115.9,116.51,112.02,112.19,435535
1722225600,112.44,112.64,109.545,110.34,579505
1722312000,110.88,112.38,106.56,107.03,774525
1722398400,107.81,110.21,106.9,108.3,937070
1722484800,106.51,108.4,98.34,100.29,2958302
1722571200,96.38,99.31,95.5,96.72,1779789
1722830400,90,95.91,89.35,92.97,1549684
1722916800,93.62,95.7,92.19,92.74,898889
1723003200,94.52,94.52,90.4,90.85,723658
1723089600,91.38,91.735,89.44,91.44,898004
1723176000,91.8,94.7,90.7401,93.9,710457
1723435200,94.44,95.33,93.4301,93.71,511191
1723521600,94.43,95.39,91.55,92.82,682060
1723608000,93.11,94.31,91.82,93.36,578082
1723694400,95.6,96.21,94.33,95.52,536768
1723780800,95.44,95.99,93.15,93.49,598275
1724040000,93.35,95.74,92.77,95.7,376615
1724126400,94.18,95.2,92.92,93.2,351523
1724212800,93.73,95.85,93.26,94.78,449855
1724299200,94.84,96.21,93.115,93.51,263398
1724385600,94.34,95.39,93.59,94.55,298798
1724644800,94.55,95.4,93.43,95.08,282838
1724731200,94.32,94.53,92.23,93.14,373101
1724817600,93.15,93.9,92.42,92.75,452746
1724904000,93.64,95.19,93.28,93.61,256486
1724990400,94.52,95.67,93.14,95.54,307148
1725336000,94.8,96.5,91.76,92.53,413489
1725422400,91.95,92.8,91,92.61,355992
1725508800,92.75,92.75,90.43,91.41,580970
1725595200,91.45,91.76,84.51,86.43,1543250
1725854400,86.3,86.915,84.52,86.55,922231
1725940800,86.92,87.05,84.27,85.99,695204
1726027200,85.41,86.92,84.75,86.56,548329
1726113600,86.58,86.65,83.91,84.1,470108
1726200000,85.09,89.05,84.38,88.9,617619
1726459200,89.11,89.11,85.82,86.3,536658
1726545600,87.21,87.42,85.64,86.51,714024
1726632000,86.7,91.13,86.2344,89.33,921804
1726718400,91.74,93.66,90.635,90.94,675193
1726804800,90.86,92.94,89.7,91.68,1176487
1727064000,91.57,92.45,89.69,90.06,793946
1727150400,89.87,90.98,89.18,90.27,435269
1727236800,90.2,90.8,86.92,87,484595
1727323200,88.68,89.15,87.16,89.06,396544
1727409600,90.05,94.695,89.94,92.55,831855
1727668800,92.33,92.73,89.5137,92.5,656745
1727755200,91.63,92.405,87.955,90,815409
1727841600,89.49,91.075,88.84,90.76,615198
1727928000,89.89,90.08,87.43,88.07,434717
1728014400,89.08,89.885,88.1,88.61,310070
1728273600,88.75,90.875,88.305,89.32,562314
1728360000,89.4,90,86.85,87.48,323662
1728446400,87.7,88.3,86.57,87.58,399697
1728532800,86.08,87.6,85.67,86.97,640337
1728619200,86.45,88.98,86.45,88.81,389999
1728878400,87.61,89.18,87.41,88.65,416227
1728964800,88.75,91.16,87.9,89.18,418286
1729051200,90.07,90.57,89.11,89.33,373408
1729137600,89.46,89.7,85.79,86,747469
1729224000,86.13,87.14,85.12,86,558275
1729483200,85.78,86.12,84.03,85.61,653880
1729569600,85,87.24,84.0872,86.47,758496
1729656000,86.47,86.69,83.59,84.4,434971
1729742400,84.56,84.56,81.22,83.09,679648
1729828800,83.08,83.65,82.365,82.47,423848
1730088000,83.33,84.64,81.67,82.77,633915
1730174400,82.67,83.48,80.675,83.4,1194051
1730260800,90.92,94.98,88.8,89.24,1913963
1730347200,89.23,89.61,87.31,87.51,834973
1730433600,87.53,90.85,87.28,90.7,619676
1730696400,90.7,93,89.5,91.88,580584
1730782800,91,97.665,91,97.55,939108
1730869200,100,101.48,98.405,99.63,965355
1730955600,99.33,102.465,98.59,101.39,697909
1731042000,101.58,101.97,98.95,100.83,625068
1731301200,102.07,103.55,99.405,99.87,455299
1731387600,98.6,100.85,96.52,96.62,452582
1731474000,98,100.23,96.83,96.88,366306
1731560400,99.18,100.01,95.46,95.65,471836
1731646800,96.34,96.34,88.41,88.69,1001074
1731906000,88.43,90.66,88.05,90.18,628452
1731992400,89.69,95.48,88.97,94.6,779124
1732078800,94.16,95.02,92.66,94.81,566224
1732165200,94.98,98.13,92.97,96.62,778933
1732251600,96.78,98.34,94.11,94.15,663581
1732510800,94.41,95.84,93.165,93.87,734430
1732597200,93.86,95.3,91.78,94.63,516485
1732683600,95.25,95.54,92.53,95.1,813528
1732856400,95.7,97.98,94.84,96.38,338237
1733115600,96.61,98,95.75,97.62,542252
1733202000,96.38,96.91,95.79,96.53,315145
1733288400,96.04,98.49,95.8,96.52,388038
1733374800,95.84,96.53,93.91,95.08,753667
1733461200,95.6,97.04,94.33,95.97,373649
1733720400,96.29,97,94.44,94.57,544810
1733806800,95.23,97.435,94.47,95.39,437040
1733893200,95.32,97,93.41,94.47,540902
1733979600,94.13,94.91,92.17,92.58,1213287
1734066000,92.72,93.77,92,93.19,794125
1734325200,93.17,96.09,91.88,95.39,472126
1734411600,94.59,96.98,94.55,96.48,500072
1734498000,97.05,98.41,91.16,91.78,971540
1734584400,91.84,92.285,86.02,88.93,1174988
1734670800,88.12,90.99,87.9902,90.14,1267436
1734930000,89.69,90.99,88.7,90.33,335773
1735016400,90.77,90.77,89.22,90.46,113597
1735189200,90.22,91.985,89.47,91.62,267961
1735275600,90.79,91.2,87.24,89.4,657028
1735534800,88.48,88.48,85.91,86.82,621492
1735621200,87.49,87.98,85.99,87.22,363743
1735794000,88.06,89.51,86.99,87.2,329717
1735880400,87.04,89.26,86.76,88.35,555214
1736139600,88.63,91,88.63,89.54,653775
1736226000,90.5,95.48,90.08,94.37,655573
1736312400,93.87,94.88,90.155,90.63,927458
1736485200,89.11,90.56,86.72,87.43,1299374
1736744400,90.29,103.81,90.23,103.36,2141976
1736830800,103.94,105.54,101.9,102.56,1433980
1736917200,104.38,107.88,104.38,104.89,1114529
1737003600,104.88,106.49,103.67,103.95,802696
1737090000,105.87,110.275,104.73,110.05,972266
1737435600,110.24,112.52,108.155,111.96,795122
1737522000,111.54,113.57,110.8,111.08,711609
1737608400,111.26,116.12,111.26,115.63,1479677
1737694800,114.75,117.48,114.64,114.91,700608
1737954000,113.9,118.25,113.31,113.88,823994
1738040400,114.41,115.35,113.4,114.47,429630
1738126800,113.87,117.09,113.68,114.32,653919
1738213200,115,116,112.7304,114.05,1299150
1738299600,114.49,116.23,112.18,112.53,578599
1738558800,109.2,112.7,109.06,111.5,757436
1738645200,110.61,114.14,110.61,113.4,886365
1738731600,113.55,115.77,110.17,110.37,1169227
1738818000,110.37,112,108.835,109.62,960415
1738904400,109.43,110.55,103.975,104.98,1249125
1739163600,105.15,105.15,100.755,104,1840655
1739250000,103.01,104.09,100.72,101.57,975797
1739336400,99.33,104.92,99.08,103.56,1147937
1739422800,95,100.82,94.71,95.19,2724496
1739509200,96.28,96.38,92.56,93.94,1260678
1739854800,93.73,95.1,91.61,92.48,1266367
1739941200,91.67,94.49,90.8438,94.07,747432
1740027600,94.24,96.78,93.12,94.35,842019
1740114000,95.6,95.6,91.71,92.25,876268
1740373200,92.16,94.24,91.27,92.48,1041183
1740459600,92.9,93.25,90.88,91.26,685402
1740546000,91.78,92.7,90.66,91.4,564311
1740632400,91.24,92.48,90.405,90.42,457801
1740718800,90.49,96.72,90.14,96.57,1031760
1740978000,95.28,95.55,89.115,89.75,1514907
1741064400,88.44,90.38,85.76,89.375,1385852
1741150800,89,90.485,87.78,89.92,1722560
1741237200,88.14,89.85,86.82,88.54,576209
1741323600,89.32,90,86.975,87.12,908608
1741579200,85.61,87.82,84.59,86.69,632925
1741665600,87.16,88.54,85.24,87.76,618419
1741752000,87.82,90.72,86.8237,90.5,995465
1741838400,89.95,91.02,88.25,89.84,1807067
1741924800,90.44,90.84,88,89.58,669910
1742184000,90.88,92.38,89.39,92.14,619979
1742270400,92.34,92.34,89.42,89.59,810114
1742356800,89.55,91.12,88.53,90.48,1943865
1742443200,88.76,91.61,88.37,88.47,676980
1742529600,87.95,90.25,86.99,88.72,1840705
1742788800,89.2,96.02,89.2,95.27,1352866
1742875200,95.01,95.3,91.055,93.08,671463
1742961600,92.57,92.89,90.55,90.72,606651
1743048000,90.72,93.0399,89.64,89.73,651991
1743134400,89.8,89.8,87.53,88.72,621251
1743393600,86.82,88.74,85.35,88.51,1308602
1743480000,88.51,88.67,84.55,85.94,1434272
1743566400,85.18,90.39,85.1,90.01,1056340
1743652800,86.36,89.14,86.2092,87.11,956007
1743739200,85.51,86,80.08,81.68,1492586
1743998400,79,83.91,76.5,80.2,2034009
1744084800,82.09,84.66,77.36,79.22,1308967
1744171200,77.49,83.54,73.04,82.05,1903277
1744257600,78.48,81.86,76.84,80.27,1274630
1744344000,78.5,81.275,77.629,80.84,1646658
1744603200,82.38,83.5,79.91,82.53,775460
1744689600,81.93,83.45,79.91,81.45,1228776
1744776000,81.05,82.18,78.66,82.11,783877
1744862400,82.16,84.97,81.19,84.69,634400
1745208000,84.01,86.1,83.6,84.18,934030
