T,O,H,L,C,V
1713844800,28.89,29.52,28.79,28.81,1889525
1713931200,28.75,28.94,28.195,28.53,1439898
1714017600,28.36,29.03,28.01,28.89,1444727
1714104000,28.8,28.96,28.44,28.59,1064485
1714363200,28.7,28.8772,28.11,28.35,1922015
1714449600,28.04,28.44,27.76,28.16,1514226
1714536000,27.52,27.85,26.9,27,2659476
1714622400,27.34,27.66,26.91,26.95,1401686
1714708800,27.4,27.69,26.85,27.29,1901157
1714968000,27.5,28.36,27.48,28.34,3108611
1715054400,28.25,28.5,27.87,28.42,3576092
1715140800,31.15,32.88,30.14,31.77,9792519
1715227200,32.41,32.94,31.6,32.8,3660840
1715313600,34.32,36.25,34.12,36.03,5745522
1715572800,35,36.2,34.71,35.18,5979595
1715659200,35.45,36.32,35.04,36.07,4302014
1715745600,36.71,38.01,36.53,37.59,4476301
1715832000,38.25,38.41,37.21,37.78,2862605
1715918400,37.76,37.78,36.24,36.7,3405996
1716177600,36.92,37.26,36.18,36.77,2006914
1716264000,36.76,36.76,36.24,36.29,1585751
1716350400,36.32,36.99,35.76,35.93,2131138
1716436800,35.85,35.95,33.9,34.26,2658628
1716523200,34.53,34.75,34.04,34.1,1589520
1716868800,34.72,35.71,34.28,35.3,2531819
1716955200,34.75,36.47,34.51,36.46,2767701
1717041600,36.24,36.85,35.39,35.68,2773828
1717128000,36.1,36.1,34.09,35.39,2806820
1717387200,35.5,35.67,34.66,35.07,1510757
1717473600,35.25,35.84,34.61,35.66,1400977
1717560000,36.01,39.29,36,38.39,5678660
1717646400,38.45,39.3,37.78,38.61,3119154
1717732800,38.4,38.7,37.2901,37.97,2041627
1717992000,38.15,40.35,38.025,39.88,4060787
1718078400,38.905,40.64,38.73,39.45,7303092
1718164800,40.05,40.75,39.5,39.85,2215252
1718251200,40,40.2499,38.135,38.43,2654860
1718337600,38.01,39.25,37.64,38.12,1978664
1718596800,38,39.69,38,39.32,2350359
1718683200,39.67,41.15,39.42,39.63,3451385
1718856000,39.36,39.9,37.9271,38.49,3508019
1718942400,38.34,39.18,37.71,39.06,3582792
1719201600,39.03,39.73,38.29,39.04,2804146
1719288000,39,40.88,38.75,40.67,3464295
1719374400,40.47,41.47,40.25,41.46,5051064
1719460800,41.8,42.87,40.9,42.1,4638230
1719547200,42,42.145,41.03,41.4,9237751
1719806400,41.75,42.3,41.25,41.85,3544931
1719892800,41.86,42.385,41.55,41.83,2468837
1719979200,42.32,42.37,40.85,41.52,2313738
1720152000,41.39,42.22,41.3,42.11,1551331
1720411200,42.26,42.95,41.75,42.81,3293802
1720497600,42.92,43.49,41.12,41.25,3623642
1720584000,41.22,41.41,38.3,39.46,4578324
1720670400,39.45,40.13,39.25,40.08,2189273
1720756800,39.98,41.28,39.52,40.74,2234554
1721016000,41.04,42.4,40.28,42.31,2973321
1721102400,42.35,42.798,41.35,42.46,2390657
1721188800,42.39,42.63,40.19,40.25,1755709
1721275200,39.97,40.13,36.24,38.66,5546803
1721361600,38.94,39.62,38.37,39.17,1899413
1721620800,39.33,39.62,38.55,39.54,1591534
1721707200,39.73,40.02,38.86,39.01,1275622
1721793600,38.93,38.935,36.73,36.96,4178516
1721880000,36.98,37.75,36.3,37.16,2614588
1721966400,37.87,38.8,37.41,38.02,2335307
1722225600,38.39,38.93,37.71,38.36,1630911
1722312000,38.5,39.04,37.73,38.39,1173636
1722398400,39.06,39.48,37.8,38.25,1519932
1722484800,38.64,38.97,37.12,37.99,2109506
1722571200,37,37.49,35.74,37.42,3526500
1722830400,35.01,36.78,34.32,36.13,2424016
1722916800,36.6,38.06,35.82,37.71,1959557
1723003200,38.27,38.75,37.5,37.7,6065252
1723089600,29.09,30.4,26.9601,30.22,25332851
1723176000,30.45,30.84,29.32,29.49,6803916
1723435200,29.52,30.25,29.07,29.1,4050846
1723521600,28.77,29.6598,28.4771,29.42,4806071
1723608000,29.47,30.75,28.57,30.23,5260668
1723694400,31.5001,32.74,31.025,32.32,5698532
1723780800,32.16,33.02,31.9,32.64,3642337
1724040000,31.71,32.1833,31.26,31.36,4772647
1724126400,31.31,31.6,30.36,30.76,3428889
1724212800,30.92,31.805,30.52,31.77,3108016
1724299200,31.83,31.97,31.16,31.33,1720206
1724385600,31.42,32,31.09,31.67,3198223
1724644800,31.44,32.13,31.38,31.54,2974360
1724731200,31.3,32.18,31.1606,31.78,2169542
1724817600,31.67,31.89,30.78,31.22,3230283
1724904000,31.17,31.399,30.3,30.33,3225658
1724990400,30.46,31.09,30.325,31,2219093
1725336000,31.09,31.69,30.5801,30.82,3178095
1725422400,30.62,31.68,30.45,31.35,2114808
1725508800,31.25,32.04,31.25,31.77,1777185
1725595200,31.85,32.08,31.42,31.81,3184329
1725854400,32.06,32.625,32.02,32.36,2670689
1725940800,32.36,32.6,31.9,32.22,1770520
1726027200,32.38,32.95,32.075,32.92,3252971
1726113600,33,34.02,32.88,33.98,2192621
1726200000,34.2,34.46,33.87,34.01,3646308
1726459200,34.06,34.6,33.77,33.95,2458270
1726545600,34.25,34.87,34.15,34.69,2269452
1726632000,34.76,34.99,34.08,34.55,2777234
1726718400,35.25,35.51,34.69,34.84,3391240
1726804800,34.59,35.04,34.43,34.92,6537518
1727064000,35.1,35.16,34.28,34.62,2203007
1727150400,34.47,34.765,33.95,33.96,4616199
1727236800,34.01,34.305,32.67,32.7,3672073
1727323200,32.96,33.2199,32.56,32.67,1817115
1727409600,32.9,33.45,32.325,32.46,2291254
1727668800,32.34,32.75,31.6,32.03,3466533
1727755200,32.02,32.78,31.77,32.16,1948918
1727841600,31.99,32.31,31.48,32.3,2159039
1727928000,32.3,32.41,31.39,31.62,2025401
1728014400,32.25,32.5938,31.51,32.53,2494909
1728273600,32.3,32.32,31.26,31.63,1878668
1728360000,31.42,32.025,31.32,31.77,1279348
1728446400,31.79,31.79,30.96,31.11,2820054
1728532800,30.93,30.98,30.49,30.72,1870849
1728619200,30.95,32.61,30.79,32.35,2762915
1728878400,32.72,34.24,32.46,34.24,3078595
1728964800,34.22,34.385,33.63,34.2,1354907
1729051200,34.39,34.98,34,34.86,2340369
1729137600,34.89,35.2,34.53,34.7,1635126
1729224000,34.89,35.2,34.68,35.02,1679737
1729483200,35.26,35.43,34.7,35.12,1688839
1729569600,35.07,35.16,34.53,34.75,2001749
1729656000,34.5,35.04,34.3207,34.76,1051217
1729742400,34.97,35.95,34.97,35.4,1890151
1729828800,35.8,35.97,35.25,35.53,1782221
1730088000,35.9,36.17,35.64,35.9,1347713
1730174400,35.74,35.74,35.08,35.1,1779517
1730260800,34.54,34.86,33.06,33.08,4009117
1730347200,33,33.59,32.8091,33.12,2083091
1730433600,33.31,33.78,32.9143,33.4,2273523
1730696400,33.1,34.2199,32.79,33,2440705
1730782800,32.93,33.72,32.68,33.63,2622905
1730869200,34.5,35.4,33.8,34.94,5989156
1730955600,43.648,50.24,43.5,44.77,20545626
1731042000,44.03,47.38,43.62,47.18,6644807
1731301200,47.97,48.95,46.51,48.44,5930407
1731387600,47.81,49.5,47.81,48.78,3874458
1731474000,49.01,49.3644,47.41,47.45,2568026
1731560400,47,47.7,46.342,46.9,2303854
1731646800,46.09,46.82,45.99,46.61,3322924
1731906000,46.61,49.01,46.53,47.72,3872246
1731992400,47.34,49.85,47.2,49.81,3767823
1732078800,50,52.98,49.58,52.62,4839080
1732165200,51.4,52.88,51.19,52.07,2560621
1732251600,51.79,52.15,50.75,51.2,2796481
1732510800,51.815,52.44,51.46,51.91,2841998
1732597200,51.94,53.29,51.8,52.97,1599941
1732683600,52.51,53.16,52.04,53.15,1647606
1732856400,53.86,54.59,53.66,53.73,1223418
1733115600,53.67,54.94,53.6,54.5,1791229
1733202000,54.05,55.1,53.32,54.39,2359788
1733288400,55.25,55.79,54.07,54.22,1914508
1733374800,54.08,54.71,53.73,53.98,1658545
1733461200,55.3,56.1,54.609,55.14,2402904
1733720400,55.04,55.23,52.1,53.25,2423809
1733806800,53.41,53.6499,51.72,51.98,1790898
1733893200,52.42,52.92,51.85,52.9,1791943
1733979600,52.95,53.555,52.33,52.53,2359002
1734066000,52.79,53.12,51.13,52.06,1888195
1734325200,52.29,53.97,52.29,53.97,2632135
1734411600,53.89,54.675,52.45,52.96,2426881
1734498000,53.29,54.35,50.71,51.27,2206813
1734584400,52.24,53.4,52.13,52.32,2019841
1734670800,51.64,54.55,51.5274,54.06,2953411
1734930000,53.56,53.939,51.75,52.96,1816914
1735016400,52.99,55.24,52.66,54.81,1112150
1735189200,54.5,55.86,53.7592,55.82,1179682
1735275600,55.41,55.56,53,53.36,2025602
1735534800,52.25,53.11,51.7,52.55,1955420
1735621200,52.99,53.3732,51.92,52.38,1205008
1735794000,52.8,56.41,52.5,56.31,3612970
1735880400,56.82,58.1,56.02,56.35,2866999
1736139600,58.21,58.955,57.2,57.78,3064114
1736226000,58.84,59.18,56.16,57.53,2309756
1736312400,57.24,57.7,55.395,56.2,2168980
1736485200,55.8,57.64,54.79,57.21,2894539
1736744400,56.28,57.46,54.87,55.77,3149751
1736830800,56.55,59.99,56.51,59.08,4061270
