T,O,H,L,C,V
1713844800,8.68,9.08,8.55,8.75,121378
1713931200,8.75,9.0465,8.63,8.96,46750
1714017600,8.68,9.07,8.5,8.97,44325
1714104000,8.88,9.6,8.88,9.5203,79670
1714363200,9.02,9.8,9.02,9.51,115794
1714449600,9.04,9.1896,8.6,8.79,299862
1714536000,8.5,9.0994,8.5,8.87,91953
1714622400,8.87,9.5,8.87,9.4,63099
1714708800,9.3,9.8,9.3,9.661,80617
1714968000,9.75,10.21,9.75,10.1212,104755
1715054400,10.1508,10.1508,9.82,9.9,55519
1715140800,9.59,9.75,9.432,9.58,45801
1715227200,9.5,9.9,9.39,9.75,35198
1715313600,9.7,9.85,9.32,9.345,82248
1715572800,9.5,9.796,9.14,9.22,63085
1715659200,9.5271,9.5271,9.0144,9.03,53026
1715745600,9.185,9.6173,8.97,9.61,116315
1715832000,9.62,9.74,9.17,9.262,79213
1715918400,9.19,9.6311,9.19,9.575,43663
1716177600,9.715,9.89,9.51,9.81,88655
1716264000,10.06,10.5,9.8,9.84,165830
1716350400,10.03,10.54,10.03,10.3,80205
1716436800,10.6,10.6,9.93,10.0808,129992
1716523200,9.9995,10.51,9.89,10.3877,66506
1716868800,10.0996,10.53,10,10.53,99589
1716955200,10.54,10.6499,10.22,10.41,60553
1717041600,10.545,11,10.268,10.8098,103683
1717128000,11.04,11.07,10.22,10.22,95891
1717387200,10.586,10.86,10.43,10.815,66031
1717473600,10.82,11.35,10.66,11.01,87307
1717560000,11.19,11.67,10.55,11.63,111766
1717646400,11.55,11.91,11.41,11.82,86149
1717732800,11.8,12.2,11.71,11.75,184371
1717992000,11.45,13,11.44,12.7,275887
1718078400,12.5,12.66,11.49,11.8,287326
1718164800,11.62,12.45,11.62,11.76,108749
1718251200,11.73,11.9038,11.1,11.1705,68705
1718337600,11.1164,11.25,10.93,11.02,71025
1718596800,11,11.63,11,11.43,149846
1718683200,11.45,11.45,11.05,11.195,86528
1718856000,11.21,11.98,11.05,11.6195,136992
1718942400,11.575,11.575,10.7222,11.22,330467
1719201600,10.73,11.2,10.5,10.554,76766
1719288000,10.58,11.56,10.58,11.4638,89909
1719374400,11.81,12.2186,11.33,12.015,102122
1719460800,12.3,12.8,12.1,12.33,206686
1719547200,12.4315,12.49,11.59,11.68,130157
1719806400,11.49,12.1,11.24,12.05,70910
1719892800,11.7327,12.44,11.7327,12.44,83616
1719979200,12,12.32,12,12.13,72099
1720152000,11.15,12.02,11.15,11.21,157327
1720411200,11.21,11.5,11.02,11.0275,81421
1720497600,10.6,11.23,10.6,10.95,56750
1720584000,11.335,11.88,10.9,11.57,84132
1720670400,11.9056,12.06,11.31,11.444,41608
1720756800,11.1799,11.65,10.9,11.5,58189
1721016000,11.51,13.28,11.51,13.23,481483
1721102400,13.2,13.93,13.185,13.74,261102
1721188800,13.51,14.005,13.15,13.2,121487
1721275200,13.95,14,12.1,12.1,148927
1721361600,12.02,12.68,11.9932,12.39,207995
1721620800,12.68,13.05,12.15,12.398,111403
1721707200,12.49,12.49,12,12.155,51300
1721793600,12.3,12.49,11.92,12.025,81294
1721880000,10,11.92,10,11.2128,126280
1721966400,11.4,12,11.22,11.6254,106832
1722225600,12.2579,12.45,11.5,11.645,144954
1722312000,12,12,11.25,11.37,92964
1722398400,11.3,11.8,11.19,11.8,387061
1722484800,11.46,11.59,9.679,10.15,453964
1722571200,10.1,10.4,9.42,9.55,207148
1722916800,8.44,9.6553,8.44,9.57,181057
1723003200,9.79,9.79,8.8,9.14,152714
1723089600,8.84,9.78,8.84,9.53,68981
1723176000,9.51,9.99,9.3564,9.84,131477
1723435200,9.7,10.16,9.69,9.77,164202
1723521600,9.52,10.42,9.52,10.42,93848
1723608000,10.5,10.5,10.1,10.47,79913
1723694400,10.45,11.27,10.4134,10.89,114305
1723780800,10.5,11.23,10.5,11.1124,54981
1724040000,10.9689,11.41,10.95,11.245,80529
1724126400,11.49,11.7,11.35,11.62,59368
1724212800,10.98,11.815,10.98,11.8,81472
1724299200,11.7514,11.7514,11.75,11.7514,1113
1724385600,11.54,12.64,11.54,12.515,126765
1724644800,12.64,12.64,11.5,12,37011
1724731200,11.81,11.92,11.55,11.8345,80205
1724817600,11.5248,11.79,11.38,11.6186,96184
1724904000,11.66,11.98,11.3258,11.3258,38232
1724990400,11.38,11.38,10.9,11.1,56511
1725336000,11,11,10.16,10.42,130209
1725422400,9.52,10.64,9.52,10.6,79141
1725508800,10.4615,10.6925,10.38,10.5,91795
1725595200,10.52,10.89,9.9,9.93,175581
1725854400,9.944,10.5,9.944,10.368,49967
1725940800,10.33,10.6,10.05,10.6,47465
1726027200,10.5347,10.5347,10,10.4368,53609
1726113600,10.02,10.61,10.02,10.61,40727
1726200000,10.39,10.81,10.39,10.69,75630
1726459200,10.18,10.69,10.17,10.67,46872
1726545600,10.7,11.33,10.6828,11.0981,78182
1726632000,11,11.72,11,11.06,102064
1726718400,11.2,11.99,11.2,11.95,129629
1726804800,11.67,11.9217,11.543,11.8,83078
1727064000,11.99,11.99,11.2,11.385,63290
1727150400,11.32,12.05,11.2,12,74943
1727236800,12,12.29,11.7827,12.03,38246
1727323200,12.39,13.6755,12.3,13.63,233057
1727409600,13.6597,14.14,13.41,13.785,340401
1727668800,13.5,13.78,12.7494,12.79,99766
1727755200,12.77,12.77,12.0844,12.2169,130967
1727841600,12.4,12.41,12,12.25,97723
1727928000,12.09,12.4718,12,12.42,76955
1728014400,12.92,12.92,12.19,12.6,54809
1728273600,12.97,13.3,12.6,12.676,77053
1728446400,12.4,13.27,12.4,12.702,79370
1728532800,12.59,13.1,12.59,12.9105,99713
1728619200,13,13.95,12.66,13.8231,135272
1728878400,13.84,14.18,13.84,14.14,88550
1728964800,13.85,14.16,13.65,13.81,95537
1729051200,13.8909,14.6,13.75,14.455,189927
1729137600,14.1,14.42,13.2931,13.3666,92160
1729224000,13.25,13.8,13.25,13.77,111736
1729483200,13.65,13.9,13.35,13.85,107598
1729569600,12.67,14.08,12.67,14.06,81263
1729656000,13.7413,13.8,12.51,12.8,172692
1729742400,13.07,13.42,12.95,13.06,67656
1729828800,13.1039,13.434,12.62,12.92,63770
1730088000,12.85,13.74,12.85,13.43,176945
1730174400,13.58,14.15,13.58,13.839,104336
1730260800,14.02,14.02,13.3115,13.595,61655
1730347200,13.28,13.28,12.55,12.79,179978
1730433600,12.9248,13.1509,12.15,12.1651,79235
1730696400,12,12.14,11.6,11.65,110206
1730782800,11.67,12.25,11.67,11.89,69534
1730869200,13.5644,14.95,13.26,14.86,461893
1730955600,14.9,17.3998,14.13,17.2,497222
1731042000,17.35,18.87,16,18.45,445869
1731301200,20.2,20.5858,18.8,19.47,453693
1731387600,19.5,19.5,18.2767,18.646,341332
1731474000,18.1,19.3523,17.853,18.135,304261
1731560400,18.39,18.4323,17.7,17.83,116555
1731646800,17.91,18.02,17.32,17.953,115610
1731906000,18,19.296,17.95,18.841,149800
1731992400,17.86,20.22,17.86,19.4,167886
1732078800,19.41,19.93,16.9725,17.31,563716
1732165200,18.01,18.97,17.015,17.05,404184
1732251600,17.86,17.86,16.69,16.95,277550
1732510800,16.905,17.915,16.4904,17.24,158846
1732597200,16.7,16.9,16.45,16.536,265584
1732683600,16.8866,17.82,16.7177,17.82,170306
1732856400,18.49,18.74,18.0531,18.105,140200
1733115600,18.1,18.53,17.5725,17.679,158433
1733202000,17.58,18.68,17.301,18.57,147623
1733288400,18.6,19.75,18.6,19.72,372174
1733374800,19.88,21.41,19.51,19.71,315105
1733720400,21.14,21.4,18.628,18.85,264575
1733806800,18.9374,20.02,17.87,18.3,316018
1733893200,18.4208,20,18.4208,19.3,241209
1733979600,19.5,19.635,19,19.24,134719
1734066000,19.72,20.72,19.0001,20.3,139899
1734325200,20.97,21.56,20.41,20.72,824466
1734411600,21.47,21.47,20,20.0246,138540
1734498000,19.65,20.78,17.848,18.26,284286
1734584400,18,19,17.22,17.225,220406
1734670800,17,18.71,17,17.8,147437
1734930000,17.2,18.45,17.2,17.89,261076
1735016400,17.785,18.456,17.77,18.25,51181
1735189200,18.21,18.84,18,18.215,78946
1735275600,18.19,18.85,17.9696,18.15,66668
1735534800,18,18.231,17.07,17.451,224241
1735621200,17.49,17.7,17,17.34,133481
1735794000,17.6,18.1699,17.0934,18.06,183899
1735880400,18.3,20.388,18.3,20.388,196635
1736139600,21.42,21.9,20.35,20.7915,219281
1736226000,21,21,19.1,19.7,147688
1736312400,19.0249,20.097,18.95,19.25,160211
1736485200,19.1,19.77,17.838,18.71,159508
1736744400,18.5,18.86,17.4525,18.08,118878
1736917200,19.28,19.9,19.135,19.53,116602
1737003600,19.8,20.43,19.29,20.001,131830
1737090000,20.54,21.626,20.15,20.7,326355
1737435600,21,21.9,20.3,21.43,78508
1737522000,21.3,22.9528,21.3,22.8,173330
1737608400,22.7,24.339,22.424,23.59,313841
1737694800,23.26,24.4182,22.54,22.68,374865
1737954000,21,22,18.5,19.05,626061
1738040400,18.65,20.14,18.65,19.33,196968
1738126800,19.5,20.23,19.16,20.15,134587
1738213200,20.8,21.4145,20.0703,20.26,532361
1738299600,20.26,20.98,19.31,19.564,149526
1738558800,17.88,19.505,16.925,19.4,201316
1738645200,20,20,19.25,19.38,81241
1738731600,19,19.47,19,19.355,113366
1738818000,19,20.2,18.821,18.9468,132729
1738904400,18.9,19.62,18.75,18.78,130314
1739163600,19.7,19.7,18.9185,18.994,94264
1739250000,19.88,19.88,18.5,18.565,82033
1739336400,18.1766,18.745,18,18.745,84387
1739422800,18.64,20.115,18.4692,20,148242
1739509200,20.093,20.093,19.01,19.4495,126991
1739854800,19.5,19.695,18.36,18.61,143104
1739941200,18.3876,18.84,17.7232,17.834,134445
1740027600,18.5,18.5,17.54,18.0515,62727
1740114000,18.5,18.57,15.8093,15.9985,210774
1740373200,15.63,16.2855,15.27,15.32,303463
1740459600,14.1,14.93,12.68,14,564458
1740546000,13.8,14.54,13.42,14.07,216282
1740632400,15.6,15.6,13.912,14.02,145633
1740718800,13.5,14.91,13.5,14.91,215780
1740978000,15.55,16.5271,14.03,14.32,350877
1741064400,14.32,14.32,12.2,13.1798,412102
1741150800,14.48,14.48,13,14.1225,207144
1741237200,13.22,14.5,12.9,13.145,129965
1741323600,12.48,13.93,12.48,13.0754,266271
1741579200,13,13,11.89,12.07,241829
1741665600,12.19,12.25,11.56,12.14,214597
1741752000,12.195,12.55,11.7705,12.18,164620
1741838400,12.3426,12.3426,11.4132,11.54,111909
1741924800,12.1209,12.57,11.736,12.37,144105
1742184000,12.634,12.65,11.96,12.1475,71456
1742270400,12,12.1523,11.847,11.92,53242
1742356800,11.645,12.503,11.645,12.34,124747
1742443200,12.29,13.0802,12.29,12.6993,211243
1742529600,12.1786,12.638,12.05,12.5,69309
1742788800,13,13.82,12.9925,13.488,175535
1742875200,13.35,13.54,12.958,13.0721,161072
1742961600,13,13.05,12.54,12.65,106621
1743048000,12.6,12.7,12.177,12.32,99126
1743134400,12.41,12.65,11.48,11.4908,321219
1743393600,10.8596,11.39,10.3,10.5375,245468
1743480000,10.96,11.4,10.05,11.388,211067
1743566400,11.25,12.06,11,12.04,127013
1743652800,10.22,11.05,10.22,10.5105,332009
1743739200,10.625,10.625,9.07,9.54,330439
1743998400,8.55,9.447,8.2,8.6975,523463
1744084800,10.4,10.61,9.155,9.2605,566243
1744171200,9.1523,11.41,9.1,10.756,598528
1744257600,10.52,11,9.9698,10.32,281525
1744344000,10.77,11.33,10.255,10.9775,197453
1744603200,10.99,12.19,10.99,11.4,225363
1744689600,11.4,11.769,10.8562,10.9899,136377
1744776000,10.83,11.21,10.83,11.21,81992
1744862400,11.57,11.57,10.81,11.111,142837
1745208000,11.7,11.7,10.75,10.995,138344
