T,O,H,L,C,V
1713844800,14.89,14.89,14.44,14.44,155403
1713931200,14.35,14.4,14.227,14.35,70004
1714017600,14.265,14.74,14.265,14.52,68351
1714104000,14.59,14.76,14.59,14.71,71819
1714363200,14.7,14.86,14.61,14.8283,47100
1714449600,14.57,14.84,14.57,14.65,73721
1714536000,14.64,14.8,14.5056,14.6,41150
1714622400,14.99,14.99,14.53,14.75,61684
1714708800,15,15.2,14.9362,15.135,45520
1714968000,15.48,15.48,15.1533,15.29,63531
1715054400,14.86,15,14.66,14.72,202415
1715140800,14.84,14.84,14.6,14.62,45466
1715227200,14.72,14.9,14.65,14.84,97215
1715313600,14.89,15.12,14.75,14.954,30277
1715572800,15.03,15.03,14.75,14.924,107089
1715659200,15.2,15.44,15.07,15.325,102724
1715745600,14.55,14.6,14.28,14.36,123746
1715832000,14.46,14.72,14.41,14.6,127885
1715918400,14.47,14.47,14.07,14.075,293087
1716177600,14.04,14.04,13.67,13.7,520242
1716264000,13.65,13.88,13.45,13.57,593195
1716350400,13.3,13.42,13.23,13.36,203654
1716436800,13.7167,13.7167,13.231,13.32,172080
1716523200,13.28,13.28,13.19,13.25,91934
1716868800,13.69,13.69,13.15,13.26,192424
1716955200,13.43,13.43,13.04,13.05,155932
1717041600,13.38,13.45,13.33,13.44,202775
1717128000,13.3,13.37,13.2325,13.36,236959
1717387200,13.5595,13.65,13.47,13.56,182625
1717473600,13.57,13.65,13.47,13.56,216641
1717560000,13.56,13.56,13.3,13.34,124121
1717646400,13.35,13.5,13.35,13.475,177236
1717732800,13.23,13.31,13.176,13.3,83436
1717992000,13.13,13.2,13.0702,13.14,193988
1718078400,13.08,13.09,12.96,13.03,202838
1718164800,13.45,13.71,13.2,13.23,279349
1718251200,13.49,13.49,13.12,13.31,203341
1718337600,12.66,12.83,12.6,12.73,149754
1718596800,12.7,12.9,12.51,12.835,261028
1718683200,12.75,12.8,12.61,12.8,250165
1718856000,12.62,12.62,12.5,12.6,311403
1718942400,12.66,12.76,12.54,12.68,175064
1719201600,12.87,13.06,12.86,13.05,218093
1719288000,12.72,12.72,12.39,12.484,221079
1719374400,12.49,12.5079,12.2675,12.41,291417
1719460800,12.25,12.3175,12.15,12.18,212630
1719547200,11.71,11.71,11.24,11.37,329797
1719806400,11.21,11.23,10.98,11.09,403670
1719892800,11.09,11.14,10.925,11.005,346304
1719979200,11.27,11.53,11.24,11.428,56990
1720152000,11.72,11.73,11.44,11.665,123874
1720411200,11.94,11.94,11.72,11.72,150336
1720497600,11.38,11.38,11.095,11.23,251115
1720584000,11.21,11.34,11.21,11.34,125410
1720670400,11.47,11.5987,11.41,11.55,185633
1720756800,11.7,11.83,11.66,11.78,83041
1721016000,9.71,9.96,9.5997,9.88,614685
1721102400,9.53,9.56,9.3,9.36,471073
1721188800,9.395,9.91,9.38,9.71,248594
1721275200,9.88,10.01,9.72,9.9,432000
1721361600,9.31,9.34,9.2,9.21,250289
1721620800,9.61,9.61,9.4508,9.53,156518
1721707200,9.47,9.48,9.4,9.42,216236
1721793600,9.38,9.39,9.2,9.28,169009
1721880000,9.23,9.5793,9.19,9.46,356812
1721966400,9.72,9.81,9.62,9.74,226365
1722225600,9.71,9.71,9.55,9.7,222802
1722312000,9.84,10.05,9.78,9.94,225532
1722398400,10.18,10.19,10.01,10.1,228517
1722484800,10.1,10.1,9.86,9.88,123558
1722571200,9.58,9.67,9.47,9.56,141453
1722916800,8.89,9.1,8.785,9.08,451616
1723003200,9.38,9.38,8.83,8.89,425721
1723089600,9.03,9.19,8.98,9.11,191046
1723176000,8.97,9.03,8.89,8.93,213964
1723435200,8.82,8.82,8.73,8.74,221443
1723521600,8.72,8.81,8.6905,8.78,221034
1723608000,8.86,8.86,8.71,8.76,128467
1723694400,8.93,9.05,8.85,8.9,247132
1723780800,8.84,9.11,8.84,9.04,58189
1724040000,9.2,9.44,9.2,9.33,212713
1724126400,9.11,9.21,9.06,9.17,163308
1724212800,9.23,9.3,9.1505,9.25,106462
1724299200,9.44,9.52,9.44,9.465,1673
1724385600,9.4,9.63,9.36,9.62,99169
1724644800,9.64,9.88,9.45,9.54,125442
1724731200,9.5,9.5,9.29,9.45,217606
1724817600,9.08,9.15,9.0085,9.09,115232
1724904000,9.12,9.13,9.02,9.1,172530
1724990400,8.97,9.14,8.88,8.9,248479
1725336000,8.82,8.82,8.62,8.62,206607
1725422400,8.42,8.42,8.27,8.305,258247
1725508800,8.55,8.6,8.37,8.37,368155
1725595200,8.2,8.23,8.02,8.02,187178
1725854400,7.41,7.7,7.38,7.6198,270678
1725940800,7.64,7.64,7.51,7.54,274601
1726027200,7.72,7.72,7.545,7.69,178883
1726113600,7.84,7.84,7.69,7.74,179322
1726200000,7.86,8.01,7.776,7.8,277836
1726459200,7.82,7.82,7.72,7.79,199277
1726545600,7.94,8.011,7.93,7.95,196789
1726632000,8,8.25,7.94,8.1195,284436
1726718400,8.31,8.365,8.22,8.32,235389
1726804800,7.99,8.1364,7.97,8.06,160772
1727064000,7.99,8.06,7.98,8,155633
1727150400,8.26,8.27,8.1376,8.2325,253364
1727236800,8.32,8.32,8.15,8.19,168001
1727323200,8.9,8.97,8.79,8.9,282189
1727409600,9.53,9.5865,9.45,9.4602,172855
1727668800,9.42,9.54,9.34,9.35,123781
