T,O,H,L,C,V
1716177600,32.75,34.14,32.19,33.97,274192
1716264000,33.3,35.21,32.96,35.19,655417
1716350400,34.94,35.46,33.59,33.98,647904
1716436800,33.7,34.02,33.08,33.4,690423
1716523200,33.88,33.93,33.01,33.68,401599
1716868800,33.68,34.655,33.19,34.33,327445
1716955200,34.33,35.12,33.96,34.8,296525
1717041600,34.94,35.12,34.36,34.41,232483
1717128000,34.58,34.96,33.4,33.68,378497
1717387200,33.72,34.97,33.72,34.8,289461
1717473600,34.8,35.83,34.39,35.52,323531
1717560000,35.44,36.02,34.61,34.8,646543
1717646400,34.55,34.86,33.56,33.89,274449
1717732800,33.9,34.825,33.67,34.19,306717
1717992000,33.86,34.68,33.73,34.42,366395
1718078400,34.32,34.52,33.0259,34.08,293167
1718164800,34.9,34.9,34.14,34.26,247492
1718251200,34.14,34.69,33.43,33.83,203937
1718337600,33.27,34.19,31.47,33.32,265550
1718596800,33.71,33.86,33.12,33.54,302696
1718683200,33.45,34.21,33.45,33.47,257048
1718856000,33.34,34.24,33.28,33.44,379335
1718942400,33.14,33.81,32.46,32.68,879030
1719201600,32.6,34.58,32.54,34.5,329884
1719288000,34.28,35,33.57,33.76,380351
1719374400,33.8,35.33,33.11,34.96,415179
1719460800,34.9,35.53,34.49,35.01,346621
1719547200,35.41,35.9,34.99,35.47,1376232
1719806400,35.35,36.33,34.94,36.29,466271
1719892800,36.38,36.63,35.545,36.12,274859
1719979200,36.11,36.37,35.4,35.8,116957
1720152000,35.66,36.5,34.95,36.46,232197
1720411200,36.97,37.34,36.13,36.42,356349
1720497600,36.96,36.96,36.22,36.55,237778
1720584000,36.45,36.875,36.16,36.78,254007
1720670400,37.77,38.62,37.11,38.5,551783
1720756800,38.7,40.13,38.28,39.28,616350
1721016000,39.68,40.52,39.13,40.08,571218
1721102400,40.92,42.13,40.37,40.6,604900
1721188800,40.57,41.29,40.38,40.91,498259
1721275200,40.48,41.2699,40.35,40.69,328466
