T,O,H,L,C,V
1713844800,92.84,93.81,92.84,93.7,539694
1713931200,93.88,94.55,93.46,94.15,524123
1714017600,93.46,94.9,92.76,94.69,456213
1714104000,94.82,96.42,94.53,95.99,582765
1714363200,96.15,97.6593,96.01,96.99,652619
1714449600,96.73,97.3,95.55,95.77,557026
1714536000,95.99,97.4,95.55,95.73,402512
1714622400,96.13,96.455,94.925,95.54,572867
1714708800,96.07,97.555,94.75,97.34,676177
1714968000,98,98.9,97.75,98.88,772077
1715054400,92.68,95.26,86.7,87.04,1983363
1715140800,87.35,88.8,87.14,88.07,933453
1715227200,88.11,89.2,87.45,88.94,566915
1715313600,89.24,90.2,89.205,89.9,656010
1715572800,90,90.34,88.69,88.69,563930
1715659200,88.84,89.27,87.72,89.21,370377
1715745600,89.5,90.9413,89.5,90.53,530452
1715832000,90.38,90.6999,88.59,88.64,444617
1715918400,88.87,89.2166,87.9783,88.41,467457
1716177600,88.87,89.7,88.28,88.49,556971
1716264000,88.5,89.2,88.44,88.46,363015
1716350400,88.46,88.9599,88.01,88.68,287035
1716436800,89,89,87.51,87.68,495684
1716523200,88.18,89.39,87.8913,89.01,550966
1716868800,89.28,89.5783,87.62,87.93,314238
1716955200,87.92,88.9,87.63,88,610618
1717041600,88.01,89.54,88.01,89.26,485164
1717128000,89.43,92.555,88.95,92.13,1208573
1717387200,91.67,92.635,89.5,90.08,720313
1717473600,89.51,90.1492,88.89,89.21,531224
1717560000,89.35,90.772,88.82,90.69,417458
1717646400,90.41,91,89.17,89.69,577714
1717732800,89.7,90.459,88.2601,89.45,366997
1717992000,88.96,89.4,88.67,89.07,415198
1718078400,88.71,89.045,87.66,88.49,396137
1718164800,89.13,89.845,88.97,89.51,347046
1718251200,89.48,89.495,88.485,89.02,228742
1718337600,89.43,89.85,87.7,89.42,619343
1718596800,89.21,91.31,88.92,91.21,438521
1718683200,91.21,92.57,90.76,92.55,580243
1718856000,92.5,93.48,92.03,92.49,582374
1718942400,92.44,93.33,91.705,93.01,1351686
1719201600,92.9,94.672,92.9,94.02,640328
1719288000,94.02,94.325,93.06,94.25,419020
1719374400,94.64,95.58,94.2,95.49,646839
1719460800,96,96.47,94.78,94.98,673517
1719547200,95.25,96.26,94.27,95,769148
1719806400,95.55,95.665,93.235,94.03,502271
1719892800,94,94.5899,93.7584,94.27,386549
1719979200,94.38,95.555,94.01,95.47,329475
1720152000,95.89,95.89,94.37,95.11,241161
1720411200,95.46,96.3544,95.22,95.53,289207
1720497600,95.47,95.98,94.27,94.3,346858
1720584000,94.45,95.84,94.385,95.66,272066
1720670400,96.06,98.11,95.71,97.25,423938
1720756800,98,99.44,97.34,98.43,440082
1721016000,99.41,100.15,98.86,99.08,459410
1721102400,99.69,104.31,99.45,103.98,590891
1721188800,103.48,104.245,102.5001,103.17,511679
1721275200,103.27,104.58,102.69,103.13,385415
1721361600,102.75,102.89,101.56,102,738100
1721620800,102.97,104.59,102.52,104.22,402889
1721707200,104.15,106.42,104.135,105.74,378207
1721793600,102.76,103.68,99.78,100.02,646297
1721880000,100.07,101.24,98.6,98.73,762251
