T,O,H,L,C,V
1713844800,26,26.315,25.1,25.135,74048
1713931200,26,26,24.46,25.65,48396
1714017600,25.65,26.14,25.42,25.96,73914
1714104000,26.87,27.23,26.86,27.182,89132
1714363200,27.25,31.44,26.9,27.6,97937
1714449600,27.5,27.75,27.1,27.2,50881
1714536000,27.49,27.7,27,27.61,47622
1714622400,28.3,29.47,28.3,29.3,166735
1714708800,29.5,29.72,28.91,29.05,61134
1714968000,29.2,29.2,27.85,28.97,51218
1715054400,28.8,29.2,28.25,29.012,48401
1715140800,28.74,28.74,27.2,28.43,54203
1715227200,28.5001,29,28.5,28.95,58588
1715313600,28.17,29,28.17,28.3825,107716
1715572800,28.38,28.96,28.38,28.6,57169
1715659200,28.34,28.58,28.33,28.5285,88656
1715745600,28.31,28.62,28,28.2,77994
1715832000,27.96,28.7595,27.96,28.7,85532
1715918400,28,28.9871,27.2,28.73,37105
1716177600,29.6199,29.6199,28.6,28.725,29883
1716264000,28,28.175,27.9,28,111535
1716350400,27.5,27.73,27.01,27.21,78753
1716436800,26.86,27.265,26.5,26.67,68251
1716523200,27.25,27.25,26.32,26.81,58376
1716868800,26.81,26.81,26.2,26.36,75507
1716955200,27,28.25,27,27.86,71438
1717041600,28.34,29,27.86,28.42,82304
1717128000,27.9,28.5,27.8,28.15,32903
1717387200,28.5,29.5,27.9,29.22,159012
1717473600,29.25,29.9,29,29.49,73561
1717560000,29.9,30.5,29.4,29.96,123176
1717646400,29.21,29.55,29.02,29.325,198510
1717732800,28.25,29.2,28.25,28.95,37558
1717992000,30.75,30.75,28.75,28.838,60108
1718078400,29.9999,29.9999,28.84,28.9025,137568
1718164800,28.79,28.9,28.25,28.381,54706
1718251200,29.5,30.8,29.25,29.39,130826
1718337600,28.91,29.8,28.9,29.11,87731
1718596800,29.21,29.785,29,29.725,95464
1718683200,29.81,30.3,29.05,30.3,133046
1718856000,30.45,30.45,29.8,30.22,70188
1718942400,30.01,30.5,29.94,30.05,30191
1719201600,30.17,30.84,30.1,30.67,56153
1719288000,30.6,30.67,29.865,30.41,52050
1719374400,29.4,30.3,29.3,30.21,43023
1719460800,29.99,30.55,29.25,29.375,67928
1719547200,29.25,29.81,29.05,29.5,54464
1719806400,30,30,29,29.74,91097
1719892800,29.1,29.99,29.1,29.51,51398
1719979200,30,30,29,29.81,48068
1720152000,29,30.035,29,30.035,56659
1720411200,29.15,30.03,29.15,29.764,47326
1720497600,29.0001,30.28,29,30.28,62954
1720584000,30,30.72,30,30.72,101699
1720670400,30.77,31.38,30.61,31.284,102025
1720756800,31.15,32,31.15,31.51,64361
1721016000,31.59,32,31.07,31.205,104121
1721102400,31.23,31.6,30.7,30.96,76934
1721188800,31.4,31.99,30,30.35,61793
1721275200,30.66,30.915,30.44,30.543,42815
1721361600,30.71,31.2333,30.64,31.06,28833
1721620800,30.5,31.67,30.5,31.5011,53024
1721707200,30.1,31.25,30.1,30.39,106277
1721793600,30.25,30.25,29.51,29.51,59943
1721880000,29.48,30.4,29.31,30.3,60061
1721966400,30,30.495,30,30.31,23712
1722225600,29.28,30.65,29.28,29.47,33716
1722312000,29.3,29.4,28.674,28.674,99254
1722398400,28.75,30.03,28.75,29.836,87964
1722484800,29.95,29.95,28.5025,28.6025,26646
1722571200,28.15,28.22,27.3,27.9,52761
1722916800,27.2,27.2,26.8,27.04,37085
1723003200,26.72,27.3,26.72,26.9,38550
1723089600,26.5,27.15,26.5,27,32247
1723176000,26.45,28,26.45,27.5,24261
1723435200,27.5,27.51,26.4,27.185,33994
1723521600,27.18,27.51,27.18,27.51,39506
1723608000,27.99,27.99,27.25,27.35,29633
1723694400,28,28,27.385,27.886,38719
1723780800,28.88,30,26.4,28.6,58617
1724040000,27.88,28.875,27.88,28.68,30412
1724126400,28.2,28.825,28.2,28.21,19508
1724212800,28.355,29,28.21,29,21656
1724299200,28.2,29.35,28.2,29.35,1697
1724385600,28.55,29.35,28.55,29,47265
1724644800,28.62,29.35,28.62,28.75,52972
