T,O,H,L,C,V
1713844800,50.4,50.795,50,50.2,496056
1713931200,51.13,51.3,50.64,51.21,195874
1714017600,51.97,52.19,51.3,52.19,164610
1714104000,53.95,54.44,53.95,54.32,370201
1714363200,55.08,55.63,54.32,55.35,372435
1714449600,54.89,54.89,54.35,54.47,185820
1714536000,54,55.54,54,55.1,278437
1714622400,57.21,58.89,57.18,58.68,558203
1714708800,58.2,58.29,57.8,58.15,311448
1714968000,58.05,58.25,57.68,57.93,369669
1715054400,57.93,58.58,57.8,58.02,289304
1715140800,57.39,57.53,56.51,56.9,216474
1715227200,57.55,58,57.55,57.96,185024
1715313600,57.64,57.67,56.53,56.78,255372
1715572800,56.78,57.85,56.78,57.23,265789
1715659200,56.32,57.24,56.2,57.05,451838
1715745600,57.35,57.35,56.01,56.47,392775
1715832000,56.6,57.215,56.34,57.11,332142
1715918400,57.2,57.75,56.895,57.32,276760
1716177600,57.41,58.095,57.19,57.5,194698
1716264000,56.22,56.45,55.8295,55.99,320878
1716350400,54.99,55,54.37,54.51,250165
1716436800,54.15,54.45,52.95,53.07,293138
1716523200,53,53.57,53,53.4,154360
1716868800,53.11,53.21,52.41,52.745,303318
1716955200,55.29,55.88,55.25,55.62,304678
1717041600,55.95,57.15,55.9,56.9,321996
1717128000,56.55,56.55,56.11,56.11,189783
1717387200,58.75,59,58.25,58.38,395169
1717473600,59,59.49,58.64,58.78,239020
1717560000,59.61,59.95,59.38,59.95,216634
1717646400,58.51,58.89,58.35,58.54,225376
1717732800,58.26,58.5,57.47,57.63,111156
1717992000,57.2,57.84,57.19,57.54,137889
1718078400,58.87,58.87,58.02,58.56,188158
1718164800,56.99,57.48,56.85,57.01,563208
1718251200,59.27,59.625,58.49,58.66,480184
1718337600,58.26,58.429,57.98,58.2,133123
1718596800,58.76,59.5,58.52,59.38,267379
1718683200,59.3,60.47,59.3,60.45,793167
1718856000,60.49,60.84,60.19,60.48,224170
1718942400,60.34,60.5,60.14,60.39,203744
1719201600,60.85,61.65,60.39,61.38,179073
1719288000,61,61.15,60.7,60.82,151676
1719374400,60.49,60.77,60.111,60.44,162347
1719460800,58.65,59.12,58.44,58.75,195227
1719547200,58.85,59.95,58.85,59.08,102512
1719806400,59.38,59.8,58.5,59.74,141487
1719892800,58.13,59.29,58.13,58.96,163493
1719979200,58.77,59.74,58.74,59.5,134223
1720152000,59.73,60.5,59.5,60.1,211099
1720411200,59.53,59.75,59.36,59.45,159794
