T,O,H,L,C,V
1713844800,18.88,19.05,18.88,19.05,57280
1713931200,19.28,19.28,19.1109,19.205,33496
1714017600,18.72,19.025,18.72,18.93,39240
1714104000,19.245,19.25,19.14,19.21,365862
1714363200,19.36,19.425,19.27,19.32,115928
1714449600,19.3375,19.3612,19.032,19.315,29134
1714536000,19.02,19.405,19.02,19.06,12184
1714622400,19.25,19.585,19.195,19.3925,25408
1714708800,19.505,19.645,19.385,19.565,18694
1714968000,19.6345,19.6891,19.52,19.645,20902
1715054400,19.7615,20.135,19.71,19.71,30176
1715140800,19.735,19.74,19.67,19.67,31186
1715227200,19.87,20.0576,19.81,20.0306,10176
1715313600,20.245,20.245,19.805,19.925,56830
1715572800,19.605,20.01,19.53,19.62,64480
1715659200,19.615,19.685,19.52,19.585,178892
1715745600,19.665,19.665,19.4675,19.625,69136
1715832000,19.25,19.45,19.25,19.3,79068
1715918400,19.35,19.3545,19.1765,19.3025,226338
1716177600,19.3337,19.36,19.211,19.295,162218
1716264000,19.29,19.43,19.155,19.43,331884
1716350400,19.17,19.485,19.17,19.327,17482
1716436800,19.325,19.36,19.155,19.155,121664
1716523200,19.06,19.35,19.06,19.265,142540
1716868800,19.094,19.225,18.965,18.965,105330
1716955200,18.965,18.97,18.805,18.805,204126
1717041600,18.8593,18.975,18.8593,18.96,45506
1717128000,18.8657,18.8657,18.5927,18.8113,29424
1717387200,18.945,19.28,18.85,19.255,177028
1717473600,19.19,19.19,18.7597,19.07,220562
1717560000,18.805,19.145,18.805,18.9494,94202
1717646400,18.9743,19.2523,18.9743,19.05,15162
1717732800,18.8,19.131,18.73,18.745,40304
1717992000,18.63,18.835,18.56,18.769,34706
1718078400,18.89,18.935,18.755,18.93,39394
1718164800,19.12,19.449,19.06,19.29,27674
1718251200,18.977,19.03,18.855,18.99,30626
1718337600,18.62,18.715,18.5269,18.705,25342
1718596800,18.45,18.6318,18.315,18.395,78976
1718683200,18.71,19.07,18.71,19.0205,70894
1718856000,19.155,19.395,19.09,19.15,43066
1718942400,19.07,19.1112,18.925,18.98,30412
1719201600,19.26,19.5376,19.215,19.325,35708
1719288000,19.1575,19.1575,18.955,18.955,29022
1719374400,19.035,19.395,19.03,19.2225,40638
1719460800,19.45,19.465,19.16,19.335,19220
1719547200,19.05,19.065,18.8865,19.015,46304
1719806400,19.0913,19.1225,18.865,18.907,39194
1719892800,18.9645,19.275,18.94,18.985,56664
1719979200,19.405,19.405,19.17,19.37,20568
1720152000,20.005,20.33,19.95,19.96,33954
1720411200,20.0695,20.14,19.89,19.89,28226
1720497600,19.84,20.1226,19.83,19.835,20444
1720584000,20.2188,20.415,20.2188,20.35,34298
1720670400,20.5893,20.67,20.568,20.61,18150
1720756800,20.735,20.9135,20.645,20.685,17648
1721016000,20.555,20.77,20.4,20.475,40612
1721102400,20.48,20.655,20.42,20.555,18002
1721188800,20.715,20.875,20.6845,20.745,26362
1721275200,20.98,21.055,20.82,20.82,10072
1721361600,20.731,20.9153,20.731,20.8925,14110
1721620800,21.082,21.082,20.8288,20.87,12460
1721707200,20.875,21.1882,20.865,21.0525,12318
1721793600,20.965,21.0113,20.8677,20.955,25238
1721880000,20.635,20.91,20.615,20.893,16436
1721966400,20.954,21.05,20.8875,21.03,11484
1722225600,20.94,21.1302,20.865,20.865,11544
1722312000,20.9125,21.0632,20.885,20.9725,14646
1722398400,20.87,21.071,20.87,21.0475,9700
1722484800,20.915,20.915,20.64,20.69,48652
1722571200,20.375,20.645,20.2679,20.5,31292
1722916800,20.05,20.185,20.015,20.185,32096
1723003200,20.315,20.55,20.27,20.2933,13298
1723089600,20.19,20.515,20.19,20.515,13648
1723176000,20.4,20.69,20.4,20.69,8236
1723435200,20.525,20.6263,20.48,20.48,13090
1723521600,20.59,20.825,20.59,20.825,23020
1723608000,20.7925,20.9621,20.67,20.67,10810
1723694400,20.935,21.091,20.86,20.94,11802
1723780800,21.005,21.005,20.808,20.9458,8612
1724040000,20.9,21.21,20.9,20.975,10736
1724126400,20.93,21.045,20.8515,20.8515,167404
1724212800,20.885,21.1008,20.865,20.94,16742
1724299200,20.95,20.95,20.95,20.95,952
1724385600,21.1675,21.485,21.16,21.23,12256
1724644800,21.315,21.8256,20.65,21.29,30142
1724731200,22.93,23.185,22.8025,23.05,28550
1724817600,22.955,23.05,22.805,22.9188,24292
1724904000,23.22,23.595,23.2,23.595,7248
1724990400,23.59,23.59,23.2,23.2675,26754
1725336000,23.405,23.58,23.325,23.325,11624
1725422400,23.711,23.91,23.685,23.8,6148
1725508800,23.73,23.735,23.52,23.595,12046
1725595200,23.885,23.885,23.68,23.7377,8808
1725854400,23.9175,24.055,23.8925,23.9095,6944
1725940800,23.77,23.84,23.7675,23.8,10128
1726027200,23.3842,23.643,23.3842,23.5555,9016
1726113600,23.67,24.1129,23.67,24.045,17210
1726200000,24.115,24.4395,24.03,24.03,13096
1726459200,24.255,24.5,24.255,24.4355,12508
1726545600,24.4928,24.505,24.379,24.431,5920
1726632000,24.42,24.565,24.24,24.565,14230
1726718400,23.9858,24.052,23.9713,24.0265,5778
1726804800,23.95,23.95,23.8322,23.8725,6908
1727064000,24.0875,24.167,23.995,24.11,8340
1727150400,23.925,24.025,23.92,23.9775,15480
1727236800,23.995,24.025,23.81,23.975,19088
1727323200,23.835,24.1531,23.795,23.83,7068
1727409600,23.925,23.96,23.715,23.715,27262
1727668800,23.7,23.8174,23.61,23.71,10620
1727755200,23.52,23.5525,23.31,23.4,16560
1727841600,23.345,23.7134,23.215,23.579,63364
1727928000,23.045,23.1023,22.86,22.865,13984
1728014400,22.95,23.09,22.79,22.87,14052
1728273600,22.775,23.18,22.715,22.72,21244
1728446400,22.565,23.055,22.555,22.675,27536
1728532800,22.475,22.6615,22.395,22.4775,19400
1728619200,22.5525,22.71,22.53,22.71,149772
1728878400,22.995,23.45,22.985,23.3608,129262
1728964800,23.41,23.7215,23.41,23.48,38602
1729051200,23.495,23.834,23.495,23.834,31878
1729137600,23.5,23.975,23.48,23.5,25866
1729224000,23.33,23.405,23.1125,23.405,15544
1729483200,23.375,23.4645,23.0963,23.12,24042
1729569600,23.12,23.3,23.04,23.09,104488
1729656000,23.09,23.55,23.03,23.03,197088
1729742400,22.975,23.135,22.675,23.0523,53484
1729828800,22.79,23.01,22.714,22.714,39366
1730088000,22.99,23.025,22.7373,22.945,35728
1730174400,22.6965,22.708,22.5,22.66,24652
1730260800,22.445,22.865,22.345,22.3868,14820
1730347200,22.03,22.275,21.84,22.1675,19814
1730433600,22.3593,22.605,22.17,22.6,20480
1730696400,22.44,22.5,22.405,22.428,38704
1730782800,22.535,22.87,22.525,22.87,22016
1730869200,22.715,22.97,22.52,22.705,43856
1730955600,22.55,22.69,22.485,22.525,39030
1731042000,22.495,22.805,22.455,22.48,22764
1731301200,22.51,22.73,22.41,22.41,18532
1731387600,21.93,22.645,21.925,22.08,31486
1731474000,21.84,22.36,21.67,22.36,33254
1731560400,21.86,22.15,21.86,21.92,26484
1731646800,21.58,22.055,21.515,21.585,119626
1731906000,21.705,21.825,21.44,21.8,77946
1731992400,21.675,22.07,21.6595,22.0502,30260
1732078800,21.582,21.86,21.29,21.305,40490
1732165200,21.862,22.13,21.815,21.995,37096
1732251600,21.745,22.05,21.745,22.04,29688
1732510800,22.05,22.465,22.05,22.27,40254
1732597200,21.91,22.47,21.91,22.235,35776
1732683600,22.405,22.4669,22.085,22.3813,19366
1732856400,22.385,22.71,22.225,22.71,18342
1733115600,22.61,23.1009,22.61,22.8608,17502
1733202000,22.7825,23.045,22.755,22.9,163906
1733288400,22.785,23.2214,22.785,23.1,35488
1733374800,22.98,23.4164,22.7135,23.125,65556
1733720400,23.08,23.32,22.62,22.895,39427
1733806800,22.7,22.7255,22.22,22.54,19457
1733893200,22.81,22.88,22.7,22.79,42719
1733979600,22.55,22.64,22.31,22.48,33224
1734066000,22.3,22.3,22.13,22.195,16996
1734325200,22.49,22.94,22.14,22.17,47273
1734411600,21.06,21.56,21.06,21.45,101231
1734498000,21.6,21.6,20.85,21.22,31110
1734584400,20.59,21.18,20.37,20.55,56598
1734670800,20.47,20.89,20.47,20.61,58294
1734930000,20.74,20.96,20.61,20.84,104132
1735016400,21.91,22.41,20.17,21.22,27868
1735189200,21,21.55,20.6956,21,38874
1735275600,20.8805,20.96,20.79,20.79,59607
1735534800,20.69,21.06,20.645,20.785,37300
1735621200,21.0875,21.0875,20.645,20.76,23217
1735794000,20.6,20.94,20.43,20.54,63874
1735880400,20.41,20.51,20.315,20.485,59837
1736139600,20.48,20.659,20.32,20.435,67291
1736226000,20.53,20.65,20.35,20.35,85385
1736312400,20.0325,20.2412,20.0325,20.2,65751
1736485200,20.2,20.2575,20.0156,20.09,56839
1736744400,20.18,20.25,20.1,20.25,66860
1736917200,20.45,20.53,20.38,20.44,54729
1737003600,20.62,21.04,20.62,20.94,91289
1737090000,21.05,21.2693,20.92,20.92,30920
1737435600,21.14,21.1925,21.12,21.185,4007
1737522000,21.29,21.57,21.22,21.2508,54630
1737608400,21.17,21.365,21.13,21.18,31677
1737694800,21.08,21.46,21.016,21.06,33983
1737954000,21.17,21.32,21.13,21.14,107451
1738040400,21.355,21.355,21.14,21.14,68045
1738126800,21.16,21.33,21.09,21.17,51515
1738213200,21.39,21.72,21.368,21.48,28544
1738299600,21.45,21.54,21.26,21.385,22605
1738558800,21.07,21.355,21.07,21.175,33455
1738645200,21.435,21.61,21.36,21.36,28789
1738731600,21.445,21.54,21.41,21.45,16985
1738818000,21.23,21.4524,21.23,21.26,20105
1738904400,21.05,21.05,20.87,20.91,50241
1739163600,21.0415,21.34,20.98,21,20342
1739250000,21.245,21.5,21.216,21.31,18330
1739336400,21.52,21.52,21.105,21.27,18146
1739422800,21.3201,21.63,21.32,21.5225,43453
1739509200,21.61,21.79,21.51,21.51,15245
1739854800,21.63,21.9372,21.54,21.54,183150
1739941200,21.29,21.548,21.208,21.26,38459
1740027600,21.22,21.31,21.19,21.24,67161
1740114000,21.135,21.2778,21.13,21.18,21589
1740373200,21.14,21.375,21.06,21.17,47573
1740459600,20.935,21.29,20.865,20.99,15968
1740546000,20.97,21.44,20.97,21.39,20043
1740632400,21.03,21.07,20.91,20.955,38668
1740718800,21.065,21.34,20.99,21.1953,24065
1740978000,19.76,20.16,19.38,19.39,39181
1741064400,19.37,19.63,19.18,19.43,64235
1741150800,19.502,19.88,19.49,19.79,190927
1741237200,19.37,19.73,19.28,19.3485,41900
1741323600,19.64,19.95,19.64,19.88,51117
1741579200,19.49,19.65,19.22,19.35,58431
1741665600,19.27,19.27,19.02,19.15,64284
1741752000,19.275,19.33,19.09,19.17,82171
1741838400,18.82,18.82,18.55,18.62,58157
1741924800,18.83,19.05,18.82,19.01,60753
1742184000,19.14,19.27,19.12,19.17,132379
1742270400,19.27,19.46,19.229,19.33,99986
1742356800,19.13,19.31,19.09,19.15,38869
1742443200,19.44,19.74,19.32,19.36,110445
1742529600,19.1775,19.28,19.12,19.15,82811
1742788800,19.42,19.74,19.3,19.43,94794
1742875200,19.41,19.42,19.22,19.24,53068
1742961600,19.16,19.345,19.1,19.11,27253
1743048000,19.16,19.39,19.16,19.33,74053
1743134400,19.3025,19.3025,19.1082,19.15,135257
1743393600,19.0725,19.15,19,19.15,1075626
1743480000,18.886,19,18.81,18.86,248364
1743566400,19.39,19.68,19.31,19.5996,248044
1743652800,20.0675,20.13,19.8,19.87,377800
1743739200,19.3,19.4665,19.24,19.31,22093
1743998400,18.615,19.19,18.17,18.3855,75778
1744084800,18.75,18.87,18.28,18.415,115700
1744171200,18.565,19.88,18.33,19.435,90134
1744257600,19.36,19.65,19.055,19.36,65621
1744344000,19.61,20.15,19.6,19.99,50329
1744603200,19.935,20.12,19.895,20.12,44580
1744689600,20.35,20.44,20.25,20.35,63836
1744776000,14.94,15.35,14.7615,15.2,195857
1744862400,15.29,15.3205,15.17,15.21,129019
1745208000,15.24,15.24,14.88,14.95,136994
